# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon May 13 19:00:45 BST 2019 [seed=666]
# -overwrite -seed 666 testConstantSize.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-29549.512465750653	-66.81761135987776	-29482.694854390775	38.24433357477495	1955.755666425225	50.41177924063233	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	-29482.694854390775	0.0	-16.301040509871523
1000	-4851.185514225111	-27.05944817009856	-4824.126066055012	38.01866402659893	1955.981335973401	51.59094863805696	0.43284628100066624	7.026153854042624	0.25624481097594987	0.2387763297382392	0.23886565338092358	0.26611320590488746	0.012977682933790587	0.012977682933790587	-4824.126066055012	0.0	-26.60340953913273
2000	-4021.056499088792	-49.81951614716024	-3971.2369829416316	43.15465248120172	1950.8453475187982	111.35008101806493	8.398904267107975	10.10815775645205	0.2727367651767735	0.21354358635341894	0.26129203708805565	0.2524276113817521	0.0019687278518169863	0.0019687278518169854	-3971.2369829416316	0.0	-48.60048701907551
3000	-3938.917342685402	-65.85464527938329	-3873.0626974060187	53.55681625591754	1940.4431837440825	174.77247082935747	19.676920165915426	17.328310057094264	0.2991213430625718	0.2142319258958089	0.24135415559926246	0.24529257544235714	0.0012825190754294153	0.0012825190754294149	-3873.0626974060187	0.0	-61.81121104492017
4000	-3927.6114605017283	-68.51120051806184	-3859.1002599836665	53.116576070512416	1940.8834239294877	192.09186265166227	19.46097799230859	16.60605439952857	0.2827887685959136	0.21834730668389474	0.2624571990471235	0.2364067256730684	0.0011062970311041492	0.0011062970311041494	-3859.1002599836665	0.0	-64.72583626071854
5000	-3930.1787384986615	-72.08903363950333	-3858.0897048591582	56.91922759002796	1937.080772409972	206.3713401397776	35.096127792825165	14.432550165405617	0.28786030988856265	0.21155082465487204	0.259673152384203	0.2409157130723626	0.0010369032852617951	0.001036903285261795	-3858.0897048591582	0.0	-66.7426273372854
6000	-3927.4071667598205	-71.29574316701466	-3856.1114235928057	55.500728170414035	1938.499271829586	215.20570349583105	22.326412067422545	13.738794716692972	0.30044253258207565	0.21066677840073872	0.2572225605461649	0.2316681284710211	9.811586248447163E-4	9.811586248447168E-4	-3856.1114235928057	0.0	-67.60898333696434
7000	-3926.9015048429906	-71.44367302855424	-3855.4578318144363	57.33540727142714	1936.6645927285729	215.3787644408297	26.213497225054724	13.910551501082711	0.29831089105952446	0.2151423419743168	0.2593126647019377	0.22723410226422133	0.0010189089897449301	0.0010189089897449306	-3855.4578318144363	0.0	-67.19341180112659
8000	-3927.0738555144653	-75.33487760646472	-3851.7389779080004	70.31607908023209	1923.6839209197678	267.10453855495234	30.199605383962254	17.420771024218027	0.27195821883253596	0.226143036865567	0.25614341628617016	0.24575532801572733	7.296444175516883E-4	7.296444175516884E-4	-3851.7389779080004	0.0	-70.43505280614534
9000	-3924.6708685460867	-74.78376242815511	-3849.8871061179316	64.0734434133943	1929.9265565866058	251.2676225767928	24.20214994172056	21.18652716761215	0.26733245137504813	0.2192051902912523	0.2679471663830117	0.24551519195068827	8.13716753793427E-4	8.13716753793427E-4	-3849.8871061179316	0.0	-70.078594863066
10000	-3930.616237664778	-76.47710090278483	-3854.139136761993	65.94101429082724	1928.0589857091727	261.42077352865266	29.137595624795082	23.022976000806477	0.2955169002430191	0.22167192039823078	0.23805291161385336	0.24475826774489726	8.107650126745225E-4	8.107650126745225E-4	-3854.139136761993	0.0	-70.98290004687414
11000	-3926.75286279619	-75.42283822399777	-3851.3300245721925	61.474991879791055	1932.525008120209	251.16691420830045	27.013161966508	15.186736694178682	0.2816185167521347	0.2169261939530456	0.23725157768154195	0.26420371161327816	8.223654645225451E-4	8.223654645225452E-4	-3851.3300245721925	0.0	-71.08893055338527
12000	-3932.6492422178517	-75.88730442318614	-3856.7619377946658	68.98042979481006	1925.01957020519	256.09886745164306	19.310149042163417	18.90551669614689	0.2862704063448337	0.2156433591360149	0.2409343484612646	0.2571518860578871	8.28294869336538E-4	8.282948693365382E-4	-3856.7619377946658	0.0	-72.1286103386649
13000	-3921.626930360242	-75.3204490852344	-3846.3064812750076	63.51451649377982	1930.4854835062201	245.62640868192253	35.16621519543455	15.751714225868474	0.2857624568289511	0.21695336588857583	0.2509499721795852	0.24633420510288814	8.844402518105313E-4	8.844402518105311E-4	-3846.3064812750076	0.0	-69.94691146845688
14000	-3927.6892254249738	-72.96476561843538	-3854.7244598065386	65.42335802930079	1928.5766419706993	244.82329977110498	20.34216761061826	17.525421629527983	0.2588123974715497	0.22316106331801505	0.25228393428785	0.26574260492258545	7.977086792315943E-4	7.977086792315943E-4	-3854.7244598065386	0.0	-69.231748622665
15000	-3931.299042240048	-79.03226026281922	-3852.2667819772287	74.27923792359722	1919.7207620764027	291.8422103897161	25.583971516135612	19.972952555042724	0.27249289410008626	0.22699923601066435	0.2570809455196011	0.2434269243696484	7.308718914920993E-4	7.308718914920991E-4	-3852.2667819772287	0.0	-74.40371161592057
16000	-3931.6914898656664	-76.6994510838109	-3854.9920387818556	73.63641252286185	1920.3635874771383	287.8490475333897	27.83576210600051	15.020206180170721	0.27202905421467605	0.22662514820347254	0.26063874132764653	0.240707056254205	7.722921371337922E-4	7.72292137133792E-4	-3854.9920387818556	0.0	-72.37315779288942
