# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jun 11 20:40:39 AEST 2020 [seed=1591872020618]
# -window -working -options
# keywords: skyline
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMantharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaGabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMantharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaGabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	clock.rate	meanRate	treeLikelihood	branchRates	skyline
0	-180494.1869518811	-142314.30226121444	-38179.88469066665	6177.8866602174685	-506.8866602174685	9117.412857449941	5931.015030028974	5892.777746394354	5811.289802071199	5736.353045830886	5742.139640230336	5815.603790304554	5742.320381428276	5746.263774365111	5870.116650050892	5840.000729229632	5865.748274807093	6108.384812428232	6060.795541688564	5830.793653056847	5790.3644319960695	5798.56167565599	5695.704643280907	6038.425372490151	-260.01503002897425	-221.77774639435393	-140.28980207119912	-65.353045830886	-71.13964023033623	-144.60379030455442	-71.32038142827605	-75.2637743651112	-199.11665005089162	-169.00072922963227	-194.74827480709337	-437.3848124282322	-389.7955416885643	-159.79365305684678	-119.36443199606947	-127.56167565599026	-24.704643280906566	-367.42537249015095	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	1.0E-5	9.999999999999992E-6	-38179.88469066665	0.0	-139992.89892876233
5000	-28626.87850763034	-3596.3759031279537	-25030.502604502384	6733.383617568425	-1062.3836175684246	7862.237006974922	5705.309735259003	5747.73176927206	5722.968257254008	5723.6848214929605	5709.01869523613	5751.800627444282	5721.6908189198775	5710.528538547515	5865.015653108346	5765.574955860904	5754.343222379815	5870.0156249701795	5747.652165127114	5743.784042077464	5741.208675810009	5754.609147686434	5700.548028759077	5833.795823307637	-34.30973525900299	-76.73176927205986	-51.96825725400777	-52.68482149296051	-38.01869523613004	-80.80062744428233	-50.69081891987753	-39.52853854751538	-194.01565310834576	-94.57495586090408	-83.34322237981542	-199.0156249701795	-76.65216512711413	-72.78404207746371	-70.20867581000857	-83.60914768643397	-29.54802875907717	-162.79582330763697	44.88209493398738	651.3861718842801	435.0604798796591	25.22153354126823	64.96013376174315	58.891254382276145	164.32744974463864	42.13257742543628	37.971631097051976	130.7584459255395	2.0	14.0	19.0	1.0	10.0	10.0	26.0	14.0	1.0	14.0	9.923569349579716E-5	9.923569349579719E-5	-25030.502604502384	0.0	-1213.0358281403355
10000	-20488.604191678627	-3525.016920678718	-16963.58727099991	7809.311699420294	-2138.3116994202937	90307.57153820434	6450.191824144682	6491.935379980135	6169.810225830974	6121.901837707805	6450.412419649876	6552.442866776693	6461.605796974461	6477.598174853888	6516.4523417254195	6517.885762109785	7125.54874950588	6799.270639339471	6447.252375158273	6524.599900477332	6493.805196575344	6513.070876712887	6441.646322738544	6670.048678750632	-779.191824144682	-820.9353799801347	-498.81022583097365	-450.9018377078046	-779.412419649876	-881.4428667766933	-790.6057969744606	-806.5981748538879	-845.4523417254195	-846.885762109785	-1454.5487495058796	-1128.270639339471	-776.252375158273	-853.5999004773321	-822.8051965753439	-842.0708767128872	-770.6463227385439	-999.0486787506316	14592.150461787593	53387.21639983386	1851.3163768308439	273.09939144062736	1384.5661897861537	2362.802649377254	2090.597186533343	873.7892640513018	650.0002618680342	1434.1116432719086	4.0	14.0	15.0	1.0	14.0	7.0	23.0	15.0	2.0	16.0	9.533127516077559E-5	9.533127516077565E-5	-16963.58727099991	0.0	-1113.1372004164914
15000	-19990.164374255637	-3481.5941939125464	-16508.57018034309	7600.798969327167	-1929.7989693271666	84998.83137540656	6389.4051237079675	6435.739810610105	6255.425641626013	6089.268457741526	6398.469469492773	6494.645821816367	6208.830519406097	6451.7905732885	6454.904370339449	6482.180632041734	7124.134471421134	6732.251527397794	6384.435738512709	6442.49326396351	6438.141757762508	6455.828266712762	6384.780594586384	6688.57505483485	-718.4051237079675	-764.7398106101055	-584.4256416260132	-418.2684577415257	-727.469469492773	-823.6458218163671	-537.8305194060968	-780.7905732885001	-783.9043703394491	-811.1806320417336	-1453.1344714211336	-1061.2515273977942	-713.4357385127087	-771.4932639635099	-767.141757762508	-784.8282667127623	-713.7805945863838	-1017.5750548348497	146176.45701726477	92128.75893352243	6885.468221504771	2381.00578351019	2167.4673678004524	1475.4519445240812	2439.630684004468	1507.1616022758603	1242.8443034122797	1840.4380702717813	7.0	14.0	16.0	2.0	8.0	3.0	24.0	13.0	1.0	23.0	9.409318754485047E-5	9.409318754485052E-5	-16508.57018034309	0.0	-1068.298480374095
20000	-19783.069138517003	-3511.751409680043	-16271.31772883696	7523.2127869918195	-1852.2127869918195	82666.63276175772	5951.416311522315	6359.824567294125	6235.538487814937	6097.0206087147835	6409.0877505956205	6446.854841655893	6372.299021745728	6385.907520296843	6422.056926517808	6467.265362089858	7067.4449824073035	6816.7562714875285	6350.1439709364195	6359.269679807593	6352.974729055961	6496.355808333828	6353.474383973509	6578.928836787558	-280.4163115223146	-688.8245672941248	-564.5384878149371	-426.0206087147835	-738.0877505956205	-775.8548416558933	-701.2990217457282	-714.9075202968434	-751.0569265178083	-796.2653620898582	-1396.4449824073035	-1145.7562714875285	-679.1439709364195	-688.2696798075931	-681.9747290559608	-825.3558083338276	-682.4743839735092	-907.9288367875579	320148.2461372552	63300.9057122997	3118.6664355534995	1133.7507743426306	2174.5297854181867	4787.777245076367	6375.678213629642	2821.2992904781995	657.290986912444	1109.621073562727	12.0	19.0	11.0	5.0	3.0	2.0	22.0	11.0	6.0	20.0	9.606667372659627E-5	9.606667372659629E-5	-16271.31772883696	0.0	-1095.7948257261621
25000	-19614.341637352896	-3504.151309764838	-16110.19032758806	7518.8291910600865	-1847.8291910600865	76995.89701642325	5900.564292705756	6304.415690302875	6186.27374189605	6045.93880792375	6335.948880488312	6303.157983984445	6329.2369076766645	6372.2466186938	6316.821291148831	6399.752098875615	6935.247142855204	6766.156696957117	6288.29588813095	6301.534410563859	6293.175642050282	6454.9997170217175	6298.627664907973	6631.548534550777	-229.5642927057561	-633.4156903028752	-515.2737418960496	-374.93880792374966	-664.9488804883122	-632.1579839844453	-658.2369076766645	-701.2466186938	-645.8212911488308	-728.752098875615	-1264.2471428552044	-1095.1566969571168	-617.2958881309496	-630.5344105638587	-622.1756420502816	-783.9997170217175	-627.6276649079728	-960.5485345507768	167121.9496896227	57891.47988898209	1867.8700960259714	1077.5564057810304	2772.427101584884	3668.0551064129218	7995.826017394324	2160.314085340036	1184.614471688272	1608.7150726368363	15.0	16.0	14.0	5.0	2.0	8.0	17.0	13.0	4.0	17.0	9.904491407357353E-5	9.904491407357349E-5	-16110.19032758806	0.0	-1088.9908053520062
30000	-19517.333639174303	-3524.770554263188	-15992.563084911115	7446.535366639584	-1775.535366639584	77273.08576051802	5899.675993926576	6305.02005277272	6269.536616523871	6178.381064154465	6326.425877211532	6303.509619543959	6313.324000417751	6465.608923384713	6314.140193615219	6372.221916305886	6888.718628240458	6961.980317032651	6287.771906626971	6233.730367277907	6294.0205296495005	6430.130958842509	6290.823582874121	6548.049610948522	-228.67599392657576	-634.0200527727202	-598.5366165238711	-507.3810641544651	-655.4258772115318	-632.5096195439592	-642.3240004177514	-794.6089233847133	-643.1401936152188	-701.2219163058862	-1217.7186282404582	-1290.9803170326513	-616.771906626971	-562.7303672779071	-623.0205296495005	-759.1309588425092	-619.8235828741208	-877.0496109485221	163560.60111606357	32835.95509309692	3847.5709146729455	2624.961426088138	2732.735510233386	1926.5715744335544	5044.989003408036	2290.351999586796	1349.0570673396678	1702.4809077979496	17.0	17.0	15.0	2.0	2.0	5.0	20.0	14.0	1.0	18.0	9.743541673744522E-5	9.743541673744526E-5	-15992.563084911115	0.0	-1111.3244931395136
35000	-19487.340929180667	-3536.116803666411	-15951.224125514256	7547.006880651863	-1876.006880651863	76782.69169582715	5751.639396720055	6300.079155355694	6075.173570198274	6010.476932691388	6301.788509199201	6349.266550396208	6313.207991857911	6436.8017225152435	6314.007845719454	6430.922564245833	6916.8519592726525	6965.345620714046	6290.837219844086	6218.927431194412	6303.382658950952	6455.176559676534	6348.493093300575	6538.655290084231	-80.63939672005472	-629.0791553556937	-404.1735701982743	-339.47693269138836	-630.7885091992011	-678.266550396208	-642.2079918579111	-765.8017225152435	-643.007845719454	-759.9225642458332	-1245.8519592726525	-1294.3456207140462	-619.8372198440857	-547.9274311944118	-632.3826589509517	-784.1765596765345	-677.4930933005753	-867.6552900842307	104632.2543939074	68971.14272961044	8962.546883433197	1198.5620538071425	4535.831781080107	3520.391634182867	5592.091723200032	2844.1269314704	2819.8745435463757	323.2327586291636	15.0	21.0	2.0	1.0	14.0	1.0	22.0	15.0	11.0	9.0	9.781640293822257E-5	9.781640293822258E-5	-15951.224125514256	0.0	-1119.1124572177607
40000	-19480.97706600664	-3550.324048389234	-15930.653017617404	7573.299754996675	-1902.299754996675	79941.2018336011	5769.772599597676	6323.516713141709	6354.380114436987	6099.206584340684	6334.962539348008	6347.57949293987	6340.810650894734	6422.036928067887	6336.97135435351	6411.90071441361	6943.542925739347	6988.514407159314	6375.70618350283	6169.082964576683	6326.882635373333	6701.111243033002	6478.166416908733	6626.794289993048	-98.77259959767616	-652.5167131417093	-683.3801144369872	-428.20658434068355	-663.9625393480082	-676.5794929398699	-669.810650894734	-751.036928067887	-665.9713543535099	-740.9007144136103	-1272.542925739347	-1317.514407159314	-704.7061835028298	-498.08296457668257	-655.882635373333	-1030.1112430330022	-807.1664169087326	-955.7942899930476	77060.6558319723	78422.41951412584	4899.793256994504	6714.288685178414	5312.498957539998	7019.8956914491955	6669.680249774855	5419.025652107316	2423.5321229280203	753.8084821798086	22.0	18.0	6.0	4.0	6.0	8.0	20.0	9.0	8.0	10.0	9.749164428185511E-5	9.749164428185517E-5	-15930.653017617404	0.0	-1132.3582134795001
45000	-19457.853253680343	-3543.232119241989	-15914.621134438356	7578.562561574763	-1907.562561574763	77338.18817567622	5782.625094142563	6342.563802062277	6166.007366819445	6060.569587047571	6297.362258413733	6321.424880549068	6316.5214728748015	6374.197914476377	6379.996230809661	6386.174052249366	6905.759473823205	7019.672256879854	6345.959611210426	6201.824941015053	6302.173016012871	6600.595174999215	6457.255903417932	6511.714024812974	-111.62509414256328	-671.5638020622773	-495.00736681944545	-389.5695870475711	-626.3622584137329	-650.4248805490679	-645.5214728748015	-703.1979144763773	-708.996230809661	-715.1740522493656	-1234.7594738232046	-1348.672256879854	-674.9596112104264	-530.8249410150529	-631.1730160128709	-929.5951749992146	-786.2559034179321	-840.7140248129735	122224.44266853118	32342.084101888802	2920.6466672351225	3647.5203411150446	3628.106430350102	6412.943612311018	6044.273110204182	4389.4990290761325	2262.159765666661	293.8921966880283	17.0	21.0	13.0	2.0	5.0	2.0	22.0	13.0	9.0	7.0	9.760160029388635E-5	9.760160029388633E-5	-15914.621134438356	0.0	-1127.6454051541577
