# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jun 11 21:43:09 AEST 2020 [seed=1591872020618]
# -window -working -options
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
100000	-15825.275464974558	-19434.211727664908	-3608.9362626903485	1.0	-19434.211727664908
105000	-15836.865773641242	-19422.909157554324	-3586.043383913081	1.0	-19422.909157554324
110000	-15827.931501728988	-19428.185099872517	-3600.253598143528	1.0	-19428.185099872517
115000	-15825.582552848127	-19423.258612393427	-3597.6760595452993	1.0	-19423.258612393427
120000	-15837.50523213598	-19446.474758973796	-3608.9695268378155	1.0	-19446.474758973796
125000	-15815.834370880073	-19428.764310051032	-3612.929939170959	1.0	-19428.764310051032
130000	-15818.02095943366	-19426.60830954369	-3608.5873501100323	1.0	-19426.60830954369
135000	-15835.669943824276	-19442.625560581266	-3606.955616756989	1.0	-19442.625560581266
140000	-15828.09831546067	-19438.69524757864	-3610.596932117969	1.0	-19438.69524757864
145000	-15809.636551350126	-19413.856543982187	-3604.21999263206	1.0	-19413.856543982187
150000	-15830.629826694898	-19429.050634602114	-3598.4208079072164	1.0	-19429.050634602114
155000	-15813.532763362988	-19414.719715659307	-3601.1869522963184	1.0	-19414.719715659307
160000	-15805.206604118688	-19416.98962818071	-3611.78302406202	1.0	-19416.98962818071
165000	-15837.960588738115	-19432.46762599359	-3594.507037255477	1.0	-19432.46762599359
170000	-15826.762722993713	-19421.38704715676	-3594.6243241630477	1.0	-19421.38704715676
175000	-15817.178524357405	-19416.867919677257	-3599.6893953198523	1.0	-19416.867919677257
180000	-15821.31325231708	-19408.755814752425	-3587.4425624353444	1.0	-19408.755814752425
185000	-15817.510188168944	-19423.001920175393	-3605.4917320064483	1.0	-19423.001920175393
190000	-15828.502945732049	-19430.512336285832	-3602.0093905537833	1.0	-19430.512336285832
195000	-15819.477292433676	-19433.134987048365	-3613.6576946146897	1.0	-19433.134987048365
200000	-15817.332388655488	-19428.972452429003	-3611.6400637735155	1.0	-19428.972452429003
