PathParameter	MeanPathLikelihood	MLContribution
0.0000	-30126	-0.065604
2.1715e-06	-30296	-0.59125
2.1888e-05	-29680	-1.7163
8.4561e-05	-25090	-3.1226
0.00022061	-20812	-4.9163
0.00046416	-19561	-7.4720
0.00085232	-18938	-10.704
0.0014248	-18456	-14.658
0.0022237	-18242	-19.323
0.0032929	-17901	-24.688
0.0046784	-17734	-30.650
0.0064280	-17303	-36.755
0.0085909	-16683	-43.633
0.011218	-16535	-51.795
0.014361	-16420	-60.900
0.018075	-16381	-70.911
0.022413	-16310	-81.630
0.027432	-16216	-93.149
0.033190	-16140	-105.63
0.039745	-16091	-118.85
0.047156	-15983	-132.16
0.055484	-15755	-145.56
0.064790	-15526	-160.27
0.075138	-15451	-175.92
0.086591	-15271	-192.03
0.099213	-15158	-209.16
0.11307	-15031	-227.20
0.12823	-14947	-245.97
0.14475	-14820	-265.13
0.16271	-14701	-285.53
0.18218	-14634	-307.18
0.20322	-14564	-329.30
0.22591	-14467	-352.43
0.25031	-14419	-377.16
0.27650	-14384	-402.59
0.30455	-14321	-428.82
0.33454	-14282	-456.40
0.36653	-14250	-484.97
0.40060	-14216	-514.63
0.43683	-14192	-545.18
0.47530	-14155	-576.98
0.51608	-14145	-609.99
0.55924	-14119	-643.75
0.60487	-14097	-678.77
0.65304	-14082	-715.06
0.70384	-14071	-752.26
0.75734	-14050	-790.30
0.81363	-14032	-829.80
0.87278	-14026	-870.67
0.93488	-14017	-912.32
1.0000	-14001	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -14398.650399295004

Inner area for path parameter in (2.1715e-06,0.93488) = -14399
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-18160	-0.065256
2.1715e-06	-18633	-0.58449
2.1888e-05	-18274	-1.7279
8.4561e-05	-17584	-3.0297
0.00022061	-17496	-4.8557
0.00046416	-17912	-7.4477
0.00085232	-17597	-10.702
0.0014248	-17504	-14.623
0.0022237	-17448	-19.377
0.0032929	-17021	-24.672
0.0046784	-16815	-30.742
0.0064280	-16339	-36.899
0.0085909	-16312	-43.614
0.011218	-16202	-51.824
0.014361	-16054	-60.793
0.018075	-16149	-70.885
0.022413	-16152	-81.746
0.027432	-16002	-93.212
0.033190	-15795	-105.47
0.039745	-15892	-119.03
0.047156	-15750	-132.73
0.055484	-15432	-145.92
0.064790	-15285	-160.05
0.075138	-15285	-176.43
0.086591	-15080	-192.10
0.099213	-14930	-209.30
0.11307	-14863	-227.18
0.12823	-14785	-246.29
0.14475	-14666	-265.46
0.16271	-14556	-285.42
0.18218	-14522	-307.23
0.20322	-14466	-329.80
0.22591	-14365	-352.53
0.25031	-14290	-376.72
0.27650	-14282	-402.68
0.30455	-14236	-428.77
0.33454	-14188	-456.10
0.36653	-14201	-485.14
0.40060	-14140	-514.59
0.43683	-14106	-545.05
0.47530	-14098	-576.68
0.51608	-14082	-609.95
0.55924	-14077	-643.90
0.60487	-14054	-678.69
0.65304	-14036	-714.80
0.70384	-14038	-752.52
0.75734	-14021	-790.49
0.81363	-14001	-829.64
0.87278	-13985	-870.45
0.93488	-13994	-912.54
1.0000	-13984	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -14400.437410998316
