# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jul 25 03:59:13 AEST 2020 [seed=1595613551895]
# -threads 8 xml/biphone_binary_CMGR_2020-07-23_ch2.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
0	-33998.89389711455	-2103.0940141898554	-31895.79988292469	3547.091948886213	3547.091948886213	17867.92325671097	0.0	258.6518851539376	177.0136884834806	152.6192003347305	89.20202439160121	189.44304877671695	380.0185966952109	50.295413969584516	243.0517076055875	291.5553658965633	54.01801547612989	63.083517057159476	93.49700714842919	40.76233925086383	19.371348571311913	25.76482510574692	267.7303947991495	3500.0	29.743922815937456	0.0	258.6518851539376	177.0136884834806	152.6192003347305	89.20202439160121	189.44304877671695	380.0185966952109	50.295413969584516	243.0517076055875	291.5553658965633	54.01801547612989	63.083517057159476	93.49700714842919	40.76233925086383	19.371348571311913	25.76482510574692	267.7303947991495	3500.0	29.743922815937456	0.001	0.0	0.366	0.5	0.5	0.6163641279929664	0.38363587200703375	0.5	0.5	0.5	0.001	0.1	1.4017609065647188E-4	3.8342410583417195	-0.04351763537375537	-31895.79988292469	-1199.394378775646	-882.5555841001013
10000	-16728.57403503569	-2013.0630924183367	-14715.510942617353	4673.422756070397	4673.422756070397	41279.583861248924	0.0	16.203068902986306	84.87496817636189	206.0749225703152	310.8059758273977	1174.3767723396065	659.4681060625661	258.9830760769844	745.416166109973	530.0535799783556	196.7057119409836	456.7457628112544	321.55293054463584	165.0772571369799	191.0521140906618	146.47692861872721	825.1731690310751	3585.443761976661	148.99265667819137	0.0	16.203068902986306	84.87496817636189	206.0749225703152	310.8059758273977	1174.3767723396065	659.4681060625661	258.9830760769844	745.416166109973	530.0535799783556	196.7057119409836	456.7457628112544	321.55293054463584	165.0772571369799	191.0521140906618	146.47692861872721	825.1731690310751	3585.443761976661	148.99265667819137	0.0041229967806443585	0.0	0.366	7.963888476583978E-4	0.10114461429427561	0.6163641279929664	0.38363587200703375	0.5	0.5	0.783169581484095	0.0031661561526055604	0.021430486922008107	5.475959553116042E-4	2.3818869277956005	0.10841776631054854	-14715.510942617353	-1199.394378775646	-797.9034294611607
20000	-16512.71478832729	-2020.3051951305138	-14492.409593196773	4042.525288299601	4042.525288299601	45490.13815284984	0.0	93.28036271953131	200.91255839068708	296.4667361371324	343.28530819835794	661.776585919306	1232.729232723175	278.9497882993918	899.8033890880475	702.0418665484522	300.70480028355445	694.833147409292	357.01853324993243	174.64493120095838	237.70532355846498	251.44850747087702	1097.7825253563797	3713.399428138765	215.85786316257557	0.0	93.28036271953131	200.91255839068708	296.4667361371324	343.28530819835794	661.776585919306	1232.729232723175	278.9497882993918	899.8033890880475	702.0418665484522	300.70480028355445	694.833147409292	357.01853324993243	174.64493120095838	237.70532355846498	251.44850747087702	1097.7825253563797	3713.399428138765	215.85786316257557	0.0030465191883222815	0.0	0.366	7.373248217282139E-4	0.15656682903644853	0.6163641279929664	0.38363587200703375	0.5	0.5	0.7055512449503858	0.002124771510928027	0.012396823862209222	4.222419180094316E-4	2.3445936248236343	0.08982319789220841	-14492.409593196773	-1199.394378775646	-803.3005042667337
30000	-16383.700674030526	-2022.0060128026332	-14361.694661227893	3531.5926237530075	3531.5926237530075	48456.27462319302	0.0	99.64046597593975	118.43159010779245	284.0729936386019	267.48379027481377	733.1085344668076	1077.2989143679945	441.36145132283366	1128.48571343555	846.0901166852517	317.7432407452456	615.6551433826777	437.4062964464864	348.38660154819553	286.61913680295214	342.18651465010913	852.5584341190852	3219.984659335656	268.18894582305506	0.0	99.64046597593975	118.43159010779245	284.0729936386019	267.48379027481377	733.1085344668076	1077.2989143679945	441.36145132283366	1128.48571343555	846.0901166852517	317.7432407452456	615.6551433826777	437.4062964464864	348.38660154819553	286.61913680295214	342.18651465010913	852.5584341190852	3219.984659335656	268.18894582305506	0.0032521453958104588	0.0	0.366	8.938692424065262E-4	0.12838929736184032	0.6163641279929664	0.38363587200703375	0.5	0.5	0.7087349560401713	0.0017578083361337693	0.009608307270339421	3.9279545297042E-4	2.313467114443416	0.12514603888847167	-14361.694661227893	-1199.394378775646	-803.587481276847
40000	-16296.393077023025	-2031.2431188051246	-14265.1499582179	3501.0313181961355	3501.0313181961355	54531.53432615025	0.0	70.93106093927895	177.30107078340495	224.3830925850983	405.60022201864945	862.7140983986478	878.6122130764538	480.64280581747073	692.3115960437328	943.0358895253923	392.382839491049	786.1463401068263	547.5799817113403	292.74848165337687	341.0810194468876	288.70364803503895	854.1447315788537	3482.251016723513	390.5482013155673	0.0	70.93106093927895	177.30107078340495	224.3830925850983	405.60022201864945	862.7140983986478	878.6122130764538	480.64280581747073	692.3115960437328	943.0358895253923	392.382839491049	786.1463401068263	547.5799817113403	292.74848165337687	341.0810194468876	288.70364803503895	854.1447315788537	3482.251016723513	390.5482013155673	0.0030818485679749244	0.0	0.366	0.0010763581177753864	0.12620355917030124	0.6163641279929664	0.38363587200703375	0.5	0.5	0.7910024386369059	0.0013619693003423053	0.007129569491189902	3.1677144726367936E-4	2.2101787355105103	0.1340276696277993	-14265.1499582179	-1199.394378775646	-812.7443554414637
50000	-16304.37623219147	-2067.4918358965992	-14236.88439629487	4054.028227215401	4054.028227215401	80001.640843986	0.0	247.17904969336448	730.7835661028348	365.103125267526	442.18279616299003	1129.3607515406698	766.4793180872664	894.6121594173384	1066.570941636958	1457.496416404107	576.1025102378321	1388.7489927568854	885.5689334183667	221.67371309500047	653.4262984104756	681.3355136606166	1132.2024792069608	3265.061934238568	553.130507751662	0.0	247.17904969336448	730.7835661028348	365.103125267526	442.18279616299003	1129.3607515406698	766.4793180872664	894.6121594173384	1066.570941636958	1457.496416404107	576.1025102378321	1388.7489927568854	885.5689334183667	221.67371309500047	653.4262984104756	681.3355136606166	1132.2024792069608	3265.061934238568	553.130507751662	0.002070781492988128	0.0	0.366	0.0012918449792027806	0.17744035566986896	0.6163641279929664	0.38363587200703375	0.5	0.5	0.7037287224477966	9.668175938709429E-4	0.006327665108623828	2.2189770418156674E-4	2.3188356463118436	0.1024218446892539	-14236.88439629487	-1199.394378775646	-850.9917145053437
60000	-16293.603464550422	-2099.451436770915	-14194.152027779508	5326.9111910738775	5326.9111910738775	108049.33069818321	0.0	125.7027521257738	541.8181758062346	669.7556628429008	328.68373393949724	2173.8273734258614	1006.2151235004087	1202.3126165435892	1403.6412492916952	1705.3838698404422	925.4938997410316	1182.279613453565	1196.4118583335933	345.76825390809347	684.7838616990065	962.7158576466222	1792.4154303579098	3909.5644927347394	748.9180307702719	0.0	125.7027521257738	541.8181758062346	669.7556628429008	328.68373393949724	2173.8273734258614	1006.2151235004087	1202.3126165435892	1403.6412492916952	1705.3838698404422	925.4938997410316	1182.279613453565	1196.4118583335933	345.76825390809347	684.7838616990065	962.7158576466222	1792.4154303579098	3909.5644927347394	748.9180307702719	0.0019359535118237579	0.0	0.366	0.0026726103569308596	0.13795252750758494	0.6163641279929664	0.38363587200703375	0.5	0.5	0.836689980040109	5.69980387392932E-4	0.002867290529739381	1.6096347888874417E-4	2.1982413922712563	0.13577069636867165	-14194.152027779508	-1199.394378775646	-885.3684304341741
70000	-16258.55371315578	-2101.8146479061706	-14156.739065249609	5272.839821274339	5272.839821274339	113465.95937262064	0.0	131.74377045794282	1052.1139022411999	838.3303153057908	356.70149705367487	2917.3488842238294	1019.4630148291081	1049.2245728491885	1671.81229002357	2077.0141336261245	940.8418873230969	1805.7685359410348	1533.4871527820867	546.2746840498222	491.0505917935321	861.6117292217751	1825.4017290637898	3064.3262548506477	820.9371177867489	0.0	131.74377045794282	1052.1139022411999	838.3303153057908	356.70149705367487	2917.3488842238294	1019.4630148291081	1049.2245728491885	1671.81229002357	2077.0141336261245	940.8418873230969	1805.7685359410348	1533.4871527820867	546.2746840498222	491.0505917935321	861.6117292217751	1825.4017290637898	3064.3262548506477	820.9371177867489	0.001522019799052176	0.0	0.366	0.004182180871077842	0.1339189793080798	0.6163641279929664	0.38363587200703375	0.5	0.5	0.8500080244408238	4.410881593952309E-4	0.001852164753276132	1.4346783588471804E-4	2.0282879067706565	0.17780876527115086	-14156.739065249609	-1199.394378775646	-887.593051810784
80000	-16267.383591229327	-2128.3156558207593	-14139.067935408568	6473.13824157312	6473.13824157312	145387.77387519382	0.0	157.7691113746086	1389.4877073850532	664.0400746343216	722.8623751136258	3799.640872083123	1333.2480974057382	1386.9329857624198	2462.051072104314	2349.576458178716	1213.8321533698252	1847.6384121673225	1930.505783442604	806.414354431454	469.941278989336	1468.7411715880805	2376.868621952653	3750.171959826977	1037.9573241600729	0.0	157.7691113746086	1389.4877073850532	664.0400746343216	722.8623751136258	3799.640872083123	1333.2480974057382	1386.9329857624198	2462.051072104314	2349.576458178716	1213.8321533698252	1847.6384121673225	1930.505783442604	806.414354431454	469.941278989336	1468.7411715880805	2376.868621952653	3750.171959826977	1037.9573241600729	0.001349835781167843	0.0	0.366	0.0010245283678462773	0.146913514805996	0.6163641279929664	0.38363587200703375	0.5	0.5	0.8398652767800382	2.885095064365956E-4	0.0011400422929443807	1.0930516941699673E-4	1.9814880847993883	0.16822332901426865	-14139.067935408568	-1199.394378775646	-914.6115888365762
90000	-16287.357654775054	-2142.6875800367725	-14144.670074738282	6349.974326798683	6349.974326798683	167205.61646316497	0.0	391.63264229750456	540.1064454600008	1920.030271079278	257.57586553745654	4788.932096823159	1471.6948031506083	1239.0741073527581	3010.1500583649054	2376.1193283543057	1106.2579834879969	2826.3467350046762	2249.6951933662954	1220.3161268699719	572.935299366733	1427.8964996878235	2818.230774328425	3469.0449454377217	1366.0273396810437	0.0	391.63264229750456	540.1064454600008	1920.030271079278	257.57586553745654	4788.932096823159	1471.6948031506083	1239.0741073527581	3010.1500583649054	2376.1193283543057	1106.2579834879969	2826.3467350046762	2249.6951933662954	1220.3161268699719	572.935299366733	1427.8964996878235	2818.230774328425	3469.0449454377217	1366.0273396810437	9.351484025938165E-4	0.0	0.366	2.0301940307394445E-4	0.15999480454265932	0.6163641279929664	0.38363587200703375	0.5	0.5	0.8556668499825268	2.2451908294682173E-4	8.681944150333139E-4	9.633196482216861E-5	1.8378742839247793	0.21798327618775404	-14144.670074738282	-1199.394378775646	-929.4525992424034
