# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jul 25 08:47:50 AEST 2020 [seed=1595613551895]
# -threads 8 xml/biphone_binary_CMGR_2020-07-23_ch2.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-14008.347591234986	-16166.867295980352	-2158.519704745366	1.0	-16166.867295980352
60000	-13985.417934881005	-16144.988803616998	-2159.5708687359925	1.0	-16144.988803616998
70000	-13988.564712090107	-16150.805444972217	-2162.2407328821105	1.0	-16150.805444972217
80000	-13993.526028449396	-16137.174989676896	-2143.6489612275	1.0	-16137.174989676896
90000	-13986.11195560063	-16133.035282784454	-2146.923327183823	1.0	-16133.035282784454
100000	-14013.44447797896	-16164.97173666437	-2151.5272586854126	1.0	-16164.97173666437
110000	-14014.140108552692	-16171.336323355517	-2157.196214802824	1.0	-16171.336323355517
120000	-14009.247701931077	-16187.804373129677	-2178.556671198599	1.0	-16187.804373129677
130000	-14001.889720355985	-16171.225327452594	-2169.335607096609	1.0	-16171.225327452594
140000	-13992.340284003614	-16145.299460961105	-2152.9591769574904	1.0	-16145.299460961105
150000	-14004.335309128091	-16157.219776100377	-2152.8844669722866	1.0	-16157.219776100377
160000	-13991.891210790665	-16161.228728904725	-2169.3375181140605	1.0	-16161.228728904725
170000	-13996.4570276739	-16144.722449377085	-2148.265421703184	1.0	-16144.722449377085
180000	-13988.58369884454	-16148.326796280613	-2159.7430974360723	1.0	-16148.326796280613
190000	-13990.282101357536	-16154.653646718272	-2164.371545360736	1.0	-16154.653646718272
200000	-14007.726014821781	-16176.935557607736	-2169.209542785955	1.0	-16176.935557607736
210000	-14009.350514889215	-16161.837480238099	-2152.4869653488836	1.0	-16161.837480238099
220000	-14004.986419479108	-16153.818540832584	-2148.832121353477	1.0	-16153.818540832584
230000	-13994.126564102166	-16154.248393795824	-2160.1218296936586	1.0	-16154.248393795824
240000	-13992.106911298119	-16152.545168201917	-2160.438256903799	1.0	-16152.545168201917
250000	-13998.699811654926	-16140.857744851672	-2142.1579331967455	1.0	-16140.857744851672
260000	-13991.895333407532	-16146.43841811894	-2154.543084711408	1.0	-16146.43841811894
270000	-13979.667885932677	-16133.453628219462	-2153.785742286785	1.0	-16133.453628219462
280000	-13984.543290158597	-16131.121437082269	-2146.578146923672	1.0	-16131.121437082269
290000	-13973.736063089824	-16161.949652459307	-2188.2135893694835	1.0	-16161.949652459307
300000	-13993.51957470835	-16160.072690875792	-2166.553116167441	1.0	-16160.072690875792
310000	-13999.08321214137	-16152.353611740553	-2153.2703995991833	1.0	-16152.353611740553
320000	-13990.961680259032	-16144.041701711882	-2153.080021452851	1.0	-16144.041701711882
330000	-13985.84886286973	-16144.775755543087	-2158.9268926733575	1.0	-16144.775755543087
340000	-14022.328925638158	-16203.937593362789	-2181.6086677246317	1.0	-16203.937593362789
350000	-14001.777683127839	-16176.40244871911	-2174.624765591272	1.0	-16176.40244871911
360000	-13993.451078060347	-16172.784214051431	-2179.333135991084	1.0	-16172.784214051431
370000	-13994.741889121338	-16144.824691910053	-2150.082802788714	1.0	-16144.824691910053
380000	-13994.664269523844	-16151.69316493503	-2157.0288954111866	1.0	-16151.69316493503
390000	-14015.499586243199	-16158.712584970732	-2143.212998727533	1.0	-16158.712584970732
400000	-13991.33530418855	-16138.03359720176	-2146.69829301321	1.0	-16138.03359720176
410000	-13995.179356859742	-16156.446459051924	-2161.2671021921824	1.0	-16156.446459051924
420000	-14000.655834649267	-16149.339199213318	-2148.6833645640518	1.0	-16149.339199213318
430000	-13991.605564594218	-16149.357576381779	-2157.752011787561	1.0	-16149.357576381779
440000	-13983.637112521346	-16150.614527761249	-2166.9774152399027	1.0	-16150.614527761249
450000	-13974.617551274656	-16138.225738398723	-2163.608187124068	1.0	-16138.225738398723
460000	-13996.178202651754	-16152.158477054778	-2155.980274403024	1.0	-16152.158477054778
470000	-13996.969987611279	-16157.035674046778	-2160.065686435499	1.0	-16157.035674046778
480000	-14001.204968089425	-16134.959658043088	-2133.754689953663	1.0	-16134.959658043088
490000	-14008.214088351488	-16151.355449293897	-2143.141360942409	1.0	-16151.355449293897
500000	-14003.266584280726	-16152.11770952502	-2148.851125244295	1.0	-16152.11770952502
510000	-14013.818024908753	-16163.73922602498	-2149.921201116228	1.0	-16163.73922602498
520000	-14025.321769504455	-16180.094642253396	-2154.7728727489402	1.0	-16180.094642253396
530000	-14010.212201101234	-16175.228122612718	-2165.0159215114836	1.0	-16175.228122612718
540000	-13990.663361250772	-16152.564124784367	-2161.900763533595	1.0	-16152.564124784367
550000	-13982.602132313568	-16143.539435792023	-2160.937303478455	0.9348750848354606	-15232.923658145593
560000	-14013.47803020313	-16179.339213373953	-2165.8611831708226	0.9348750848354606	-15266.712645496837
570000	-14015.285335570068	-16193.523367080314	-2178.238031510246	0.9348750848354606	-15280.7790985945
580000	-14020.310798783692	-16198.89801160152	-2178.5872128178275	0.9348750848354606	-15285.826460250255
590000	-14005.352984627716	-16165.54116338985	-2160.1881787621337	0.9348750848354606	-15253.44373841654
600000	-13995.067704325957	-16167.867086538197	-2172.79938221224	0.9348750848354606	-15256.439489571983
610000	-13989.314925454471	-16151.325709403425	-2162.0107839489533	0.9348750848354606	-15240.272761673179
620000	-14007.127531863338	-16163.991639012318	-2156.8641071489797	0.9348750848354606	-15251.778646800833
630000	-13994.915644346022	-16156.90034080389	-2161.9846964578683	0.9348750848354606	-15245.482646730969
640000	-14000.786975259442	-16152.95600751108	-2152.1690322516383	0.9348750848354606	-15241.15594351052
