PathParameter	MeanPathLikelihood	MLContribution
0.0000	-31428	21.522
2.1715e-06	1.9853e+07	394.38
2.1888e-05	2.0152e+07	1263.0
8.4561e-05	2.0152e+07	2741.8
0.00022061	2.0152e+07	4908.1
0.00046416	2.0153e+07	7822.7
0.00085232	2.0153e+07	11538
0.0014248	2.0153e+07	9192.4
0.0022237	2.8613e+06	1520.1
0.0032929	-17893	-24.603
0.0046784	-17620	-30.509
0.0064280	-17255	-36.682
0.0085909	-16665	-43.829
0.011218	-16703	-52.057
0.014361	-16418	-60.791
0.018075	-16324	-70.777
0.022413	-16305	-81.589
0.027432	-16205	-93.019
0.033190	-16106	-105.21
0.039745	-15996	-117.91
0.047156	-15825	-131.22
0.055484	-15688	-145.31
0.064790	-15540	-160.10
0.075138	-15404	-175.77
0.086591	-15291	-192.21
0.099213	-15165	-209.68
0.11307	-15098	-228.01
0.12823	-14986	-246.99
0.14475	-14905	-267.12
0.16271	-14838	-288.18
0.18218	-14769	-310.23
0.20322	-14718	-333.41
0.22591	-14675	-357.66
0.25031	-14639	-382.70
0.27650	-14587	-408.71
0.30455	-14555	-436.08
0.33454	-14533	-464.47
0.36653	-14504	-493.85
0.40060	-14483	-524.40
0.43683	-14464	-555.97
0.47530	-14443	-588.70
0.51608	-14432	-622.56
0.55924	-14414	-657.46
0.60487	-14403	-693.56
0.65304	-14391	-730.68
0.70384	-14378	-769.00
0.75734	-14369	-808.52
0.81363	-14360	-849.20
0.87278	-14353	-891.06
0.93488	-14346	-934.16
1.0000	-14342	

log marginal likelihood (using path sampling) from pathLikelihood.delta = 24827.640106889532

Inner area for path parameter in (2.1715e-06,0.93488) = 24806
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-17875	-0.068080
2.1715e-06	2.0561e+07	404.59
2.1888e-05	2.0561e+07	1287.8
8.4561e-05	2.0561e+07	2796.5
0.00022061	2.0561e+07	5006.5
0.00046416	2.0561e+07	7979.9
0.00085232	2.0561e+07	11770
0.0014248	2.0561e+07	16423
0.0022237	1.9747e+07	21111
0.0032929	-16746	-24.614
0.0046784	-16468	-30.519
0.0064280	-16318	-36.794
0.0085909	-16222	-43.583
0.011218	-16149	-52.040
0.014361	-16088	-60.811
0.018075	-15994	-70.635
0.022413	-15996	-81.656
0.027432	-15916	-93.098
0.033190	-15689	-105.11
0.039745	-15560	-117.93
0.047156	-15522	-131.19
0.055484	-15405	-145.44
0.064790	-15255	-160.07
0.075138	-15168	-175.69
0.086591	-15057	-192.38
0.099213	-14975	-209.56
0.11307	-14904	-228.20
0.12823	-14831	-247.07
0.14475	-14746	-267.00
0.16271	-14708	-288.17
0.18218	-14664	-310.16
0.20322	-14575	-333.38
0.22591	-14592	-357.69
0.25031	-14534	-382.89
0.27650	-14510	-408.72
0.30455	-14463	-435.91
0.33454	-14473	-464.58
0.36653	-14441	-493.84
0.40060	-14430	-524.31
0.43683	-14418	-556.03
0.47530	-14391	-588.60
0.51608	-14388	-622.58
0.55924	-14375	-657.37
0.60487	-14367	-693.53
0.65304	-14357	-730.76
0.70384	-14337	-768.91
0.75734	-14339	-808.53
0.81363	-14332	-849.14
0.87278	-14328	-891.07
0.93488	-14321	-934.07
1.0000	-14325	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = 52205.74968355634
