# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Jul 24 22:01:28 AEST 2020 [seed=1595592087954]
# -threads 8 xml/biphone_binary_CMGS_2020-07-23_ch1.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	alpha	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-22455.743809655854	-904.3371695300648	-21551.406640125788	3577.604943417413	3577.604943417413	18390.051812010694	0.0	108.02007190240354	149.2706448654191	32.6597384862405	16.862967982457928	162.48545373153829	128.07950554720898	202.2128847934438	55.958908550986116	467.3253797357603	199.5016483567102	150.57165619364574	188.8632016258803	12.031047447887266	83.1490090581793	198.43049177423455	44.74591264030078	3500.0	121.40202161482931	0.0	108.02007190240354	149.2706448654191	32.6597384862405	16.862967982457928	162.48545373153829	128.07950554720898	202.2128847934438	55.958908550986116	467.3253797357603	199.5016483567102	150.57165619364574	188.8632016258803	12.031047447887266	83.1490090581793	198.43049177423455	44.74591264030078	3500.0	121.40202161482931	0.001	0.0	0.366	0.5	0.5	0.6163641279929664	0.38363587200703375	0.5	0.5	0.5	0.001	9.999999999999996E-4	-21551.406640125788	0.0	-882.5013630643978
10000	-15911.429530050245	-772.9927526769528	-15138.436777373292	4194.6288440474555	4194.6288440474555	28062.177085583877	0.0	41.63664345176681	164.76423587515174	175.48842448909596	71.28959058585299	112.06792421631859	129.2831641557448	128.7745689126842	136.76682666283122	288.49812276853083	176.5573285264665	291.9180177441914	360.7359015745428	132.94798399469045	146.30765966903832	189.52961366223232	196.57738639527733	4005.323801355353	199.09986253336754	0.0	41.63664345176681	164.76423587515174	175.48842448909596	71.28959058585299	112.06792421631859	129.2831641557448	128.7745689126842	136.76682666283122	288.49812276853083	176.5573285264665	291.9180177441914	360.7359015745428	132.94798399469045	146.30765966903832	189.52961366223232	196.57738639527733	4005.323801355353	199.09986253336754	0.006689218956408379	0.0	0.366	0.0039798043672369145	0.14895881347968748	0.6163641279929664	0.38363587200703375	0.5	0.5	0.5134516737638123	0.0010074881507468288	0.001007488150746829	-15138.436777373292	0.0	-753.8119970398507
20000	-15477.933936479347	-821.7074750892999	-14656.226461390046	4123.014483817855	4123.014483817855	52747.55716212532	0.0	13.331146688626674	552.2103490858618	449.48522452851324	128.74310423673217	307.9599730882284	217.17871929317567	232.4826259095068	351.79250255468025	502.56223561782275	380.8714960934838	619.107856745167	1122.7092938386447	332.16046663146705	171.53446667324087	362.50164165468607	521.8526391863903	3894.090137095355	590.6409609510079	0.0	13.331146688626674	552.2103490858618	449.48522452851324	128.74310423673217	307.9599730882284	217.17871929317567	232.4826259095068	351.79250255468025	502.56223561782275	380.8714960934838	619.107856745167	1122.7092938386447	332.16046663146705	171.53446667324087	362.50164165468607	521.8526391863903	3894.090137095355	590.6409609510079	0.0037634884005934765	0.0	0.366	0.001431044439678577	0.18441994558020205	0.6163641279929664	0.38363587200703375	0.5	0.5	0.6449111184631215	2.968876021017886E-4	2.968876021017888E-4	-14656.226461390046	0.0	-802.0306287161243
30000	-15371.884828073209	-930.8513586887019	-14441.033469384507	5372.079584183191	5372.079584183191	157251.04792963172	0.0	65.23606474452532	1445.232804366962	1648.068581474916	401.90563102524925	1118.0226931506347	580.7095957484506	920.4040284433846	1841.5336672400092	1413.286699064594	1008.2502622467366	2250.425436239344	3474.216949114481	940.2347229129451	744.6122599068167	1695.1840355653326	1464.844901495137	4343.645179454693	1861.5942292607488	0.0	65.23606474452532	1445.232804366962	1648.068581474916	401.90563102524925	1118.0226931506347	580.7095957484506	920.4040284433846	1841.5336672400092	1413.286699064594	1008.2502622467366	2250.425436239344	3474.216949114481	940.2347229129451	744.6122599068167	1695.1840355653326	1464.844901495137	4343.645179454693	1861.5942292607488	0.0013174223056086967	0.0	0.366	0.001944487325983424	0.14125310168901437	0.6163641279929664	0.38363587200703375	0.5	0.5	0.785409856286722	9.233779792752881E-5	9.233779792752873E-5	-14441.033469384507	0.0	-912.7520039436093
40000	-15318.524770162412	-951.5025802042217	-14367.02218995819	6310.34488307338	6310.34488307338	197108.8068074307	0.0	83.41779873273914	1868.308899395928	1579.775574176387	704.4752281988716	1108.246965745703	788.4938718308468	1183.0713562819076	1824.8824636173672	2067.6406656376826	1177.2290316220333	3157.7031244472555	4245.420654292505	1219.5147081875489	1065.90628034994	2328.5107176765123	1668.5431599400558	3078.3378925094216	2712.911481765237	0.0	83.41779873273914	1868.308899395928	1579.775574176387	704.4752281988716	1108.246965745703	788.4938718308468	1183.0713562819076	1824.8824636173672	2067.6406656376826	1177.2290316220333	3157.7031244472555	4245.420654292505	1219.5147081875489	1065.90628034994	2328.5107176765123	1668.5431599400558	3078.3378925094216	2712.911481765237	8.94114958493314E-4	0.0	0.366	0.009714911773750912	0.1996661312671447	0.6163641279929664	0.38363587200703375	0.5	0.5	1.0738535830081044	7.134954265748466E-5	7.134954265748471E-5	-14367.02218995819	0.0	-933.0857232698733
50000	-15319.972171175854	-965.2612984522449	-14354.710872723608	6883.482681450951	6883.482681450951	222911.26693131667	0.0	267.453497212417	2476.8255892302564	1725.3453098600307	646.3207502444577	1365.4374082365125	1107.6821817920272	1309.1707461054925	3358.3599752818873	2199.466250386276	1383.0329464819797	3409.1087760631904	4728.4682606636825	1602.1639178170778	1243.4254810062519	2488.286852168243	1998.4361610606056	3449.3197957689863	2959.5303427833687	0.0	267.453497212417	2476.8255892302564	1725.3453098600307	646.3207502444577	1365.4374082365125	1107.6821817920272	1309.1707461054925	3358.3599752818873	2199.466250386276	1383.0329464819797	3409.1087760631904	4728.4682606636825	1602.1639178170778	1243.4254810062519	2488.286852168243	1998.4361610606056	3449.3197957689863	2959.5303427833687	7.581208031228026E-4	0.0	0.366	0.0012279336504640351	0.18474027254635983	0.6163641279929664	0.38363587200703375	0.5	0.5	1.0358680802653808	5.775341972331703E-5	5.7753419723317E-5	-14354.710872723608	0.0	-946.8422776250178
60000	-15320.726364635813	-972.0103844767642	-14348.71598015905	7304.154736104438	7304.154736104438	235932.7963861056	0.0	258.8514874275021	2183.962371624886	1530.0507317535476	979.9379206323815	1132.4226865825187	1098.5298057138884	1135.9072599630592	2950.5303460415153	2419.6783576344274	1380.157715750345	3702.467841490151	5267.0576957775575	1440.0177837406047	1433.2609458759605	2206.1145283170927	2364.8405391295573	3137.0961994703885	3440.64570096947	0.0	258.8514874275021	2183.962371624886	1530.0507317535476	979.9379206323815	1132.4226865825187	1098.5298057138884	1135.9072599630592	2950.5303460415153	2419.6783576344274	1380.157715750345	3702.467841490151	5267.0576957775575	1440.0177837406047	1433.2609458759605	2206.1145283170927	2364.8405391295573	3137.0961994703885	3440.64570096947	7.146807741345147E-4	0.0	0.366	0.0012137735042112557	0.22411312083333604	0.6163641279929664	0.38363587200703375	0.5	0.5	0.8722425599336672	5.399455099582918E-5	5.399455099582923E-5	-14348.71598015905	0.0	-952.3853419553013
70000	-15339.636246146913	-990.1681097004184	-14349.468136446494	7854.882587430723	7854.882587430723	275237.87871542864	0.0	309.89490324401464	2357.125082254894	2083.816464439554	722.9792611283923	1502.561701987887	1315.7180405914432	1568.9466516712923	2820.259457595227	2334.103966276034	1884.5270496845837	4476.509216379984	6166.579407087937	2144.3785721244517	1444.4271773578046	3312.5308805753157	2468.2809050814367	3227.022646396063	3690.1815865142544	0.0	309.89490324401464	2357.125082254894	2083.816464439554	722.9792611283923	1502.561701987887	1315.7180405914432	1568.9466516712923	2820.259457595227	2334.103966276034	1884.5270496845837	4476.509216379984	6166.579407087937	2144.3785721244517	1444.4271773578046	3312.5308805753157	2468.2809050814367	3227.022646396063	3690.1815865142544	6.194055745974425E-4	0.0	0.366	0.007142721304964307	0.19094534671565372	0.6163641279929664	0.38363587200703375	0.5	0.5	1.0791920231633927	4.2294049562732857E-5	4.229404956273284E-5	-14349.468136446494	0.0	-968.6901634592501
80000	-15316.466864727267	-964.930697906209	-14351.536166821057	6142.32399700305	6142.32399700305	227708.08245016518	0.0	246.7728944015812	2124.274611346997	2087.1215854013335	1037.3842419449816	1505.8917575308446	1086.641987094637	1283.6928820721482	3049.4984961200485	2048.730562466374	1332.3758333328396	3576.757675479641	5016.761470198061	1670.3291520155692	1185.6020610717876	2278.776624155194	2337.6690996053208	3062.995640401611	2603.346775242157	0.0	246.7728944015812	2124.274611346997	2087.1215854013335	1037.3842419449816	1505.8917575308446	1086.641987094637	1283.6928820721482	3049.4984961200485	2048.730562466374	1332.3758333328396	3576.757675479641	5016.761470198061	1670.3291520155692	1185.6020610717876	2278.776624155194	2337.6690996053208	3062.995640401611	2603.346775242157	7.811268899353033E-4	0.0	0.366	0.006559044403622528	0.18894269706880853	0.6163641279929664	0.38363587200703375	0.5	0.5	1.052604551499546	5.842612859542267E-5	5.842612859542271E-5	-14351.536166821057	0.0	-946.5718831809181
90000	-15319.416329195426	-975.1052580160756	-14344.31107117935	7074.800184098139	7074.800184098139	248974.30964065526	0.0	306.632567940822	2535.009934873724	2442.531142660219	845.5544372606	1496.1862499981805	999.9117850783882	1357.497286070788	3036.6506723703405	2054.7556311265307	1623.8213484668008	3649.270395557328	5244.0962493565075	1899.6762468339248	1535.716530205693	2841.882145529545	2225.761591484301	3329.7041834759125	2413.669526144879	0.0	306.632567940822	2535.009934873724	2442.531142660219	845.5544372606	1496.1862499981805	999.9117850783882	1357.497286070788	3036.6506723703405	2054.7556311265307	1623.8213484668008	3649.270395557328	5244.0962493565075	1899.6762468339248	1535.716530205693	2841.882145529545	2225.761591484301	3329.7041834759125	2413.669526144879	6.907613123371414E-4	0.0	0.366	0.0011000171697503744	0.2119266397548596	0.6163641279929664	0.38363587200703375	0.5	0.5	0.9495388944917542	5.022254018676153E-5	5.02225401867615E-5	-14344.31107117935	0.0	-956.3228471532391
