PathParameter	MeanPathLikelihood	MLContribution
0.0000	-29143	20.937
2.1715e-06	1.9312e+07	385.03
2.1888e-05	1.9745e+07	1237.5
8.4561e-05	1.9745e+07	2686.4
0.00022061	1.9746e+07	4809.0
0.00046416	1.9746e+07	7664.7
0.00085232	1.9746e+07	11305
0.0014248	1.9746e+07	9737.7
0.0022237	4.6335e+06	2467.5
0.0032929	-17898	-24.637
0.0046784	-17665	-30.732
0.0064280	-17467	-36.911
0.0085909	-16665	-43.742
0.011218	-16636	-51.978
0.014361	-16435	-60.841
0.018075	-16333	-70.769
0.022413	-16292	-81.525
0.027432	-16192	-93.015
0.033190	-16117	-105.21
0.039745	-15987	-117.96
0.047156	-15846	-131.37
0.055484	-15702	-145.25
0.064790	-15512	-159.96
0.075138	-15405	-175.84
0.086591	-15303	-192.39
0.099213	-15181	-209.72
0.11307	-15089	-227.93
0.12823	-14985	-246.93
0.14475	-14899	-266.99
0.16271	-14829	-288.04
0.18218	-14764	-310.20
0.20322	-14721	-333.45
0.22591	-14676	-357.59
0.25031	-14632	-382.57
0.27650	-14583	-408.68
0.30455	-14556	-436.09
0.33454	-14532	-464.44
0.36653	-14503	-493.89
0.40060	-14486	-524.39
0.43683	-14461	-555.90
0.47530	-14443	-588.76
0.51608	-14435	-622.56
0.55924	-14411	-657.37
0.60487	-14402	-693.43
0.65304	-14386	-730.59
0.70384	-14378	-768.94
0.75734	-14367	-808.45
0.81363	-14360	-849.17
0.87278	-14352	-890.97
0.93488	-14344	-934.10
1.0000	-14342	

log marginal likelihood (using path sampling) from pathLikelihood.delta = 25740.24938129109

Inner area for path parameter in (2.1715e-06,0.93488) = 25719
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-17875	-0.063096
2.1715e-06	1.9747e+07	389.00
2.1888e-05	1.9747e+07	1237.5
8.4561e-05	1.9747e+07	2686.4
0.00022061	1.9747e+07	4809.0
0.00046416	1.9747e+07	7664.7
0.00085232	1.9747e+07	11305
0.0014248	1.9747e+07	15774
0.0022237	1.9747e+07	21111
0.0032929	-16872	-24.600
0.0046784	-16737	-30.657
0.0064280	-16475	-37.437
0.0085909	-16257	-43.591
0.011218	-16149	-51.914
0.014361	-16115	-60.872
0.018075	-15994	-70.675
0.022413	-16066	-81.613
0.027432	-15916	-93.017
0.033190	-15890	-105.36
0.039745	-15708	-117.98
0.047156	-15607	-131.50
0.055484	-15405	-145.47
0.064790	-15298	-159.92
0.075138	-15168	-175.57
0.086591	-15118	-192.60
0.099213	-14989	-209.71
0.11307	-14904	-228.05
0.12823	-14851	-247.21
0.14475	-14746	-266.87
0.16271	-14708	-288.02
0.18218	-14667	-310.04
0.20322	-14575	-333.30
0.22591	-14610	-357.83
0.25031	-14534	-382.68
0.27650	-14510	-408.58
0.30455	-14463	-435.90
0.33454	-14475	-464.58
0.36653	-14441	-493.89
0.40060	-14430	-524.38
0.43683	-14418	-555.90
0.47530	-14391	-588.56
0.51608	-14388	-622.60
0.55924	-14375	-657.21
0.60487	-14368	-693.53
0.65304	-14357	-730.59
0.70384	-14341	-768.89
0.75734	-14339	-808.38
0.81363	-14332	-849.13
0.87278	-14334	-891.04
0.93488	-14321	-934.02
1.0000	-14325	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = 50403.095146702544
