PathParameter	MeanPathLikelihood	MLContribution
0.0000	-38054	10.535
2.1715e-06	9.7413e+06	198.75
2.1888e-05	1.0420e+07	653.05
8.4561e-05	1.0420e+07	1417.7
0.00022061	1.0420e+07	2538.5
0.00046416	1.0426e+07	4047.6
0.00085232	1.0429e+07	4328.5
0.0014248	4.6918e+06	1866.9
0.0022237	-17799	-18.874
0.0032929	-17506	-23.989
0.0046784	-17122	-29.858
0.0064280	-17010	-36.650
0.0085909	-16880	-44.281
0.011218	-16832	-52.810
0.014361	-16769	-62.120
0.018075	-16688	-72.233
0.022413	-16612	-83.073
0.027432	-16489	-94.176
0.033190	-16224	-105.69
0.039745	-16026	-118.13
0.047156	-15854	-131.54
0.055484	-15737	-145.81
0.064790	-15598	-160.69
0.075138	-15461	-176.55
0.086591	-15371	-193.34
0.099213	-15264	-210.75
0.11307	-15154	-228.93
0.12823	-15053	-248.09
0.14475	-14973	-267.91
0.16271	-14858	-288.41
0.18218	-14772	-310.09
0.20322	-14703	-332.60
0.22591	-14619	-355.99
0.25031	-14558	-380.78
0.27650	-14520	-406.67
0.30455	-14475	-433.35
0.33454	-14430	-461.04
0.36653	-14393	-489.99
0.40060	-14368	-520.00
0.43683	-14336	-550.90
0.47530	-14307	-582.95
0.51608	-14285	-616.21
0.55924	-14267	-650.64
0.60487	-14251	-685.96
0.65304	-14227	-722.30
0.70384	-14211	-759.96
0.75734	-14198	-798.73
0.81363	-14184	-838.35
0.87278	-14163	-878.92
0.93488	-14145	-920.99
1.0000	-14139	

log marginal likelihood (using path sampling) from pathLikelihood.delta = 571.0633680707624

Inner area for path parameter in (2.1715e-06,0.93488) = 560.53
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-30421	-0.082635
2.1715e-06	2.0879e+07	409.96
2.1888e-05	2.0879e+07	1307.8
8.4561e-05	2.0879e+07	2839.8
0.00022061	2.0879e+07	5084.1
0.00046416	2.0879e+07	8103.6
0.00085232	2.0879e+07	11952
0.0014248	2.0879e+07	16677
0.0022237	-16782	-18.819
0.0032929	-16726	-24.039
0.0046784	-16590	-29.832
0.0064280	-16523	-36.699
0.0085909	-16431	-44.249
0.011218	-16557	-52.786
0.014361	-16457	-62.156
0.018075	-16345	-72.206
0.022413	-16287	-83.196
0.027432	-16087	-94.414
0.033190	-15760	-105.65
0.039745	-15717	-118.22
0.047156	-15589	-131.60
0.055484	-15505	-145.93
0.064790	-15335	-160.75
0.075138	-15167	-176.31
0.086591	-15141	-193.33
0.099213	-15081	-210.92
0.11307	-14937	-228.76
0.12823	-14895	-248.14
0.14475	-14812	-267.93
0.16271	-14722	-288.49
0.18218	-14627	-309.99
0.20322	-14588	-332.86
0.22591	-14507	-356.21
0.25031	-14464	-380.71
0.27650	-14406	-406.55
0.30455	-14382	-433.31
0.33454	-14341	-461.02
0.36653	-14322	-490.01
0.40060	-14316	-520.11
0.43683	-14268	-550.97
0.47530	-14251	-582.96
0.51608	-14220	-616.08
0.55924	-14214	-650.59
0.60487	-14207	-686.18
0.65304	-14182	-722.33
0.70384	-14171	-759.90
0.75734	-14158	-798.72
0.81363	-14149	-838.53
0.87278	-14134	-879.02
0.93488	-14115	-920.80
1.0000	-14100	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = 31882.857361226852
