# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Jul 24 22:22:19 AEST 2020 [seed=1595593337837]
# -threads 8 xml/biphone_binary_CMHR_2020-07-23_ch1.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
0	-39549.61023370078	-2102.6485820595467	-37446.961651641235	3658.5315260567595	3658.5315260567595	17382.879900667092	0.0	0.6501135589622757	76.20126772925406	241.10633669971128	8.662235025283927	71.94488568989395	126.45463224805187	94.66713114468168	225.0557450707946	223.48984625331084	52.81539082609199	102.84105683128155	92.26780191851591	67.62715250549579	268.09348851904787	15.370650118851396	215.2770914632183	3500.0	138.79528998546385	0.0	0.6501135589622757	76.20126772925406	241.10633669971128	8.662235025283927	71.94488568989395	126.45463224805187	94.66713114468168	225.0557450707946	223.48984625331084	52.81539082609199	102.84105683128155	92.26780191851591	67.62715250549579	268.09348851904787	15.370650118851396	215.2770914632183	3500.0	138.79528998546385	0.001	0.0	0.366	0.5	0.5	0.6163641279929664	0.38363587200703375	0.5	0.5	0.001	0.1	0.011169571059890823	6.2643442910630425	0.08029728318160952	-37446.961651641235	-1199.394378775646	-882.8745967853775
10000	-17272.396133769842	-1979.8965020997805	-15292.499631670062	3973.491779202131	3973.491779202131	23727.791308182692	0.0	9.001296314087936	86.75149595592329	87.73869583573217	10.623995193307845	77.19286970338712	103.59357111788891	44.11653122813227	401.12380889796475	152.32682650555265	94.32790255375073	142.79018204602153	85.7084325639804	52.49493855374755	225.44299137053898	47.074740745324505	143.85232480428292	3973.0781814932725	103.43417528607887	0.0	9.001296314087936	86.75149595592329	87.73869583573217	10.623995193307845	77.19286970338712	103.59357111788891	44.11653122813227	401.12380889796475	152.32682650555265	94.32790255375073	142.79018204602153	85.7084325639804	52.49493855374755	225.44299137053898	47.074740745324505	143.85232480428292	3973.0781814932725	103.43417528607887	0.005891688547814227	0.0	0.366	1.5775957808149128E-4	0.10854621995608672	0.6163641279929664	0.38363587200703375	0.5	0.5	0.005787339719845687	0.036620184846512235	8.761892680965614E-4	3.1655265696223176	0.07483776626663552	-15292.499631670062	-1199.394378775646	-762.756554652359
20000	-16759.523204366797	-1983.80078860966	-14775.722415757136	4283.450482253938	4283.450482253938	31071.810150441735	0.0	33.95765100986942	155.3459818847017	94.49128196797248	91.51543083312228	232.6516712099899	233.98661901289165	65.1481114568805	565.3404652440736	346.46319503890425	177.08771979072452	280.47191770753244	248.84537583891753	180.3623586124756	325.8139526704595	95.14184171050324	432.16295166951403	4107.023753326791	173.71370029959476	0.0	33.95765100986942	155.3459818847017	94.49128196797248	91.51543083312228	232.6516712099899	233.98661901289165	65.1481114568805	565.3404652440736	346.46319503890425	177.08771979072452	280.47191770753244	248.84537583891753	180.3623586124756	325.8139526704595	95.14184171050324	432.16295166951403	4107.023753326791	173.71370029959476	0.00563301019928353	0.0	0.366	0.0013021035814591117	0.12624447631141975	0.6163641279929664	0.38363587200703375	0.5	0.5	0.0031739924221378824	0.022248155276257384	6.406625333212224E-4	3.1970689855343464	0.10363624961991147	-14775.722415757136	-1199.394378775646	-767.5055086129182
30000	-16573.411350409977	-1982.85418324229	-14590.557167167686	3767.502579703038	3767.502579703038	31978.958668720814	0.0	19.83758633476239	153.1857452382599	141.96435555262633	58.04309194507978	297.88359176227493	251.07575796395486	62.13066642285868	923.2847743936759	300.4685305477801	176.58822671842958	246.25451535693352	295.11768023868154	277.31968924099203	331.0157461378656	129.6853350056328	411.9460768628935	3759.819899261842	196.80465973479883	0.0	19.83758633476239	153.1857452382599	141.96435555262633	58.04309194507978	297.88359176227493	251.07575796395486	62.13066642285868	923.2847743936759	300.4685305477801	176.58822671842958	246.25451535693352	295.11768023868154	277.31968924099203	331.0157461378656	129.6853350056328	411.9460768628935	3759.819899261842	196.80465973479883	0.005150465058863115	0.0	0.366	0.002060702999884866	0.11483445608540627	0.6163641279929664	0.38363587200703375	0.5	0.5	0.0028532719870381254	0.022402582671519296	6.125787645963934E-4	3.6315009445440283	0.057929520243190084	-14590.557167167686	-1199.394378775646	-765.5278798683551
40000	-16544.848949989726	-2010.8812695376994	-14533.967680452026	4671.775151471375	4671.775151471375	44204.62955180572	0.0	23.59324805550254	216.76599651652072	314.6083975976409	89.8660133952081	516.9224206611613	355.6469603105154	112.5514392398552	1100.269647186614	204.74997508684302	413.85395357703976	412.91698082639226	441.3935115299381	393.41304087273994	486.9192691337764	80.54994485776892	481.17462794898495	4347.283235088107	299.759404792888	0.0	23.59324805550254	216.76599651652072	314.6083975976409	89.8660133952081	516.9224206611613	355.6469603105154	112.5514392398552	1100.269647186614	204.74997508684302	413.85395357703976	412.91698082639226	441.3935115299381	393.41304087273994	486.9192691337764	80.54994485776892	481.17462794898495	4347.283235088107	299.759404792888	0.0039593796928192575	0.0	0.366	2.4039112035754013E-4	0.15495736874944663	0.6163641279929664	0.38363587200703375	0.5	0.5	0.002121141233857415	0.02172744870732889	4.0860320189965965E-4	4.155197734800611	0.014076640661840691	-14533.967680452026	-1199.394378775646	-794.8849368916967
50000	-16464.706811217042	-2036.4727007372403	-14428.234110479802	3757.193316386727	3757.193316386727	60165.14846179971	0.0	173.26668166372426	350.0437888418878	539.6277940224181	153.40199093354232	827.3090355324024	638.3214956366163	227.12992117808628	1392.3623408378921	664.5908160494167	695.7274266611967	947.0379495635019	669.850505916686	885.7236729236025	799.7289497889842	99.17937271992349	916.2495355027869	3397.770386332023	443.9072240199305	0.0	173.26668166372426	350.0437888418878	539.6277940224181	153.40199093354232	827.3090355324024	638.3214956366163	227.12992117808628	1392.3623408378921	664.5908160494167	695.7274266611967	947.0379495635019	669.850505916686	885.7236729236025	799.7289497889842	99.17937271992349	916.2495355027869	3397.770386332023	443.9072240199305	0.002729797897300603	0.0	0.366	4.7268923160168926E-4	0.13366766597678992	0.6163641279929664	0.38363587200703375	0.5	0.5	0.001263692295718499	0.00950393880818781	3.036879582576616E-4	3.702451447925886	0.12901795102025904	-14428.234110479802	-1199.394378775646	-819.7508388269695
60000	-16456.370014152333	-2071.6580428380994	-14384.711971314233	3641.018549928926	3641.018549928926	85702.543853011	0.0	235.16688563974722	590.3287936602705	576.0673484341837	117.07678634779352	1240.5403258454246	836.6135864608937	343.3527282267339	1936.1915748584397	1428.9456143028904	1384.801363006334	939.3065529343316	1024.4497478695664	1272.2767963766494	1270.5956440418515	154.8150473663619	1252.703058665766	3505.6070766175453	724.7452984212017	0.0	235.16688563974722	590.3287936602705	576.0673484341837	117.07678634779352	1240.5403258454246	836.6135864608937	343.3527282267339	1936.1915748584397	1428.9456143028904	1384.801363006334	939.3065529343316	1024.4497478695664	1272.2767963766494	1270.5956440418515	154.8150473663619	1252.703058665766	3505.6070766175453	724.7452984212017	0.0021568979836096556	0.0	0.366	7.992759991122007E-4	0.14155109668164692	0.6163641279929664	0.38363587200703375	0.5	0.5	8.188373400997891E-4	0.00669321908250651	1.9953015131766934E-4	3.794054613326401	0.07029458935938948	-14384.711971314233	-1199.394378775646	-854.5331961471028
70000	-16432.352209583107	-2109.947166455504	-14322.405043127601	4609.2962127589535	4609.2962127589535	125210.00384074058	0.0	391.5895759813949	970.8946454848464	635.6290592704199	207.45161259411336	1895.62622590267	1323.674416841527	698.2215130994334	2055.0298845994716	719.9048080734306	1386.5093061275409	1826.794862020465	1673.421473002341	2092.624161471768	1657.2674407426694	353.8275727121525	1354.0724345377607	4255.005094131002	1072.3654524290523	0.0	391.5895759813949	970.8946454848464	635.6290592704199	207.45161259411336	1895.62622590267	1323.674416841527	698.2215130994334	2055.0298845994716	719.9048080734306	1386.5093061275409	1826.794862020465	1673.421473002341	2092.624161471768	1657.2674407426694	353.8275727121525	1354.0724345377607	4255.005094131002	1072.3654524290523	0.001208140680778785	0.0	0.366	2.1205017452063335E-4	0.13345648339009	0.6163641279929664	0.38363587200703375	0.5	0.5	5.067502437578896E-4	0.0032933815710779525	1.3661591109541638E-4	3.446211054689313	0.1663050375888177	-14322.405043127601	-1199.394378775646	-895.0629855266137
80000	-16413.292843428797	-2112.1850601904216	-14301.107783238374	4329.3600068997985	4329.3600068997985	131731.4123854796	0.0	362.808459352608	1081.973598312819	901.8267352405331	140.15573912320886	2003.0612136573993	1349.4679471170887	856.0229307567014	3061.133557207225	772.7652317100415	1466.621189352093	1985.6915373901452	1839.7309695036429	1811.5146814094128	1932.9042985394403	327.1804919552443	1402.1765411059923	3728.2793113933694	1450.5328327942236	0.0	362.808459352608	1081.973598312819	901.8267352405331	140.15573912320886	2003.0612136573993	1349.4679471170887	856.0229307567014	3061.133557207225	772.7652317100415	1466.621189352093	1985.6915373901452	1839.7309695036429	1811.5146814094128	1932.9042985394403	327.1804919552443	1402.1765411059923	3728.2793113933694	1450.5328327942236	0.0012998071512464278	0.0	0.366	9.255083027188219E-4	0.14464217506188376	0.6163641279929664	0.38363587200703375	0.5	0.5	4.460036579791753E-4	0.002605048410540583	1.2205039372701991E-4	3.2857998444456946	0.1264650261315236	-14301.107783238374	-1199.394378775646	-897.5617557407551
90000	-16370.27466573816	-2118.822367772318	-14251.452297965841	4139.240139504304	4139.240139504304	139835.13369745438	0.0	469.34099059477694	1117.969046681429	975.5994208264821	238.35777220077875	2145.0597595077925	1385.1190962345922	751.3742479844059	3366.6097601108945	856.6922658318372	2014.1614962599897	2588.987393081428	2052.7860117497426	2276.1238924621694	1442.4006302659402	564.5225290522276	1634.128041999984	3367.1668598154974	844.4274278212384	0.0	469.34099059477694	1117.969046681429	975.5994208264821	238.35777220077875	2145.0597595077925	1385.1190962345922	751.3742479844059	3366.6097601108945	856.6922658318372	2014.1614962599897	2588.987393081428	2052.7860117497426	2276.1238924621694	1442.4006302659402	564.5225290522276	1634.128041999984	3367.1668598154974	844.4274278212384	0.001239554245571421	0.0	0.366	9.628165010508989E-4	0.16048321719164577	0.6163641279929664	0.38363587200703375	0.5	0.5	4.1984164461036087E-4	0.002346142004036891	1.1435306653962806E-4	3.3041352581757777	0.061534348253453594	-14251.452297965841	-1199.394378775646	-903.9132618124435
