# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jul 25 04:01:51 AEST 2020 [seed=1595613710887]
# -threads 8 xml/biphone_binary_CMHR_2020-07-23_ch2.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
0	-39367.86374486936	-2102.491676309623	-37265.37206855974	3703.0912832169142	3703.0912832169142	18244.09294012867	0.0	108.18880320576336	153.51218932074474	32.677690308595174	48.854536907759886	33.986391615327854	106.99450182807854	103.66304097269375	37.98956833149208	37.25687787622075	179.29050586013236	180.02880683939622	565.2076806823586	33.411961696468964	153.45332701865425	139.86559039332192	119.97234905270983	3500.0	294.62811267516014	0.0	108.18880320576336	153.51218932074474	32.677690308595174	48.854536907759886	33.986391615327854	106.99450182807854	103.66304097269375	37.98956833149208	37.25687787622075	179.29050586013236	180.02880683939622	565.2076806823586	33.411961696468964	153.45332701865425	139.86559039332192	119.97234905270983	3500.0	294.62811267516014	0.001	0.0	0.366	0.5	0.5	0.6163641279929664	0.38363587200703375	0.5	0.5	0.001	0.1	0.010881048528653329	6.457974316379592	-0.007729879082483578	-37265.37206855974	-1199.394378775646	-882.8941396963124
10000	-17189.08933586473	-1970.848986844368	-15218.240349020361	3780.757409056593	3780.757409056593	25594.503350053168	0.0	16.28541577451471	492.6946926159366	54.32504166985252	48.761535854558176	77.68075685176379	280.7361076344912	163.75643991502739	69.12900954195452	85.44974047295288	191.5558275858842	287.55439103265553	788.5157037816346	94.57757628246989	71.42803749122552	244.3086378060528	96.12528972781985	3138.2773705175987	194.92184963496825	0.0	16.28541577451471	492.6946926159366	54.32504166985252	48.761535854558176	77.68075685176379	280.7361076344912	163.75643991502739	69.12900954195452	85.44974047295288	191.5558275858842	287.55439103265553	788.5157037816346	94.57757628246989	71.42803749122552	244.3086378060528	96.12528972781985	3138.2773705175987	194.92184963496825	0.0061171720715883495	0.0	0.366	0.002945537305785106	0.10299384714421378	0.6163641279929664	0.38363587200703375	0.5	0.5	0.003421941558809572	0.016389428567264334	8.646963108790076E-4	2.6884357774224075	0.15637236162963156	-15218.240349020361	-1199.394378775646	-753.8645494364591
20000	-16839.292047441315	-1980.8249871879848	-14858.46706025333	3670.4226743400477	3670.4226743400477	28730.328568329023	0.0	45.827192075944836	686.6821770564826	74.59632583349243	63.583557822589974	58.87908224814267	327.1662780565534	193.00158432349724	90.06223301498731	87.43963520831437	304.98276512215796	311.08795875472174	855.5946985481783	111.65143328449777	121.8771269007607	286.91373993658897	146.39463776141497	3654.118181114397	311.66994859330225	0.0	45.827192075944836	686.6821770564826	74.59632583349243	63.583557822589974	58.87908224814267	327.1662780565534	193.00158432349724	90.06223301498731	87.43963520831437	304.98276512215796	311.08795875472174	855.5946985481783	111.65143328449777	121.8771269007607	286.91373993658897	146.39463776141497	3654.118181114397	311.66994859330225	0.0049982053038996	0.0	0.366	8.03300358290012E-4	0.14694093591639218	0.6163641279929664	0.38363587200703375	0.5	0.5	0.0030115952282475022	0.01585320769552025	6.348612925376657E-4	2.9116304294777997	0.1569418078792308	-14858.46706025333	-1199.394378775646	-763.2047902204114
30000	-16683.45328451515	-2008.8371724988542	-14674.616112016296	4406.841781535991	4406.841781535991	38373.29281001638	0.0	112.34204273498977	632.1936133645696	78.4194058851692	85.877631422708	67.40360191642888	418.9336978860953	326.10646360653595	118.02599009282041	89.73628194756002	442.8000562239136	367.35981241719156	1120.7807446580691	161.31535867744742	260.8151115124211	387.7351719851273	261.096467952998	4268.697323091759	353.4750712347983	0.0	112.34204273498977	632.1936133645696	78.4194058851692	85.877631422708	67.40360191642888	418.9336978860953	326.10646360653595	118.02599009282041	89.73628194756002	442.8000562239136	367.35981241719156	1120.7807446580691	161.31535867744742	260.8151115124211	387.7351719851273	261.096467952998	4268.697323091759	353.4750712347983	0.005306361167444355	0.0	0.366	6.716060986364006E-4	0.1375331682778301	0.6163641279929664	0.38363587200703375	0.5	0.5	0.0021206402849332224	0.009654403702377754	4.837054007268475E-4	2.776194956684119	0.07482554544576765	-14674.616112016296	-1199.394378775646	-792.897494446635
40000	-16574.49466127963	-1985.3298612331769	-14589.164800046452	3827.5123388667353	3827.5123388667353	32959.816875256554	0.0	67.41190812350544	352.9784005231219	136.71842878941493	79.064078610602	88.40223443598565	386.6291035571439	214.61838066178453	132.2012237460861	81.34042986332227	464.33566280004175	287.0148403806945	631.8273860545603	65.62776465556662	275.29108947591345	408.2070887830161	201.57327272202	3757.1178203843365	340.3231070278077	0.0	67.41190812350544	352.9784005231219	136.71842878941493	79.064078610602	88.40223443598565	386.6291035571439	214.61838066178453	132.2012237460861	81.34042986332227	464.33566280004175	287.0148403806945	631.8273860545603	65.62776465556662	275.29108947591345	408.2070887830161	201.57327272202	3757.1178203843365	340.3231070278077	0.0052416283522446466	0.0	0.366	1.2131750448849127E-4	0.14964215596118138	0.6163641279929664	0.38363587200703375	0.5	0.5	0.002124359816916528	0.008254484506556711	5.578468075845823E-4	2.6408564630698286	0.05588215399735198	-14589.164800046452	-1199.394378775646	-768.4737295290043
50000	-16548.628844402007	-1995.6786405244704	-14552.950203877535	3523.750880097913	3523.750880097913	37645.04081320753	0.0	51.98104364690707	418.58315693204577	193.63534061759827	90.72632292440743	152.18974747655503	419.32619597595124	232.4946874728786	135.37345104222103	106.24305159993733	764.345880185531	312.58294611331297	723.2459423573245	58.06595005806327	329.3105237371758	335.39512214860804	168.5555046523858	3477.3507678715096	381.7940172201365	0.0	51.98104364690707	418.58315693204577	193.63534061759827	90.72632292440743	152.18974747655503	419.32619597595124	232.4946874728786	135.37345104222103	106.24305159993733	764.345880185531	312.58294611331297	723.2459423573245	58.06595005806327	329.3105237371758	335.39512214860804	168.5555046523858	3477.3507678715096	381.7940172201365	0.004894409042934344	0.0	0.366	9.646377384715518E-5	0.14563832405059213	0.6163641279929664	0.38363587200703375	0.5	0.5	0.001830923506097201	0.008330940086063752	4.604241009162376E-4	2.9141258262839775	0.052226222707634676	-14552.950203877535	-1199.394378775646	-777.9564632943384
60000	-16507.410298649735	-2014.1636269921773	-14493.246671657556	3902.9580083893698	3902.9580083893698	44813.61203993558	0.0	59.60806880950538	553.3561840153449	268.96795694188427	114.0359194788655	189.51742293326924	324.8945772977779	256.75104460340174	175.86244072014878	139.79148929080367	777.923566422727	354.4017352573716	908.6339772848459	154.33266826470071	457.4742360421875	369.6910485210794	174.8437858071216	3799.9165012533967	513.3610246822957	0.0	59.60806880950538	553.3561840153449	268.96795694188427	114.0359194788655	189.51742293326924	324.8945772977779	256.75104460340174	175.86244072014878	139.79148929080367	777.923566422727	354.4017352573716	908.6339772848459	154.33266826470071	457.4742360421875	369.6910485210794	174.8437858071216	3799.9165012533967	513.3610246822957	0.004526466028086758	0.0	0.366	3.8766562662055426E-4	0.14537382998578716	0.6163641279929664	0.38363587200703375	0.5	0.5	0.001533919531173143	0.006985087049446302	3.676846888324174E-4	2.926640064745841	0.05251956253293081	-14493.246671657556	-1199.394378775646	-797.6240280867246
70000	-16525.00459800911	-2050.7912470310457	-14474.213350978065	4821.055437548638	4821.055437548638	68242.84584192117	0.0	174.70144541728004	855.0895114001403	432.59680360044996	112.14337450934754	397.97831538716423	485.9069015947213	566.0928732874863	353.4156271712153	261.4778565615114	1345.2602346316216	645.1327075017158	1486.559034992109	294.30855448411353	737.3425686229092	662.6563032124204	309.23914998293304	4564.5174586574	902.755702164283	0.0	174.70144541728004	855.0895114001403	432.59680360044996	112.14337450934754	397.97831538716423	485.9069015947213	566.0928732874863	353.4156271712153	261.4778565615114	1345.2602346316216	645.1327075017158	1486.559034992109	294.30855448411353	737.3425686229092	662.6563032124204	309.23914998293304	4564.5174586574	902.755702164283	0.002586943341043236	0.0	0.366	8.348525374613319E-5	0.15099499548479653	0.6163641279929664	0.38363587200703375	0.5	0.5	8.76093443651174E-4	0.004343549075596204	2.3329832690750988E-4	3.0877435980805163	0.04566177795085133	-14474.213350978065	-1199.394378775646	-835.4436247894092
80000	-16444.732826774372	-2042.010702336862	-14402.722124437509	3941.1414165370106	3941.1414165370106	63237.65827451374	0.0	88.9468320030451	706.5552344553819	290.258126383672	192.77498488763186	471.7983402476762	466.59064478175134	587.2834575628683	217.38774797721194	216.30165281593605	1331.1397390130353	536.3531767129242	1241.9200873590944	310.0668220732205	724.9670169726317	808.9609715808974	258.03076312967096	3403.2699505287587	1035.5316829388755	0.0	88.9468320030451	706.5552344553819	290.258126383672	192.77498488763186	471.7983402476762	466.59064478175134	587.2834575628683	217.38774797721194	216.30165281593605	1331.1397390130353	536.3531767129242	1241.9200873590944	310.0668220732205	724.9670169726317	808.9609715808974	258.03076312967096	3403.2699505287587	1035.5316829388755	0.0032482101270001314	0.0	0.366	4.787123193784233E-4	0.16037613659426034	0.6163641279929664	0.38363587200703375	0.5	0.5	9.002610683575087E-4	0.0042418795443952065	2.5574439042519507E-4	2.9621990628448676	0.03528852939177249	-14402.722124437509	-1199.394378775646	-826.1669958509701
90000	-16471.404967423645	-2059.7820447640634	-14411.622922659582	4145.303448052177	4145.303448052177	75293.99846228334	0.0	287.3845819473438	747.288489088623	359.96201325801394	225.80648021063902	929.2577850464114	578.6450586503988	457.8289245921315	264.00775482803476	208.88830120133983	1342.6626432190671	686.0440752480922	1597.6042486724318	330.75446517375593	798.8752961247426	1087.6559122034955	335.1965249404915	3783.2528090868755	1234.9527970094264	0.0	287.3845819473438	747.288489088623	359.96201325801394	225.80648021063902	929.2577850464114	578.6450586503988	457.8289245921315	264.00775482803476	208.88830120133983	1342.6626432190671	686.0440752480922	1597.6042486724318	330.75446517375593	798.8752961247426	1087.6559122034955	335.1965249404915	3783.2528090868755	1234.9527970094264	0.002227222554703882	0.0	0.366	1.3728113256580767E-4	0.1412108200061027	0.6163641279929664	0.38363587200703375	0.5	0.5	7.429686114392665E-4	0.0032299745697227412	2.2664164969421097E-4	2.8738717375976432	0.028010861508352528	-14411.622922659582	-1199.394378775646	-844.4642840657868
