PathParameter	MeanPathLikelihood	MLContribution
0.0000	-38083	-0.082589
2.1715e-06	-37981	-0.74868
2.1888e-05	-37965	-2.3864
8.4561e-05	-38189	-5.1603
0.00022061	-37669	-7.9041
0.00046416	-27240	-9.0831
0.00085232	-19560	-10.894
0.0014248	-18499	-14.550
0.0022237	-17929	-19.028
0.0032929	-17663	-24.098
0.0046784	-17122	-29.892
0.0064280	-17049	-36.703
0.0085909	-16891	-44.329
0.011218	-16858	-52.891
0.014361	-16794	-62.240
0.018075	-16728	-72.365
0.022413	-16633	-82.947
0.027432	-16417	-93.859
0.033190	-16185	-105.53
0.039745	-16015	-117.99
0.047156	-15828	-131.34
0.055484	-15713	-145.72
0.064790	-15603	-160.79
0.075138	-15474	-176.67
0.086591	-15379	-193.46
0.099213	-15276	-210.85
0.11307	-15157	-228.96
0.12823	-15054	-248.10
0.14475	-14972	-267.87
0.16271	-14855	-288.40
0.18218	-14775	-310.14
0.20322	-14704	-332.57
0.22591	-14616	-355.99
0.25031	-14561	-380.80
0.27650	-14519	-406.61
0.30455	-14473	-433.40
0.33454	-14436	-461.22
0.36653	-14398	-490.10
0.40060	-14369	-520.09
0.43683	-14340	-551.02
0.47530	-14311	-583.11
0.51608	-14290	-616.26
0.55924	-14264	-650.56
0.60487	-14250	-685.97
0.65304	-14228	-722.28
0.70384	-14209	-759.96
0.75734	-14200	-798.79
0.81363	-14184	-838.60
0.87278	-14171	-879.42
0.93488	-14153	-921.45
1.0000	-14145	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -14543.189907471262

Inner area for path parameter in (2.1715e-06,0.93488) = -14543
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-35440	-0.082699
2.1715e-06	-29443	-0.74852
2.1888e-05	-27932	-2.3743
8.4561e-05	-37093	-5.1954
0.00022061	-25238	-8.7735
0.00046416	-17967	-8.4619
0.00085232	-16768	-10.743
0.0014248	-16885	-14.536
0.0022237	-16792	-18.933
0.0032929	-16812	-24.205
0.0046784	-16590	-29.795
0.0064280	-16523	-36.779
0.0085909	-16431	-44.259
0.011218	-16594	-52.864
0.014361	-16515	-62.274
0.018075	-16396	-72.371
0.022413	-16287	-83.281
0.027432	-16087	-93.991
0.033190	-15861	-105.64
0.039745	-15717	-118.15
0.047156	-15589	-131.49
0.055484	-15505	-145.74
0.064790	-15405	-160.82
0.075138	-15167	-176.34
0.086591	-15186	-193.43
0.099213	-15115	-211.10
0.11307	-14937	-228.53
0.12823	-14895	-247.93
0.14475	-14812	-267.78
0.16271	-14733	-288.34
0.18218	-14627	-310.04
0.20322	-14603	-333.16
0.22591	-14507	-356.04
0.25031	-14464	-380.71
0.27650	-14406	-406.38
0.30455	-14382	-433.20
0.33454	-14376	-461.37
0.36653	-14350	-490.26
0.40060	-14316	-520.15
0.43683	-14271	-551.07
0.47530	-14251	-583.01
0.51608	-14220	-616.30
0.55924	-14231	-650.55
0.60487	-14211	-686.19
0.65304	-14202	-722.49
0.70384	-14172	-759.87
0.75734	-14158	-798.79
0.81363	-14154	-838.64
0.87278	-14136	-879.59
0.93488	-14127	-921.35
1.0000	-14120	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -14544.098222932264
