# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Jul 24 23:53:25 AEST 2020 [seed=1595593604300]
# -threads 8 xml/biphone_binary_CMHS_2020-07-23_ch1.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-14443.366663510253	-15433.458849105758	-990.0921855955053	1.0	-15433.458849105758
60000	-14458.782147714677	-15460.518527622175	-1001.7363799074982	1.0	-15460.518527622175
70000	-14443.97059844758	-15448.231979773669	-1004.2613813260883	1.0	-15448.231979773669
80000	-14452.806032998575	-15444.12624624619	-991.3202132476147	1.0	-15444.12624624619
90000	-14476.097723764784	-15469.129788124315	-993.0320643595306	1.0	-15469.129788124315
100000	-14456.579037645555	-15463.304733352923	-1006.725695707368	1.0	-15463.304733352923
110000	-14435.61187291419	-15446.265074476127	-1010.6532015619356	1.0	-15446.265074476127
120000	-14441.456656894146	-15430.080464628052	-988.6238077339062	1.0	-15430.080464628052
130000	-14446.717108164035	-15431.729360223668	-985.0122520596326	1.0	-15431.729360223668
140000	-14464.625483661195	-15452.460265885433	-987.8347822242368	1.0	-15452.460265885433
150000	-14443.620176101402	-15437.242487786052	-993.6223116846501	1.0	-15437.242487786052
160000	-14439.511763647239	-15435.072176662161	-995.5604130149228	1.0	-15435.072176662161
170000	-14450.53259825735	-15443.917221959904	-993.3846237025533	1.0	-15443.917221959904
180000	-14451.545657235065	-15450.359354292721	-998.8136970576556	1.0	-15450.359354292721
190000	-14455.383716182898	-15440.39203667104	-985.0083204881437	1.0	-15440.39203667104
200000	-14451.899192792664	-15440.381214417124	-988.482021624461	1.0	-15440.381214417124
210000	-14447.819259032352	-15449.62632125617	-1001.8070622238167	1.0	-15449.62632125617
220000	-14453.254836393675	-15444.453593581075	-991.1987571873992	1.0	-15444.453593581075
230000	-14472.462294673596	-15462.93184671226	-990.4695520386626	1.0	-15462.93184671226
