PathParameter	MeanPathLikelihood	MLContribution
0.0000	-38140	22.070
2.1715e-06	2.0365e+07	401.51
2.1888e-05	2.0364e+07	1276.3
8.4561e-05	2.0365e+07	2770.7
0.00022061	2.0365e+07	4959.8
0.00046416	2.0365e+07	7905.1
0.00085232	2.0365e+07	11659
0.0014248	2.0366e+07	11940
0.0022237	9.5270e+06	5083.8
0.0032929	-17560	-24.035
0.0046784	-17134	-29.848
0.0064280	-16987	-36.671
0.0085909	-16923	-44.363
0.011218	-16852	-52.790
0.014361	-16736	-61.921
0.018075	-16614	-71.968
0.022413	-16564	-82.473
0.027432	-16298	-93.780
0.033190	-16277	-105.83
0.039745	-16016	-118.22
0.047156	-15889	-131.74
0.055484	-15750	-145.82
0.064790	-15587	-160.81
0.075138	-15494	-177.04
0.086591	-15423	-193.77
0.099213	-15281	-210.94
0.11307	-15165	-229.21
0.12823	-15079	-248.70
0.14475	-15020	-269.05
0.16271	-14938	-290.26
0.18218	-14882	-312.52
0.20322	-14823	-335.62
0.22591	-14766	-360.00
0.25031	-14740	-385.39
0.27650	-14691	-411.75
0.30455	-14667	-439.28
0.33454	-14634	-467.79
0.36653	-14611	-497.45
0.40060	-14587	-528.18
0.43683	-14568	-560.15
0.47530	-14556	-593.16
0.51608	-14537	-627.05
0.55924	-14517	-662.42
0.60487	-14517	-699.03
0.65304	-14503	-736.49
0.70384	-14493	-775.18
0.75734	-14485	-815.05
0.81363	-14477	-856.02
0.87278	-14468	-898.21
0.93488	-14462	-941.65
1.0000	-14456	

log marginal likelihood (using path sampling) from pathLikelihood.delta = 31336.404048750734

Inner area for path parameter in (2.1715e-06,0.93488) = 31314
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-34882	-0.082822
2.1715e-06	2.0366e+07	401.51
2.1888e-05	2.0367e+07	1276.3
8.4561e-05	2.0366e+07	2770.7
0.00022061	2.0366e+07	4959.8
0.00046416	2.0367e+07	7905.1
0.00085232	2.0366e+07	11659
0.0014248	2.0367e+07	16269
0.0022237	2.0367e+07	21774
0.0032929	-16781	-24.104
0.0046784	-16635	-29.860
0.0064280	-16620	-36.645
0.0085909	-16555	-44.357
0.011218	-16507	-52.821
0.014361	-16471	-62.038
0.018075	-16121	-71.721
0.022413	-16084	-82.727
0.027432	-15930	-93.403
0.033190	-16001	-106.23
0.039745	-15693	-118.21
0.047156	-15593	-131.72
0.055484	-15468	-146.12
0.064790	-15384	-160.85
0.075138	-15312	-176.92
0.086591	-15193	-194.06
0.099213	-15076	-210.85
0.11307	-15008	-229.25
0.12823	-14944	-248.62
0.14475	-14890	-269.26
0.16271	-14856	-290.33
0.18218	-14795	-312.72
0.20322	-14721	-335.71
0.22591	-14678	-359.82
0.25031	-14671	-385.61
0.27650	-14602	-411.48
0.30455	-14608	-439.34
0.33454	-14567	-467.70
0.36653	-14560	-497.50
0.40060	-14521	-528.10
0.43683	-14531	-560.06
0.47530	-14511	-593.27
0.51608	-14494	-627.19
0.55924	-14485	-662.21
0.60487	-14496	-699.20
0.65304	-14469	-736.50
0.70384	-14468	-775.14
0.75734	-14459	-815.07
0.81363	-14458	-856.11
0.87278	-14448	-898.16
0.93488	-14443	-941.61
1.0000	-14433	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = 52332.91947653395
