PathParameter	MeanPathLikelihood	MLContribution
0.0000	-44233	21.172
2.1715e-06	1.9544e+07	395.26
2.1888e-05	2.0551e+07	1288.3
8.4561e-05	2.0561e+07	2798.9
0.00022061	2.0584e+07	5015.4
0.00046416	2.0603e+07	7998.5
0.00085232	2.0609e+07	11799
0.0014248	2.0610e+07	16464
0.0022237	2.0610e+07	18940
0.0032929	1.4819e+07	17339
0.0046784	1.0210e+07	9917.5
0.0064280	1.1272e+06	1200.7
0.0085909	-16886	-43.909
0.011218	-16543	-51.751
0.014361	-16384	-60.711
0.018075	-16314	-70.642
0.022413	-16252	-81.389
0.027432	-16178	-92.826
0.033190	-16066	-105.23
0.039745	-16042	-118.32
0.047156	-15888	-131.77
0.055484	-15756	-145.59
0.064790	-15531	-159.77
0.075138	-15349	-175.23
0.086591	-15252	-191.86
0.099213	-15150	-208.85
0.11307	-14995	-226.69
0.12823	-14915	-245.90
0.14475	-14844	-265.37
0.16271	-14704	-285.67
0.18218	-14646	-306.93
0.20322	-14528	-328.91
0.22591	-14469	-352.50
0.25031	-14422	-377.03
0.27650	-14370	-402.46
0.30455	-14326	-428.81
0.33454	-14277	-456.21
0.36653	-14244	-484.80
0.40060	-14212	-514.46
0.43683	-14186	-545.23
0.47530	-14162	-576.90
0.51608	-14133	-609.71
0.55924	-14117	-643.69
0.60487	-14096	-678.64
0.65304	-14078	-714.71
0.70384	-14062	-751.81
0.75734	-14043	-790.11
0.81363	-14032	-829.62
0.87278	-14019	-870.10
0.93488	-14005	-911.89
1.0000	-13999	

log marginal likelihood (using path sampling) from pathLikelihood.delta = 78941.76688671463

Inner area for path parameter in (2.1715e-06,0.93488) = 78921
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-17841	-0.094271
2.1715e-06	2.0679e+07	404.23
2.1888e-05	2.0697e+07	1295.1
8.4561e-05	2.0740e+07	2817.4
0.00022061	2.0765e+07	5053.8
0.00046416	2.0782e+07	8063.8
0.00085232	2.0782e+07	11897
0.0014248	2.0782e+07	16601
0.0022237	2.0782e+07	22220
0.0032929	2.0782e+07	28792
0.0046784	2.0438e+07	35756
0.0064280	1.9888e+07	43010
0.0085909	-16252	-43.919
0.011218	-16129	-51.788
0.014361	-16110	-60.712
0.018075	-16049	-70.622
0.022413	-15985	-81.366
0.027432	-15873	-92.950
0.033190	-15711	-105.01
0.039745	-15755	-118.56
0.047156	-15637	-131.91
0.055484	-15492	-145.90
0.064790	-15228	-159.96
0.075138	-15164	-175.19
0.086591	-15004	-191.63
0.099213	-14960	-209.21
0.11307	-14803	-226.49
0.12823	-14673	-245.53
0.14475	-14686	-265.93
0.16271	-14471	-285.06
0.18218	-14501	-307.37
0.20322	-14420	-328.91
0.22591	-14317	-352.26
0.25031	-14345	-377.32
0.27650	-14269	-402.42
0.30455	-14220	-428.88
0.33454	-14200	-456.28
0.36653	-14152	-484.77
0.40060	-14138	-514.42
0.43683	-14135	-545.17
0.47530	-14098	-576.96
0.51608	-14048	-609.32
0.55924	-14068	-643.58
0.60487	-14041	-678.65
0.65304	-14039	-714.76
0.70384	-14022	-751.94
0.75734	-14006	-790.03
0.81363	-14003	-829.71
0.87278	-13980	-870.14
0.93488	-13974	-911.78
1.0000	-13972	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = 161673.64538758426
