# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jul 25 07:59:02 AEST 2020 [seed=1595613841472]
# -threads 8 xml/biphone_binary_CSGR_2020-07-23_ch2.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-13988.19259409879	-16160.253681862494	-2172.0610877637046	1.0	-16160.253681862494
60000	-13986.854782534103	-16134.234054247954	-2147.379271713851	1.0	-16134.234054247954
70000	-14012.384465082348	-16152.784517835462	-2140.4000527531125	1.0	-16152.784517835462
80000	-13991.893694652823	-16157.081884716297	-2165.188190063475	1.0	-16157.081884716297
90000	-14003.894212517916	-16169.629180168566	-2165.73496765065	1.0	-16169.629180168566
100000	-14009.32319248415	-16159.248318633374	-2149.925126149225	1.0	-16159.248318633374
110000	-13999.664054701487	-16166.501525795215	-2166.837471093728	1.0	-16166.501525795215
120000	-13976.833047297383	-16109.756585624658	-2132.9235383272753	1.0	-16109.756585624658
130000	-14007.028497373964	-16160.034378242937	-2153.0058808689732	1.0	-16160.034378242937
140000	-14005.487115305074	-16159.96067263021	-2154.4735573251364	1.0	-16159.96067263021
150000	-13988.98211610049	-16132.411628596594	-2143.429512496104	1.0	-16132.411628596594
160000	-13987.795833715214	-16160.764167685944	-2172.9683339707294	1.0	-16160.764167685944
170000	-13985.224558117054	-16128.189164598432	-2142.9646064813787	1.0	-16128.189164598432
180000	-13987.919908120351	-16136.099733974605	-2148.1798258542526	1.0	-16136.099733974605
190000	-14003.402379768093	-16160.484583674817	-2157.0822039067243	1.0	-16160.484583674817
200000	-13995.083549709248	-16161.939980601912	-2166.856430892664	1.0	-16161.939980601912
210000	-14003.77929269436	-16167.311767025447	-2163.5324743310866	1.0	-16167.311767025447
220000	-13992.576148682396	-16153.889683493411	-2161.313534811015	1.0	-16153.889683493411
230000	-14006.452764599595	-16172.349393104792	-2165.8966285051974	1.0	-16172.349393104792
