PathParameter	MeanPathLikelihood	MLContribution
0.0000	-45659	22.138
2.1715e-06	2.0435e+07	402.90
2.1888e-05	2.0436e+07	1280.8
8.4561e-05	2.0436e+07	2780.4
0.00022061	2.0436e+07	4977.2
0.00046416	2.0437e+07	7932.8
0.00085232	2.0437e+07	11700
0.0014248	2.0437e+07	16326
0.0022237	2.0437e+07	21852
0.0032929	2.0437e+07	28317
0.0046784	2.0438e+07	19866
0.0064280	2.2718e+06	2438.6
0.0085909	-16863	-43.801
0.011218	-16483	-51.668
0.014361	-16391	-60.734
0.018075	-16320	-70.664
0.022413	-16257	-81.355
0.027432	-16159	-92.677
0.033190	-16033	-105.11
0.039745	-16039	-118.31
0.047156	-15890	-131.60
0.055484	-15714	-145.40
0.064790	-15533	-159.76
0.075138	-15344	-175.25
0.086591	-15261	-191.92
0.099213	-15149	-208.79
0.11307	-14987	-226.55
0.12823	-14905	-245.72
0.14475	-14832	-265.33
0.16271	-14712	-285.83
0.18218	-14654	-307.05
0.20322	-14532	-328.99
0.22591	-14472	-352.54
0.25031	-14422	-377.14
0.27650	-14378	-402.65
0.30455	-14331	-428.86
0.33454	-14275	-456.18
0.36653	-14244	-484.75
0.40060	-14209	-514.45
0.43683	-14189	-545.27
0.47530	-14162	-576.92
0.51608	-14134	-609.76
0.55924	-14119	-643.76
0.60487	-14098	-678.65
0.65304	-14077	-714.86
0.70384	-14068	-752.05
0.75734	-14045	-790.23
0.81363	-14034	-829.61
0.87278	-14017	-869.96
0.93488	-14003	-911.77
1.0000	-13998	

log marginal likelihood (using path sampling) from pathLikelihood.delta = 103660.24305533903

Inner area for path parameter in (2.1715e-06,0.93488) = 1.0364e+05
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-18778	-0.097454
2.1715e-06	2.0438e+07	402.89
2.1888e-05	2.0438e+07	1280.8
8.4561e-05	2.0438e+07	2780.4
0.00022061	2.0438e+07	4977.2
0.00046416	2.0438e+07	7932.8
0.00085232	2.0438e+07	11700
0.0014248	2.0438e+07	16326
0.0022237	2.0438e+07	21852
0.0032929	2.0438e+07	28317
0.0046784	2.0438e+07	35757
0.0064280	1.9888e+07	43011
0.0085909	-16325	-43.940
0.011218	-16129	-51.636
0.014361	-16110	-60.738
0.018075	-16121	-70.667
0.022413	-15985	-81.389
0.027432	-15873	-92.850
0.033190	-15711	-104.81
0.039745	-15755	-118.58
0.047156	-15637	-131.87
0.055484	-15492	-145.61
0.064790	-15228	-159.98
0.075138	-15164	-175.12
0.086591	-15004	-191.70
0.099213	-14973	-209.17
0.11307	-14803	-226.31
0.12823	-14736	-245.57
0.14475	-14686	-265.82
0.16271	-14551	-285.34
0.18218	-14501	-307.15
0.20322	-14427	-328.92
0.22591	-14369	-352.49
0.25031	-14345	-377.25
0.27650	-14276	-402.67
0.30455	-14264	-429.20
0.33454	-14200	-456.25
0.36653	-14169	-484.80
0.40060	-14138	-514.31
0.43683	-14135	-545.19
0.47530	-14098	-576.94
0.51608	-14048	-609.20
0.55924	-14069	-643.71
0.60487	-14041	-678.70
0.65304	-14042	-714.76
0.70384	-14022	-752.20
0.75734	-14006	-790.12
0.81363	-14003	-829.74
0.87278	-13980	-870.02
0.93488	-13976	-911.67
1.0000	-13972	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = 160100.94200038238
