PathParameter	MeanPathLikelihood	MLContribution
0.0000	-41238	20.683
2.1715e-06	1.9090e+07	384.77
2.1888e-05	1.9941e+07	1249.8
8.4561e-05	1.9941e+07	2148.2
0.00022061	1.1637e+07	2554.7
0.00046416	9.3415e+06	3626.1
0.00085232	9.3421e+06	5348.4
0.0014248	9.3424e+06	7463.1
0.0022237	9.3426e+06	9989.5
0.0032929	9.3428e+06	12945
0.0046784	9.3430e+06	16346
0.0064280	9.3433e+06	12029
0.0085909	1.7797e+06	2315.9
0.011218	-16572	-51.788
0.014361	-16378	-60.691
0.018075	-16310	-70.549
0.022413	-16214	-81.179
0.027432	-16132	-92.671
0.033190	-16058	-104.90
0.039745	-15950	-117.77
0.047156	-15834	-131.12
0.055484	-15656	-145.01
0.064790	-15506	-159.74
0.075138	-15367	-175.17
0.086591	-15224	-191.53
0.099213	-15125	-208.93
0.11307	-15032	-227.27
0.12823	-14955	-246.28
0.14475	-14850	-266.09
0.16271	-14778	-287.31
0.18218	-14740	-309.40
0.20322	-14669	-332.32
0.22591	-14628	-356.49
0.25031	-14590	-381.56
0.27650	-14548	-407.63
0.30455	-14516	-434.82
0.33454	-14488	-463.04
0.36653	-14460	-492.35
0.40060	-14439	-522.79
0.43683	-14419	-554.32
0.47530	-14402	-587.04
0.51608	-14391	-620.76
0.55924	-14372	-655.54
0.60487	-14361	-691.46
0.65304	-14345	-728.53
0.70384	-14338	-766.81
0.75734	-14327	-806.11
0.81363	-14316	-846.72
0.87278	-14313	-888.52
0.93488	-14304	-931.32
1.0000	-14297	

log marginal likelihood (using path sampling) from pathLikelihood.delta = 62025.95463323659

Inner area for path parameter in (2.1715e-06,0.93488) = 62005
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-18174	-0.088575
2.1715e-06	2.1181e+07	416.87
2.1888e-05	2.1181e+07	1326.7
8.4561e-05	2.1181e+07	2880.8
0.00022061	2.1181e+07	5155.8
0.00046416	1.8704e+07	7259.1
0.00085232	1.8704e+07	10707
0.0014248	1.8704e+07	14940
0.0022237	1.8704e+07	19997
0.0032929	1.8704e+07	25914
0.0046784	1.8704e+07	32723
0.0064280	1.8704e+07	40453
0.0085909	1.8704e+07	49131
0.011218	-16080	-51.781
0.014361	-16073	-60.657
0.018075	-16046	-70.641
0.022413	-15853	-81.197
0.027432	-15812	-92.658
0.033190	-15772	-104.98
0.039745	-15663	-117.81
0.047156	-15457	-131.21
0.055484	-15340	-144.97
0.064790	-15089	-159.43
0.075138	-15137	-175.38
0.086591	-15009	-191.52
0.099213	-14850	-208.75
0.11307	-14836	-227.18
0.12823	-14779	-246.35
0.14475	-14695	-266.07
0.16271	-14644	-287.15
0.18218	-14634	-309.59
0.20322	-14532	-332.26
0.22591	-14534	-356.51
0.25031	-14496	-381.62
0.27650	-14458	-407.49
0.30455	-14444	-434.79
0.33454	-14418	-463.09
0.36653	-14411	-492.36
0.40060	-14382	-522.72
0.43683	-14370	-554.28
0.47530	-14364	-587.02
0.51608	-14350	-620.83
0.55924	-14335	-655.50
0.60487	-14331	-691.56
0.65304	-14307	-728.46
0.70384	-14302	-766.87
0.75734	-14301	-806.18
0.81363	-14291	-846.60
0.87278	-14289	-888.59
0.93488	-14283	-931.37
1.0000	-14277	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = 196509.39564996335
