# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jul 25 00:01:51 AEST 2020 [seed=1595599310996]
# -threads 8 xml/biphone_binary_CSGS_2020-07-23_ch1.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	alpha	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-22389.100541679214	-904.6323427268396	-21484.468198952374	3561.5472149565335	3561.5472149565335	16882.128480078725	0.0	191.8668573936121	24.846431152159102	53.202355559556636	96.93838842541872	174.4514280685018	262.3413804264017	64.66258897013772	149.4469786510174	30.257140116485786	56.181196349216314	133.08470930893753	129.81311696540558	60.296800281512795	30.88006262643974	98.26312325955419	157.4244691506374	3500.0	263.1085150961793	0.0	191.8668573936121	24.846431152159102	53.202355559556636	96.93838842541872	174.4514280685018	262.3413804264017	64.66258897013772	149.4469786510174	30.257140116485786	56.181196349216314	133.08470930893753	129.81311696540558	60.296800281512795	30.88006262643974	98.26312325955419	157.4244691506374	3500.0	263.1085150961793	0.001	0.0	0.366	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.001	9.999999999999996E-4	-21484.468198952374	0.0	-882.7295987079613
10000	-15661.9472407406	-790.6176337503355	-14871.329606990264	3736.2149612975154	3736.2149612975154	37092.270065064666	0.0	41.898635836892815	288.2017753802162	248.68322202954934	125.71210925864231	155.86678116638225	157.4071755934732	213.01851319803458	274.18507419636387	447.437168191315	204.71435683029358	449.30455831028246	649.9808479177927	131.32108575514093	183.8686061879985	250.52237533851	407.798665786228	3707.861085546054	442.21948321885355	0.0	41.898635836892815	288.2017753802162	248.68322202954934	125.71210925864231	155.86678116638225	157.4071755934732	213.01851319803458	274.18507419636387	447.437168191315	204.71435683029358	449.30455831028246	649.9808479177927	131.32108575514093	183.8686061879985	250.52237533851	407.798665786228	3707.861085546054	442.21948321885355	0.004657893043358169	0.0	0.366	0.0029911495519452237	0.22951360187277448	0.6831124954806803	0.31688750451931946	0.5	0.5	0.5564834720029863	4.6270769552337774E-4	4.6270769552337747E-4	-14871.329606990264	0.0	-769.8394432228407
20000	-15397.799577678667	-850.1020509154426	-14547.697526763224	4691.5230187044735	4691.5230187044735	71849.69753206226	0.0	24.826418517317137	785.0440383070913	655.1146203149419	348.05466326528455	376.00417827882933	299.75957855328596	407.09002982022423	483.70862572814167	707.4579169471176	475.7212381618848	1003.7047210840551	1471.551435596618	470.48988956728084	381.0261490055448	564.6898129914606	694.7116145384248	4318.325407579169	881.706250779011	0.0	24.826418517317137	785.0440383070913	655.1146203149419	348.05466326528455	376.00417827882933	299.75957855328596	407.09002982022423	483.70862572814167	707.4579169471176	475.7212381618848	1003.7047210840551	1471.551435596618	470.48988956728084	381.0261490055448	564.6898129914606	694.7116145384248	4318.325407579169	881.706250779011	0.0026133746254377033	0.0	0.366	0.008510124354417203	0.18678786148922272	0.6986760710132431	0.3013239289867562	0.5	0.5	0.6189296468154603	1.998846484768775E-4	1.9988464847687756E-4	-14547.697526763224	0.0	-831.1476002430471
30000	-15296.076782456166	-922.8526041208183	-14373.224178335347	5096.297340293831	5096.297340293831	151682.14852663456	0.0	106.9263350437434	1819.5628328723815	708.4472112078939	525.0652409768395	903.2291032934404	667.7772061459074	859.6599046976157	1092.804736891965	1698.5584161547702	1104.9453671804374	3126.0021577491516	3225.7634938629503	824.0413539868284	763.9332844932226	1566.4720109097277	1366.5722844039155	3481.018928181093	1832.8359116167208	0.0	106.9263350437434	1819.5628328723815	708.4472112078939	525.0652409768395	903.2291032934404	667.7772061459074	859.6599046976157	1092.804736891965	1698.5584161547702	1104.9453671804374	3126.0021577491516	3225.7634938629503	824.0413539868284	763.9332844932226	1566.4720109097277	1366.5722844039155	3481.018928181093	1832.8359116167208	0.0011877092653891322	0.0	0.366	0.0065738090957577315	0.1863232880304117	0.6993530528770597	0.30064694712293977	0.5	0.5	1.0418089599028029	8.194338051690776E-5	8.194338051690771E-5	-14373.224178335347	0.0	-905.0603277238754
40000	-15289.443377894726	-959.2853851857615	-14330.157992708964	6332.163648763579	6332.163648763579	215621.52661975342	0.0	144.137363309234	1700.250318708129	1310.9228765818816	834.1301166159736	1171.2070452147564	1087.838604362444	1512.888932116243	3063.798506843014	2627.0976296402005	1498.5453665557493	3917.889655425245	4424.99592370514	1360.134350021651	1402.902648362458	2430.0140259857985	1941.2575721703888	3178.145352209064	2744.1415201211416	0.0	144.137363309234	1700.250318708129	1310.9228765818816	834.1301166159736	1171.2070452147564	1087.838604362444	1512.888932116243	3063.798506843014	2627.0976296402005	1498.5453665557493	3917.889655425245	4424.99592370514	1360.134350021651	1402.902648362458	2430.0140259857985	1941.2575721703888	3178.145352209064	2744.1415201211416	8.709330130668946E-4	0.0	0.366	0.007288755956903419	0.17973911146655344	0.6912525500352887	0.3087474499647113	0.5	0.5	1.1347447509723434	6.115472880813769E-5	6.115472880813765E-5	-14330.157992708964	0.0	-941.3704645444224
50000	-15300.086651183243	-978.6090339169482	-14321.477617266295	7105.403063142706	7105.403063142706	255335.65280644025	0.0	246.00700547126948	2600.237107773633	2732.019530863764	621.5389027664012	1450.1700225706343	1290.9805074816773	1887.4524998225304	2403.7391551370565	3055.0296940556177	1648.028712274128	4314.092091939777	5158.11774175861	1722.4115139508963	1498.5545193123396	2522.049534490482	2044.5262639110285	3498.6486091454867	3522.357093782305	0.0	246.00700547126948	2600.237107773633	2732.019530863764	621.5389027664012	1450.1700225706343	1290.9805074816773	1887.4524998225304	2403.7391551370565	3055.0296940556177	1648.028712274128	4314.092091939777	5158.11774175861	1722.4115139508963	1498.5545193123396	2522.049534490482	2044.5262639110285	3498.6486091454867	3522.357093782305	7.938085847178604E-4	0.0	0.366	6.536155132363098E-4	0.218460009529354	0.6785809654888333	0.32141903451116666	0.5	0.5	1.2073418212004425	4.479454897726868E-5	4.4794548977268706E-5	-14321.477617266295	0.0	-959.1500241535481
60000	-15294.859082977857	-966.6583862574449	-14328.200696720412	6490.321824780651	6490.321824780651	229509.06858438792	0.0	84.65588402370864	2379.813308441909	1742.8667941987092	744.8745352840879	1393.615806222259	1184.782769125032	1466.6511067243528	2666.0073938223763	2704.361140333589	1350.4887347747717	3881.9186999172707	4795.70505379263	1194.3321406793505	1379.066007159059	3049.5909802612273	2140.58186310635	3248.499302791498	2556.022995454915	0.0	84.65588402370864	2379.813308441909	1742.8667941987092	744.8745352840879	1393.615806222259	1184.782769125032	1466.6511067243528	2666.0073938223763	2704.361140333589	1350.4887347747717	3881.9186999172707	4795.70505379263	1194.3321406793505	1379.066007159059	3049.5909802612273	2140.58186310635	3248.499302791498	2556.022995454915	8.577070291370437E-4	0.0	0.366	4.0359733650435314E-4	0.19224812632917554	0.709523106612113	0.2904768933878861	0.5	0.5	1.0196022892393697	6.336021524793992E-5	6.336021524793992E-5	-14328.200696720412	0.0	-948.8613710191498
70000	-15293.353565569574	-973.2805829204857	-14320.072982649088	6918.987204091951	6918.987204091951	242561.01488999365	0.0	346.34335937592994	1964.1830628149687	1961.9614650487217	1140.1889261737892	1566.772388519856	1117.603858075483	1328.9701026060218	2775.0491985287467	1846.2347418825402	1575.6948719667823	3963.448771228524	5084.696168652919	1297.8984965283541	1248.0038204255166	3626.3899034093624	2074.7304449253043	3602.205109014952	3098.0564163310137	0.0	346.34335937592994	1964.1830628149687	1961.9614650487217	1140.1889261737892	1566.772388519856	1117.603858075483	1328.9701026060218	2775.0491985287467	1846.2347418825402	1575.6948719667823	3963.448771228524	5084.696168652919	1297.8984965283541	1248.0038204255166	3626.3899034093624	2074.7304449253043	3602.205109014952	3098.0564163310137	7.153316810174765E-4	0.0	0.366	0.0023736880919131087	0.17807733258176994	0.6891540553852461	0.310845944614753	0.5	0.5	1.2350618287777961	5.452288774699573E-5	5.452288774699573E-5	-14320.072982649088	0.0	-954.2917665531982
80000	-15295.01980904491	-983.5575380846967	-14311.462270960214	7148.942081793065	7148.942081793065	268836.12621336436	0.0	220.89456008021799	2234.1178816280303	1651.9571536039766	853.340555979331	1242.457055886692	1519.5507929059293	1386.9597216208938	2883.767918558217	3392.443282651674	2157.30805897176	4137.34217797641	5709.1772813064545	2341.3405905555037	1474.6112557917759	3116.3795924259457	2182.4620325631754	3229.3899675960683	3273.35095081207	0.0	220.89456008021799	2234.1178816280303	1651.9571536039766	853.340555979331	1242.457055886692	1519.5507929059293	1386.9597216208938	2883.767918558217	3392.443282651674	2157.30805897176	4137.34217797641	5709.1772813064545	2341.3405905555037	1474.6112557917759	3116.3795924259457	2182.4620325631754	3229.3899675960683	3273.35095081207	7.4091123346709E-4	0.0	0.366	3.923886424804942E-4	0.20697673260457522	0.6908061475101502	0.30919385248984865	0.5	0.5	0.8762835460305534	5.14627116072063E-5	5.146271160720628E-5	-14311.462270960214	0.0	-964.6774678160044
90000	-15294.713449070945	-983.4529997019356	-14311.260449369009	7192.056412742552	7192.056412742552	265550.91268709867	0.0	282.0343263513444	2155.219954796863	3163.5780235084176	1336.3361547858995	1679.4813127554057	1283.3112556693613	1087.8323435411123	2525.502752263921	2920.9277831248774	1855.974918435973	4032.00710680628	5626.308821114198	2141.2193109060454	1602.62134608555	3682.605982018869	2245.9113880003915	3238.9465708756275	3085.943040714845	0.0	282.0343263513444	2155.219954796863	3163.5780235084176	1336.3361547858995	1679.4813127554057	1283.3112556693613	1087.8323435411123	2525.502752263921	2920.9277831248774	1855.974918435973	4032.00710680628	5626.308821114198	2141.2193109060454	1602.62134608555	3682.605982018869	2245.9113880003915	3238.9465708756275	3085.943040714845	7.632464784918178E-4	0.0	0.366	3.3923443882737147E-4	0.21167968760112635	0.6949822737179874	0.3050177262820119	0.5	0.5	0.987089518404873	4.324036479683633E-5	4.324036479683634E-5	-14311.260449369009	0.0	-964.2320906505713
