# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jul 25 04:03:03 AEST 2020 [seed=1595599310996]
# -threads 8 xml/biphone_binary_CSGS_2020-07-23_ch1.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-14309.81809012044	-15301.388494076584	-991.5704039561438	1.0	-15301.388494076584
60000	-14294.78259343099	-15280.914943650689	-986.1323502196987	1.0	-15280.914943650689
70000	-14294.480057924526	-15274.872233723438	-980.3921757989124	1.0	-15274.872233723438
80000	-14294.12015627415	-15284.705930688839	-990.5857744146892	1.0	-15284.705930688839
90000	-14300.020698625935	-15278.479952454114	-978.4592538281796	1.0	-15278.479952454114
100000	-14308.043597713842	-15299.482609346409	-991.4390116325665	1.0	-15299.482609346409
110000	-14311.475356467354	-15296.83362870829	-985.3582722409352	1.0	-15296.83362870829
120000	-14304.17951240627	-15280.539846601307	-976.3603341950375	1.0	-15280.539846601307
130000	-14310.863695486329	-15284.364661538393	-973.5009660520642	1.0	-15284.364661538393
140000	-14288.72815887646	-15284.935243707334	-996.2070848308742	1.0	-15284.935243707334
150000	-14287.010224459009	-15279.188603545112	-992.1783790861032	1.0	-15279.188603545112
160000	-14301.690599334037	-15302.123187134455	-1000.4325878004182	1.0	-15302.123187134455
170000	-14310.069189477079	-15301.940871561519	-991.8716820844407	1.0	-15301.940871561519
180000	-14289.681787395974	-15284.133819894792	-994.4520324988196	1.0	-15284.133819894792
190000	-14304.95698132477	-15303.203059108213	-998.2460777834428	1.0	-15303.203059108213
200000	-14302.0160701508	-15313.696046607898	-1011.6799764570987	1.0	-15313.696046607898
210000	-14280.500311832951	-15287.20352104903	-1006.7032092160794	1.0	-15287.20352104903
220000	-14299.929653702819	-15300.68651375766	-1000.7568600548418	1.0	-15300.68651375766
230000	-14292.88821058885	-15303.090196241814	-1010.2019856529641	1.0	-15303.090196241814
240000	-14310.405244740134	-15311.520780832554	-1001.1155360924204	1.0	-15311.520780832554
