PathParameter	MeanPathLikelihood	MLContribution
0.0000	-54643	23.246
2.1715e-06	2.1464e+07	423.21
2.1888e-05	2.1466e+07	1345.4
8.4561e-05	2.1467e+07	2769.6
0.00022061	1.9247e+07	3628.7
0.00046416	1.0553e+07	4096.6
0.00085232	1.0555e+07	3798.6
0.0014248	2.7149e+06	1077.2
0.0022237	-17872	-18.858
0.0032929	-17402	-23.958
0.0046784	-17180	-29.900
0.0064280	-17000	-36.696
0.0085909	-16932	-44.328
0.011218	-16815	-52.747
0.014361	-16745	-62.060
0.018075	-16680	-72.209
0.022413	-16609	-82.918
0.027432	-16430	-93.820
0.033190	-16159	-105.37
0.039745	-15994	-117.99
0.047156	-15849	-131.49
0.055484	-15728	-145.69
0.064790	-15581	-160.67
0.075138	-15473	-176.28
0.086591	-15312	-192.78
0.099213	-15234	-210.34
0.11307	-15125	-228.70
0.12823	-15051	-247.92
0.14475	-14953	-267.54
0.16271	-14837	-288.20
0.18218	-14773	-310.01
0.20322	-14694	-332.56
0.22591	-14625	-356.02
0.25031	-14555	-380.38
0.27650	-14493	-406.15
0.30455	-14466	-433.05
0.33454	-14420	-460.72
0.36653	-14383	-489.54
0.40060	-14351	-519.55
0.43683	-14328	-550.54
0.47530	-14297	-582.50
0.51608	-14274	-615.68
0.55924	-14253	-649.87
0.60487	-14231	-685.14
0.65304	-14213	-721.67
0.70384	-14200	-759.12
0.75734	-14177	-797.67
0.81363	-14167	-837.62
0.87278	-14155	-878.59
0.93488	-14142	-920.63
1.0000	-14130	

log marginal likelihood (using path sampling) from pathLikelihood.delta = 2685.1676940201964

Inner area for path parameter in (2.1715e-06,0.93488) = 2661.9
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-34580	-0.11755
2.1715e-06	2.1805e+07	429.19
2.1888e-05	2.1805e+07	1365.8
8.4561e-05	2.1805e+07	2965.9
0.00022061	2.1805e+07	5309.2
0.00046416	2.1132e+07	8201.4
0.00085232	2.1131e+07	12096
0.0014248	2.1130e+07	16875
0.0022237	-16820	-18.864
0.0032929	-16705	-23.965
0.0046784	-16673	-29.907
0.0064280	-16575	-36.650
0.0085909	-16543	-44.339
0.011218	-16448	-52.735
0.014361	-16353	-62.040
0.018075	-16363	-72.209
0.022413	-16345	-83.181
0.027432	-15958	-94.063
0.033190	-15812	-105.47
0.039745	-15704	-118.05
0.047156	-15492	-131.27
0.055484	-15390	-145.68
0.064790	-15293	-160.45
0.075138	-15226	-176.50
0.086591	-15136	-192.68
0.099213	-14999	-210.20
0.11307	-14964	-228.53
0.12823	-14907	-248.09
0.14475	-14805	-267.93
0.16271	-14639	-287.83
0.18218	-14645	-310.11
0.20322	-14523	-332.52
0.22591	-14494	-356.08
0.25031	-14437	-380.50
0.27650	-14391	-405.96
0.30455	-14380	-433.13
0.33454	-14356	-460.82
0.36653	-14319	-489.50
0.40060	-14272	-519.40
0.43683	-14272	-550.65
0.47530	-14238	-582.33
0.51608	-14217	-615.61
0.55924	-14204	-649.95
0.60487	-14194	-685.22
0.65304	-14160	-721.48
0.70384	-14156	-759.31
0.75734	-14147	-797.70
0.81363	-14131	-837.50
0.87278	-14128	-878.65
0.93488	-14111	-920.66
1.0000	-14097	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = 32764.944883890006
