# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jul 25 04:09:54 AEST 2020 [seed=1595614193338]
# -threads 8 xml/biphone_binary_CSHR_2020-07-23_ch2.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
0	-41333.133254421286	-2102.749622193821	-39230.383632227466	3502.3213910287054	3502.3213910287054	18235.489144588933	0.0	166.95427803033925	210.05497469137435	252.61679838781737	1.8908099647734569	172.9769560873091	124.76406661492318	156.1202989532207	50.01268480166865	7.52963476218819	224.6199072718831	212.72956645218295	54.08492645796944	210.51048862568126	181.76321759170116	150.31878765884034	208.53813809517013	3500.0	100.7922417062506	0.0	166.95427803033925	210.05497469137435	252.61679838781737	1.8908099647734569	172.9769560873091	124.76406661492318	156.1202989532207	50.01268480166865	7.52963476218819	224.6199072718831	212.72956645218295	54.08492645796944	210.51048862568126	181.76321759170116	150.31878765884034	208.53813809517013	3500.0	100.7922417062506	0.001	0.0	0.366	0.5	0.5	0.5	0.5	0.5	0.5	0.001	0.1	1.4155008444651453E-4	6.794395411300821	-0.008702042522239491	-39230.383632227466	-1199.394378775646	-882.3276466937374
10000	-16856.307574230523	-1980.4037265468637	-14875.90384768366	4460.768800577141	4460.768800577141	27933.604577583497	0.0	14.434697994141965	188.38596781485484	82.75627369205748	33.47309988226362	249.5439277802267	231.75519728179677	226.609948559875	148.03522476201195	29.847342186088515	345.47341646970045	246.47233083230978	171.46640677044599	188.84206072077941	210.530936308063	103.42291941829494	260.8455855834663	4445.286687304376	132.83201914176274	0.0	14.434697994141965	188.38596781485484	82.75627369205748	33.47309988226362	249.5439277802267	231.75519728179677	226.609948559875	148.03522476201195	29.847342186088515	345.47341646970045	246.47233083230978	171.46640677044599	188.84206072077941	210.530936308063	103.42291941829494	260.8455855834663	4445.286687304376	132.83201914176274	0.005547849771620662	0.0	0.366	5.995797578731087E-4	0.14527777321074797	0.6264910789654093	0.37350892103459093	0.5	0.5	0.003451105477744615	0.013475886127289088	6.778036488708551E-4	2.096987417122472	0.24081830105421265	-14875.90384768366	-1199.394378775646	-764.0234529499562
20000	-16571.404536000475	-1964.4122214544168	-14606.992314546058	3796.7238372725737	3796.7238372725737	24611.24799416337	0.0	12.563846210092862	149.54337671868421	84.97559376171404	56.622192798455764	146.8400424928667	155.60729822112174	191.3176753539831	98.91125641908158	26.486034836291825	292.86222425325167	183.54657192067967	249.142223647878	273.44385529755255	130.68048313908594	67.42695849195839	274.08428554732984	3751.2044321810968	110.84670292254015	0.0	12.563846210092862	149.54337671868421	84.97559376171404	56.622192798455764	146.8400424928667	155.60729822112174	191.3176753539831	98.91125641908158	26.486034836291825	292.86222425325167	183.54657192067967	249.142223647878	273.44385529755255	130.68048313908594	67.42695849195839	274.08428554732984	3751.2044321810968	110.84670292254015	0.00699682250510163	0.0	0.366	8.1137158249785E-4	0.14322984617475618	0.6359799550587364	0.3640200449412643	0.5	0.5	0.00381611990656765	0.01684886226610708	7.248563889102425E-4	2.244521741326902	0.3139902206918345	-14606.992314546058	-1199.394378775646	-747.1416255882598
30000	-16476.637884418367	-1967.3747298555377	-14509.263154562828	3943.1168780562502	3943.1168780562502	25539.518409430253	0.0	4.085880842347392	162.73291361726444	74.35578888802925	72.27768423675717	212.79038010054927	89.0504003748295	281.691556808984	127.33576940240165	31.376970161552453	331.34913253191917	213.7509520416955	201.5353793097429	185.1553529397269	272.78888949582955	83.31568049993372	335.0155343941098	3937.234562370771	164.30696699487478	0.0	4.085880842347392	162.73291361726444	74.35578888802925	72.27768423675717	212.79038010054927	89.0504003748295	281.691556808984	127.33576940240165	31.376970161552453	331.34913253191917	213.7509520416955	201.5353793097429	185.1553529397269	272.78888949582955	83.31568049993372	335.0155343941098	3937.234562370771	164.30696699487478	0.006277232185560174	0.0	0.366	0.0013571136256843573	0.15219464447076533	0.6353868207292612	0.36461317927073994	0.5	0.5	0.003734832093499986	0.017925436426635282	6.393780792306455E-4	2.345415684356874	0.28447248116429275	-14509.263154562828	-1199.394378775646	-750.2450343839217
40000	-16377.622072213495	-1986.500677617228	-14391.121394596266	3910.6062555589756	3910.6062555589756	34243.774359344134	0.0	13.814647465912554	365.73008306466653	141.5527631179711	64.60539392956152	180.0811077621767	136.66295317940148	444.51880586588516	268.44844426009155	48.65053098918855	412.6036561860036	387.59995205556066	307.26032689454036	409.50340624522846	311.34520525942116	121.00048614433267	410.8058684372328	3863.1187289131517	239.70111920084526	0.0	13.814647465912554	365.73008306466653	141.5527631179711	64.60539392956152	180.0811077621767	136.66295317940148	444.51880586588516	268.44844426009155	48.65053098918855	412.6036561860036	387.59995205556066	307.26032689454036	409.50340624522846	311.34520525942116	121.00048614433267	410.8058684372328	3863.1187289131517	239.70111920084526	0.005060059070951801	0.0	0.366	0.0016306747794566365	0.1258532159320384	0.6450045907433759	0.3549954092566252	0.5	0.5	0.002376390611239189	0.01064462132089943	5.288465337948591E-4	2.0966623737650694	-0.015604389094780685	-14391.121394596266	-1199.394378775646	-769.8235116163717
50000	-16307.00068369842	-1980.3339177924595	-14326.66676590596	3550.878467546185	3550.878467546185	32645.02602547459	0.0	11.760250488562551	388.34155678569704	136.0180922128693	144.5872430965983	179.35065611019812	241.6901357243778	368.12902274321317	394.3272116389898	47.142837779460535	323.7947228588761	363.6456757782514	304.58954155903587	395.71386466741177	391.84013240671953	133.62459356025985	360.9579295577533	3277.514071626483	265.0703861764854	0.0	11.760250488562551	388.34155678569704	136.0180922128693	144.5872430965983	179.35065611019812	241.6901357243778	368.12902274321317	394.3272116389898	47.142837779460535	323.7947228588761	363.6456757782514	304.58954155903587	395.71386466741177	391.84013240671953	133.62459356025985	360.9579295577533	3277.514071626483	265.0703861764854	0.004618016846817049	0.0	0.366	5.386503931271616E-4	0.13249588424053896	0.6582598790679287	0.34174012093207273	0.5	0.5	0.0021596862555833328	0.008947353533987306	4.958180144922485E-4	2.093663242608231	-0.07439274223667773	-14326.66676590596	-1199.394378775646	-762.7974161064823
60000	-16298.904532412958	-2009.165050949732	-14289.739481463226	4356.244440413076	4356.244440413076	45992.715523431216	0.0	44.64002282308679	606.7756937854034	233.57437080043397	145.24319987743203	656.5347360826576	397.1991580327411	543.8642546024171	606.1885531940918	74.7349321767148	595.8574509531611	600.9791350213887	444.329338313057	459.512142649318	410.1542530053021	212.44590941788948	503.37869237141035	4141.585985169321	365.3323471425043	0.0	44.64002282308679	606.7756937854034	233.57437080043397	145.24319987743203	656.5347360826576	397.1991580327411	543.8642546024171	606.1885531940918	74.7349321767148	595.8574509531611	600.9791350213887	444.329338313057	459.512142649318	410.1542530053021	212.44590941788948	503.37869237141035	4141.585985169321	365.3323471425043	0.003789682518812327	0.0	0.366	0.0012960593388879138	0.1443329646593558	0.6474731928697315	0.3525268071302699	0.5	0.5	0.0014223973237780946	0.0053160796825469005	3.529733629688501E-4	2.024732015664111	0.034188148505008106	-14289.739481463226	-1199.394378775646	-793.5795929563878
70000	-16293.12847007931	-2007.5795385919475	-14285.548931487361	3472.4711049132156	3472.4711049132156	47212.04038660263	0.0	108.910372685198	762.7101265617513	145.42355686401064	162.5801026389796	698.2786033189557	379.22319321946406	666.6446237920082	726.5234007738544	77.85716807077077	711.1475354216675	600.025268014417	430.6059223563319	657.6024979825722	507.2721002777509	274.23466011159167	568.6320857628858	3444.959324741951	382.2430996377998	0.0	108.910372685198	762.7101265617513	145.42355686401064	162.5801026389796	698.2786033189557	379.22319321946406	666.6446237920082	726.5234007738544	77.85716807077077	711.1475354216675	600.025268014417	430.6059223563319	657.6024979825722	507.2721002777509	274.23466011159167	568.6320857628858	3444.959324741951	382.2430996377998	0.003858884415998073	0.0	0.366	5.249762496258868E-4	0.13043562002726058	0.6717826859830404	0.3282173140169609	0.5	0.5	0.001276844792610413	0.0047580172523430195	3.463022380517234E-4	2.0043456213418	-0.060666915483287884	-14285.548931487361	-1199.394378775646	-790.0301809500168
80000	-16299.573526320479	-2028.396694645883	-14271.176831674597	3653.3862439348495	3653.3862439348495	58508.0613403114	0.0	23.397978719690606	892.215979936825	316.9960659611607	142.77420407720768	976.9528319221213	464.04141735597716	879.466356021181	760.1164380576594	112.91747765563206	995.7323289490295	709.2427566595352	602.7057447961696	549.29344317712	557.0785135206536	195.19437644888052	672.0843912681859	3380.5194593959013	426.9810031034567	0.0	23.397978719690606	892.215979936825	316.9960659611607	142.77420407720768	976.9528319221213	464.04141735597716	879.466356021181	760.1164380576594	112.91747765563206	995.7323289490295	709.2427566595352	602.7057447961696	549.29344317712	557.0785135206536	195.19437644888052	672.0843912681859	3380.5194593959013	426.9810031034567	0.002737478768905792	0.0	0.366	6.442278341497655E-4	0.13219924912027245	0.6556628932334544	0.3443371067665466	0.5	0.5	9.401950677650514E-4	0.0033397761756984385	2.867948504008617E-4	1.955676649813092	0.05953487518995634	-14271.176831674597	-1199.394378775646	-811.7805278880496
90000	-16324.302491991315	-2063.3180670504016	-14260.984424940913	5056.986499416699	5056.986499416699	81542.36307663925	0.0	28.53135034738586	1289.809416593585	597.8426266328387	101.01562766729826	1167.3208074671347	739.63894600547	1102.734688810089	938.5560098633439	125.57236833014369	927.3237904207061	1252.1622463225774	900.1970343347547	838.7829343763462	645.5925321602622	370.2625715169338	1243.4235240619228	4558.493825905733	596.2733015116046	0.0	28.53135034738586	1289.809416593585	597.8426266328387	101.01562766729826	1167.3208074671347	739.63894600547	1102.734688810089	938.5560098633439	125.57236833014369	927.3237904207061	1252.1622463225774	900.1970343347547	838.7829343763462	645.5925321602622	370.2625715169338	1243.4235240619228	4558.493825905733	596.2733015116046	0.0018878985481397552	0.0	0.366	1.948181376921499E-4	0.13416691905331204	0.6532963161120569	0.34670368388794465	0.5	0.5	5.604351380038606E-4	0.0018052471187519228	1.9665093023249074E-4	1.8181973190034078	0.00682814123840184	-14260.984424940913	-1199.394378775646	-848.8853750027378
