# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jul 25 05:57:29 AEST 2020 [seed=1595614193338]
# -threads 8 xml/biphone_binary_CSHR_2020-07-23_ch2.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-14123.333744233592	-16283.532700748228	-2160.1989565146355	1.0	-16283.532700748228
60000	-14127.687582561159	-16286.073476148174	-2158.385893587016	1.0	-16286.073476148174
70000	-14129.222371160933	-16279.49133525522	-2150.2689640942867	1.0	-16279.49133525522
80000	-14115.603098292784	-16286.052299440169	-2170.4492011473853	1.0	-16286.052299440169
90000	-14142.222818641318	-16297.551070496569	-2155.328251855252	1.0	-16297.551070496569
100000	-14131.425170890612	-16301.548059915382	-2170.1228890247694	1.0	-16301.548059915382
110000	-14140.276356752394	-16287.704203411704	-2147.4278466593096	1.0	-16287.704203411704
120000	-14142.772149278204	-16318.924563358209	-2176.1524140800047	1.0	-16318.924563358209
130000	-14131.070570946717	-16285.238098108106	-2154.16752716139	1.0	-16285.238098108106
140000	-14127.937819206996	-16293.029878430592	-2165.0920592235957	1.0	-16293.029878430592
150000	-14134.444025468318	-16299.985518636797	-2165.541493168478	1.0	-16299.985518636797
160000	-14138.440445434684	-16290.009881864697	-2151.5694364300125	1.0	-16290.009881864697
170000	-14116.432661125029	-16269.287674173484	-2152.8550130484546	1.0	-16269.287674173484
180000	-14150.3667277716	-16298.010654762458	-2147.6439269908587	1.0	-16298.010654762458
190000	-14115.08625180037	-16274.739270999791	-2159.6530191994198	1.0	-16274.739270999791
200000	-14123.45774085807	-16286.521394331528	-2163.0636534734576	1.0	-16286.521394331528
210000	-14118.808305346185	-16292.56658204769	-2173.7582767015056	1.0	-16292.56658204769
220000	-14136.064282768539	-16286.024476061406	-2149.9601932928667	1.0	-16286.024476061406
230000	-14129.888142302112	-16299.955875966345	-2170.0677336642325	1.0	-16299.955875966345
240000	-14142.728583734664	-16293.081442649742	-2150.352858915078	1.0	-16293.081442649742
250000	-14128.142470808212	-16261.93310436683	-2133.7906335586176	1.0	-16261.93310436683
260000	-14117.862973234593	-16255.726850182298	-2137.863876947706	1.0	-16255.726850182298
270000	-14131.794551642724	-16296.593582342004	-2164.7990306992806	1.0	-16296.593582342004
280000	-14131.642589574418	-16304.925657259955	-2173.283067685538	1.0	-16304.925657259955
290000	-14155.074087123148	-16335.958843073815	-2180.8847559506667	1.0	-16335.958843073815
300000	-14123.519912087853	-16280.120441985033	-2156.6005298971786	1.0	-16280.120441985033
310000	-14124.078134095735	-16261.86793931973	-2137.789805223996	1.0	-16261.86793931973
320000	-14137.675039248345	-16281.804359401587	-2144.129320153242	1.0	-16281.804359401587
330000	-14129.042338723108	-16285.952323117324	-2156.9099843942167	1.0	-16285.952323117324
340000	-14106.485080437285	-16264.416544371144	-2157.9314639338586	1.0	-16264.416544371144
350000	-14132.05251495817	-16310.687023065824	-2178.634508107655	1.0	-16310.687023065824
360000	-14129.435207224304	-16276.615238464647	-2147.1800312403434	1.0	-16276.615238464647
370000	-14131.53118052725	-16298.775045176115	-2167.243864648864	1.0	-16298.775045176115
380000	-14119.87959812742	-16287.134511588753	-2167.2549134613337	1.0	-16287.134511588753
390000	-14115.003520342858	-16273.173500251938	-2158.1699799090798	1.0	-16273.173500251938
400000	-14142.959698002644	-16309.768489770135	-2166.8087917674907	1.0	-16309.768489770135
410000	-14137.336982676226	-16308.140924935633	-2170.803942259407	1.0	-16308.140924935633
420000	-14128.499849320277	-16290.189402020005	-2161.6895526997278	1.0	-16290.189402020005
430000	-14123.000575391132	-16282.335022324201	-2159.33444693307	1.0	-16282.335022324201
440000	-14135.001896546082	-16287.699744154832	-2152.69784760875	1.0	-16287.699744154832
450000	-14153.6206393127	-16330.995119839068	-2177.3744805263686	1.0	-16330.995119839068
460000	-14137.231950157227	-16312.8505521685	-2175.6186020112737	1.0	-16312.8505521685
470000	-14118.328965393388	-16274.991628557631	-2156.6626631642434	1.0	-16274.991628557631
480000	-14131.418741580921	-16278.855322890966	-2147.4365813100444	1.0	-16278.855322890966
490000	-14131.9134677206	-16282.893615543042	-2150.9801478224413	1.0	-16282.893615543042
500000	-14111.648709667516	-16264.216270312703	-2152.5675606451887	1.0	-16264.216270312703
510000	-14109.701123252615	-16260.203206573487	-2150.502083320873	1.0	-16260.203206573487
520000	-14132.814379756199	-16292.422665792916	-2159.6082860367173	1.0	-16292.422665792916
530000	-14116.5384835667	-16270.189904752317	-2153.6514211856174	1.0	-16270.189904752317
540000	-14134.662635251058	-16286.086581338084	-2151.4239460870276	1.0	-16286.086581338084
