PathParameter	MeanPathLikelihood	MLContribution
0.0000	-57252	21.276
2.1715e-06	1.9652e+07	394.37
2.1888e-05	2.0352e+07	1275.5
8.4561e-05	2.0352e+07	2769.0
0.00022061	2.0353e+07	4442.9
0.00046416	1.6132e+07	5097.6
0.00085232	1.0133e+07	5800.9
0.0014248	1.0133e+07	8094.5
0.0022237	1.0133e+07	7326.0
0.0032929	3.5705e+06	2461.5
0.0046784	-17378	-30.096
0.0064280	-17026	-36.652
0.0085909	-16866	-44.229
0.011218	-16807	-52.737
0.014361	-16747	-62.019
0.018075	-16656	-71.968
0.022413	-16522	-82.557
0.027432	-16373	-93.602
0.033190	-16140	-105.38
0.039745	-16013	-118.02
0.047156	-15838	-131.42
0.055484	-15723	-145.85
0.064790	-15620	-160.77
0.075138	-15453	-176.26
0.086591	-15328	-192.83
0.099213	-15227	-210.30
0.11307	-15127	-228.56
0.12823	-15032	-247.82
0.14475	-14960	-268.05
0.16271	-14886	-289.17
0.18218	-14823	-311.48
0.20322	-14784	-334.85
0.22591	-14736	-359.04
0.25031	-14691	-384.26
0.27650	-14653	-410.69
0.30455	-14629	-438.21
0.33454	-14601	-466.57
0.36653	-14567	-495.97
0.40060	-14544	-526.69
0.43683	-14529	-558.49
0.47530	-14509	-591.33
0.51608	-14494	-625.38
0.55924	-14482	-660.48
0.60487	-14467	-696.78
0.65304	-14460	-734.20
0.70384	-14446	-772.68
0.75734	-14438	-812.42
0.81363	-14430	-853.35
0.87278	-14424	-895.39
0.93488	-14415	-938.64
1.0000	-14411	

log marginal likelihood (using path sampling) from pathLikelihood.delta = 23068.354162436382

Inner area for path parameter in (2.1715e-06,0.93488) = 23047
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-24488	-0.12254
2.1715e-06	2.0422e+07	401.91
2.1888e-05	2.0422e+07	1279.2
8.4561e-05	2.0422e+07	2777.7
0.00022061	2.0422e+07	4972.9
0.00046416	2.0422e+07	7925.3
0.00085232	2.0284e+07	11612
0.0014248	2.0284e+07	16203
0.0022237	2.0284e+07	21687
0.0032929	2.0284e+07	28101
0.0046784	-16558	-30.139
0.0064280	-16587	-36.689
0.0085909	-16420	-44.191
0.011218	-16441	-52.730
0.014361	-16212	-61.963
0.018075	-16322	-72.107
0.022413	-16003	-82.515
0.027432	-15892	-93.754
0.033190	-15789	-105.38
0.039745	-15713	-118.27
0.047156	-15482	-131.32
0.055484	-15464	-145.75
0.064790	-15332	-160.86
0.075138	-15252	-176.46
0.086591	-15118	-192.82
0.099213	-15064	-210.43
0.11307	-14977	-228.73
0.12823	-14867	-247.79
0.14475	-14794	-268.10
0.16271	-14767	-289.16
0.18218	-14704	-311.38
0.20322	-14690	-334.87
0.22591	-14633	-359.07
0.25031	-14593	-384.20
0.27650	-14580	-410.65
0.30455	-14552	-438.22
0.33454	-14516	-466.60
0.36653	-14519	-496.02
0.40060	-14495	-526.64
0.43683	-14481	-558.56
0.47530	-14467	-591.34
0.51608	-14458	-625.38
0.55924	-14445	-660.49
0.60487	-14432	-696.69
0.65304	-14419	-734.26
0.70384	-14412	-772.60
0.75734	-14412	-812.47
0.81363	-14404	-853.34
0.87278	-14404	-895.46
0.93488	-14389	-938.57
1.0000	-14381	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = 80343.55268785544
