# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jul 25 01:23:44 AEST 2020 [seed=1595604222052]
# -threads 8 xml/biphone_binary_CSHS_2020-07-23_ch1.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-25034.067644046885	-903.9894808810025	-24130.078163165883	3540.363767509539	3540.363767509539	18746.78183449973	0.0	211.86424061944285	78.80495703742524	68.15167771316962	263.2723454411067	96.09580685152159	142.66853676112598	54.90754729081344	132.9663319842019	70.41008746814545	70.95115546357871	155.52514945855262	206.75845034340702	179.86225768602196	254.7723805485555	213.09835144141886	46.95159791775515	3500.0	340.8553090756816	0.0	211.86424061944285	78.80495703742524	68.15167771316962	263.2723454411067	96.09580685152159	142.66853676112598	54.90754729081344	132.9663319842019	70.41008746814545	70.95115546357871	155.52514945855262	206.75845034340702	179.86225768602196	254.7723805485555	213.09835144141886	46.95159791775515	3500.0	340.8553090756816	0.001	0.0	0.366	0.5	0.5	0.5	0.5	0.5	0.5	0.001	0.0010000000000000005	-24130.078163165883	0.0	-882.3045450857106
10000	-15829.922951974511	-852.109768276276	-14977.813183698236	5095.907713025895	5095.907713025895	71861.13406791775	0.0	23.3818954428366	562.4638753225591	384.1815132314818	321.68447957671475	346.4453279245364	371.8135441379216	459.5015207473683	605.822669633584	832.1246825229623	507.3164766684514	754.693999687112	1123.7029299721983	500.7434097355575	415.59197595106707	688.9169327832742	623.3951340485665	4938.99887962147	675.2220860095965	0.0	23.3818954428366	562.4638753225591	384.1815132314818	321.68447957671475	346.4453279245364	371.8135441379216	459.5015207473683	605.822669633584	832.1246825229623	507.3164766684514	754.693999687112	1123.7029299721983	500.7434097355575	415.59197595106707	688.9169327832742	623.3951340485665	4938.99887962147	675.2220860095965	0.003098929280033458	0.0	0.366	0.006296938064162289	0.11231139952755305	0.663584864382085	0.33641513561791536	0.5	0.5	2.1820487333162794E-4	2.1820487333162802E-4	-14977.813183698236	0.0	-833.5285482125137
20000	-15469.715310179652	-928.3494413113102	-14541.365868868343	4824.744350381264	4824.744350381264	166737.9298314573	0.0	50.36739574428739	1186.8343846155265	1333.7886389556786	524.4334584387396	957.151134805118	796.0460754310611	926.4672256527398	1761.9212153909718	1781.0583090908608	1234.6011024353093	1961.6746437334486	3690.7437522654805	1147.143848143464	1178.1309725292633	1593.4808384402813	1506.999915256611	3442.1759400088063	1773.4356544231478	0.0	50.36739574428739	1186.8343846155265	1333.7886389556786	524.4334584387396	957.151134805118	796.0460754310611	926.4672256527398	1761.9212153909718	1781.0583090908608	1234.6011024353093	1961.6746437334486	3690.7437522654805	1147.143848143464	1178.1309725292633	1593.4808384402813	1506.999915256611	3442.1759400088063	1773.4356544231478	0.0011728606299210597	0.0	0.366	0.003519078271009906	0.13592902919641286	0.6896797620518758	0.310320237948124	0.5	0.5	8.493623065593196E-5	8.493623065593198E-5	-14541.365868868343	0.0	-911.8530647517158
30000	-15416.92438078208	-967.5273457399118	-14449.397035042168	6194.489134678673	6194.489134678673	242855.5061872017	0.0	93.8819394377955	2971.471311002493	2377.740921745945	649.6993182476308	1310.8486169472162	1394.9199605356703	1661.5498087231772	2567.3108430642187	2874.9074015561278	1782.2766294735948	3259.0979445459893	5194.407708562341	1902.4644560620252	1290.4189841996792	1999.7127437945585	2269.4310069317835	3080.843265240952	2321.732863309634	0.0	93.8819394377955	2971.471311002493	2377.740921745945	649.6993182476308	1310.8486169472162	1394.9199605356703	1661.5498087231772	2567.3108430642187	2874.9074015561278	1782.2766294735948	3259.0979445459893	5194.407708562341	1902.4644560620252	1290.4189841996792	1999.7127437945585	2269.4310069317835	3080.843265240952	2321.732863309634	8.041202998103834E-4	0.0	0.366	1.9369838238044714E-4	0.17795567672893686	0.6979317371560845	0.3020682628439154	0.5	0.5	5.405899318731745E-5	5.405899318731749E-5	-14449.397035042168	0.0	-950.8013933545201
40000	-15404.328410768052	-981.2551546893762	-14423.073256078676	7012.30722536191	7012.30722536191	274251.0800246686	0.0	397.1292830279704	2866.574138409548	2627.5624959074858	1285.2409160311913	2104.3420664691675	1644.4798744199115	1961.171457562197	2754.873735714159	2553.249974190501	2397.717224959025	3873.048157349266	5693.634696628118	2264.2084760838875	1681.163151884973	2930.109887022404	2775.7063414133236	3304.7384332284364	3383.0236064494898	0.0	397.1292830279704	2866.574138409548	2627.5624959074858	1285.2409160311913	2104.3420664691675	1644.4798744199115	1961.171457562197	2754.873735714159	2553.249974190501	2397.717224959025	3873.048157349266	5693.634696628118	2264.2084760838875	1681.163151884973	2930.109887022404	2775.7063414133236	3304.7384332284364	3383.0236064494898	7.100648834109577E-4	0.0	0.366	7.620070007594242E-4	0.1802920537558934	0.6894920654028455	0.3105079345971545	0.5	0.5	4.7583932129557793E-5	4.758393212955788E-5	-14423.073256078676	0.0	-963.9731038062247
50000	-15384.384510590244	-974.7467408508977	-14409.637769739345	6738.5757733946075	6738.5757733946075	257121.07124590751	0.0	217.0751993246828	2677.938801807347	2724.5455238561603	1383.1451119838478	2021.6892631271846	1475.4011911556079	1802.5997508209944	2998.7894064130833	2369.4931850660187	2527.585889274422	3615.4052731642128	5536.397156507653	2154.1722915768646	1740.886611464098	2319.6229335714065	2497.4832174481	3027.9413317064304	2687.472739594823	0.0	217.0751993246828	2677.938801807347	2724.5455238561603	1383.1451119838478	2021.6892631271846	1475.4011911556079	1802.5997508209944	2998.7894064130833	2369.4931850660187	2527.585889274422	3615.4052731642128	5536.397156507653	2154.1722915768646	1740.886611464098	2319.6229335714065	2497.4832174481	3027.9413317064304	2687.472739594823	7.784870702641073E-4	0.0	0.366	1.434868272132639E-5	0.18504141639182162	0.694572783285267	0.3054272167147329	0.5	0.5	5.140401266725276E-5	5.140401266725275E-5	-14409.637769739345	0.0	-956.3782276345314
60000	-15393.844659250755	-978.4514542967252	-14415.39320495403	7198.294580869479	7198.294580869479	261676.82423267217	0.0	145.08455010461063	3061.667079240247	1745.9515705792548	1367.9417752127442	2155.9358714457157	1427.639988163899	1896.3384840500757	3015.7015147525576	2445.1394853637535	2374.718605094694	3954.1732616684835	5809.88292272195	2230.999810492631	1841.7896969091164	2519.6294994114587	2869.6462660054985	3043.3113089387025	2662.1171732442745	0.0	145.08455010461063	3061.667079240247	1745.9515705792548	1367.9417752127442	2155.9358714457157	1427.639988163899	1896.3384840500757	3015.7015147525576	2445.1394853637535	2374.718605094694	3954.1732616684835	5809.88292272195	2230.999810492631	1841.7896969091164	2519.6294994114587	2869.6462660054985	3043.3113089387025	2662.1171732442745	7.684063963106188E-4	0.0	0.366	6.360121057308483E-4	0.17467580528410628	0.6909376178593575	0.3090623821406424	0.5	0.5	5.2346868180835806E-5	5.234686818083574E-5	-14415.39320495403	0.0	-959.5184943111365
70000	-15405.62930531801	-986.9305558814975	-14418.698749436513	7685.945159394351	7685.945159394351	281315.0592273707	0.0	138.9859640040393	2771.9627074908267	2197.321279763684	1259.531529730746	1985.992863631954	1316.3762967539278	2146.2189960259443	2954.315334891333	3099.285743139084	2378.782097568934	4112.473567944063	6505.6577802636175	1815.3334292110358	1628.6381956660687	2357.402471000327	3376.856808324771	3252.204795733518	2935.1643040542035	0.0	138.9859640040393	2771.9627074908267	2197.321279763684	1259.531529730746	1985.992863631954	1316.3762967539278	2146.2189960259443	2954.315334891333	3099.285743139084	2378.782097568934	4112.473567944063	6505.6577802636175	1815.3334292110358	1628.6381956660687	2357.402471000327	3376.856808324771	3252.204795733518	2935.1643040542035	6.342324359948013E-4	0.0	0.366	4.615848667793174E-4	0.16052642971605224	0.6976776951939245	0.3023223048060754	0.5	0.5	4.8220427278399805E-5	4.822042727839984E-5	-14418.698749436513	0.0	-967.7482913983274
80000	-15397.122177837971	-985.4724993282348	-14411.649678509737	7467.049935288823	7467.049935288823	281652.25030418305	0.0	469.9088225465467	3022.2714792425177	1868.9559213580337	1165.1335038469235	2071.616372435781	1491.8333696289942	1984.4651354036862	3011.895974195265	3005.0140752993498	2149.9489318256333	4294.477355690716	6444.959571374834	2120.518717720172	1834.5846620849657	2899.1207448868713	3021.0125645329913	3111.0206491993204	3030.07770183493	0.0	469.9088225465467	3022.2714792425177	1868.9559213580337	1165.1335038469235	2071.616372435781	1491.8333696289942	1984.4651354036862	3011.895974195265	3005.0140752993498	2149.9489318256333	4294.477355690716	6444.959571374834	2120.518717720172	1834.5846620849657	2899.1207448868713	3021.0125645329913	3111.0206491993204	3030.07770183493	6.842414829933279E-4	0.0	0.366	4.907625401164369E-4	0.17794898720627372	0.6880312867232815	0.3119687132767185	0.5	0.5	4.697722095995825E-5	4.697722095995822E-5	-14411.649678509737	0.0	-966.4967666225782
90000	-15417.67856880908	-991.9336689219507	-14425.74489988713	7488.4290480852615	7488.4290480852615	288728.5451406675	0.0	490.75427982397235	2959.6865701717525	3102.0059188896885	1595.0215571488422	2112.3540525284343	1639.743530303446	1934.8099759620543	2986.056774281807	2212.1293087850795	2143.1865558980166	4070.954513813166	6661.013169818185	2141.7133945072032	1693.3249810570667	2723.3227024396083	3261.572883301599	3195.199681612383	3055.032511868686	0.0	490.75427982397235	2959.6865701717525	3102.0059188896885	1595.0215571488422	2112.3540525284343	1639.743530303446	1934.8099759620543	2986.056774281807	2212.1293087850795	2143.1865558980166	4070.954513813166	6661.013169818185	2141.7133945072032	1693.3249810570667	2723.3227024396083	3261.572883301599	3195.199681612383	3055.032511868686	7.55575014481446E-4	0.0	0.366	6.124616055700105E-4	0.17645766457690082	0.6958653165144746	0.3041346834855257	0.5	0.5	4.6138763008571755E-5	4.613876300857174E-5	-14425.74489988713	0.0	-973.2282359863248
