# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jul 25 02:43:52 AEST 2020 [seed=1595604222052]
# -threads 8 xml/biphone_binary_CSHS_2020-07-23_ch1.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-14425.262244220808	-15412.532072295857	-987.2698280750476	1.0	-15412.532072295857
60000	-14410.27475191533	-15399.039204214852	-988.7644522995209	1.0	-15399.039204214852
70000	-14416.53337649139	-15397.955150970842	-981.4217744794512	1.0	-15397.955150970842
80000	-14391.205836343861	-15381.856339655356	-990.6505033114947	1.0	-15381.856339655356
90000	-14410.819023738106	-15397.785236730264	-986.9662129921583	1.0	-15397.785236730264
100000	-14415.633928947718	-15387.980573886653	-972.3466449389352	1.0	-15387.980573886653
110000	-14412.934572430404	-15412.943229036338	-1000.0086566059347	1.0	-15412.943229036338
120000	-14404.740192983145	-15406.423792734871	-1001.6835997517268	1.0	-15406.423792734871
130000	-14418.419735179285	-15418.566130919184	-1000.1463957398992	1.0	-15418.566130919184
140000	-14411.852283320051	-15397.92466497016	-986.0723816501092	1.0	-15397.92466497016
150000	-14405.403781597677	-15392.179414327167	-986.7756327294907	1.0	-15392.179414327167
160000	-14405.031009853621	-15395.007907195619	-989.9768973419982	1.0	-15395.007907195619
170000	-14403.932742331712	-15406.171075407203	-1002.2383330754913	1.0	-15406.171075407203
180000	-14402.902347872956	-15411.51988921824	-1008.6175413452845	1.0	-15411.51988921824
190000	-14396.380826794619	-15391.962420160658	-995.5815933660399	1.0	-15391.962420160658
200000	-14416.896869894128	-15419.114456525105	-1002.2175866309766	1.0	-15419.114456525105
210000	-14401.372742496986	-15403.802926495817	-1002.4301839988309	1.0	-15403.802926495817
220000	-14427.839540526227	-15417.323562241041	-989.4840217148133	1.0	-15417.323562241041
230000	-14398.947925764534	-15381.106328460995	-982.1584026964618	1.0	-15381.106328460995
240000	-14422.574858261361	-15412.405770107107	-989.8309118457448	1.0	-15412.405770107107
250000	-14408.724070896098	-15421.251381469412	-1012.5273105733138	1.0	-15421.251381469412
260000	-14380.826485344516	-15385.958747563373	-1005.1322622188557	1.0	-15385.958747563373
270000	-14415.227245026343	-15428.23677905317	-1013.0095340268277	1.0	-15428.23677905317
280000	-14412.874456132195	-15418.67856116024	-1005.804105028046	1.0	-15418.67856116024
290000	-14414.585969141188	-15404.986638104625	-990.4006689634367	1.0	-15404.986638104625
300000	-14420.93446072544	-15410.062224478754	-989.1277637533136	1.0	-15410.062224478754
310000	-14414.972496991897	-15394.2866161154	-979.314119123502	1.0	-15394.2866161154
320000	-14405.395889343043	-15402.66811628583	-997.2722269427873	1.0	-15402.66811628583
330000	-14413.506736265927	-15420.352163874606	-1006.8454276086801	1.0	-15420.352163874606
340000	-14411.192271542872	-15399.72144444794	-988.5291729050674	1.0	-15399.72144444794
350000	-14410.54820221192	-15397.475995547718	-986.9277933357987	1.0	-15397.475995547718
360000	-14422.231488060532	-15416.834436557112	-994.6029484965809	1.0	-15416.834436557112
370000	-14410.963209151061	-15397.704387371828	-986.7411782207682	1.0	-15397.704387371828
380000	-14417.088377091462	-15404.65749903118	-987.5691219397169	1.0	-15404.65749903118
390000	-14422.160516439813	-15414.398844145793	-992.2383277059797	1.0	-15414.398844145793
400000	-14410.128978800605	-15397.39537203161	-987.2663932310046	1.0	-15397.39537203161
410000	-14411.57078404901	-15397.140462870984	-985.5696788219747	1.0	-15397.140462870984
420000	-14412.802736091742	-15388.699662409554	-975.8969263178108	1.0	-15388.699662409554
430000	-14413.693203668683	-15399.373342730974	-985.6801390622906	1.0	-15399.373342730974
440000	-14405.2467430813	-15395.453235386478	-990.206492305178	1.0	-15395.453235386478
450000	-14410.474130808747	-15415.380727350785	-1004.9065965420374	1.0	-15415.380727350785
460000	-14404.245183156989	-15397.686694048687	-993.4415108916987	1.0	-15397.686694048687
470000	-14417.954354031604	-15412.95149022955	-994.9971361979462	1.0	-15412.95149022955
480000	-14407.726387677654	-15416.359186242571	-1008.632798564917	1.0	-15416.359186242571
490000	-14406.21425645549	-15393.984910643077	-987.7706541875876	1.0	-15393.984910643077
500000	-14411.220335215887	-15409.085565078376	-997.8652298624885	1.0	-15409.085565078376
510000	-14406.948466301108	-15400.581408414713	-993.6329421136044	1.0	-15400.581408414713
520000	-14395.419954872941	-15393.986515773893	-998.5665609009525	1.0	-15393.986515773893
530000	-14412.001355999368	-15396.480660192121	-984.4793041927528	1.0	-15396.480660192121
540000	-14425.955869472962	-15414.894760008814	-988.9388905358511	1.0	-15414.894760008814
550000	-14401.192754866444	-15395.675726272704	-994.4829714062591	0.9348750848354606	-14457.799269843847
560000	-14395.342873344094	-15379.044837008265	-983.7019636641713	0.9348750848354606	-14441.549353617273
570000	-14419.720592754786	-15420.877565815079	-1001.1569730602927	0.9348750848354606	-14481.79448551556
580000	-14400.646622165536	-15401.08602455099	-1000.4394023854557	0.9348750848354606	-14463.245134967949
590000	-14410.374807196851	-15406.443563356137	-996.0687561592849	0.9348750848354606	-14467.969126548225
600000	-14415.25408662347	-15409.606448131344	-994.352361507873	0.9348750848354606	-14470.81424866471
610000	-14412.961249913847	-15405.20711514361	-992.2458652297629	0.9348750848354606	-14466.564236473176
620000	-14403.096493525158	-15397.135384012841	-994.0388904876838	0.9348750848354606	-14459.13494676534
630000	-14414.694448681681	-15403.057108624329	-988.3626599426481	0.9348750848354606	-14464.301355531177
640000	-14422.004318434663	-15394.747023887172	-972.7427054525081	0.9348750848354606	-14455.515216146494
650000	-14415.240241892629	-15407.819641799502	-992.5793999068746	0.9348750848354606	-14469.02834396979
660000	-14388.572026998907	-15382.871916579814	-994.2998895809075	0.9348750848354606	-14445.817383982645
670000	-14409.012922892673	-15401.405349385988	-992.3924264933153	0.9348750848354606	-14463.019605177851
680000	-14428.550880395644	-15431.481559238302	-1002.9306788426593	0.9348750848354606	-14491.823407205295
690000	-14427.359901098944	-15426.816739013542	-999.4568379145992	0.9348750848354606	-14487.236149406195
700000	-14426.510808852756	-15420.941746638136	-994.4309377853812	0.9348750848354606	-14481.41645409129
710000	-14407.477696801987	-15410.441284213433	-1002.9635874114457	0.9348750848354606	-14472.15552147421
720000	-14411.1706592649	-15406.52567905312	-995.3550197882192	0.9348750848354606	-14467.999412446794
730000	-14414.303068092599	-15417.99775940679	-1003.694691314191	0.9348750848354606	-14479.2674949413
740000	-14433.178926572855	-15434.98656957208	-1001.8076429992261	0.9348750848354606	-14495.027016424405
750000	-14410.536535307132	-15406.198001268163	-995.6614659610319	0.9348750848354606	-14467.71303193079
760000	-14408.72533293299	-15408.710139752398	-999.9848068194069	0.9348750848354606	-14470.343124815987
770000	-14419.53993735341	-15418.051829762828	-998.5118924094187	0.9348750848354606	-14478.980514631
780000	-14435.809757475552	-15432.796898579421	-996.9871411038699	0.9348750848354606	-14492.666012792395
790000	-14409.334635463998	-15396.945320470053	-987.610685006055	0.9348750848354606	-14458.538624758
800000	-14432.19612778499	-15405.04764969096	-972.8515219059708	0.9348750848354606	-14465.152101230968
810000	-14432.271872025156	-15421.615514017352	-989.3436419921958	0.9348750848354606	-14481.715032720145
820000	-14420.502934468821	-15404.227702621805	-983.724768152985	0.9348750848354606	-14465.09367238453
830000	-14417.255863349674	-15409.978615543489	-992.7227521938153	0.9348750848354606	-14471.056050537381
