PathParameter	MeanPathLikelihood	MLContribution
0.0000	-56928	20.444
2.1715e-06	1.8886e+07	386.13
2.1888e-05	2.0283e+07	1271.2
8.4561e-05	2.0283e+07	2759.6
0.00022061	2.0284e+07	4940.0
0.00046416	2.0284e+07	7873.4
0.00085232	2.0284e+07	11612
0.0014248	2.0284e+07	16203
0.0022237	2.0284e+07	14671
0.0032929	7.1585e+06	4947.4
0.0046784	-17162	-29.884
0.0064280	-17000	-36.636
0.0085909	-16877	-44.247
0.011218	-16809	-52.724
0.014361	-16737	-62.035
0.018075	-16674	-72.152
0.022413	-16588	-82.883
0.027432	-16437	-93.758
0.033190	-16131	-105.36
0.039745	-16019	-118.05
0.047156	-15840	-131.41
0.055484	-15719	-145.79
0.064790	-15612	-160.72
0.075138	-15452	-176.13
0.086591	-15306	-192.72
0.099213	-15230	-210.35
0.11307	-15130	-228.67
0.12823	-15042	-247.89
0.14475	-14959	-267.92
0.16271	-14873	-289.13
0.18218	-14832	-311.64
0.20322	-14790	-334.95
0.22591	-14740	-359.05
0.25031	-14688	-384.20
0.27650	-14652	-410.71
0.30455	-14632	-438.26
0.33454	-14601	-466.60
0.36653	-14569	-496.02
0.40060	-14545	-526.63
0.43683	-14525	-558.35
0.47530	-14506	-591.35
0.51608	-14498	-625.43
0.55924	-14481	-660.43
0.60487	-14466	-696.69
0.65304	-14458	-734.16
0.70384	-14447	-772.68
0.75734	-14437	-812.40
0.81363	-14430	-853.36
0.87278	-14424	-895.39
0.93488	-14415	-938.62
1.0000	-14411	

log marginal likelihood (using path sampling) from pathLikelihood.delta = 50069.641293694294

Inner area for path parameter in (2.1715e-06,0.93488) = 50049
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-24488	-0.12155
2.1715e-06	1.9746e+07	388.36
2.1888e-05	2.0284e+07	1271.2
8.4561e-05	2.0284e+07	2759.6
0.00022061	2.0284e+07	4940.0
0.00046416	2.0284e+07	7873.4
0.00085232	2.0284e+07	11612
0.0014248	2.0284e+07	16203
0.0022237	2.0284e+07	21688
0.0032929	2.0284e+07	28102
0.0046784	-16558	-29.843
0.0064280	-16691	-36.663
0.0085909	-16516	-44.220
0.011218	-16565	-52.740
0.014361	-16212	-61.869
0.018075	-16381	-72.209
0.022413	-16259	-83.086
0.027432	-16025	-94.145
0.033190	-15789	-105.27
0.039745	-15713	-118.27
0.047156	-15482	-131.24
0.055484	-15464	-145.64
0.064790	-15392	-160.86
0.075138	-15278	-176.48
0.086591	-15118	-192.61
0.099213	-15090	-210.50
0.11307	-14993	-228.73
0.12823	-14867	-247.84
0.14475	-14857	-268.17
0.16271	-14767	-288.87
0.18218	-14705	-311.52
0.20322	-14690	-334.86
0.22591	-14642	-359.11
0.25031	-14593	-384.11
0.27650	-14598	-410.64
0.30455	-14552	-438.18
0.33454	-14516	-466.45
0.36653	-14519	-496.11
0.40060	-14498	-526.71
0.43683	-14481	-558.45
0.47530	-14475	-591.29
0.51608	-14460	-625.51
0.55924	-14445	-660.43
0.60487	-14435	-696.66
0.65304	-14419	-734.18
0.70384	-14412	-772.63
0.75734	-14417	-812.44
0.81363	-14404	-853.37
0.87278	-14404	-895.45
0.93488	-14393	-938.58
1.0000	-14394	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = 80222.0605313774
