PathParameter	MeanPathLikelihood	MLContribution
0.0000	-29858	-0.065638
2.1715e-06	-30595	-0.59144
2.1888e-05	-29401	-1.7174
8.4561e-05	-25404	-3.1887
0.00022061	-21470	-5.0334
0.00046416	-19864	-7.6207
0.00085232	-19401	-10.964
0.0014248	-18900	-14.948
0.0022237	-18525	-19.658
0.0032929	-18245	-25.210
0.0046784	-18145	-31.636
0.0064280	-18019	-38.603
0.0085909	-17677	-45.461
0.011218	-16934	-53.000
0.014361	-16787	-61.989
0.018075	-16599	-71.675
0.022413	-16443	-82.212
0.027432	-16314	-93.587
0.033190	-16194	-105.76
0.039745	-16075	-118.64
0.047156	-15942	-132.32
0.055484	-15835	-146.82
0.064790	-15716	-162.12
0.075138	-15618	-178.22
0.086591	-15506	-195.11
0.099213	-15409	-213.04
0.11307	-15339	-231.60
0.12823	-15219	-250.80
0.14475	-15133	-270.99
0.16271	-15041	-291.87
0.18218	-14946	-313.78
0.20322	-14879	-336.73
0.22591	-14808	-360.52
0.25031	-14741	-385.37
0.27650	-14688	-411.49
0.30455	-14651	-438.55
0.33454	-14601	-466.61
0.36653	-14570	-495.83
0.40060	-14533	-525.98
0.43683	-14500	-557.17
0.47530	-14469	-589.51
0.51608	-14445	-623.17
0.55924	-14429	-657.88
0.60487	-14406	-693.49
0.65304	-14385	-730.18
0.70384	-14363	-768.14
0.75734	-14351	-807.37
0.81363	-14337	-847.72
0.87278	-14326	-889.19
0.93488	-14313	-931.74
1.0000	-14301	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -14694.882375185582

Inner area for path parameter in (2.1715e-06,0.93488) = -14695
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-18300	-0.064678
2.1715e-06	-18443	-0.59064
2.1888e-05	-17723	-1.7123
8.4561e-05	-18271	-3.1351
0.00022061	-17663	-5.0472
0.00046416	-17976	-7.5901
0.00085232	-17735	-10.947
0.0014248	-17501	-14.910
0.0022237	-17926	-19.715
0.0032929	-17616	-25.193
0.0046784	-17624	-31.636
0.0064280	-17505	-38.878
0.0085909	-16524	-45.735
0.011218	-16455	-52.956
0.014361	-16397	-62.134
0.018075	-16116	-71.680
0.022413	-16032	-82.237
0.027432	-15940	-93.569
0.033190	-15795	-105.71
0.039745	-15810	-118.69
0.047156	-15658	-132.28
0.055484	-15581	-146.93
0.064790	-15471	-162.07
0.075138	-15388	-178.24
0.086591	-15323	-195.15
0.099213	-15224	-212.91
0.11307	-15177	-231.99
0.12823	-15011	-250.76
0.14475	-14972	-270.97
0.16271	-14885	-291.82
0.18218	-14816	-313.64
0.20322	-14722	-336.56
0.22591	-14682	-360.49
0.25031	-14615	-385.32
0.27650	-14580	-411.37
0.30455	-14565	-438.81
0.33454	-14531	-466.61
0.36653	-14495	-495.91
0.40060	-14467	-525.99
0.43683	-14450	-557.29
0.47530	-14404	-589.49
0.51608	-14401	-623.13
0.55924	-14369	-657.88
0.60487	-14357	-693.55
0.65304	-14343	-730.34
0.70384	-14319	-768.07
0.75734	-14320	-807.48
0.81363	-14306	-847.66
0.87278	-14286	-889.11
0.93488	-14283	-931.77
1.0000	-14270	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -14695.72737406253
