# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 18:39:33 AEST 2020 [seed=1595737813116]
# -threads 8 xml/biphone_binary_SMGR_2020-07-23_ch2.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-14307.164816950431	-16477.29687087191	-2170.1320539214776	1.0	-16477.29687087191
60000	-14294.844866632664	-16462.899007345895	-2168.054140713231	1.0	-16462.899007345895
70000	-14317.465270186536	-16487.78663265903	-2170.321362472494	1.0	-16487.78663265903
80000	-14307.287555738649	-16468.23427802899	-2160.9467222903427	1.0	-16468.23427802899
90000	-14294.220824662474	-16455.11848816002	-2160.8976634975456	1.0	-16455.11848816002
100000	-14296.728916634667	-16474.850311748833	-2178.121395114166	1.0	-16474.850311748833
110000	-14302.776309549845	-16471.573534762567	-2168.797225212722	1.0	-16471.573534762567
120000	-14327.71912094626	-16485.21299776529	-2157.4938768190314	1.0	-16485.21299776529
130000	-14293.007319795468	-16461.80692786251	-2168.799608067044	1.0	-16461.80692786251
140000	-14269.84072885317	-16438.95952754355	-2169.118798690378	1.0	-16438.95952754355
150000	-14293.267744487193	-16457.255110168015	-2163.987365680821	1.0	-16457.255110168015
160000	-14301.202316818999	-16466.021258637633	-2164.8189418186344	1.0	-16466.021258637633
170000	-14292.921498721666	-16462.841932457533	-2169.9204337358683	1.0	-16462.841932457533
180000	-14287.664117229051	-16442.543145853648	-2154.879028624596	1.0	-16442.543145853648
190000	-14307.320289117819	-16470.325848690125	-2163.005559572306	1.0	-16470.325848690125
200000	-14302.137768200924	-16465.182679565336	-2163.044911364412	1.0	-16465.182679565336
210000	-14299.892499323902	-16461.808010390887	-2161.915511066986	1.0	-16461.808010390887
220000	-14298.234387195835	-16450.481895095047	-2152.2475078992125	1.0	-16450.481895095047
230000	-14309.620154745417	-16451.589236214015	-2141.969081468598	1.0	-16451.589236214015
240000	-14314.230965072335	-16480.307776795555	-2166.07681172322	1.0	-16480.307776795555
250000	-14323.04669629356	-16498.25784978184	-2175.2111534882797	1.0	-16498.25784978184
260000	-14316.861865294997	-16479.95228268898	-2163.0904173939834	1.0	-16479.95228268898
270000	-14308.790588616686	-16459.856994502436	-2151.066405885749	1.0	-16459.856994502436
280000	-14299.572175252675	-16441.33339291399	-2141.761217661316	1.0	-16441.33339291399
290000	-14315.003347855996	-16461.386397575818	-2146.383049719822	1.0	-16461.386397575818
300000	-14305.265900563096	-16450.406631823556	-2145.1407312604606	1.0	-16450.406631823556
310000	-14297.22754282733	-16453.777209412045	-2156.5496665847145	1.0	-16453.777209412045
320000	-14272.097917806765	-16429.51250476249	-2157.4145869557246	1.0	-16429.51250476249
330000	-14287.177014697336	-16444.09418626843	-2156.9171715710945	1.0	-16444.09418626843
340000	-14284.209840138976	-16431.251052881184	-2147.0412127422082	1.0	-16431.251052881184
350000	-14306.471992973225	-16452.701095758588	-2146.2291027853626	1.0	-16452.701095758588
360000	-14302.400398907252	-16459.74136579685	-2157.3409668895983	1.0	-16459.74136579685
370000	-14305.22261823502	-16454.69655436864	-2149.473936133617	1.0	-16454.69655436864
380000	-14312.193376552668	-16463.065119261795	-2150.8717427091274	1.0	-16463.065119261795
390000	-14306.935321202309	-16452.05017738472	-2145.1148561824125	1.0	-16452.05017738472
400000	-14307.474380503338	-16453.462628931837	-2145.9882484284994	1.0	-16453.462628931837
410000	-14311.543999583544	-16476.383391678315	-2164.839392094771	1.0	-16476.383391678315
420000	-14286.228803690918	-16463.191367450818	-2176.9625637599	1.0	-16463.191367450818
430000	-14282.687261740803	-16442.229844718637	-2159.5425829778337	1.0	-16442.229844718637
440000	-14304.989062614579	-16452.79314334373	-2147.804080729151	1.0	-16452.79314334373
450000	-14284.18343766494	-16438.365359285643	-2154.1819216207027	1.0	-16438.365359285643
460000	-14275.061059245925	-16430.783372375303	-2155.722313129377	1.0	-16430.783372375303
470000	-14286.076650191153	-16478.865928237217	-2192.789278046065	1.0	-16478.865928237217
480000	-14283.076900508157	-16445.272293656446	-2162.19539314829	1.0	-16445.272293656446
490000	-14290.138034268039	-16462.434411958995	-2172.296377690957	1.0	-16462.434411958995
500000	-14288.211092013176	-16456.714234252402	-2168.5031422392262	1.0	-16456.714234252402
510000	-14290.849606991036	-16466.382035190614	-2175.5324281995786	1.0	-16466.382035190614
520000	-14289.955172837354	-16452.39553032916	-2162.4403574918056	1.0	-16452.39553032916
530000	-14302.873570201376	-16455.144321507556	-2152.2707513061796	1.0	-16455.144321507556
540000	-14320.264001533189	-16487.147692935083	-2166.883691401893	1.0	-16487.147692935083
550000	-14287.793894971317	-16462.87753152016	-2175.083636548844	0.9348750848354606	-15532.38616622173
560000	-14292.081652355826	-16450.058898082087	-2157.977245726261	0.9348750848354606	-15519.288292947744
570000	-14314.611737665186	-16485.079588859553	-2170.4678511943666	0.9348750848354606	-15552.841713830787
580000	-14301.310256819632	-16471.74388528818	-2170.4336284685473	0.9348750848354606	-15540.372268071042
590000	-14312.777546290296	-16476.652365289912	-2163.8748189996163	0.9348750848354606	-15544.533941818832
600000	-14285.817560953768	-16443.331675577672	-2157.514114623903	0.9348750848354606	-15512.96901886447
610000	-14297.519873664258	-16455.42634055328	-2157.906466889022	0.9348750848354606	-15524.301571717579
620000	-14297.161678854747	-16471.12028312468	-2173.958604269934	0.9348750848354606	-15540.01884169556
630000	-14282.820274779611	-16448.18164408633	-2165.3613693067177	0.9348750848354606	-15518.014185380944
640000	-14295.464885425148	-16442.270004892645	-2146.8051194674977	0.9348750848354606	-15511.27906699168
650000	-14313.688965888872	-16471.417004610314	-2157.7280387214423	0.9348750848354606	-15539.239225015197
660000	-14299.194789786665	-16446.515648638902	-2147.3208588522375	0.9348750848354606	-15515.281801032821
670000	-14311.698589128417	-16477.432176957223	-2165.733587828807	0.9348750848354606	-15545.384020479778
680000	-14337.37712876475	-16498.126123553182	-2160.7489947884324	0.9348750848354606	-15564.405654360371
690000	-14315.383674763765	-16474.23364477092	-2158.8499700071548	0.9348750848354606	-15541.945497404096
