PathParameter	MeanPathLikelihood	MLContribution
0.0000	-30359	-0.066096
2.1715e-06	-30516	-0.59994
2.1888e-05	-30342	-1.7405
8.4561e-05	-25199	-3.1620
0.00022061	-21284	-4.9762
0.00046416	-19581	-7.4591
0.00085232	-18852	-10.765
0.0014248	-18755	-14.804
0.0022237	-18310	-19.475
0.0032929	-18119	-25.048
0.0046784	-18037	-31.091
0.0064280	-17504	-37.402
0.0085909	-17081	-44.565
0.011218	-16847	-52.737
0.014361	-16707	-61.811
0.018075	-16584	-71.592
0.022413	-16421	-82.198
0.027432	-16331	-93.598
0.033190	-16181	-105.78
0.039745	-16095	-118.79
0.047156	-15964	-132.25
0.055484	-15798	-146.74
0.064790	-15736	-162.23
0.075138	-15619	-178.25
0.086591	-15509	-195.07
0.099213	-15401	-212.92
0.11307	-15331	-231.70
0.12823	-15241	-251.23
0.14475	-15164	-271.72
0.16271	-15091	-293.10
0.18218	-15022	-315.55
0.20322	-14971	-338.96
0.22591	-14911	-363.28
0.25031	-14863	-388.84
0.27650	-14831	-415.47
0.30455	-14792	-443.04
0.33454	-14759	-471.84
0.36653	-14739	-501.80
0.40060	-14715	-532.75
0.43683	-14693	-564.79
0.47530	-14673	-597.96
0.51608	-14656	-632.37
0.55924	-14645	-667.86
0.60487	-14628	-704.39
0.65304	-14615	-742.22
0.70384	-14607	-781.29
0.75734	-14600	-821.43
0.81363	-14589	-862.71
0.87278	-14582	-905.23
0.93488	-14574	-948.95
1.0000	-14569	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -14863.611120605046

Inner area for path parameter in (2.1715e-06,0.93488) = -14864
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-17910	-0.065757
2.1715e-06	-17914	-0.58799
2.1888e-05	-18068	-1.7588
8.4561e-05	-18055	-3.0402
0.00022061	-17898	-4.9267
0.00046416	-17886	-7.4904
0.00085232	-17162	-10.699
0.0014248	-17869	-14.891
0.0022237	-17450	-19.468
0.0032929	-17293	-25.017
0.0046784	-17437	-31.465
0.0064280	-16518	-37.384
0.0085909	-16534	-44.606
0.011218	-16374	-52.691
0.014361	-16350	-61.804
0.018075	-16204	-71.652
0.022413	-15994	-82.098
0.027432	-15998	-93.678
0.033190	-15871	-105.71
0.039745	-15654	-118.72
0.047156	-15700	-132.51
0.055484	-15501	-146.57
0.064790	-15382	-161.99
0.075138	-15365	-178.14
0.086591	-15296	-195.19
0.099213	-15196	-212.87
0.11307	-15163	-231.73
0.12823	-15050	-251.07
0.14475	-14983	-271.71
0.16271	-14914	-293.02
0.18218	-14882	-315.47
0.20322	-14836	-338.81
0.22591	-14807	-363.41
0.25031	-14755	-388.67
0.27650	-14725	-415.44
0.30455	-14701	-443.02
0.33454	-14684	-471.75
0.36653	-14662	-501.77
0.40060	-14667	-532.82
0.43683	-14632	-564.70
0.47530	-14615	-597.92
0.51608	-14616	-632.30
0.55924	-14596	-667.80
0.60487	-14589	-704.43
0.65304	-14581	-742.15
0.70384	-14577	-781.24
0.75734	-14579	-821.51
0.81363	-14560	-862.70
0.87278	-14564	-905.29
0.93488	-14554	-948.95
1.0000	-14544	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -14862.715820417736
