# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 18:19:52 AEST 2020 [seed=1595737812344]
# -threads 8 xml/biphone_binary_SMGS_2020-07-23_ch2.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-14565.181978355797	-15550.116778386044	-984.9348000302472	1.0	-15550.116778386044
60000	-14584.117073892743	-15570.144044899389	-986.0269710066465	1.0	-15570.144044899389
70000	-14569.45001347274	-15556.250536063098	-986.8005225903588	1.0	-15556.250536063098
80000	-14574.469870605893	-15558.181379807476	-983.7115092015829	1.0	-15558.181379807476
90000	-14570.350436404355	-15564.34104321785	-993.9906068134952	1.0	-15564.34104321785
100000	-14564.09427023488	-15553.893485225988	-989.7992149911081	1.0	-15553.893485225988
110000	-14582.08411182319	-15579.0497240045	-996.9656121813117	1.0	-15579.0497240045
120000	-14579.544745658026	-15575.933262277693	-996.3885166196661	1.0	-15575.933262277693
130000	-14576.459570665907	-15574.548864292225	-998.0892936263164	1.0	-15574.548864292225
140000	-14558.10455043421	-15544.008486099634	-985.9039356654242	1.0	-15544.008486099634
150000	-14559.707195049048	-15549.444023221271	-989.7368281722227	1.0	-15549.444023221271
160000	-14574.653288666	-15553.995446080224	-979.3421574142232	1.0	-15553.995446080224
170000	-14569.203303779432	-15546.981585731328	-977.7782819518966	1.0	-15546.981585731328
180000	-14566.95401252754	-15552.375072330813	-985.4210598032727	1.0	-15552.375072330813
190000	-14590.717563190703	-15591.325452988856	-1000.6078897981525	1.0	-15591.325452988856
200000	-14554.14730699671	-15559.55828706931	-1005.410980072601	1.0	-15559.55828706931
210000	-14566.75172171952	-15563.816267645387	-997.0645459258664	1.0	-15563.816267645387
220000	-14563.175082092846	-15543.73608081896	-980.5609987261143	1.0	-15543.73608081896
230000	-14568.048774046902	-15556.491879038993	-988.4431049920908	1.0	-15556.491879038993
240000	-14570.625790759588	-15563.349197185125	-992.7234064255366	1.0	-15563.349197185125
250000	-14568.646417661485	-15572.797712288711	-1004.1512946272261	1.0	-15572.797712288711
260000	-14561.153789464019	-15563.834048570025	-1002.6802591060065	1.0	-15563.834048570025
270000	-14577.79641390421	-15561.027178057115	-983.2307641529043	1.0	-15561.027178057115
280000	-14552.965096533102	-15541.607015385278	-988.6419188521751	1.0	-15541.607015385278
290000	-14574.341320193214	-15566.067460916043	-991.7261407228281	1.0	-15566.067460916043
300000	-14603.040689939555	-15585.869844915727	-982.8291549761724	1.0	-15585.869844915727
310000	-14567.307947597963	-15548.223720073107	-980.9157724751436	1.0	-15548.223720073107
320000	-14554.48768147951	-15543.31022257636	-988.822541096849	1.0	-15543.31022257636
330000	-14562.371726460191	-15543.502421564313	-981.1306951041233	1.0	-15543.502421564313
340000	-14572.073699392935	-15562.066757769306	-989.9930583763703	1.0	-15562.066757769306
350000	-14561.451313944535	-15552.793274019015	-991.3419600744795	1.0	-15552.793274019015
360000	-14562.34030301509	-15559.84188693834	-997.5015839232509	1.0	-15559.84188693834
370000	-14570.921104535093	-15575.155371517558	-1004.2342669824657	1.0	-15575.155371517558
380000	-14572.485511121451	-15586.207456310065	-1013.7219451886139	1.0	-15586.207456310065
390000	-14576.096222764167	-15582.245619764126	-1006.1493969999598	1.0	-15582.245619764126
400000	-14557.47202648363	-15561.748825145547	-1004.2767986619166	1.0	-15561.748825145547
410000	-14552.602155845334	-15550.356572612905	-997.7544167675713	1.0	-15550.356572612905
420000	-14571.47127649179	-15557.611260274809	-986.1399837830191	1.0	-15557.611260274809
430000	-14572.056383642424	-15558.259880859972	-986.2034972175474	1.0	-15558.259880859972
440000	-14579.791775913576	-15566.814083323548	-987.0223074099722	1.0	-15566.814083323548
450000	-14572.424139907609	-15567.922821197413	-995.4986812898046	1.0	-15567.922821197413
460000	-14582.489988373576	-15569.764981078526	-987.27499270495	1.0	-15569.764981078526
470000	-14570.925052628338	-15553.293509289431	-982.3684566610939	1.0	-15553.293509289431
480000	-14584.122205358084	-15579.146091229268	-995.0238858711834	1.0	-15579.146091229268
490000	-14562.390884802684	-15552.906248880523	-990.5153640778392	1.0	-15552.906248880523
500000	-14579.618718330797	-15577.122089043078	-997.50337071228	1.0	-15577.122089043078
510000	-14569.379031312326	-15551.488135361273	-982.1091040489465	1.0	-15551.488135361273
520000	-14579.004785445819	-15557.054455596586	-978.0496701507676	1.0	-15557.054455596586
530000	-14556.806910405543	-15551.965160015068	-995.1582496095256	1.0	-15551.965160015068
540000	-14576.40791537263	-15571.692070614316	-995.2841552416854	1.0	-15571.692070614316
550000	-14586.955808600393	-15569.439239105219	-982.483430504827	0.9348750848354606	-14619.464979561233
560000	-14572.2685429123	-15554.285823708982	-982.0172807966825	0.9348750848354606	-14605.268071096933
570000	-14584.185985391068	-15576.589258771388	-992.4032733803192	0.9348750848354606	-14626.79538372893
580000	-14577.261660372182	-15562.254891405082	-984.9932310328996	0.9348750848354606	-14612.911962442051
