PathParameter	MeanPathLikelihood	MLContribution
0.0000	-30189	-0.066097
2.1715e-06	-30687	-0.60756
2.1888e-05	-30944	-1.7491
8.4561e-05	-24871	-3.1444
0.00022061	-21352	-5.0010
0.00046416	-19717	-7.4562
0.00085232	-18701	-10.713
0.0014248	-18723	-14.747
0.0022237	-18198	-19.395
0.0032929	-18081	-25.031
0.0046784	-18049	-31.287
0.0064280	-17716	-37.607
0.0085909	-17059	-44.532
0.011218	-16845	-52.728
0.014361	-16704	-61.837
0.018075	-16601	-71.589
0.022413	-16402	-82.228
0.027432	-16362	-93.625
0.033190	-16159	-105.75
0.039745	-16109	-118.83
0.047156	-15958	-132.29
0.055484	-15812	-146.97
0.064790	-15773	-162.40
0.075138	-15616	-178.32
0.086591	-15524	-195.20
0.099213	-15406	-212.76
0.11307	-15303	-231.34
0.12823	-15221	-251.11
0.14475	-15169	-271.74
0.16271	-15089	-293.12
0.18218	-15026	-315.73
0.20322	-14985	-339.11
0.22591	-14911	-363.28
0.25031	-14864	-388.78
0.27650	-14825	-415.28
0.30455	-14784	-442.89
0.33454	-14758	-471.84
0.36653	-14740	-501.79
0.40060	-14713	-532.68
0.43683	-14691	-564.76
0.47530	-14673	-597.92
0.51608	-14654	-632.36
0.55924	-14646	-667.85
0.60487	-14626	-704.36
0.65304	-14616	-742.21
0.70384	-14606	-781.28
0.75734	-14600	-821.40
0.81363	-14587	-862.67
0.87278	-14582	-905.22
0.93488	-14574	-949.00
1.0000	-14570	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -14863.599662155499

Inner area for path parameter in (2.1715e-06,0.93488) = -14864
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-17910	-0.065387
2.1715e-06	-18034	-0.59132
2.1888e-05	-18108	-1.7948
8.4561e-05	-18061	-2.9980
0.00022061	-17898	-4.9026
0.00046416	-17886	-7.5415
0.00085232	-17795	-10.633
0.0014248	-17869	-14.868
0.0022237	-17450	-19.378
0.0032929	-17293	-24.959
0.0046784	-17620	-31.485
0.0064280	-16777	-37.798
0.0085909	-16534	-44.547
0.011218	-16442	-52.764
0.014361	-16350	-61.799
0.018075	-16204	-71.740
0.022413	-16045	-82.043
0.027432	-16048	-93.898
0.033190	-15938	-105.69
0.039745	-15762	-118.91
0.047156	-15700	-132.43
0.055484	-15607	-146.74
0.064790	-15511	-162.52
0.075138	-15365	-178.03
0.086591	-15296	-195.34
0.099213	-15196	-212.83
0.11307	-15163	-231.42
0.12823	-15050	-250.68
0.14475	-15068	-272.10
0.16271	-14979	-293.21
0.18218	-14928	-315.62
0.20322	-14867	-339.20
0.22591	-14838	-363.39
0.25031	-14777	-388.67
0.27650	-14725	-415.22
0.30455	-14728	-442.91
0.33454	-14688	-471.79
0.36653	-14662	-501.61
0.40060	-14667	-532.76
0.43683	-14632	-564.61
0.47530	-14620	-597.89
0.51608	-14616	-632.26
0.55924	-14596	-667.89
0.60487	-14589	-704.35
0.65304	-14582	-742.10
0.70384	-14583	-781.24
0.75734	-14579	-821.52
0.81363	-14560	-862.62
0.87278	-14564	-905.27
0.93488	-14557	-948.96
1.0000	-14553	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -14863.592121959073
