PathParameter	MeanPathLikelihood	MLContribution
0.0000	-38010	-0.082728
2.1715e-06	-38183	-0.75193
2.1888e-05	-38093	-2.3813
8.4561e-05	-37896	-5.1510
0.00022061	-37825	-9.0309
0.00046416	-36337	-12.191
0.00085232	-26476	-13.404
0.0014248	-20351	-16.136
0.0022237	-20048	-21.135
0.0032929	-19486	-26.838
0.0046784	-19253	-33.533
0.0064280	-19079	-41.003
0.0085909	-18836	-49.402
0.011218	-18775	-58.608
0.014361	-18515	-68.382
0.018075	-18315	-79.155
0.022413	-18176	-90.749
0.027432	-17983	-103.08
0.033190	-17821	-116.00
0.039745	-17575	-129.84
0.047156	-17464	-144.74
0.055484	-17295	-160.25
0.064790	-17143	-176.39
0.075138	-16951	-193.56
0.086591	-16852	-211.72
0.099213	-16696	-230.54
0.11307	-16578	-250.54
0.12823	-16479	-271.43
0.14475	-16370	-293.55
0.16271	-16315	-316.57
0.18218	-16209	-340.25
0.20322	-16132	-364.90
0.22591	-16038	-390.51
0.25031	-15969	-417.67
0.27650	-15927	-445.98
0.30455	-15872	-475.07
0.33454	-15816	-505.36
0.36653	-15777	-537.06
0.40060	-15745	-570.10
0.43683	-15724	-604.04
0.47530	-15683	-639.22
0.51608	-15670	-675.72
0.55924	-15639	-712.98
0.60487	-15611	-751.79
0.65304	-15600	-791.88
0.70384	-15577	-833.01
0.75734	-15562	-875.54
0.81363	-15549	-919.34
0.87278	-15536	-964.42
0.93488	-15526	-1010.7
1.0000	-15514	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -15951.707628269829

Inner area for path parameter in (2.1715e-06,0.93488) = -15952
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-28451	-0.082537
2.1715e-06	-37361	-0.75281
2.1888e-05	-35628	-2.3870
8.4561e-05	-28956	-5.1276
0.00022061	-27098	-8.9879
0.00046416	-26736	-12.468
0.00085232	-19226	-13.286
0.0014248	-19033	-16.026
0.0022237	-18777	-21.074
0.0032929	-18861	-26.854
0.0046784	-18586	-33.509
0.0064280	-18446	-41.053
0.0085909	-18231	-49.278
0.011218	-18298	-58.763
0.014361	-18068	-68.437
0.018075	-17914	-79.065
0.022413	-17739	-90.761
0.027432	-17682	-103.21
0.033190	-17446	-116.11
0.039745	-17227	-129.47
0.047156	-17157	-144.65
0.055484	-17111	-160.56
0.064790	-16928	-176.81
0.075138	-16678	-193.27
0.086591	-16625	-211.71
0.099213	-16471	-230.33
0.11307	-16431	-250.63
0.12823	-16309	-271.61
0.14475	-16204	-293.28
0.16271	-16195	-316.93
0.18218	-16057	-340.22
0.20322	-15976	-364.98
0.22591	-15934	-390.75
0.25031	-15887	-417.59
0.27650	-15846	-446.07
0.30455	-15799	-475.27
0.33454	-15740	-505.37
0.36653	-15688	-536.61
0.40060	-15691	-570.11
0.43683	-15662	-604.34
0.47530	-15640	-639.11
0.51608	-15613	-675.90
0.55924	-15593	-713.30
0.60487	-15571	-751.57
0.65304	-15564	-792.02
0.70384	-15543	-832.97
0.75734	-15526	-875.58
0.81363	-15522	-919.40
0.87278	-15513	-964.42
0.93488	-15493	-1010.8
1.0000	-15494	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -15952.85783560803
