PathParameter	MeanPathLikelihood	MLContribution
0.0000	-38208	-0.082972
2.1715e-06	-38210	-0.75320
2.1888e-05	-38194	-2.3933
8.4561e-05	-38178	-5.1639
0.00022061	-37731	-9.2199
0.00046416	-37983	-13.019
0.00085232	-29096	-14.007
0.0014248	-19837	-15.781
0.0022237	-19673	-20.845
0.0032929	-19318	-26.691
0.0046784	-19210	-33.439
0.0064280	-19016	-40.927
0.0085909	-18829	-49.297
0.011218	-18702	-58.413
0.014361	-18464	-68.354
0.018075	-18351	-79.176
0.022413	-18150	-90.617
0.027432	-17957	-102.98
0.033190	-17813	-116.15
0.039745	-17629	-130.08
0.047156	-17477	-144.62
0.055484	-17255	-159.94
0.064790	-17116	-176.39
0.075138	-16976	-193.56
0.086591	-16826	-211.50
0.099213	-16688	-230.56
0.11307	-16591	-250.61
0.12823	-16476	-271.56
0.14475	-16389	-293.73
0.16271	-16316	-317.10
0.18218	-16262	-341.38
0.20322	-16187	-366.63
0.22591	-16135	-393.34
0.25031	-16103	-421.23
0.27650	-16064	-450.20
0.30455	-16036	-480.31
0.33454	-16002	-511.61
0.36653	-15981	-544.16
0.40060	-15959	-577.84
0.43683	-15938	-612.71
0.47530	-15919	-648.84
0.51608	-15905	-686.25
0.55924	-15892	-724.89
0.60487	-15880	-764.76
0.65304	-15870	-805.93
0.70384	-15861	-848.30
0.75734	-15850	-892.00
0.81363	-15845	-937.05
0.87278	-15838	-983.25
0.93488	-15830	-1030.8
1.0000	-15824	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -16148.37910916048

Inner area for path parameter in (2.1715e-06,0.93488) = -16148
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-37979	-0.082970
2.1715e-06	-37821	-0.75335
2.1888e-05	-37274	-2.3937
8.4561e-05	-35541	-5.1935
0.00022061	-20919	-8.4724
0.00046416	-20241	-12.369
0.00085232	-18979	-12.160
0.0014248	-18792	-15.741
0.0022237	-18656	-20.869
0.0032929	-18600	-26.659
0.0046784	-18519	-33.445
0.0064280	-18270	-40.951
0.0085909	-18305	-49.227
0.011218	-18029	-58.512
0.014361	-17894	-68.200
0.018075	-18015	-79.304
0.022413	-17702	-90.595
0.027432	-17519	-102.93
0.033190	-17409	-115.99
0.039745	-17254	-130.02
0.047156	-17157	-144.99
0.055484	-16988	-159.91
0.064790	-16866	-176.34
0.075138	-16720	-193.65
0.086591	-16561	-211.54
0.099213	-16492	-230.65
0.11307	-16372	-250.83
0.12823	-16304	-271.51
0.14475	-16251	-293.80
0.16271	-16166	-316.95
0.18218	-16147	-341.60
0.20322	-16069	-366.51
0.22591	-16058	-393.24
0.25031	-16019	-421.30
0.27650	-15991	-450.10
0.30455	-15943	-480.19
0.33454	-15948	-511.61
0.36653	-15916	-544.13
0.40060	-15912	-577.91
0.43683	-15890	-612.72
0.47530	-15873	-648.85
0.51608	-15864	-686.18
0.55924	-15861	-724.94
0.60487	-15848	-764.75
0.65304	-15844	-805.96
0.70384	-15829	-848.30
0.75734	-15823	-891.93
0.81363	-15817	-937.04
0.87278	-15817	-983.35
0.93488	-15807	-1030.8
1.0000	-15802	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -16145.40431026496
