# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 14:30:15 AEST 2020 [seed=1595737812876]
# -threads 8 xml/biphone_binary_SMHS_2020-07-23_ch1.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-25371.215430542183	-901.4000963208716	-24469.81533422131	3706.598131858771	3706.598131858771	18511.429638703317	0.0	38.614909362760535	16.533919281941362	87.77329213250732	17.08972625827182	357.8645693776403	89.84410058916194	223.98299002030635	132.06644326331894	335.5102882115375	286.91273061422135	203.30859564902477	308.2901829521601	0.005512428727520996	131.96961495603688	77.95228029974042	106.26183568262041	3500.0	102.75150578676413	0.0	38.614909362760535	16.533919281941362	87.77329213250732	17.08972625827182	357.8645693776403	89.84410058916194	223.98299002030635	132.06644326331894	335.5102882115375	286.91273061422135	203.30859564902477	308.2901829521601	0.005512428727520996	131.96961495603688	77.95228029974042	106.26183568262041	3500.0	102.75150578676413	0.001	0.0	0.366	0.001	9.999999999999998E-4	-24469.81533422131	0.0	-882.8668213093523
10000	-17592.12375139703	-774.5604361819368	-16817.563315215095	3999.934575521437	3999.934575521437	32744.79676851062	0.0	29.16050154068453	111.52617044574319	218.61507762929068	87.27258486351323	143.20580579224193	135.1488917974722	123.79889320615311	242.06931982996434	217.96900565595476	205.595148423459	308.0782058259478	427.6727917022596	100.74055039251412	154.13222665241636	307.52835592705816	239.10803742209853	3649.2333256533716	238.11226946953138	0.0	29.16050154068453	111.52617044574319	218.61507762929068	87.27258486351323	143.20580579224193	135.1488917974722	123.79889320615311	242.06931982996434	217.96900565595476	205.595148423459	308.0782058259478	427.6727917022596	100.74055039251412	154.13222665241636	307.52835592705816	239.10803742209853	3649.2333256533716	238.11226946953138	0.005075220979319643	0.0	0.366	3.572817356903676E-4	3.5728173569036766E-4	-16817.563315215095	0.0	-756.9392849689465
20000	-16989.15750112092	-909.8145195269195	-16079.342981594002	4477.608498199158	4477.608498199158	140714.8258712567	0.0	223.89162385022036	927.1455977283501	1114.3317113128196	758.4877298517102	753.8569325162307	829.5705939766511	678.2754721972999	1763.9515348159814	1844.2518827876966	1126.2695840394808	1749.3407513498203	2614.277253477846	842.549315995445	965.2416304213486	1431.563300257751	1527.9589021994816	4383.869024879753	1520.9744569153056	0.0	223.89162385022036	927.1455977283501	1114.3317113128196	758.4877298517102	753.8569325162307	829.5705939766511	678.2754721972999	1763.9515348159814	1844.2518827876966	1126.2695840394808	1749.3407513498203	2614.277253477846	842.549315995445	965.2416304213486	1431.563300257751	1527.9589021994816	4383.869024879753	1520.9744569153056	0.0013315097712643595	0.0	0.366	5.67394703698562E-5	5.673947036985625E-5	-16079.342981594002	0.0	-892.2952418680821
30000	-16892.662327726266	-962.8402967287088	-15929.822030997557	5746.0250443370005	5746.0250443370005	236326.457890486	0.0	320.6106604287097	1803.817613367245	2150.005294501138	800.1241986231367	1208.0822293504682	1281.0461714418614	1455.543028198329	2892.7854137842214	2116.3983344338462	1583.8600135020524	3141.829056039782	4512.368477584388	1406.7353340740804	1563.5444048884992	2788.3997081611833	2666.592866990098	4417.74984778713	2888.9820021889745	0.0	320.6106604287097	1803.817613367245	2150.005294501138	800.1241986231367	1208.0822293504682	1281.0461714418614	1455.543028198329	2892.7854137842214	2116.3983344338462	1583.8600135020524	3141.829056039782	4512.368477584388	1406.7353340740804	1563.5444048884992	2788.3997081611833	2666.592866990098	4417.74984778713	2888.9820021889745	7.950740473096036E-4	0.0	0.366	3.4268396627954856E-5	3.4268396627954836E-5	-15929.822030997557	0.0	-946.8674333755353
40000	-16835.98012205295	-952.9000589156386	-15883.080063137311	5358.988898989499	5358.988898989499	218945.78535390334	0.0	189.88775441833732	2075.0149516826655	1989.6764326973346	1175.4685587500164	1358.4133858815464	1130.3740380736433	1345.7920598064766	2644.245403077437	1635.3072484406498	1616.3106638530785	2893.029517632808	4156.718584982413	1651.6231360772806	1219.2331858404325	2506.229451430116	2630.954081636828	3357.7922023438127	2465.568015253	0.0	189.88775441833732	2075.0149516826655	1989.6764326973346	1175.4685587500164	1358.4133858815464	1130.3740380736433	1345.7920598064766	2644.245403077437	1635.3072484406498	1616.3106638530785	2893.029517632808	4156.718584982413	1651.6231360772806	1219.2331858404325	2506.229451430116	2630.954081636828	3357.7922023438127	2465.568015253	8.636198382966645E-4	0.0	0.366	3.5533189804898056E-5	3.553318980489805E-5	-15883.080063137311	0.0	-938.3296365178688
50000	-16851.381421892234	-988.2690128131302	-15863.112409079105	7065.201076584766	7065.201076584766	297840.549193233	0.0	353.0468442686575	2934.3961429682317	3495.402568749236	1681.6482920848355	1901.5097051023433	1794.7190079166517	1934.7544304232115	3845.747220118525	2113.0310843865386	1825.4534348063162	3784.4592585777086	5777.214923440482	2223.6585867174117	1512.6932975443565	3266.2640768776837	3600.1656882267416	3766.5384639059725	3255.9950125753085	0.0	353.0468442686575	2934.3961429682317	3495.402568749236	1681.6482920848355	1901.5097051023433	1794.7190079166517	1934.7544304232115	3845.747220118525	2113.0310843865386	1825.4534348063162	3784.4592585777086	5777.214923440482	2223.6585867174117	1512.6932975443565	3266.2640768776837	3600.1656882267416	3766.5384639059725	3255.9950125753085	6.863592967598283E-4	0.0	0.366	2.6099731604309475E-5	2.609973160430948E-5	-15863.112409079105	0.0	-971.973713379304
60000	-16812.03721198303	-963.3380277916655	-15848.699184191368	5475.067942639524	5475.067942639524	239233.16304006398	0.0	396.7921943440851	2572.71942387202	2906.3590623714313	1429.8463877634938	1374.5282085549052	1388.7302594231976	1554.9171039006303	3127.2382166925026	1511.4776724353176	1388.6007225967805	3100.421500346305	4838.4922128827275	1611.5683153149141	1309.924190196499	2939.6326962041467	2412.3730584826035	3219.8630961799354	2706.8796816817476	0.0	396.7921943440851	2572.71942387202	2906.3590623714313	1429.8463877634938	1374.5282085549052	1388.7302594231976	1554.9171039006303	3127.2382166925026	1511.4776724353176	1388.6007225967805	3100.421500346305	4838.4922128827275	1611.5683153149141	1309.924190196499	2939.6326962041467	2412.3730584826035	3219.8630961799354	2706.8796816817476	6.942063037538437E-4	0.0	0.366	3.267278400292833E-5	3.267278400292832E-5	-15848.699184191368	0.0	-948.7463221475139
70000	-16809.226220094457	-972.6287844454902	-15836.597435648966	6377.750948897142	6377.750948897142	261261.17405148243	0.0	249.9636340022726	2475.762880008413	2143.476293710825	1016.0864060313314	1306.7623577237184	1615.4229052632345	1615.29481789912	3457.1181040200254	1859.7314919271794	1724.699288009181	3647.961833951755	5312.848980128231	2170.0396383891325	1864.7560310819695	2983.26467244524	2786.716355639154	3380.503421580819	3422.4373176357853	0.0	249.9636340022726	2475.762880008413	2143.476293710825	1016.0864060313314	1306.7623577237184	1615.4229052632345	1615.29481789912	3457.1181040200254	1859.7314919271794	1724.699288009181	3647.961833951755	5312.848980128231	2170.0396383891325	1864.7560310819695	2983.26467244524	2786.716355639154	3380.503421580819	3422.4373176357853	6.869423265835917E-4	0.0	0.366	2.939297426864665E-5	2.9392974268646627E-5	-15836.597435648966	0.0	-957.9087318214989
80000	-16820.671673477867	-975.7805252270515	-15844.891148250816	6383.790585704548	6383.790585704548	268625.3747306603	0.0	588.2746194632238	1762.704576379668	2823.8403452655953	915.0498316379887	1523.102973061468	1676.094051701459	1606.5934530951174	2287.772879313078	2477.157376453064	1848.100305757149	3698.4657655452193	5546.556116881981	2120.692581299432	1471.4122256858227	2697.0140248123753	3190.1973529302322	3222.1933545362526	2791.104627559926	0.0	588.2746194632238	1762.704576379668	2823.8403452655953	915.0498316379887	1523.102973061468	1676.094051701459	1606.5934530951174	2287.772879313078	2477.157376453064	1848.100305757149	3698.4657655452193	5546.556116881981	2120.692581299432	1471.4122256858227	2697.0140248123753	3190.1973529302322	3222.1933545362526	2791.104627559926	7.478343762516751E-4	0.0	0.366	2.8449948028903513E-5	2.844994802890351E-5	-15844.891148250816	0.0	-960.9568163365545
90000	-16818.408772231855	-980.0072410884324	-15838.401531143423	6467.418971050793	6467.418971050793	284251.4285089338	0.0	370.327150008807	2342.0875129372257	2669.5144160566956	1469.2007761494358	1678.2819963640786	1674.604727478638	1912.2210214398729	2839.386868697248	2461.3101299048612	1902.818812762435	3943.182234561188	5557.567703348836	1735.4730801552423	2047.275997930099	2899.164088417272	3121.853845653914	3294.394617784331	3060.3149035987262	0.0	370.327150008807	2342.0875129372257	2669.5144160566956	1469.2007761494358	1678.2819963640786	1674.604727478638	1912.2210214398729	2839.386868697248	2461.3101299048612	1902.818812762435	3943.182234561188	5557.567703348836	1735.4730801552423	2047.275997930099	2899.164088417272	3121.853845653914	3294.394617784331	3060.3149035987262	6.464054746525005E-4	0.0	0.366	2.6334223355586575E-5	2.6334223355586575E-5	-15838.401531143423	0.0	-965.1641986182011
