# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 15:54:04 AEST 2020 [seed=1595737812876]
# -threads 8 xml/biphone_binary_SMHS_2020-07-23_ch1.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-15826.618832651176	-16810.147398557638	-983.5285659064612	1.0	-16810.147398557638
60000	-15818.82177816967	-16795.049157230063	-976.2273790603941	1.0	-16795.049157230063
70000	-15819.02411865663	-16805.41901579395	-986.3948971373179	1.0	-16805.41901579395
80000	-15816.800547994782	-16809.219877823292	-992.4193298285098	1.0	-16809.219877823292
90000	-15809.10412683258	-16789.856810598205	-980.7526837656236	1.0	-16789.856810598205
100000	-15828.727151266663	-16807.902604672676	-979.1754534060129	1.0	-16807.902604672676
110000	-15825.75908605742	-16814.216169206724	-988.4570831493032	1.0	-16814.216169206724
120000	-15825.179236498707	-16804.164328962557	-978.98509246385	1.0	-16804.164328962557
130000	-15837.469619383648	-16823.882618278803	-986.4129988951546	1.0	-16823.882618278803
140000	-15817.735990330855	-16800.47393054285	-982.7379402119926	1.0	-16800.47393054285
150000	-15820.474853920463	-16791.409203621442	-970.9343497009786	1.0	-16791.409203621442
160000	-15823.341336077567	-16816.9382743786	-993.5969383010348	1.0	-16816.9382743786
170000	-15822.988659032544	-16808.930127866042	-985.9414688334974	1.0	-16808.930127866042
180000	-15819.072634676812	-16809.39650662933	-990.3238719525191	1.0	-16809.39650662933
190000	-15828.531869335344	-16822.235709783214	-993.7038404478691	1.0	-16822.235709783214
200000	-15822.319194644626	-16803.887389446118	-981.5681948014914	1.0	-16803.887389446118
210000	-15834.114024060042	-16818.520447227726	-984.4064231676832	1.0	-16818.520447227726
220000	-15820.189708765785	-16808.8029603602	-988.6132515944162	1.0	-16808.8029603602
230000	-15840.000209323165	-16826.766027413207	-986.7658180900423	1.0	-16826.766027413207
240000	-15810.867975920657	-16792.321820508867	-981.4538445882107	1.0	-16792.321820508867
250000	-15819.533429994573	-16807.171470491794	-987.6380404972211	1.0	-16807.171470491794
260000	-15821.187539664126	-16803.512424319408	-982.324884655282	1.0	-16803.512424319408
270000	-15831.298443248836	-16817.071655719676	-985.7732124708407	1.0	-16817.071655719676
280000	-15809.289709184957	-16803.235916226822	-993.9462070418643	1.0	-16803.235916226822
290000	-15810.576101130158	-16801.15566347002	-990.5795623398626	1.0	-16801.15566347002
300000	-15806.887379932554	-16787.050366954038	-980.162987021484	1.0	-16787.050366954038
310000	-15823.527571104776	-16823.925230088455	-1000.3976589836793	1.0	-16823.925230088455
320000	-15828.98985376376	-16799.637665725306	-970.6478119615458	1.0	-16799.637665725306
330000	-15834.35526935947	-16815.46143941248	-981.1061700530091	1.0	-16815.46143941248
340000	-15819.220382743284	-16803.116839484013	-983.8964567407285	1.0	-16803.116839484013
350000	-15818.15434935631	-16803.652796979946	-985.498447623636	1.0	-16803.652796979946
360000	-15836.146441902672	-16821.975057177082	-985.8286152744091	1.0	-16821.975057177082
370000	-15832.616551340567	-16819.9601365193	-987.3435851787342	1.0	-16819.9601365193
380000	-15840.552416640563	-16830.343948755424	-989.7915321148615	1.0	-16830.343948755424
390000	-15834.925404392687	-16806.393618194477	-971.4682138017913	1.0	-16806.393618194477
400000	-15826.680161122133	-16824.542681219595	-997.8625200974618	1.0	-16824.542681219595
410000	-15817.3393381303	-16820.177382530386	-1002.8380444000871	1.0	-16820.177382530386
420000	-15838.87075283678	-16833.64424601371	-994.7734931769324	1.0	-16833.64424601371
430000	-15832.100014860587	-16800.37619649795	-968.2761816373619	1.0	-16800.37619649795
440000	-15829.693542779905	-16825.909840865264	-996.2162980853598	1.0	-16825.909840865264
450000	-15831.43181448472	-16833.72510248048	-1002.2932879957582	1.0	-16833.72510248048
460000	-15834.692931369016	-16828.874256668485	-994.1813252994692	1.0	-16828.874256668485
470000	-15826.949149663746	-16821.307239627484	-994.3580899637378	1.0	-16821.307239627484
480000	-15826.32231319135	-16813.45349873792	-987.1311855465697	1.0	-16813.45349873792
490000	-15834.39553272346	-16817.03254132144	-982.6370085979822	1.0	-16817.03254132144
500000	-15829.403469899256	-16812.77516280984	-983.3716929105851	1.0	-16812.77516280984
510000	-15824.820835940678	-16804.936860750888	-980.1160248102101	1.0	-16804.936860750888
520000	-15825.475457865505	-16798.07285355482	-972.5973956893145	1.0	-16798.07285355482
530000	-15843.691240200118	-16814.39598364885	-970.7047434487316	1.0	-16814.39598364885
540000	-15821.023112700113	-16809.890798755518	-988.8676860554037	1.0	-16809.890798755518
550000	-15823.465836463494	-16811.187331688645	-987.7214952251512	0.9348750848354606	-15780.685461479972
560000	-15829.327683650423	-16804.179745652087	-974.8520620016645	0.9348750848354606	-15773.296123142658
570000	-15820.871549849999	-16807.139398472245	-986.2678486222468	0.9348750848354606	-15776.806480959189
580000	-15813.71813608361	-16802.985115072777	-989.266978989168	0.9348750848354606	-15773.118063024393
590000	-15817.472994555375	-16809.86409976912	-992.3911052137435	0.9348750848354606	-15779.752512881305
600000	-15827.224099854688	-16814.749781272956	-987.5256814182691	0.9348750848354606	-15784.003154479766
610000	-15848.50204691562	-16819.32645819395	-970.8244112783298	0.9348750848354606	-15787.194106903542
620000	-15827.584995665004	-16812.346823286804	-984.7618276217992	0.9348750848354606	-15781.576693184583
630000	-15834.757441167507	-16821.16807674761	-986.4106355801033	0.9348750848354606	-15789.930841740515
640000	-15836.364780841637	-16815.479640508685	-979.1148596670475	0.9348750848354606	-15784.137727641673
650000	-15835.16067492101	-16832.64073594416	-997.4800610231482	0.9348750848354606	-15801.377240373076
660000	-15830.492188554845	-16819.97349781395	-989.4813092591045	0.9348750848354606	-15789.01403702141
670000	-15829.475722379559	-16818.375479740662	-988.8997573611031	0.9348750848354606	-15787.482216221557
680000	-15827.693001327569	-16814.248138857805	-986.5551375302365	0.9348750848354606	-15783.470974895974
690000	-15827.69343654942	-16796.380880768622	-968.6874442192029	0.9348750848354606	-15765.603688463003
700000	-15838.670269696171	-16824.752855718893	-986.0825860227211	0.9348750848354606	-15793.260798085816
710000	-15840.129912685426	-16835.117378332656	-994.9874656472292	0.9348750848354606	-15803.530261573733
720000	-15827.073050383853	-16807.501166260474	-980.4281158766199	0.9348750848354606	-15776.764376551258
730000	-15819.145551166559	-16794.044041067857	-974.8984899012971	0.9348750848354606	-15763.823529072633
740000	-15827.557648082946	-16805.1809814528	-977.6233333698528	0.9348750848354606	-15774.41263235954
750000	-15835.219313804035	-16822.63118309311	-987.411869289077	0.9348750848354606	-15791.363868669749
760000	-15838.591624193445	-16825.02706368488	-986.4354394914351	0.9348750848354606	-15793.540127833496
770000	-15830.587073293871	-16819.990380188476	-989.4033068946044	0.9348750848354606	-15789.024740035358
780000	-15833.48068995987	-16821.95016566266	-988.4694757027892	0.9348750848354606	-15790.79607896965
790000	-15820.418489615186	-16794.61941203192	-974.200922416734	0.9348750848354606	-15764.31600002822
