PathParameter	MeanPathLikelihood	MLContribution
0.0000	-38211	-0.082967
2.1715e-06	-38202	-0.75311
2.1888e-05	-38193	-2.3937
8.4561e-05	-38194	-5.1718
0.00022061	-37831	-9.2591
0.00046416	-38204	-14.768
0.00085232	-37888	-16.518
0.0014248	-19815	-15.777
0.0022237	-19686	-20.850
0.0032929	-19315	-26.704
0.0046784	-19232	-33.417
0.0064280	-18969	-40.887
0.0085909	-18839	-49.379
0.011218	-18755	-58.495
0.014361	-18463	-68.342
0.018075	-18346	-79.113
0.022413	-18126	-90.514
0.027432	-17940	-102.79
0.033190	-17766	-115.96
0.039745	-17617	-129.96
0.047156	-17456	-144.64
0.055484	-17280	-160.20
0.064790	-17148	-176.56
0.075138	-16976	-193.48
0.086591	-16811	-211.43
0.099213	-16690	-230.52
0.11307	-16581	-250.54
0.12823	-16476	-271.68
0.14475	-16403	-293.85
0.16271	-16316	-317.11
0.18218	-16264	-341.47
0.20322	-16194	-366.60
0.22591	-16125	-393.15
0.25031	-16097	-421.16
0.27650	-16064	-450.21
0.30455	-16036	-480.28
0.33454	-16000	-511.59
0.36653	-15983	-544.25
0.40060	-15962	-577.87
0.43683	-15936	-612.71
0.47530	-15921	-648.75
0.51608	-15899	-686.11
0.55924	-15891	-724.82
0.60487	-15878	-764.73
0.65304	-15870	-805.87
0.70384	-15858	-848.33
0.75734	-15854	-892.17
0.81363	-15848	-937.13
0.87278	-15839	-983.35
0.93488	-15833	-1030.9
1.0000	-15826	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -16152.55962423735

Inner area for path parameter in (2.1715e-06,0.93488) = -16152
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-37996	-0.082976
2.1715e-06	-37821	-0.75320
2.1888e-05	-37274	-2.3937
8.4561e-05	-37440	-5.1963
0.00022061	-20919	-8.4558
0.00046416	-37585	-14.829
0.00085232	-22207	-16.621
0.0014248	-18792	-15.734
0.0022237	-18720	-20.898
0.0032929	-18738	-26.661
0.0046784	-18557	-33.451
0.0064280	-18270	-40.869
0.0085909	-18305	-49.253
0.011218	-18228	-58.671
0.014361	-18009	-68.220
0.018075	-18015	-79.292
0.022413	-17788	-90.584
0.027432	-17519	-102.84
0.033190	-17418	-115.84
0.039745	-17317	-129.95
0.047156	-17238	-144.90
0.055484	-17042	-160.17
0.064790	-16885	-176.60
0.075138	-16730	-193.64
0.086591	-16561	-211.32
0.099213	-16531	-230.72
0.11307	-16372	-250.62
0.12823	-16352	-271.53
0.14475	-16282	-294.09
0.16271	-16184	-316.97
0.18218	-16157	-341.62
0.20322	-16069	-366.67
0.22591	-16058	-393.07
0.25031	-16019	-421.19
0.27650	-15991	-450.10
0.30455	-15963	-480.33
0.33454	-15948	-511.48
0.36653	-15933	-544.24
0.40060	-15929	-578.00
0.43683	-15890	-612.66
0.47530	-15873	-648.90
0.51608	-15865	-686.01
0.55924	-15871	-724.97
0.60487	-15848	-764.67
0.65304	-15844	-805.95
0.70384	-15832	-848.19
0.75734	-15834	-892.10
0.81363	-15827	-937.16
0.87278	-15824	-983.42
0.93488	-15814	-1031.0
1.0000	-15807	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -16152.83838223747
