PathParameter	MeanPathLikelihood	MLContribution
0.0000	-42844	-0.092352
2.1715e-06	-42213	-0.76211
2.1888e-05	-35095	-1.9565
8.4561e-05	-27341	-3.3588
0.00022061	-22035	-5.1545
0.00046416	-20294	-7.7601
0.00085232	-19689	-11.101
0.0014248	-19092	-15.038
0.0022237	-18557	-19.779
0.0032929	-18441	-25.348
0.0046784	-18149	-31.609
0.0064280	-17985	-38.409
0.0085909	-17531	-45.177
0.011218	-16864	-52.819
0.014361	-16743	-61.848
0.018075	-16567	-71.580
0.022413	-16432	-82.018
0.027432	-16249	-93.373
0.033190	-16185	-105.51
0.039745	-16008	-118.26
0.047156	-15908	-132.04
0.055484	-15803	-146.53
0.064790	-15685	-161.84
0.075138	-15594	-177.99
0.086591	-15489	-194.86
0.099213	-15388	-212.54
0.11307	-15290	-231.20
0.12823	-15216	-250.51
0.14475	-15101	-270.66
0.16271	-15035	-291.96
0.18218	-14961	-314.01
0.20322	-14886	-337.14
0.22591	-14836	-361.09
0.25031	-14759	-385.79
0.27650	-14702	-411.56
0.30455	-14642	-438.53
0.33454	-14608	-466.80
0.36653	-14574	-495.88
0.40060	-14531	-526.00
0.43683	-14504	-557.32
0.47530	-14474	-589.70
0.51608	-14450	-623.17
0.55924	-14425	-657.80
0.60487	-14407	-693.37
0.65304	-14379	-729.92
0.70384	-14359	-767.92
0.75734	-14347	-806.97
0.81363	-14327	-847.13
0.87278	-14317	-888.69
0.93488	-14306	-931.48
1.0000	-14300	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -14691.349443207584

Inner area for path parameter in (2.1715e-06,0.93488) = -14691
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-18305	-0.091731
2.1715e-06	-18312	-0.73206
2.1888e-05	-17846	-1.8558
8.4561e-05	-18120	-3.1985
0.00022061	-17946	-5.1480
0.00046416	-17887	-7.6930
0.00085232	-18056	-11.101
0.0014248	-17838	-15.059
0.0022237	-17683	-19.666
0.0032929	-17651	-25.375
0.0046784	-17257	-31.607
0.0064280	-17511	-38.774
0.0085909	-16524	-45.293
0.011218	-16339	-52.733
0.014361	-16300	-61.903
0.018075	-16222	-71.607
0.022413	-16028	-82.192
0.027432	-15919	-93.215
0.033190	-15731	-105.47
0.039745	-15694	-118.18
0.047156	-15666	-132.07
0.055484	-15557	-146.52
0.064790	-15487	-161.89
0.075138	-15349	-177.97
0.086591	-15170	-194.53
0.099213	-15176	-212.50
0.11307	-15142	-231.28
0.12823	-15035	-250.76
0.14475	-14937	-270.47
0.16271	-14849	-291.93
0.18218	-14788	-314.03
0.20322	-14748	-336.91
0.22591	-14687	-361.01
0.25031	-14649	-385.76
0.27650	-14585	-411.57
0.30455	-14564	-438.57
0.33454	-14530	-466.82
0.36653	-14494	-496.04
0.40060	-14471	-525.88
0.43683	-14431	-557.24
0.47530	-14409	-589.56
0.51608	-14400	-623.28
0.55924	-14385	-657.77
0.60487	-14358	-693.60
0.65304	-14329	-729.94
0.70384	-14306	-767.67
0.75734	-14299	-807.02
0.81363	-14295	-847.11
0.87278	-14291	-888.79
0.93488	-14275	-931.27
1.0000	-14267	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -14690.638754716574
