# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 17:08:39 AEST 2020 [seed=1595747318382]
# -threads 8 xml/biphone_binary_SSGR_2020-07-23_ch2.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
0	-36942.73865245895	-2100.5074410379657	-34842.231211420985	3537.355027508592	3537.355027508592	18856.122915698827	0.0	62.46469153544426	59.73458412801219	5.624305284249685	44.30407870837191	130.80780503686032	57.209210970861804	295.3931021623391	190.19442144728018	167.9584082514059	234.2105569202646	314.8278702673131	285.7476593462902	38.82212413083963	65.97254464064629	28.35457259889106	107.93574845740217	3500.0	533.2327825101039	0.0	62.46469153544426	59.73458412801219	5.624305284249685	44.30407870837191	130.80780503686032	57.209210970861804	295.3931021623391	190.19442144728018	167.9584082514059	234.2105569202646	314.8278702673131	285.7476593462902	38.82212413083963	65.97254464064629	28.35457259889106	107.93574845740217	3500.0	533.2327825101039	0.001	0.0	0.366	0.5	0.001	0.1	1.6576024782934492E-4	6.844047238516538	0.04192456075759376	-34842.231211420985	-1199.394378775646	-882.403440897655
10000	-16929.331888277502	-1961.0325814892717	-14968.299306788229	3434.8309796760805	3434.8309796760805	22758.545690461404	0.0	8.342478952254343	336.61594803738257	11.027329283459268	15.984646281757737	168.3398265774739	89.34442352010109	158.8536452253231	161.65710496635083	90.15912147636186	120.56272066159548	457.4760732889731	427.52564328204727	52.241599873916115	16.083026780009103	23.599137798871396	179.7307699079428	3243.4174145368393	289.5978602292803	0.0	8.342478952254343	336.61594803738257	11.027329283459268	15.984646281757737	168.3398265774739	89.34442352010109	158.8536452253231	161.65710496635083	90.15912147636186	120.56272066159548	457.4760732889731	427.52564328204727	52.241599873916115	16.083026780009103	23.599137798871396	179.7307699079428	3243.4174145368393	289.5978602292803	0.007828414009817769	0.0	0.366	0.4663720462424137	0.0033890821931575957	0.016725280266968023	6.765494228900388E-4	3.2310064229912867	0.01288782333228046	-14968.299306788229	-1199.394378775646	-743.5886465596972
20000	-16719.035137516064	-1980.4523277346718	-14738.582809781394	3930.5742975799953	3930.5742975799953	29535.494477861288	0.0	37.11451400198245	513.5859086000412	10.03466807481515	22.34302637251731	289.54404205799744	144.51719783655804	285.9785873389491	184.41385807115697	161.71251425227328	200.3760845685058	748.6786712058201	596.3478019795585	74.62469692688008	23.605159734920097	34.7919092727435	231.46935390594317	3567.550101624271	414.1040021508414	0.0	37.11451400198245	513.5859086000412	10.03466807481515	22.34302637251731	289.54404205799744	144.51719783655804	285.9785873389491	184.41385807115697	161.71251425227328	200.3760845685058	748.6786712058201	596.3478019795585	74.62469692688008	23.605159734920097	34.7919092727435	231.46935390594317	3567.550101624271	414.1040021508414	0.00575871384610809	0.0	0.366	0.5150390950988127	0.002257040350754656	0.013589002687290422	4.6764435342638264E-4	3.4986732881329843	-0.016344206343908162	-14738.582809781394	-1199.394378775646	-764.9198480720551
30000	-16730.84914962335	-2009.7268011469887	-14721.122348476361	4015.2164030459676	4015.2164030459676	43243.862437444295	0.0	81.52862795367763	881.1262767860702	10.22154648874798	38.48167179851692	529.8222311483999	250.8516254541186	387.65948956502854	390.2664698399703	280.50042243302005	326.74193972370085	1121.53520992214	870.158106497897	122.02284829433493	40.12320338765005	52.602593657905146	437.85454956361417	3540.803287492463	623.6300179756462	0.0	81.52862795367763	881.1262767860702	10.22154648874798	38.48167179851692	529.8222311483999	250.8516254541186	387.65948956502854	390.2664698399703	280.50042243302005	326.74193972370085	1121.53520992214	870.158106497897	122.02284829433493	40.12320338765005	52.602593657905146	437.85454956361417	3540.803287492463	623.6300179756462	0.004254250006086887	0.0	0.366	0.5014011742891223	0.0012831669914413024	0.007439519794663681	3.314637616365929E-4	3.4724863742207615	-0.011755156586372342	-14721.122348476361	-1199.394378775646	-794.8300749816503
40000	-16713.060516048783	-2033.5686235792762	-14679.491892469508	4572.597577077494	4572.597577077494	54171.94119829971	0.0	45.81571185715803	1276.0464477098076	17.03002757669509	55.87114584022014	578.0342277078465	252.5236358204205	441.1692225990604	425.1862141048709	295.5655101491265	448.49661289418117	1047.7733287881174	1105.2368241930658	159.6370718092979	50.8367199181255	47.26410923064699	486.3146219170507	4236.4689282175505	750.6903694266052	0.0	45.81571185715803	1276.0464477098076	17.03002757669509	55.87114584022014	578.0342277078465	252.5236358204205	441.1692225990604	425.1862141048709	295.5655101491265	448.49661289418117	1047.7733287881174	1105.2368241930658	159.6370718092979	50.8367199181255	47.26410923064699	486.3146219170507	4236.4689282175505	750.6903694266052	0.0035815063839602242	0.0	0.366	0.4806520428263312	9.420493393565842E-4	0.005888274894256949	2.366582638830936E-4	3.6510036219116273	-0.0173792444815928	-14679.491892469508	-1199.394378775646	-819.2801598253944
50000	-16638.235339977524	-2020.040779723738	-14618.194560253787	3589.569940103388	3589.569940103388	50419.67403484465	0.0	106.93587182872983	1243.0759579679911	11.979660416181064	49.002287769144594	390.32004595474683	372.5493570647435	609.7726156979169	862.2786700047952	307.5281702550592	355.8409718190337	455.03754698276776	795.2134354010332	212.93439303006548	53.629565549249826	56.52733339776381	537.4774546497929	3365.948220752041	951.8344995694133	0.0	106.93587182872983	1243.0759579679911	11.979660416181064	49.002287769144594	390.32004595474683	372.5493570647435	609.7726156979169	862.2786700047952	307.5281702550592	355.8409718190337	455.03754698276776	795.2134354010332	212.93439303006548	53.629565549249826	56.52733339776381	537.4774546497929	3365.948220752041	951.8344995694133	0.0036208174225025	0.0	0.366	0.5059774656277475	8.953334723315762E-4	0.00522823066920794	2.621917339186743E-4	3.309821859620005	-0.023405600729624578	-14618.194560253787	-1199.394378775646	-803.8112153263328
60000	-16660.3672242443	-2074.3476520732406	-14586.019572171059	4450.106663396461	4450.106663396461	88723.25160636425	0.0	269.3189355228011	2211.0833818661913	26.14749351474102	68.76055506565967	955.1080729947819	625.6433416779377	1012.8172676232195	1503.2348390413047	602.0309509344758	744.2071385183318	1064.3369475972852	1552.6978775727357	439.71123135322927	105.91952987593204	164.43954615871692	1027.604123083497	3513.345298871768	1920.8788959535748	0.0	269.3189355228011	2211.0833818661913	26.14749351474102	68.76055506565967	955.1080729947819	625.6433416779377	1012.8172676232195	1503.2348390413047	602.0309509344758	744.2071385183318	1064.3369475972852	1552.6978775727357	439.71123135322927	105.91952987593204	164.43954615871692	1027.604123083497	3513.345298871768	1920.8788959535748	0.0020000175326653435	0.0	0.366	0.4358987056707646	4.505354120984499E-4	0.0024041803103899	1.4738555069834862E-4	3.169949778906174	-0.010324384220765249	-14586.019572171059	-1199.394378775646	-861.4112926118812
70000	-16666.856216858	-2087.156212010893	-14579.700004847105	4993.059101690469	4993.059101690469	100304.01784879692	0.0	208.05343934385266	2407.829875488548	30.26535299382793	164.56990106159603	970.1447182761848	848.4923440814798	1391.5187005870696	1365.0857945838698	634.5018836378498	1036.3703508318301	950.4892106519821	1665.28599285597	484.60309231885253	107.89810026078835	163.03383731890153	1041.9481665093901	3351.9063666082175	2017.034625274999	0.0	208.05343934385266	2407.829875488548	30.26535299382793	164.56990106159603	970.1447182761848	848.4923440814798	1391.5187005870696	1365.0857945838698	634.5018836378498	1036.3703508318301	950.4892106519821	1665.28599285597	484.60309231885253	107.89810026078835	163.03383731890153	1041.9481665093901	3351.9063666082175	2017.034625274999	0.0015976247095680625	0.0	0.366	0.4902985431613473	3.5760132772113087E-4	0.0018794200582388538	1.2403375325855935E-4	3.082704784204616	0.005566850756757779	-14579.700004847105	-1199.394378775646	-875.3874957695502
80000	-16673.72771217576	-2117.889587747826	-14555.838124427935	4582.49976754882	4582.49976754882	134816.20261602354	0.0	419.27325029637524	2899.673939250081	33.93063987457538	190.80160845370327	767.4511298825787	897.0891546609379	1979.61273578489	1546.7016156172924	635.1699555060277	1482.6406076394378	2509.273627424383	2310.589904327009	644.9099282299532	143.73273178122537	461.30435045635426	1863.6803553866127	3542.864480054209	2632.6428775688405	0.0	419.27325029637524	2899.673939250081	33.93063987457538	190.80160845370327	767.4511298825787	897.0891546609379	1979.61273578489	1546.7016156172924	635.1699555060277	1482.6406076394378	2509.273627424383	2310.589904327009	644.9099282299532	143.73273178122537	461.30435045635426	1863.6803553866127	3542.864480054209	2632.6428775688405	0.0011198405528133053	0.0	0.366	0.4517943297642278	2.7167604896412035E-4	0.0016724560510479156	8.567371042810516E-5	3.334419787441627	-0.01644896030145075	-14555.838124427935	-1199.394378775646	-905.3808086411959
90000	-16685.10098823884	-2126.8154337799524	-14558.285554458886	5840.868777841833	5840.868777841833	149619.14702084087	0.0	413.4315053454649	3524.5311250696213	41.00169157898026	291.35601700149454	1032.417061232574	1099.7112871900292	2351.271888770383	1830.3636370718164	813.5862180426523	1872.3988246807214	2317.071566479626	2416.6080334746302	546.7264422649107	221.57043396316368	617.5553429149638	2045.9244593616304	3275.905136334755	3223.704016391315	0.0	413.4315053454649	3524.5311250696213	41.00169157898026	291.35601700149454	1032.417061232574	1099.7112871900292	2351.271888770383	1830.3636370718164	813.5862180426523	1872.3988246807214	2317.071566479626	2416.6080334746302	546.7264422649107	221.57043396316368	617.5553429149638	2045.9244593616304	3275.905136334755	3223.704016391315	0.0011103088813827872	0.0	0.366	0.4752119307749038	2.2520062081234093E-4	0.0012697286654120828	8.446390721304783E-5	3.3056957424130213	-0.011828860487113827	-14558.285554458886	-1199.394378775646	-915.8224996091101
100000	-16659.478573411936	-2126.990278197488	-14532.488295214449	5355.379538874569	5355.379538874569	151406.05699890637	0.0	301.1871396539498	2495.3108130528435	110.69113543813306	378.2752077034489	938.9745402003656	1151.914100243282	1152.834405300879	1195.2761862534915	764.695635791579	2068.744666595391	2059.39752612112	2894.2470828782816	563.7869542739438	241.63372947849842	356.10317191464844	1719.62024801639	4240.189535103627	3188.591142772908	0.0	301.1871396539498	2495.3108130528435	110.69113543813306	378.2752077034489	938.9745402003656	1151.914100243282	1152.834405300879	1195.2761862534915	764.695635791579	2068.744666595391	2059.39752612112	2894.2470828782816	563.7869542739438	241.63372947849842	356.10317191464844	1719.62024801639	4240.189535103627	3188.591142772908	0.0011516918103047131	0.0	0.366	0.5048892647071914	1.831236427705125E-4	7.719158361978228E-4	8.467477927283807E-5	2.9026372523046287	-0.011202980418236622	-14532.488295214449	-1199.394378775646	-914.8096433875096
110000	-16630.630089498212	-2098.888103546101	-14531.741985952112	3932.167295982981	3932.167295982981	111842.11514674545	0.0	120.84996713914784	2074.6339367328824	80.2074714367297	384.0753256864072	478.76467861902034	526.609180916441	504.04115419370993	846.3439651705663	691.8800189502948	1547.223312192862	1881.4467543839448	2054.7317713292737	572.0554828945918	236.6736920280121	376.4421277654616	1396.526680224253	3812.006901614949	2057.8945502206516	0.0	120.84996713914784	2074.6339367328824	80.2074714367297	384.0753256864072	478.76467861902034	526.609180916441	504.04115419370993	846.3439651705663	691.8800189502948	1547.223312192862	1881.4467543839448	2054.7317713292737	572.0554828945918	236.6736920280121	376.4421277654616	1396.526680224253	3812.006901614949	2057.8945502206516	0.0013315107569333415	0.0	0.366	0.49701523090726935	2.5396483311979865E-4	0.0011271572390895348	1.121497553491183E-4	2.9403451931436417	-0.019113646781662167	-14531.741985952112	-1199.394378775646	-884.2532978132954
