# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 21:24:05 AEST 2020 [seed=1595747318382]
# -threads 8 xml/biphone_binary_SSGR_2020-07-23_ch2.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-14303.716328254986	-16471.634187872183	-2167.9178596171973	1.0	-16471.634187872183
60000	-14324.909002076964	-16483.25264777687	-2158.3436456999057	1.0	-16483.25264777687
70000	-14294.031598698148	-16465.401160194575	-2171.3695614964267	1.0	-16465.401160194575
80000	-14294.86223508197	-16470.687169818622	-2175.8249347366523	1.0	-16470.687169818622
90000	-14300.802163798073	-16466.693775951535	-2165.891612153462	1.0	-16466.693775951535
100000	-14293.23372797855	-16470.26793568648	-2177.034207707929	1.0	-16470.26793568648
110000	-14298.540615574762	-16478.571548340715	-2180.0309327659525	1.0	-16478.571548340715
120000	-14297.352762583192	-16474.827624965812	-2177.4748623826194	1.0	-16474.827624965812
130000	-14289.960216876727	-16475.583491967394	-2185.623275090667	1.0	-16475.583491967394
140000	-14294.359984733841	-16482.63904647927	-2188.27906174543	1.0	-16482.63904647927
150000	-14328.622049699181	-16520.29810498618	-2191.676055287001	1.0	-16520.29810498618
160000	-14302.848420414626	-16475.358100550657	-2172.5096801360305	1.0	-16475.358100550657
170000	-14302.212894933089	-16478.464275519957	-2176.251380586867	1.0	-16478.464275519957
180000	-14295.801976511793	-16475.628418032706	-2179.8264415209132	1.0	-16475.628418032706
190000	-14303.68203856901	-16488.338979213535	-2184.656940644525	1.0	-16488.338979213535
200000	-14325.314919704635	-16497.097276235218	-2171.7823565305825	1.0	-16497.097276235218
210000	-14306.956913570431	-16489.82034193094	-2182.8634283605074	1.0	-16489.82034193094
220000	-14307.232071365064	-16472.253818301797	-2165.021746936732	1.0	-16472.253818301797
230000	-14311.725094645115	-16462.970509484487	-2151.2454148393713	1.0	-16462.970509484487
240000	-14280.270259571715	-16455.064039637786	-2174.793780066071	1.0	-16455.064039637786
250000	-14302.732919420994	-16456.567645539853	-2153.8347261188587	1.0	-16456.567645539853
260000	-14305.629915073278	-16474.890641216363	-2169.260726143085	1.0	-16474.890641216363
270000	-14280.244077152827	-16459.185850499623	-2178.9417733467953	1.0	-16459.185850499623
280000	-14300.627886611896	-16466.87336164731	-2166.2454750354163	1.0	-16466.87336164731
290000	-14316.954364239193	-16484.026697520952	-2167.07233328176	1.0	-16484.026697520952
300000	-14303.386179025572	-16467.838284020105	-2164.452104994532	1.0	-16467.838284020105
310000	-14283.074917983755	-16454.908964117396	-2171.834046133641	1.0	-16454.908964117396
320000	-14305.440934514689	-16466.070178733666	-2160.6292442189765	1.0	-16466.070178733666
330000	-14295.701491539236	-16445.480383242168	-2149.778891702933	1.0	-16445.480383242168
340000	-14287.765229062441	-16452.8846659188	-2165.119436856357	1.0	-16452.8846659188
350000	-14308.567964047561	-16477.579762466896	-2169.011798419334	1.0	-16477.579762466896
360000	-14314.664838979676	-16487.568908025223	-2172.9040690455486	1.0	-16487.568908025223
370000	-14308.733960539756	-16472.407200737765	-2163.6732401980094	1.0	-16472.407200737765
380000	-14298.276161074738	-16468.03384980248	-2169.7576887277405	1.0	-16468.03384980248
390000	-14296.80559151535	-16441.015838161373	-2144.210246646022	1.0	-16441.015838161373
400000	-14310.290953992937	-16458.507522167543	-2148.216568174606	1.0	-16458.507522167543
410000	-14305.459808481484	-16467.98266025062	-2162.5228517691335	1.0	-16467.98266025062
420000	-14312.244493246952	-16483.30663614654	-2171.0621428995864	1.0	-16483.30663614654
430000	-14299.621572915434	-16484.04261970256	-2184.4210467871253	1.0	-16484.04261970256
440000	-14310.68321125698	-16481.255025269034	-2170.5718140120553	1.0	-16481.255025269034
450000	-14297.369163655705	-16472.84751052321	-2175.478346867506	1.0	-16472.84751052321
460000	-14297.854348207653	-16483.06291624832	-2185.2085680406667	1.0	-16483.06291624832
470000	-14295.762067071671	-16463.82093388879	-2168.0588668171185	1.0	-16463.82093388879
480000	-14289.80425485117	-16440.38054584968	-2150.576290998509	1.0	-16440.38054584968
490000	-14288.780743015404	-16451.963948398618	-2163.1832053832127	1.0	-16451.963948398618
500000	-14307.4512085262	-16466.200337364106	-2158.7491288379056	1.0	-16466.200337364106
510000	-14298.523080077513	-16445.615570514005	-2147.092490436491	1.0	-16445.615570514005
520000	-14279.972521756255	-16436.592799170146	-2156.62027741389	1.0	-16436.592799170146
