PathParameter	MeanPathLikelihood	MLContribution
0.0000	-40294	-0.082643
2.1715e-06	-35821	-0.67606
2.1888e-05	-32758	-1.8986
8.4561e-05	-27829	-3.4220
0.00022061	-22475	-5.2474
0.00046416	-20617	-7.8056
0.00085232	-19601	-11.042
0.0014248	-18972	-14.927
0.0022237	-18400	-19.790
0.0032929	-18617	-25.481
0.0046784	-18164	-31.615
0.0064280	-17977	-38.725
0.0085909	-17831	-45.622
0.011218	-16901	-52.863
0.014361	-16733	-61.777
0.018075	-16540	-71.454
0.022413	-16401	-81.918
0.027432	-16240	-93.323
0.033190	-16177	-105.50
0.039745	-16014	-118.29
0.047156	-15909	-132.00
0.055484	-15791	-146.45
0.064790	-15681	-161.75
0.075138	-15582	-178.02
0.086591	-15505	-194.98
0.099213	-15390	-212.54
0.11307	-15287	-231.17
0.12823	-15215	-250.53
0.14475	-15104	-270.54
0.16271	-15019	-291.90
0.18218	-14970	-314.05
0.20322	-14881	-337.04
0.22591	-14832	-360.98
0.25031	-14754	-385.74
0.27650	-14703	-411.55
0.30455	-14640	-438.49
0.33454	-14608	-466.79
0.36653	-14574	-495.84
0.40060	-14530	-526.00
0.43683	-14505	-557.40
0.47530	-14476	-589.68
0.51608	-14446	-623.18
0.55924	-14429	-657.81
0.60487	-14404	-693.29
0.65304	-14379	-730.00
0.70384	-14363	-768.02
0.75734	-14348	-807.00
0.81363	-14328	-847.12
0.87278	-14315	-888.59
0.93488	-14304	-931.45
1.0000	-14301	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -14691.352274090797

Inner area for path parameter in (2.1715e-06,0.93488) = -14691
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-18305	-0.086090
2.1715e-06	-18312	-0.65780
2.1888e-05	-17846	-1.8059
8.4561e-05	-18120	-3.1490
0.00022061	-17946	-5.2301
0.00046416	-17887	-7.7447
0.00085232	-18168	-11.097
0.0014248	-17838	-14.999
0.0022237	-17683	-19.549
0.0032929	-17738	-25.607
0.0046784	-17512	-31.638
0.0064280	-17511	-38.763
0.0085909	-16524	-46.207
0.011218	-16339	-52.793
0.014361	-16472	-61.944
0.018075	-16222	-71.460
0.022413	-16028	-82.028
0.027432	-15992	-93.218
0.033190	-15731	-105.31
0.039745	-15694	-118.20
0.047156	-15666	-132.00
0.055484	-15572	-146.44
0.064790	-15521	-161.87
0.075138	-15349	-177.75
0.086591	-15170	-194.61
0.099213	-15176	-212.32
0.11307	-15165	-231.44
0.12823	-15048	-250.82
0.14475	-14964	-270.54
0.16271	-14849	-291.64
0.18218	-14847	-314.30
0.20322	-14748	-336.89
0.22591	-14687	-360.78
0.25031	-14649	-385.65
0.27650	-14612	-411.91
0.30455	-14564	-438.43
0.33454	-14537	-466.86
0.36653	-14494	-495.91
0.40060	-14471	-525.82
0.43683	-14443	-557.36
0.47530	-14409	-589.55
0.51608	-14409	-623.20
0.55924	-14385	-657.97
0.60487	-14359	-693.55
0.65304	-14329	-729.87
0.70384	-14325	-767.96
0.75734	-14308	-807.01
0.81363	-14297	-847.13
0.87278	-14291	-888.68
0.93488	-14275	-931.19
1.0000	-14280	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -14690.922343418863
