PathParameter	MeanPathLikelihood	MLContribution
0.0000	-42869	-0.091089
2.1715e-06	-41024	-0.74503
2.1888e-05	-34551	-1.8749
8.4561e-05	-25279	-3.1863
0.00022061	-21560	-5.0583
0.00046416	-19979	-7.6293
0.00085232	-19331	-10.922
0.0014248	-18823	-14.828
0.0022237	-18302	-19.534
0.0032929	-18236	-25.138
0.0046784	-18050	-31.414
0.0064280	-17860	-38.255
0.0085909	-17514	-45.083
0.011218	-16809	-52.677
0.014361	-16707	-61.672
0.018075	-16509	-71.413
0.022413	-16413	-82.054
0.027432	-16282	-93.283
0.033190	-16121	-105.39
0.039745	-16035	-118.43
0.047156	-15926	-132.11
0.055484	-15800	-146.66
0.064790	-15718	-161.87
0.075138	-15567	-177.76
0.086591	-15476	-194.79
0.099213	-15390	-212.50
0.11307	-15281	-231.04
0.12823	-15204	-250.58
0.14475	-15122	-270.84
0.16271	-15036	-292.30
0.18218	-14994	-314.78
0.20322	-14926	-338.01
0.22591	-14873	-362.43
0.25031	-14832	-387.96
0.27650	-14794	-414.45
0.30455	-14757	-441.99
0.33454	-14725	-470.60
0.36653	-14695	-500.42
0.40060	-14677	-531.34
0.43683	-14653	-563.32
0.47530	-14636	-596.71
0.51608	-14631	-630.97
0.55924	-14605	-666.07
0.60487	-14590	-702.77
0.65304	-14586	-740.57
0.70384	-14571	-779.41
0.75734	-14565	-819.56
0.81363	-14557	-860.75
0.87278	-14547	-903.13
0.93488	-14541	-946.72
1.0000	-14533	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -14831.106310897349

Inner area for path parameter in (2.1715e-06,0.93488) = -14831
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-19262	-0.092235
2.1715e-06	-17968	-0.73965
2.1888e-05	-18247	-1.8064
8.4561e-05	-18533	-3.1413
0.00022061	-17696	-5.0528
0.00046416	-17911	-7.6141
0.00085232	-18081	-10.942
0.0014248	-17880	-14.915
0.0022237	-17307	-19.375
0.0032929	-17697	-25.165
0.0046784	-17608	-31.456
0.0064280	-16767	-38.257
0.0085909	-16720	-45.268
0.011218	-16390	-52.593
0.014361	-16252	-61.728
0.018075	-16020	-71.357
0.022413	-15981	-82.029
0.027432	-15944	-93.473
0.033190	-15889	-105.38
0.039745	-15720	-118.30
0.047156	-15747	-132.32
0.055484	-15608	-146.64
0.064790	-15507	-162.13
0.075138	-15335	-177.58
0.086591	-15269	-194.72
0.099213	-15192	-212.62
0.11307	-15154	-231.10
0.12823	-15009	-250.43
0.14475	-14971	-270.95
0.16271	-14897	-292.01
0.18218	-14873	-314.79
0.20322	-14838	-338.15
0.22591	-14753	-362.28
0.25031	-14765	-388.03
0.27650	-14714	-414.48
0.30455	-14681	-441.88
0.33454	-14640	-470.60
0.36653	-14622	-500.25
0.40060	-14630	-531.51
0.43683	-14609	-563.32
0.47530	-14586	-596.45
0.51608	-14586	-631.18
0.55924	-14566	-666.14
0.60487	-14555	-702.53
0.65304	-14555	-740.63
0.70384	-14536	-779.22
0.75734	-14538	-819.56
0.81363	-14538	-860.84
0.87278	-14520	-903.08
0.93488	-14515	-946.69
1.0000	-14512	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -14830.804630622275
