PathParameter	MeanPathLikelihood	MLContribution
0.0000	-60689	-0.12218
2.1715e-06	-51843	-0.97745
2.1888e-05	-47309	-2.8691
8.4561e-05	-44248	-5.6907
0.00022061	-39406	-8.9009
0.00046416	-33689	-11.454
0.00085232	-25327	-13.276
0.0014248	-21052	-16.346
0.0022237	-19872	-21.128
0.0032929	-19648	-26.997
0.0046784	-19321	-33.616
0.0064280	-19106	-41.150
0.0085909	-18945	-49.516
0.011218	-18753	-58.675
0.014361	-18580	-68.580
0.018075	-18357	-79.270
0.022413	-18188	-90.835
0.027432	-18006	-103.09
0.033190	-17804	-116.07
0.039745	-17613	-129.93
0.047156	-17452	-144.77
0.055484	-17316	-160.29
0.064790	-17132	-176.35
0.075138	-16953	-193.39
0.086591	-16819	-211.45
0.099213	-16686	-230.51
0.11307	-16585	-250.50
0.12823	-16467	-271.43
0.14475	-16382	-293.54
0.16271	-16302	-316.40
0.18218	-16205	-340.02
0.20322	-16114	-364.72
0.22591	-16039	-390.58
0.25031	-15973	-417.54
0.27650	-15913	-445.71
0.30455	-15866	-474.83
0.33454	-15806	-505.00
0.36653	-15765	-536.64
0.40060	-15734	-569.36
0.43683	-15695	-603.02
0.47530	-15659	-638.09
0.51608	-15638	-674.51
0.55924	-15615	-711.90
0.60487	-15588	-750.55
0.65304	-15572	-790.46
0.70384	-15550	-831.48
0.75734	-15533	-873.81
0.81363	-15517	-917.55
0.87278	-15508	-962.54
0.93488	-15494	-1008.5
1.0000	-15478	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -15933.980899004899

Inner area for path parameter in (2.1715e-06,0.93488) = -15934
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-31359	-0.12916
2.1715e-06	-38222	-0.97477
2.1888e-05	-38127	-2.7775
8.4561e-05	-37786	-5.7378
0.00022061	-29658	-9.3162
0.00046416	-24163	-11.476
0.00085232	-19302	-12.990
0.0014248	-19091	-16.223
0.0022237	-18903	-21.071
0.0032929	-18658	-27.049
0.0046784	-18691	-33.636
0.0064280	-18413	-41.142
0.0085909	-18402	-49.522
0.011218	-18159	-58.631
0.014361	-17947	-68.636
0.018075	-17923	-79.297
0.022413	-17727	-90.813
0.027432	-17707	-103.32
0.033190	-17337	-116.10
0.039745	-17253	-129.83
0.047156	-16979	-144.46
0.055484	-17091	-160.58
0.064790	-16829	-176.48
0.075138	-16651	-193.20
0.086591	-16552	-211.41
0.099213	-16476	-230.39
0.11307	-16422	-250.61
0.12823	-16288	-271.31
0.14475	-16226	-293.54
0.16271	-16141	-316.56
0.18218	-16050	-340.13
0.20322	-15943	-364.36
0.22591	-15875	-390.31
0.25031	-15877	-417.62
0.27650	-15820	-445.60
0.30455	-15760	-475.13
0.33454	-15739	-505.13
0.36653	-15672	-536.40
0.40060	-15679	-569.58
0.43683	-15639	-603.25
0.47530	-15593	-637.90
0.51608	-15555	-674.38
0.55924	-15565	-711.92
0.60487	-15541	-750.40
0.65304	-15529	-790.57
0.70384	-15508	-831.46
0.75734	-15492	-873.79
0.81363	-15480	-917.43
0.87278	-15477	-962.62
0.93488	-15467	-1008.7
1.0000	-15451	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -15933.917941942487
