# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 17:08:30 AEST 2020 [seed=1595747309846]
# -threads 8 xml/biphone_binary_SSHR_2020-07-23_ch1.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
0	-41018.54788105278	-2100.2323367899776	-38918.3155442628	3639.6288106170887	3639.6288106170887	17022.55176832353	0.0	64.90105747904946	104.58775815231661	110.6958004830499	59.765926517829804	72.47425894159439	147.89800466875818	99.34688475330644	250.77808554577467	29.796353647743544	65.24294929458317	131.85675654237937	269.12292306579974	86.13469500463673	114.28841121338576	13.80054415207946	78.26571034309043	3500.0	174.50449577956124	0.0	64.90105747904946	104.58775815231661	110.6958004830499	59.765926517829804	72.47425894159439	147.89800466875818	99.34688475330644	250.77808554577467	29.796353647743544	65.24294929458317	131.85675654237937	269.12292306579974	86.13469500463673	114.28841121338576	13.80054415207946	78.26571034309043	3500.0	174.50449577956124	0.001	0.0	0.366	0.001	0.1	2.4505926053722764E-4	6.330700904729311	-0.020531693378422526	-38918.3155442628	-1199.394378775646	-882.8578932292202
10000	-18659.13537551261	-1938.7510699932884	-16720.38430551932	3329.4315464421975	3329.4315464421975	18240.611183264467	0.0	117.33706153497383	63.10286676816594	12.210539505523414	8.988978365756104	100.2511836912941	167.92323984852575	136.6147714459718	226.23362976570587	16.738472703135287	65.51987392263861	143.68417847924812	203.35008397249658	28.344457403751644	104.42207257375897	5.1090360393119525	139.7980852899058	3302.403615689139	112.01986465413442	0.0	117.33706153497383	63.10286676816594	12.210539505523414	8.988978365756104	100.2511836912941	167.92323984852575	136.6147714459718	226.23362976570587	16.738472703135287	65.51987392263861	143.68417847924812	203.35008397249658	28.344457403751644	104.42207257375897	5.1090360393119525	139.7980852899058	3302.403615689139	112.01986465413442	0.008355302573869385	0.0	0.366	0.0026277097332992813	0.008732318617119277	5.044179741127715E-4	2.4815118170311057	-0.020476502654542525	-16720.38430551932	-1199.394378775646	-721.4431116744054
20000	-18170.346650743388	-1945.8307243449806	-16224.515926398406	3583.411366741155	3583.411366741155	19591.000011012733	0.0	63.296293542375	117.17072869434809	40.50980580637084	12.568003858269874	114.3330662113424	176.03688174032487	121.96729436054235	227.57589847929145	18.7023993187118	63.37689410880268	178.10316812702365	196.98940644798108	79.17967523195227	94.27458025786197	5.2437615954426855	148.47545739846151	3478.6321773147724	118.53783478955367	0.0	63.296293542375	117.17072869434809	40.50980580637084	12.568003858269874	114.3330662113424	176.03688174032487	121.96729436054235	227.57589847929145	18.7023993187118	63.37689410880268	178.10316812702365	196.98940644798108	79.17967523195227	94.27458025786197	5.2437615954426855	148.47545739846151	3478.6321773147724	118.53783478955367	0.008017137138048334	0.0	0.366	0.0025702599175957035	0.01042309337162067	4.3759430529539115E-4	2.7898700647370176	-0.0195325514176325	-16224.515926398406	-1199.394378775646	-729.517792387596
30000	-17930.268044468532	-1945.1886184540601	-15985.079426014472	3329.5802546454415	3329.5802546454415	21433.051487362965	0.0	146.6860274974041	217.6143276031853	63.296790320310144	14.790218132276046	154.07485463507325	236.53750649578353	101.47701855001301	322.0794741223651	41.995120479393975	76.42594944556488	233.2189760606501	214.97398545083828	65.57561015684648	105.15260047417443	4.1824064307191335	205.61432423616998	3233.488775530403	159.9154830885771	0.0	146.6860274974041	217.6143276031853	63.296790320310144	14.790218132276046	154.07485463507325	236.53750649578353	101.47701855001301	322.0794741223651	41.995120479393975	76.42594944556488	233.2189760606501	214.97398545083828	65.57561015684648	105.15260047417443	4.1824064307191335	205.61432423616998	3233.488775530403	159.9154830885771	0.008157002395260782	0.0	0.366	0.0020336216268716386	0.009115809851915584	3.9229090710838217E-4	2.900576748599986	0.05946895102559124	-15985.079426014472	-1199.394378775646	-727.7938899257559
40000	-17809.548932525544	-1956.9044214975052	-15852.644511028038	3387.91297139583	3387.91297139583	24499.379134263534	0.0	197.24939005069734	247.69597455460894	66.6986168679902	35.21588605025382	215.11241587477886	276.59843362771556	221.14532479041856	323.37606616439245	33.912206705902285	119.07999773199916	363.64813037105876	314.6545701468638	81.2127729009431	129.68990662117162	9.175573927274026	221.0870054639367	3235.9054449744417	211.32559632465458	0.0	197.24939005069734	247.69597455460894	66.6986168679902	35.21588605025382	215.11241587477886	276.59843362771556	221.14532479041856	323.37606616439245	33.912206705902285	119.07999773199916	363.64813037105876	314.6545701468638	81.2127729009431	129.68990662117162	9.175573927274026	221.0870054639367	3235.9054449744417	211.32559632465458	0.005688169862739641	0.0	0.366	0.0018150091573051422	0.009493907887843865	3.335838436190993E-4	3.167142523100944	0.058428659581287665	-15852.644511028038	-1199.394378775646	-739.7597988543969
50000	-17777.467031465283	-1966.603412445338	-15810.863619019945	3301.7778270873996	3301.7778270873996	28702.59191150604	0.0	324.14109014255183	307.30957782696805	113.41313740756395	58.680293281160026	206.641286839769	311.05472666413755	255.28300462936545	540.8523431410697	48.558373884355724	130.36614646926412	501.838819803084	381.3860689047886	118.30629862264436	170.48228113959314	9.496340654535842	294.14629603779406	3098.6103616273726	262.31493921655084	0.0	324.14109014255183	307.30957782696805	113.41313740756395	58.680293281160026	206.641286839769	311.05472666413755	255.28300462936545	540.8523431410697	48.558373884355724	130.36614646926412	501.838819803084	381.3860689047886	118.30629862264436	170.48228113959314	9.496340654535842	294.14629603779406	3098.6103616273726	262.31493921655084	0.0055342030970027345	0.0	0.366	0.001363350608377552	0.0064771430836232016	2.898807877704573E-4	3.030949910361798	0.06951417648755871	-15810.863619019945	-1199.394378775646	-748.7575319810568
60000	-17761.595136048316	-1986.1051118500802	-15775.490024198236	3862.2951338545877	3862.2951338545877	36102.77437391538	0.0	433.53283817053557	332.29447759249183	147.02072315595927	106.72124565003145	243.8996885080247	393.06678430597213	263.44703564978494	733.5159621365343	53.35324310077062	237.02124345192394	562.8758804723099	437.58673316278026	258.8343423411945	235.60054002363347	16.58445630730432	433.9188267442337	3648.4426911513488	330.3456516647734	0.0	433.53283817053557	332.29447759249183	147.02072315595927	106.72124565003145	243.8996885080247	393.06678430597213	263.44703564978494	733.5159621365343	53.35324310077062	237.02124345192394	562.8758804723099	437.58673316278026	258.8343423411945	235.60054002363347	16.58445630730432	433.9188267442337	3648.4426911513488	330.3456516647734	0.0051049498214457084	0.0	0.366	0.001088467154094851	0.005742432730734876	2.2964971957712898E-4	3.309844421443916	0.10625264267491467	-15775.490024198236	-1199.394378775646	-770.9918587890185
70000	-17766.4528319776	-1990.072705424088	-15776.380126553513	3604.945678774168	3604.945678774168	38558.33624412204	0.0	604.7091226362846	271.01258601408705	149.19330976346828	145.9816512657071	255.67454625294357	445.218989966091	331.87790635497515	702.9264392302317	51.6661311281226	277.1313649045472	674.2142673495232	523.5495800137019	299.8258575505106	285.37419917886723	15.631646319574807	362.8799134175015	3551.2426850207166	414.88214400263297	0.0	604.7091226362846	271.01258601408705	149.19330976346828	145.9816512657071	255.67454625294357	445.218989966091	331.87790635497515	702.9264392302317	51.6661311281226	277.1313649045472	674.2142673495232	523.5495800137019	299.8258575505106	285.37419917886723	15.631646319574807	362.8799134175015	3551.2426850207166	414.88214400263297	0.004368799201584933	0.0	0.366	8.881695360588936E-4	0.003725797643473803	2.1553087793481587E-4	2.9648542004104943	0.10107946829912587	-15776.380126553513	-1199.394378775646	-774.2787013724363
80000	-17733.22097131147	-1992.0957717468418	-15741.12519956463	3480.6920218480154	3480.6920218480154	39546.04964041501	0.0	470.39204618101087	463.82284115990853	160.35001410985524	105.1046590442888	332.0834294700283	439.52242202898645	227.3779293533843	577.8326601876136	49.21430166948025	300.0571546757414	729.0039939026549	604.9868535039762	374.32765842243987	292.5638321746264	21.622128318438357	457.2913142303278	3459.496004058081	394.58307795293337	0.0	470.39204618101087	463.82284115990853	160.35001410985524	105.1046590442888	332.0834294700283	439.52242202898645	227.3779293533843	577.8326601876136	49.21430166948025	300.0571546757414	729.0039939026549	604.9868535039762	374.32765842243987	292.5638321746264	21.622128318438357	457.2913142303278	3459.496004058081	394.58307795293337	0.004973542993592971	0.0	0.366	8.349271436625559E-4	0.003332911986851855	2.0913723811398467E-4	2.9298405222699206	-0.008726068843725303	-15741.12519956463	-1199.394378775646	-775.9034205328747
90000	-17746.477871654082	-2010.512412789883	-15735.965458864199	4164.079105495876	4164.079105495876	48639.91345428807	0.0	615.862893560376	649.0340153811927	127.68422722712101	88.83549983142628	411.44436923302754	512.5127852331308	434.3802510827084	654.8077313131536	78.20212540401971	333.03157449268735	799.8529505243487	698.9648515490575	494.4609134068699	320.54070182210444	28.662182598182447	538.7877700011544	4154.212309308829	388.94669445778567	0.0	615.862893560376	649.0340153811927	127.68422722712101	88.83549983142628	411.44436923302754	512.5127852331308	434.3802510827084	654.8077313131536	78.20212540401971	333.03157449268735	799.8529505243487	698.9648515490575	494.4609134068699	320.54070182210444	28.662182598182447	538.7877700011544	4154.212309308829	388.94669445778567	0.003738581677128059	0.0	0.366	6.561437985297163E-4	0.0024242838445504545	1.7397183380411015E-4	2.8341147335338164	0.04652849068364059	-15735.965458864199	-1199.394378775646	-795.9794279212225
