# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 18:57:45 AEST 2020 [seed=1595747318563]
# -threads 8 xml/biphone_binary_SSHR_2020-07-23_ch2.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-15498.706921331437	-17641.58409891447	-2142.8771775830337	1.0	-17641.58409891447
60000	-15482.686146133325	-17621.861160267854	-2139.1750141345283	1.0	-17621.861160267854
70000	-15476.666296076392	-17646.888219999015	-2170.221923922624	1.0	-17646.888219999015
80000	-15461.014023512746	-17608.15957161193	-2147.145548099185	1.0	-17608.15957161193
90000	-15466.356722814486	-17609.78347958519	-2143.426756770703	1.0	-17609.78347958519
100000	-15457.030144854332	-17607.672056182837	-2150.641911328504	1.0	-17607.672056182837
110000	-15476.648751297485	-17622.9440758559	-2146.295324558415	1.0	-17622.9440758559
120000	-15482.198612859622	-17633.99521659005	-2151.7966037304286	1.0	-17633.99521659005
130000	-15483.639873350276	-17659.630090317052	-2175.9902169667757	1.0	-17659.630090317052
140000	-15451.714560461838	-17619.79873489698	-2168.0841744351414	1.0	-17619.79873489698
150000	-15469.396924243001	-17638.311747921507	-2168.914823678506	1.0	-17638.311747921507
160000	-15472.304360299384	-17627.00575953926	-2154.7013992398774	1.0	-17627.00575953926
170000	-15476.140137309914	-17618.784920976603	-2142.6447836666894	1.0	-17618.784920976603
180000	-15476.22173278174	-17641.311869019028	-2165.0901362372883	1.0	-17641.311869019028
190000	-15475.667185731605	-17627.526955825568	-2151.859770093963	1.0	-17627.526955825568
200000	-15476.306120415018	-17633.080184322065	-2156.774063907047	1.0	-17633.080184322065
210000	-15463.317625362204	-17619.910597260896	-2156.592971898692	1.0	-17619.910597260896
220000	-15491.91375433276	-17666.632481154156	-2174.7187268213956	1.0	-17666.632481154156
230000	-15467.238283839923	-17631.466133553084	-2164.227849713161	1.0	-17631.466133553084
240000	-15470.380292251008	-17633.049643040606	-2162.669350789599	1.0	-17633.049643040606
250000	-15475.075801456529	-17657.090177995862	-2182.014376539334	1.0	-17657.090177995862
260000	-15466.543557238665	-17620.174203056245	-2153.630645817581	1.0	-17620.174203056245
270000	-15468.035058647625	-17645.96394287377	-2177.928884226143	1.0	-17645.96394287377
280000	-15467.872679442087	-17635.81738071448	-2167.9447012723945	1.0	-17635.81738071448
290000	-15455.982052117526	-17613.82344886662	-2157.8413967490947	1.0	-17613.82344886662
300000	-15475.596377539434	-17655.800094451508	-2180.203716912075	1.0	-17655.800094451508
310000	-15482.722151627431	-17638.079165404743	-2155.3570137773113	1.0	-17638.079165404743
320000	-15469.921342031139	-17642.294323659436	-2172.372981628297	1.0	-17642.294323659436
330000	-15463.667970270963	-17621.5537825844	-2157.8858123134373	1.0	-17621.5537825844
340000	-15468.74713040591	-17641.14128234033	-2172.3941519344194	1.0	-17641.14128234033
350000	-15482.754609414784	-17652.840465564186	-2170.0858561494033	1.0	-17652.840465564186
360000	-15490.007440463156	-17644.84726593717	-2154.8398254740137	1.0	-17644.84726593717
370000	-15465.360797787547	-17630.276823662247	-2164.9160258746997	1.0	-17630.276823662247
380000	-15476.86675307549	-17649.34153353137	-2172.474780455879	1.0	-17649.34153353137
390000	-15454.883023219481	-17625.511118138696	-2170.628094919216	1.0	-17625.511118138696
400000	-15504.385443541449	-17663.133447030687	-2158.7480034892374	1.0	-17663.133447030687
410000	-15504.472045602903	-17642.33817829224	-2137.8661326893375	1.0	-17642.33817829224
420000	-15491.99987882777	-17660.726968481158	-2168.727089653389	1.0	-17660.726968481158
430000	-15486.893171033025	-17619.413098757963	-2132.519927724937	1.0	-17619.413098757963
440000	-15484.444989272422	-17634.732139512584	-2150.2871502401613	1.0	-17634.732139512584
450000	-15500.247509898501	-17645.91455525918	-2145.6670453606775	1.0	-17645.91455525918
