PathParameter	MeanPathLikelihood	MLContribution
0.0000	-58970	-0.11583
2.1715e-06	-47709	-0.94960
2.1888e-05	-48618	-2.9437
8.4561e-05	-45321	-5.7286
0.00022061	-38890	-9.0098
0.00046416	-35098	-11.550
0.00085232	-24412	-13.169
0.0014248	-21595	-16.544
0.0022237	-19825	-21.115
0.0032929	-19671	-27.039
0.0046784	-19359	-33.702
0.0064280	-19167	-41.167
0.0085909	-18900	-49.489
0.011218	-18776	-58.708
0.014361	-18577	-68.562
0.018075	-18350	-79.226
0.022413	-18174	-90.799
0.027432	-18005	-103.11
0.033190	-17811	-116.16
0.039745	-17632	-129.94
0.047156	-17436	-144.71
0.055484	-17317	-160.34
0.064790	-17141	-176.47
0.075138	-16966	-193.55
0.086591	-16833	-211.60
0.099213	-16696	-230.69
0.11307	-16601	-250.60
0.12823	-16465	-271.52
0.14475	-16395	-293.77
0.16271	-16316	-316.57
0.18218	-16208	-340.08
0.20322	-16117	-364.67
0.22591	-16033	-390.52
0.25031	-15975	-417.53
0.27650	-15911	-445.67
0.30455	-15866	-474.86
0.33454	-15808	-505.04
0.36653	-15765	-536.65
0.40060	-15734	-569.52
0.43683	-15703	-603.16
0.47530	-15658	-638.12
0.51608	-15640	-674.47
0.55924	-15611	-711.95
0.60487	-15595	-750.64
0.65304	-15569	-790.47
0.70384	-15553	-831.74
0.75734	-15539	-874.06
0.81363	-15519	-917.71
0.87278	-15510	-962.73
0.93488	-15497	-1008.5
1.0000	-15476	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -15936.96640301916

Inner area for path parameter in (2.1715e-06,0.93488) = -15937
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-38222	-0.12669
2.1715e-06	-38222	-0.91982
2.1888e-05	-38256	-2.8141
8.4561e-05	-38198	-5.8128
0.00022061	-29658	-9.1722
0.00046416	-25098	-11.909
0.00085232	-19716	-12.708
0.0014248	-19091	-16.335
0.0022237	-19027	-21.039
0.0032929	-18658	-27.085
0.0046784	-18691	-33.675
0.0064280	-18413	-41.224
0.0085909	-18499	-49.459
0.011218	-18308	-58.691
0.014361	-17966	-68.600
0.018075	-17923	-79.233
0.022413	-17727	-90.749
0.027432	-17720	-103.34
0.033190	-17337	-116.04
0.039745	-17277	-130.02
0.047156	-17085	-144.52
0.055484	-17091	-160.55
0.064790	-16829	-176.52
0.075138	-16707	-193.41
0.086591	-16552	-211.40
0.099213	-16476	-230.55
0.11307	-16441	-250.94
0.12823	-16289	-271.17
0.14475	-16257	-293.89
0.16271	-16141	-316.84
0.18218	-16050	-340.09
0.20322	-15943	-364.26
0.22591	-15875	-390.11
0.25031	-15877	-417.54
0.27650	-15820	-445.50
0.30455	-15760	-475.10
0.33454	-15739	-505.17
0.36653	-15672	-536.18
0.40060	-15681	-569.69
0.43683	-15639	-603.50
0.47530	-15593	-637.78
0.51608	-15597	-674.60
0.55924	-15565	-711.69
0.60487	-15559	-750.88
0.65304	-15529	-790.40
0.70384	-15508	-831.61
0.75734	-15503	-874.29
0.81363	-15494	-917.71
0.87278	-15481	-962.79
0.93488	-15473	-1008.9
1.0000	-15452	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -15936.535536094725
