# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 17:08:39 AEST 2020 [seed=1595747318892]
# -threads 8 xml/biphone_binary_SSHS_2020-07-23_ch2.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-24674.290703362396	-901.7654289055721	-23772.525274456824	3522.8939953009663	3522.8939953009663	17829.138301497227	0.0	139.76536458518908	98.69316030673126	168.85609146147638	391.70176488499425	54.522286069992084	185.2493253874798	182.6258999455812	63.24797434490187	15.393187531444784	96.89287612028836	347.38916751179374	162.29857147011816	54.670497669104336	176.54712541254582	42.69683540336383	51.759818032890756	3500.0	138.69898029903274	0.0	139.76536458518908	98.69316030673126	168.85609146147638	391.70176488499425	54.522286069992084	185.2493253874798	182.6258999455812	63.24797434490187	15.393187531444784	96.89287612028836	347.38916751179374	162.29857147011816	54.670497669104336	176.54712541254582	42.69683540336383	51.759818032890756	3500.0	138.69898029903274	0.001	0.0	0.366	0.001	0.0010000000000000002	-23772.525274456824	0.0	-882.4819440041862
10000	-17410.202367228532	-788.7235296246133	-16621.478837603918	4181.0819522881475	4181.0819522881475	38555.83103804567	0.0	65.04317546212967	259.52611367435765	250.21451137852017	150.81530821309588	177.48686425357442	148.58912952859274	182.48400535319067	192.46204507015503	149.9379218819426	184.95816922768816	418.2399313025449	496.97839082548546	213.4310983136828	216.96591872667665	348.85371515181123	291.99897337498686	3557.0981983806573	292.35483909716095	0.0	65.04317546212967	259.52611367435765	250.21451137852017	150.81530821309588	177.48686425357442	148.58912952859274	182.48400535319067	192.46204507015503	149.9379218819426	184.95816922768816	418.2399313025449	496.97839082548546	213.4310983136828	216.96591872667665	348.85371515181123	291.99897337498686	3557.0981983806573	292.35483909716095	0.004280228633059119	0.0	0.366	2.7478861982063214E-4	2.7478861982063225E-4	-16621.478837603918	0.0	-771.7840155185277
20000	-16951.895767152353	-919.0965088321201	-16032.799258320232	4836.596459050375	4836.596459050375	155921.6210142235	0.0	441.0857051032684	1610.9505656069814	1690.606905313319	748.3284747393521	919.4618527720414	779.6521811186049	910.2644363289463	1339.9727313101587	1327.8999087740206	987.4333822929278	2255.886618847437	2735.091928712342	1094.0649816791588	809.4822057378655	1275.233155137392	1600.6602063906073	4367.623676757297	1585.5588565617493	0.0	441.0857051032684	1610.9505656069814	1690.606905313319	748.3284747393521	919.4618527720414	779.6521811186049	910.2644363289463	1339.9727313101587	1327.8999087740206	987.4333822929278	2255.886618847437	2735.091928712342	1094.0649816791588	809.4822057378655	1275.233155137392	1600.6602063906073	4367.623676757297	1585.5588565617493	0.0012758090896879389	0.0	0.366	5.0914983245462826E-5	5.091498324546285E-5	-16032.799258320232	0.0	-902.3745241142459
30000	-16901.49586759887	-968.4911698220686	-15933.004697776803	5879.733014168933	5879.733014168933	252428.29145860852	0.0	214.71985853667135	2737.179198470435	2450.5980794644624	1231.2728143361078	1245.6249476808616	1257.263684150197	1480.3221430009808	2101.67842667718	1837.2447548972023	1695.824414517735	4437.570855300275	4582.052727598513	1789.9509219309998	1534.0111290398168	2670.9113431582773	2588.1530766510537	3329.7785824112684	3175.5147261156135	0.0	214.71985853667135	2737.179198470435	2450.5980794644624	1231.2728143361078	1245.6249476808616	1257.263684150197	1480.3221430009808	2101.67842667718	1837.2447548972023	1695.824414517735	4437.570855300275	4582.052727598513	1789.9509219309998	1534.0111290398168	2670.9113431582773	2588.1530766510537	3329.7785824112684	3175.5147261156135	7.845261276001762E-4	0.0	0.366	3.184293225112937E-5	3.18429322511294E-5	-15933.004697776803	0.0	-954.0849726976629
40000	-16929.918220357446	-986.0228280390967	-15943.895392318347	6453.151879400687	6453.151879400687	285498.1254552013	0.0	241.10933180468422	3400.2517990316715	2216.5795098327108	1516.8969575306164	1746.2389313998679	1468.4434430893314	1817.8529041625334	2017.4623866420388	2491.425596820482	1942.8167026113595	4607.336540785241	5399.66574878328	2197.190121692555	1532.6991624562218	3572.8943881222626	3222.620307038753	3165.291256335275	3398.8328316939874	0.0	241.10933180468422	3400.2517990316715	2216.5795098327108	1516.8969575306164	1746.2389313998679	1468.4434430893314	1817.8529041625334	2017.4623866420388	2491.425596820482	1942.8167026113595	4607.336540785241	5399.66574878328	2197.190121692555	1532.6991624562218	3572.8943881222626	3222.620307038753	3165.291256335275	3398.8328316939874	5.436053998752018E-4	0.0	0.366	2.8256027416468196E-5	2.8256027416468183E-5	-15943.895392318347	0.0	-970.9801114403016
50000	-16901.11314325895	-959.0114085364277	-15942.10173472252	5585.76037910822	5585.76037910822	233365.29863058028	0.0	168.6478470893249	2251.1733867892967	1835.8882214747798	1145.9464392095413	1341.0953965103802	1284.177654143604	1322.1754796396333	2259.641625495571	2354.9034061252482	1581.7854402696955	3259.494476300619	4487.995667040667	1676.2974397253554	1375.8802773185826	2888.2207309931287	2540.6607135657036	3372.1826768747737	2644.0009968010636	0.0	168.6478470893249	2251.1733867892967	1835.8882214747798	1145.9464392095413	1341.0953965103802	1284.177654143604	1322.1754796396333	2259.641625495571	2354.9034061252482	1581.7854402696955	3259.494476300619	4487.995667040667	1676.2974397253554	1375.8802773185826	2888.2207309931287	2540.6607135657036	3372.1826768747737	2644.0009968010636	8.474075225316937E-4	0.0	0.366	3.389460024287549E-5	3.3894600242875475E-5	-15942.10173472252	0.0	-944.5759222365432
60000	-16919.921466602562	-979.2546459101546	-15940.666820692406	6563.457071071562	6563.457071071562	277457.80799305905	0.0	335.3810636111231	2817.3993949884593	1989.4135469176376	1426.3115139625527	1196.0906717319103	1370.8464844658338	2061.0889998965667	2382.8376525959684	2675.1328309442506	2235.3409446470528	3784.331314872227	5551.993464697709	1751.0790832129396	1902.2944146495713	3494.663166114555	2991.0784789348827	3339.3800054428684	3162.7648105843264	0.0	335.3810636111231	2817.3993949884593	1989.4135469176376	1426.3115139625527	1196.0906717319103	1370.8464844658338	2061.0889998965667	2382.8376525959684	2675.1328309442506	2235.3409446470528	3784.331314872227	5551.993464697709	1751.0790832129396	1902.2944146495713	3494.663166114555	2991.0784789348827	3339.3800054428684	3162.7648105843264	7.321812693187866E-4	0.0	0.366	2.8772984646425056E-5	2.8772984646425086E-5	-15940.666820692406	0.0	-964.2979386151494
70000	-16913.81093142398	-982.0799292174192	-15931.731002206561	6753.650373169914	6753.650373169914	280337.53817461396	0.0	203.2185393134691	3367.945936657096	2697.236490582137	1110.568829927135	1624.3178968309458	1582.628065267945	1267.4265483189824	2322.268617514168	3248.128795767321	2345.2757497568145	3672.73621678163	5454.609880493945	1535.8956095415479	1732.4449700651712	2675.76187518977	2998.9914553762583	3126.157707096093	3084.7984343132593	0.0	203.2185393134691	3367.945936657096	2697.236490582137	1110.568829927135	1624.3178968309458	1582.628065267945	1267.4265483189824	2322.268617514168	3248.128795767321	2345.2757497568145	3672.73621678163	5454.609880493945	1535.8956095415479	1732.4449700651712	2675.76187518977	2998.9914553762583	3126.157707096093	3084.7984343132593	7.445574521834417E-4	0.0	0.366	2.7824024786717156E-5	2.7824024786717183E-5	-15931.731002206561	0.0	-966.417936202489
80000	-16884.259513989007	-982.7940040612916	-15901.465509927715	6724.501192170619	6724.501192170619	287936.5391409286	0.0	545.8912149527719	3232.1968629398666	2432.631591661174	1569.5999093887592	1622.1902479612133	1895.3521658233012	2039.1813659325876	2577.746985171888	3411.7971100913796	2318.8708913081996	3694.6515697755353	5700.385193271165	1578.2188630959827	1689.5427935084936	3687.268690100606	2846.340695399279	3443.050534799411	2970.9496475530764	0.0	545.8912149527719	3232.1968629398666	2432.631591661174	1569.5999093887592	1622.1902479612133	1895.3521658233012	2039.1813659325876	2577.746985171888	3411.7971100913796	2318.8708913081996	3694.6515697755353	5700.385193271165	1578.2188630959827	1689.5427935084936	3687.268690100606	2846.340695399279	3443.050534799411	2970.9496475530764	6.321165386731017E-4	0.0	0.366	2.6197615308369835E-5	2.619761530836985E-5	-15901.465509927715	0.0	-967.5573112360504
90000	-16840.614769400123	-975.0833444902345	-15865.531424909888	6427.101846427804	6427.101846427804	262644.0425416174	0.0	549.3140765740827	2359.6551594724765	3375.8777016964023	1161.943067897106	1336.8711092517167	1396.1985905082647	1886.6476577955393	3082.2665199084877	2684.768422388693	1923.1202592974932	3908.6285002807076	5300.863392203667	1620.1008351166245	1287.8127725004804	3294.493100299876	2724.74508376879	3068.8244899910696	2720.9164153625793	0.0	549.3140765740827	2359.6551594724765	3375.8777016964023	1161.943067897106	1336.8711092517167	1396.1985905082647	1886.6476577955393	3082.2665199084877	2684.768422388693	1923.1202592974932	3908.6285002807076	5300.863392203667	1620.1008351166245	1287.8127725004804	3294.493100299876	2724.74508376879	3068.8244899910696	2720.9164153625793	6.883337248042946E-4	0.0	0.366	2.9375659050021E-5	2.9375659050021E-5	-15865.531424909888	0.0	-959.4649196923502
