# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 18:30:27 AEST 2020 [seed=1595747318892]
# -threads 8 xml/biphone_binary_SSHS_2020-07-23_ch2.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-15831.073299683654	-16820.831519257892	-989.7582195742381	1.0	-16820.831519257892
60000	-15819.590987698912	-16805.114180888595	-985.5231931896836	1.0	-16805.114180888595
70000	-15816.05645541745	-16791.912049016668	-975.8555935992176	1.0	-16791.912049016668
80000	-15829.853121480257	-16804.89818176041	-975.0450602801542	1.0	-16804.89818176041
90000	-15849.712303823513	-16829.124759589336	-979.4124557658232	1.0	-16829.124759589336
100000	-15816.972595770147	-16804.1207936073	-987.1481978371534	1.0	-16804.1207936073
110000	-15826.827787486272	-16810.52928668289	-983.7014991966165	1.0	-16810.52928668289
120000	-15826.75053551467	-16809.84725359333	-983.0967180786585	1.0	-16809.84725359333
130000	-15813.582688048922	-16805.242795700087	-991.6601076511655	1.0	-16805.242795700087
140000	-15812.33902043409	-16790.591916942918	-978.2528965088279	1.0	-16790.591916942918
150000	-15812.390212143737	-16797.03685191179	-984.6466397680543	1.0	-16797.03685191179
160000	-15827.64074976567	-16804.036169447754	-976.395419682085	1.0	-16804.036169447754
170000	-15820.35580654647	-16797.847974689514	-977.4921681430438	1.0	-16797.847974689514
180000	-15819.670936521452	-16805.385388504295	-985.7144519828425	1.0	-16805.385388504295
190000	-15825.716613561397	-16803.60464594822	-977.8880323868235	1.0	-16803.60464594822
200000	-15836.93345156383	-16822.07235481585	-985.1389032520204	1.0	-16822.07235481585
210000	-15824.465938684687	-16802.97776026297	-978.5118215782813	1.0	-16802.97776026297
220000	-15821.865704653115	-16804.63448114825	-982.7687764951324	1.0	-16804.63448114825
230000	-15827.612510918501	-16835.664899932242	-1008.0523890137406	1.0	-16835.664899932242
240000	-15813.049499222085	-16795.653563163887	-982.6040639418019	1.0	-16795.653563163887
250000	-15822.346403806956	-16801.778386552287	-979.4319827453315	1.0	-16801.778386552287
260000	-15823.32299646196	-16801.373228895798	-978.0502324338371	1.0	-16801.373228895798
270000	-15804.689403536408	-16793.35093699012	-988.6615334537107	1.0	-16793.35093699012
280000	-15826.222186385005	-16813.797954616326	-987.5757682313218	1.0	-16813.797954616326
290000	-15832.718564586963	-16821.40793632695	-988.6893717399852	1.0	-16821.40793632695
300000	-15817.973779542113	-16805.582818931125	-987.6090393890112	1.0	-16805.582818931125
310000	-15822.061600534014	-16803.736559104433	-981.6749585704185	1.0	-16803.736559104433
320000	-15832.779860209028	-16837.157286128513	-1004.3774259194847	1.0	-16837.157286128513
330000	-15833.65143345414	-16828.079274150245	-994.427840696104	1.0	-16828.079274150245
340000	-15836.502051381678	-16822.037708842654	-985.5356574609764	1.0	-16822.037708842654
350000	-15818.177706875395	-16797.687994932112	-979.510288056717	1.0	-16797.687994932112
360000	-15821.094421825497	-16802.33210795739	-981.237686131893	1.0	-16802.33210795739
370000	-15828.534250224777	-16810.014707770453	-981.4804575456764	1.0	-16810.014707770453
380000	-15816.188631974146	-16806.37919514391	-990.1905631697618	1.0	-16806.37919514391
390000	-15819.420120578648	-16805.082436210785	-985.6623156321358	1.0	-16805.082436210785
400000	-15824.035276220951	-16825.72275206224	-1001.6874758412886	1.0	-16825.72275206224
410000	-15811.259145045213	-16802.253745837814	-990.9946007926015	1.0	-16802.253745837814
420000	-15819.115862367908	-16807.278983112974	-988.1631207450656	1.0	-16807.278983112974
430000	-15833.282372589112	-16817.57303652978	-984.2906639406667	1.0	-16817.57303652978
440000	-15829.066607456281	-16816.241638657157	-987.1750312008746	1.0	-16816.241638657157
450000	-15828.116477137082	-16809.798054343137	-981.6815772060542	1.0	-16809.798054343137
460000	-15828.086338199522	-16802.96206679857	-974.8757285990462	1.0	-16802.96206679857
470000	-15814.395955842763	-16797.002249962436	-982.6062941196732	1.0	-16797.002249962436
480000	-15816.375431564138	-16804.433815145574	-988.0583835814368	1.0	-16804.433815145574
490000	-15813.865486058212	-16793.814192554655	-979.9487064964429	1.0	-16793.814192554655
500000	-15823.031350382525	-16809.623215872954	-986.5918654904289	1.0	-16809.623215872954
510000	-15818.00830224117	-16799.700406565247	-981.6921043240771	1.0	-16799.700406565247
520000	-15827.697971228872	-16813.68369431796	-985.9857230890864	1.0	-16813.68369431796
530000	-15826.912529684647	-16817.98894553231	-991.0764158476638	1.0	-16817.98894553231
540000	-15839.805861122799	-16835.09912047596	-995.2932593531601	1.0	-16835.09912047596
550000	-15834.437052362104	-16814.89920351184	-980.4621511497359	0.9348750848354606	-15783.682833798517
560000	-15821.919594966692	-16796.315678418796	-974.3960834521048	0.9348750848354606	-15765.914507056425
570000	-15824.236585614324	-16800.927236712287	-976.6906510979629	0.9348750848354606	-15770.375171530553
580000	-15823.72382024072	-16813.92551902611	-990.2016987853893	0.9348750848354606	-15783.406847645832
590000	-15817.911868036994	-16807.43589564312	-989.5240276061274	0.9348750848354606	-15777.29572715705
600000	-15817.705279046793	-16803.27493678732	-985.569657740526	0.9348750848354606	-15773.148222391708
610000	-15823.44485150521	-16816.208879745947	-992.7640282407373	0.9348750848354606	-15785.7083761809
620000	-15828.077119125162	-16820.70876456033	-992.6316454351696	0.9348750848354606	-15789.906584959517
630000	-15833.856246485613	-16803.81031682452	-969.9540703389079	0.9348750848354606	-15772.631772044633
640000	-15840.738457385758	-16824.251838577864	-983.5133811921058	0.9348750848354606	-15792.62509039696
650000	-15830.705606831982	-16817.54176379094	-986.83615695896	0.9348750848354606	-15786.56840415121
660000	-15827.35764018576	-16804.11511372814	-976.7574735423801	0.9348750848354606	-15773.359790132217
670000	-15819.237346632386	-16801.708941594155	-982.4715949617702	0.9348750848354606	-15771.482451427008
680000	-15814.73134673859	-16807.325222499847	-992.5938757612563	0.9348750848354606	-15777.392185193514
690000	-15808.97695083391	-16810.448658055382	-1001.4717072214717	0.9348750848354606	-15780.890375294164
700000	-15833.363256143528	-16830.359447898823	-996.9961917552961	0.9348750848354606	-15799.21300907314
710000	-15850.21557559048	-16844.41317818755	-994.1976025970715	0.9348750848354606	-15812.169233487559
720000	-15805.267941667837	-16794.765095369916	-989.4971537020784	0.9348750848354606	-15765.448361515982
730000	-15820.84997638646	-16815.793290420228	-994.9433140337676	0.9348750848354606	-15785.461777877154
740000	-15830.109430348783	-16817.394780392955	-987.2853500441721	0.9348750848354606	-15786.460246696113
750000	-15824.63583924861	-16804.566336589418	-979.9304973408061	0.9348750848354606	-15773.988270048621
760000	-15823.42712418507	-16812.681899319054	-989.2547751339853	0.9348750848354606	-15782.18255024423
770000	-15814.527439226255	-16793.461464770728	-978.9340255444738	0.9348750848354606	-15763.541706923836
780000	-15832.42799464013	-16808.054602252756	-975.6266076126261	0.9348750848354606	-15776.969072253138
790000	-15834.181452564158	-16815.6621607201	-981.4807081559421	0.9348750848354606	-15784.462436921936
800000	-15816.177322832411	-16806.95260330157	-990.7752804691605	0.9348750848354606	-15776.925396924798
810000	-15812.962046689492	-16799.541337545565	-986.5792908560717	0.9348750848354606	-15769.72352575483
820000	-15823.122807852411	-16806.403377039638	-983.2805691872268	0.9348750848354606	-15775.92384654016
830000	-15833.888785644504	-16827.17322557901	-993.2844399345046	0.9348750848354606	-15795.992561689158
840000	-15830.261264487634	-16817.563893590337	-987.3026291027039	0.9348750848354606	-15786.619471708085
850000	-15804.171304853535	-16800.138431156865	-995.9671263033305	0.9348750848354606	-15770.89311568243
860000	-15822.695399271364	-16806.586579627878	-983.8911803565138	0.9348750848354606	-15776.134884075982
870000	-15825.303641328059	-16813.01080929705	-987.7071679689927	0.9348750848354606	-15782.389252202485
880000	-15808.295214950602	-16802.683850460984	-994.3886355103824	0.9348750848354606	-15773.169965691332
890000	-15819.444906151593	-16800.556808264908	-981.1119021133142	0.9348750848354606	-15770.31680080168
900000	-15829.657853312869	-16820.32095754212	-990.6631042292512	0.9348750848354606	-15789.415832761435
910000	-15818.646787424146	-16801.563802913806	-982.9170154896606	0.9348750848354606	-15771.375772864994
920000	-15830.33786566755	-16818.169740008067	-987.8318743405162	0.9348750848354606	-15787.22032948047
930000	-15826.11948546135	-16819.12301232663	-993.0035268652782	0.9348750848354606	-15788.448323452092
940000	-15820.100419408589	-16827.53951505571	-1007.4390956471194	0.9348750848354606	-15797.25681734723
950000	-15813.8802454866	-16813.8926859794	-1000.012440492801	0.9348750848354606	-15784.0150765699
960000	-15821.951602619458	-16824.41232280005	-1002.4607201805915	0.9348750848354606	-15794.00906694201
