lex_ID,tip_label,n_entries
949,KokNar,361
737,Kukatj,783
946,Kurtjar,1139
1032,KukuYalanji,1789
1026,Githabul,1373
91,Bularnu,600
952,Ngawun,316
740,KuguNganhcara,483
650,Linngithigh,490
377,Umpila,793
920,Yadhaykenu,583
13,Dyirbal,712
821,Gumbaynggir,335
911,Nyawaygi,558
427,Yidiny,1667
363,YirYoront,1768
30,Duungidjawu,574
412,Ritharrngu,1496
417,Yindjibarndi,779
865,Diyari,353
771,Kalkatungu,1407
433,PittaPitta,670
534,Nhanta,602
1011,YortaYorta,336
237,Warluwarra,1005
631,Yalarnnga,595
1025,Bandjalang,1361
985,Yaygirr,921
1029,Martuthunira,1011
462,Panyjima,484
118,Badimaya,542
1042,KuukThaayorre,3326
901,GuuguYimidhirr,309
519,Nukunu,358
117,Wirangu,528
204,WembaWemba,1128
1019,WalmajarriHR,3911
943,PintupiLuritja,3729
546,Yanyuwa,2021
1016,Tharrgari,452
554,Ngarluma,876
269,Wangkumara,732
242,Warlpiri,4955
507,Nyangumarta,1545
592,Muruwari,1201
38,Djabugay,921
972,Kunjen,422
965,UwOykangand,1234
964,Olkola,1522
94,Biri,699
656,KuukuYau,1068
790,Jaru,2160
762,Kariyarra,360
697,Kurrama,808
31,Djinang,2124
563,Ngarla,1342
1008,Yuwaalaraay,1559
77,Dhangu,410
63,Dharumbal,562
598,Yandruwandha,811
851,Bilinarra,1731
101,Batyala,478
778,Jiwarli,1236
305,Wakaya,1044
958,Margany,357
962,Gunya,666
113,Yulparija,1797
852,Gurindji,4910
1012,Wargamay,912
1009,Gamilaraay,812
162,Adnyamathanha,1720
232,Warnman,1007
252,Warlmanpa,890
288,Wangkatja,2130
1021,Wajarri,1161
400,Thalanyji,779
443,Payungu,715
606,Mudburra,827
905,Malgana,294
760,Kartujarra,818
767,Karajarri,1748
835,GuguBadhun,483
914,Yinhawangka,1182
200,WesternArrarnta,343
206,Wailwan,727
572,Ngamini,860
982,Nhirrpi,312
518,Yarluyandi,319
99,BidyaraGungabula,758
5,Gangulu,531
800,Guwamu,430
642,MangalaMcK,1229
618,Mirniny,380
1031,Ngadjumaya,828
565,Ngarinyman,1395
1024,Ngardily,419
475,Paakantyi,1198
611,Mbakwithi,390
966,WikMungkan,3831
928,Pakanh,481
967,Thaynakwith,665
744,KokoBera,973
930,Purduna,777
228,Warriyangga,372
917,Nyamal,879
734,Kukatja,3370
957,Ngaanyatjarra,1772
645,Malyangapa,250
62,Dhayyi,1110
1018,Djapu,970
983,Yannhangu,1451
807,Gupapuyngu,2489
