PathParameter	MeanPathLikelihood	MLContribution
0.0000	-28442	10.431
2.1715e-06	9.6357e+06	191.10
2.1888e-05	9.7492e+06	611.11
8.4561e-05	9.7523e+06	1327.0
0.00022061	9.7548e+06	2375.8
0.00046416	9.7553e+06	3786.8
0.00085232	9.7558e+06	5585.3
0.0014248	9.7562e+06	7793.6
0.0022237	9.7564e+06	10432
0.0032929	9.7566e+06	13518
0.0046784	9.7568e+06	10859
0.0064280	2.6564e+06	2854.6
0.0085909	-16787	-43.864
0.011218	-16608	-51.907
0.014361	-16418	-60.845
0.018075	-16352	-70.841
0.022413	-16306	-81.624
0.027432	-16217	-93.201
0.033190	-16157	-105.63
0.039745	-16073	-118.76
0.047156	-15976	-132.07
0.055484	-15741	-145.47
0.064790	-15520	-160.18
0.075138	-15439	-175.88
0.086591	-15276	-192.10
0.099213	-15164	-209.27
0.11307	-15040	-227.28
0.12823	-14948	-245.89
0.14475	-14810	-265.04
0.16271	-14701	-285.39
0.18218	-14620	-306.98
0.20322	-14559	-329.30
0.22591	-14472	-352.65
0.25031	-14431	-377.14
0.27650	-14370	-402.37
0.30455	-14319	-428.82
0.33454	-14284	-456.47
0.36653	-14253	-485.03
0.40060	-14216	-514.62
0.43683	-14191	-545.26
0.47530	-14159	-576.98
0.51608	-14141	-609.89
0.55924	-14118	-643.70
0.60487	-14096	-678.67
0.65304	-14080	-714.93
0.70384	-14068	-752.25
0.75734	-14053	-790.36
0.81363	-14031	-829.64
0.87278	-14021	-870.32
0.93488	-14011	-912.07
1.0000	-13999	

log marginal likelihood (using path sampling) from pathLikelihood.delta = 45102.30726035345

Inner area for path parameter in (2.1715e-06,0.93488) = 45092
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-18050	-0.061603
2.1715e-06	1.9531e+07	384.12
2.1888e-05	1.9531e+07	1223.2
8.4561e-05	1.9531e+07	2656.4
0.00022061	1.9531e+07	4755.9
0.00046416	1.9531e+07	7580.3
0.00085232	1.9531e+07	11181
0.0014248	1.9531e+07	15601
0.0022237	1.9531e+07	20882
0.0032929	1.9531e+07	27061
0.0046784	1.9531e+07	34171
0.0064280	1.9531e+07	42241
0.0085909	-16292	-43.728
0.011218	-16202	-52.005
0.014361	-16054	-60.832
0.018075	-16063	-70.791
0.022413	-15942	-81.692
0.027432	-15949	-93.173
0.033190	-15795	-105.63
0.039745	-15748	-118.80
0.047156	-15562	-132.51
0.055484	-15359	-145.59
0.064790	-15215	-159.98
0.075138	-15210	-176.18
0.086591	-15080	-192.19
0.099213	-14930	-209.34
0.11307	-14846	-227.13
0.12823	-14714	-245.91
0.14475	-14622	-265.23
0.16271	-14547	-285.38
0.18218	-14436	-306.73
0.20322	-14456	-329.67
0.22591	-14357	-352.54
0.25031	-14290	-377.02
0.27650	-14282	-402.34
0.30455	-14235	-428.79
0.33454	-14188	-456.25
0.36653	-14198	-485.18
0.40060	-14140	-514.65
0.43683	-14106	-545.17
0.47530	-14097	-576.80
0.51608	-14081	-609.88
0.55924	-14077	-643.85
0.60487	-14054	-678.67
0.65304	-14036	-714.78
0.70384	-14038	-752.40
0.75734	-14021	-790.62
0.81363	-13994	-829.58
0.87278	-13985	-870.19
0.93488	-13976	-912.05
1.0000	-13974	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = 153493.91289601175
