# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Jul 24 20:01:19 AEST 2020 [seed=1595584878542]
# -threads 8 xml/biphone_binary_CMGR_2020-07-23_ch1.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
0	-36142.856286815426	-2103.03189552843	-34039.824391286995	3591.484096933131	3591.484096933131	17583.74901279137	0.0	14.878787906120644	198.76311013009195	66.43914632616382	306.04396164113786	41.45780022080007	103.96630150383245	78.2352316015874	40.95159512654909	14.081646597605173	269.3585171479207	140.7391298204931	137.66726862206508	68.86326868988492	56.023347555348515	27.099883870430446	196.93254614483317	3500.0	242.67291571704712	0.0	14.878787906120644	198.76311013009195	66.43914632616382	306.04396164113786	41.45780022080007	103.96630150383245	78.2352316015874	40.95159512654909	14.081646597605173	269.3585171479207	140.7391298204931	137.66726862206508	68.86326868988492	56.023347555348515	27.099883870430446	196.93254614483317	3500.0	242.67291571704712	0.001	0.0	0.366	0.5	0.5	0.6163641279929664	0.38363587200703375	0.5	0.5	0.5	0.001	0.1	0.0011676893184066094	6.874408426774219	-0.01676718972902939	-34039.824391286995	-1199.394378775646	-882.678540625399
10000	-16753.54308064158	-1985.8053743071926	-14767.737706334385	4590.9340916790525	4590.9340916790525	29903.957815879978	0.0	14.701890798384476	141.386095779432	159.31112529862423	51.978697087272984	106.58851585691687	107.23786113389097	159.12624150570073	118.26990366706247	31.226417705103373	568.7074786284071	217.37809188243952	253.66384391440963	110.82011273593909	53.30332871885854	31.900868939623606	156.93801939277353	4488.719210495165	162.4248284616153	0.0	14.701890798384476	141.386095779432	159.31112529862423	51.978697087272984	106.58851585691687	107.23786113389097	159.12624150570073	118.26990366706247	31.226417705103373	568.7074786284071	217.37809188243952	253.66384391440963	110.82011273593909	53.30332871885854	31.900868939623606	156.93801939277353	4488.719210495165	162.4248284616153	0.005983957394301716	0.0	0.366	0.0015768058365037293	0.09112424645145703	0.6163641279929664	0.38363587200703375	0.5	0.5	0.6820881754713304	0.004620785309146223	0.030912698207088033	9.711818881354661E-4	2.3104905281533394	0.233817738563414	-14767.737706334385	-1199.394378775646	-768.9923268713552
20000	-16539.75295411204	-1989.259423956125	-14550.493530155914	3689.048095573131	3689.048095573131	35658.574845110925	0.0	39.697111500166436	146.34606464477412	192.21354965201422	106.17579822813836	262.4304870213004	152.45476938613615	166.1695750767218	170.46390702530846	31.355446483431457	1039.6106268634653	368.90660077771645	419.2922847416076	296.86495045106295	170.99081862447176	93.25501536409301	198.64161655475868	3291.455131594731	231.45317330927756	0.0	39.697111500166436	146.34606464477412	192.21354965201422	106.17579822813836	262.4304870213004	152.45476938613615	166.1695750767218	170.46390702530846	31.355446483431457	1039.6106268634653	368.90660077771645	419.2922847416076	296.86495045106295	170.99081862447176	93.25501536409301	198.64161655475868	3291.455131594731	231.45317330927756	0.004884277500377559	0.0	0.366	7.448799972439064E-4	0.13094578549196179	0.6163641279929664	0.38363587200703375	0.5	0.5	0.7493103475075332	0.002164319826324197	0.012326404875475242	6.981485736435833E-4	2.4185515131290027	0.14886036317107365	-14550.493530155914	-1199.394378775646	-771.3455148895804
30000	-16474.442511051904	-2028.7619789935966	-14445.680532058306	3917.8951114715605	3917.8951114715605	54753.62411283443	0.0	91.05241065003902	239.93613666308468	338.75529352944704	189.60600136551716	462.46258663659023	247.6342290159821	302.9287266143511	282.17213172150093	106.17325182484439	1557.4711094462957	771.6709623055133	720.8690418125778	660.8419120331176	263.5886278528752	58.295181104897615	378.73217272159894	3894.8151604870563	611.2070012209703	0.0	91.05241065003902	239.93613666308468	338.75529352944704	189.60600136551716	462.46258663659023	247.6342290159821	302.9287266143511	282.17213172150093	106.17325182484439	1557.4711094462957	771.6709623055133	720.8690418125778	660.8419120331176	263.5886278528752	58.295181104897615	378.73217272159894	3894.8151604870563	611.2070012209703	0.003388751093734782	0.0	0.366	5.499709459984862E-4	0.1386816345573744	0.6163641279929664	0.38363587200703375	0.5	0.5	0.694390831606763	0.0011030572869166445	0.006143102332747596	3.8440847790800065E-4	2.463759813943547	0.012658545387026406	-14445.680532058306	-1199.394378775646	-811.5340084182363
40000	-16354.723931572777	-2040.1219819410355	-14314.60194963174	4557.4654029209105	4557.4654029209105	65001.56008123424	0.0	152.61023702612033	166.06217897800374	200.86426991976282	485.0268744832852	519.3694221672167	217.31613301403905	361.59362127599513	372.38699635917806	125.939499401021	1462.8615232911493	1129.5554952812108	843.2102942073667	490.84224443870625	222.3375287469022	71.39286173803086	455.0693085707352	3496.4546674020603	582.8101863655252	0.0	152.61023702612033	166.06217897800374	200.86426991976282	485.0268744832852	519.3694221672167	217.31613301403905	361.59362127599513	372.38699635917806	125.939499401021	1462.8615232911493	1129.5554952812108	843.2102942073667	490.84224443870625	222.3375287469022	71.39286173803086	455.0693085707352	3496.4546674020603	582.8101863655252	0.0026511905459469373	0.0	0.366	0.0014788705863047014	0.14573389578356885	0.6163641279929664	0.38363587200703375	0.5	0.5	0.657175452382794	9.060638756715986E-4	0.004706020787100134	3.2803965515399965E-4	2.332515498246673	-0.011620960331510704	-14314.60194963174	-1199.394378775646	-825.4318303582066
50000	-16342.53117358399	-2062.251684337288	-14280.2794892467	3977.504886205639	3977.504886205639	81834.49758993668	0.0	263.19093535946786	350.21245007348216	425.04598801695226	776.8517483152906	798.5749651270653	297.9551992847046	545.4164623724146	489.4004797931467	204.29461783554154	1790.9327063393837	1553.046941561859	1098.9827237057611	671.5264965051853	195.1408930626504	73.2331137810654	669.2076416798781	3484.4448789677026	828.926302302975	0.0	263.19093535946786	350.21245007348216	425.04598801695226	776.8517483152906	798.5749651270653	297.9551992847046	545.4164623724146	489.4004797931467	204.29461783554154	1790.9327063393837	1553.046941561859	1098.9827237057611	671.5264965051853	195.1408930626504	73.2331137810654	669.2076416798781	3484.4448789677026	828.926302302975	0.0023843650617745046	0.0	0.366	2.4532746619280673E-4	0.1359392351220031	0.6163641279929664	0.38363587200703375	0.5	0.5	0.7168426210671638	6.138985837319213E-4	0.0028802385784653987	2.702105416743681E-4	2.2393605748342837	-0.05013384832175753	-14280.2794892467	-1199.394378775646	-846.0910048289483
60000	-16326.449973323923	-2068.887169053895	-14257.562804270028	4409.201347444754	4409.201347444754	86361.74105366987	0.0	81.10290487053904	256.08911771933816	523.4058026191859	454.86748480896375	861.826166980122	344.66104087930546	718.1207555004066	581.3495765985926	216.44656833064442	1662.203168228758	1486.8803448183996	1273.9652623052025	634.9848804317439	237.52513455328997	115.8557412550531	608.2249271784447	3153.2853322129927	886.992142794501	0.0	81.10290487053904	256.08911771933816	523.4058026191859	454.86748480896375	861.826166980122	344.66104087930546	718.1207555004066	581.3495765985926	216.44656833064442	1662.203168228758	1486.8803448183996	1273.9652623052025	634.9848804317439	237.52513455328997	115.8557412550531	608.2249271784447	3153.2853322129927	886.992142794501	0.001680494317157782	0.0	0.366	0.0017136649033906801	0.13266726943277646	0.6163641279929664	0.38363587200703375	0.5	0.5	0.7456844809963934	4.78926718355191E-4	0.0020873587317383415	2.2478804363961982E-4	2.1925721934093887	-0.017775396345769447	-14257.562804270028	-1199.394378775646	-853.9085750662837
70000	-16352.625432652065	-2099.879541142092	-14252.745891509972	4705.357753789474	4705.357753789474	121685.28409979717	0.0	106.98270858712476	227.60270606328783	592.8984487387663	440.9092149845733	1248.6923930080766	381.0053644147092	1210.0612834305582	834.3323128896083	298.0446139577132	1720.0978880697805	2332.6703318651844	1656.846896684508	1120.7986928519595	301.66231395503286	248.9706693417558	826.5960004818141	3405.21577432104	1177.4529890124206	0.0	106.98270858712476	227.60270606328783	592.8984487387663	440.9092149845733	1248.6923930080766	381.0053644147092	1210.0612834305582	834.3323128896083	298.0446139577132	1720.0978880697805	2332.6703318651844	1656.846896684508	1120.7986928519595	301.66231395503286	248.9706693417558	826.5960004818141	3405.21577432104	1177.4529890124206	0.0013833972296518383	0.0	0.366	0.0024100332550448713	0.13760440618668063	0.6163641279929664	0.38363587200703375	0.5	0.5	0.8814465634407451	2.828294442758462E-4	9.685616514837395E-4	1.6252615121283814E-4	1.930046661277677	-0.007807468430506625	-14252.745891509972	-1199.394378775646	-885.9066580559468
80000	-16361.431451007544	-2128.377246179805	-14233.054204827738	5734.407101470594	5734.407101470594	160405.97859442688	0.0	156.68089319724072	426.2344735054491	782.7963085090408	485.4083207775072	1551.9688912688666	463.58502106181265	1532.2399094288808	1217.354728150566	432.9403109949348	1518.1793722024545	2505.1402347604558	2541.054339892807	1556.9054788876792	392.9250573978416	493.8984941972001	995.4561980814935	3604.9717331544434	1839.9776754980035	0.0	156.68089319724072	426.2344735054491	782.7963085090408	485.4083207775072	1551.9688912688666	463.58502106181265	1532.2399094288808	1217.354728150566	432.9403109949348	1518.1793722024545	2505.1402347604558	2541.054339892807	1556.9054788876792	392.9250573978416	493.8984941972001	995.4561980814935	3604.9717331544434	1839.9776754980035	0.0011600393458309746	0.0	0.366	0.0021711222466618283	0.14577070131850495	0.6163641279929664	0.38363587200703375	0.5	0.5	0.8670413444853002	1.6231395901045818E-4	5.1227449582486E-4	1.0173469236517879E-4	1.7976022080434106	-0.009277002376126683	-14233.054204827738	-1199.394378775646	-915.6192224869968
90000	-16316.964411186553	-2133.9321460150395	-14183.032265171514	5416.41843749959	5416.41843749959	165251.02499214633	0.0	115.53706543827992	794.1970663818715	857.0862580644325	1068.4703438070344	1540.9293542315945	528.5165673795314	1615.1888692172352	1238.3469072120777	443.82260301841126	2063.986731220916	3212.9330219264184	2661.189883578967	1265.3996424336522	531.1316922229734	928.306092917976	862.9306824939478	3415.87587920995	1650.1319347801987	0.0	115.53706543827992	794.1970663818715	857.0862580644325	1068.4703438070344	1540.9293542315945	528.5165673795314	1615.1888692172352	1238.3469072120777	443.82260301841126	2063.986731220916	3212.9330219264184	2661.189883578967	1265.3996424336522	531.1316922229734	928.306092917976	862.9306824939478	3415.87587920995	1650.1319347801987	9.346197707319905E-4	0.0	0.366	6.203071225535427E-4	0.17713668684311898	0.6163641279929664	0.38363587200703375	0.5	0.5	0.8942611541426531	1.4591427094774563E-4	4.2285500855104114E-4	9.741406482754306E-5	1.700371985958754	-0.007270595107224859	-14183.032265171514	-1199.394378775646	-921.0432475557371
