# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jul 25 00:21:55 AEST 2020 [seed=1595584878542]
# -threads 8 xml/biphone_binary_CMGR_2020-07-23_ch1.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-14014.840150637405	-16181.52291907203	-2166.682768434625	1.0	-16181.52291907203
60000	-13995.216038751718	-16169.044335913706	-2173.8282971619874	1.0	-16169.044335913706
70000	-14003.290064021603	-16168.979619018222	-2165.689554996619	1.0	-16168.979619018222
80000	-14012.247277190492	-16180.144456822147	-2167.897179631654	1.0	-16180.144456822147
90000	-14000.97961454816	-16172.99344306694	-2172.013828518781	1.0	-16172.99344306694
100000	-13987.750558353135	-16160.770009171694	-2173.0194508185587	1.0	-16160.770009171694
110000	-14014.176350870403	-16174.986548436467	-2160.8101975660657	1.0	-16174.986548436467
120000	-13999.69706365449	-16158.561876938566	-2158.864813284076	1.0	-16158.561876938566
130000	-14017.929816775604	-16183.879904028921	-2165.9500872533176	1.0	-16183.879904028921
140000	-14005.286326928275	-16161.104003388598	-2155.817676460322	1.0	-16161.104003388598
150000	-14016.75549019653	-16164.49791202118	-2147.7424218246483	1.0	-16164.49791202118
160000	-13983.988712076614	-16137.251424571697	-2153.262712495083	1.0	-16137.251424571697
170000	-14019.136954079535	-16177.299964965352	-2158.1630108858176	1.0	-16177.299964965352
180000	-13997.681630502664	-16161.461809876797	-2163.7801793741332	1.0	-16161.461809876797
190000	-13988.972693136822	-16149.38399808468	-2160.411304947858	1.0	-16149.38399808468
200000	-13986.258225632726	-16161.304512403522	-2175.046286770795	1.0	-16161.304512403522
210000	-13998.08514712551	-16179.842701573267	-2181.7575544477572	1.0	-16179.842701573267
220000	-13998.342808181196	-16177.507947910732	-2179.165139729536	1.0	-16177.507947910732
230000	-14006.006321659117	-16157.223572223967	-2151.2172505648505	1.0	-16157.223572223967
240000	-14002.823379119927	-16174.61546869393	-2171.792089574002	1.0	-16174.61546869393
250000	-14007.28786534595	-16173.865670738149	-2166.5778053921986	1.0	-16173.865670738149
260000	-14004.04384540947	-16173.134459718294	-2169.0906143088246	1.0	-16173.134459718294
270000	-14013.888129127801	-16177.892328215581	-2164.0041990877794	1.0	-16177.892328215581
280000	-14010.267391705549	-16195.10190304909	-2184.834511343541	1.0	-16195.10190304909
290000	-14018.159013852179	-16182.604746473287	-2164.4457326211077	1.0	-16182.604746473287
300000	-14015.819802523809	-16192.773735163366	-2176.953932639558	1.0	-16192.773735163366
310000	-14014.775778609786	-16197.16894481997	-2182.393166210184	1.0	-16197.16894481997
320000	-13984.737662679025	-16179.495330226651	-2194.757667547627	1.0	-16179.495330226651
330000	-14017.987337549022	-16200.94012613262	-2182.9527885835973	1.0	-16200.94012613262
340000	-13989.476942784917	-16181.622525235303	-2192.145582450386	1.0	-16181.622525235303
350000	-13997.653308073288	-16187.200584502125	-2189.547276428837	1.0	-16187.200584502125
360000	-13984.69227171842	-16176.416899429969	-2191.7246277115473	1.0	-16176.416899429969
370000	-13984.07494718138	-16174.587966209958	-2190.513019028579	1.0	-16174.587966209958
380000	-13985.488852143271	-16171.345834581498	-2185.856982438227	1.0	-16171.345834581498
390000	-14009.40748201263	-16194.280362829828	-2184.8728808171973	1.0	-16194.280362829828
400000	-14010.966658094	-16187.561965792846	-2176.5953076988467	1.0	-16187.561965792846
410000	-13996.33906863406	-16183.437363307674	-2187.0982946736135	1.0	-16183.437363307674
420000	-14005.535385350602	-16168.89194200484	-2163.356556654238	1.0	-16168.89194200484
430000	-14001.842435078192	-16160.862649736797	-2159.020214658605	1.0	-16160.862649736797
440000	-13998.81297497079	-16165.29568838748	-2166.4827134166903	1.0	-16165.29568838748
450000	-13990.426643840066	-16131.327042424316	-2140.900398584249	1.0	-16131.327042424316
460000	-14004.91074270618	-16152.994147845362	-2148.0834051391807	1.0	-16152.994147845362
470000	-13985.106655482981	-16142.158503991257	-2157.0518485082757	1.0	-16142.158503991257
480000	-13986.577675761595	-16160.713782748706	-2174.136106987111	1.0	-16160.713782748706
490000	-13989.175692733428	-16138.569842980858	-2149.394150247431	1.0	-16138.569842980858
500000	-13998.771460049134	-16167.1974459527	-2168.425985903565	1.0	-16167.1974459527
510000	-13991.22288323342	-16143.370522538187	-2152.1476393047674	1.0	-16143.370522538187
520000	-14000.12452692854	-16149.087351900558	-2148.962824972018	1.0	-16149.087351900558
530000	-13990.332675516722	-16141.422991866133	-2151.090316349412	1.0	-16141.422991866133
540000	-14002.46838742656	-16167.58286613111	-2165.11447870455	1.0	-16167.58286613111
550000	-14004.15532751952	-16166.726629638099	-2162.5713021185784	0.9348750848354606	-15254.707201982357
560000	-14010.407148024009	-16159.215282466877	-2148.8081344428674	0.9348750848354606	-15246.788705531157
570000	-14016.232076087294	-16171.652714085436	-2155.420637998142	0.9348750848354606	-15258.846789203755
580000	-14053.507637373881	-16224.236396600634	-2170.728759226754	0.9348750848354606	-15309.002903952454
590000	-14028.388083616603	-16191.320387860811	-2162.9323042442093	0.9348750848354606	-15277.722804020044
600000	-14000.870459726382	-16170.62926437625	-2169.7588046498668	0.9348750848354606	-15258.823763456863
610000	-14023.021154754604	-16186.868105993919	-2163.846951239315	0.9348750848354606	-15273.620042939983
620000	-14008.25937110883	-16156.940456149583	-2148.6810850407533	0.9348750848354606	-15244.653753003256
630000	-14025.910769410533	-16189.806651030962	-2163.8958816204295	0.9348750848354606	-15276.370402067701
640000	-14001.644076386221	-16188.88581720507	-2187.241740818848	0.9348750848354606	-15277.02993456634
650000	-14000.448696608764	-16169.24636627403	-2168.7976696652654	0.9348750848354606	-15257.468332641896
660000	-14019.397985877993	-16181.607195617533	-2162.20920973954	0.9348750848354606	-15268.595091129315
670000	-14037.883180049546	-16212.749956076335	-2174.86677602679	0.9348750848354606	-15298.534004885894
680000	-14005.90294991712	-16153.944777916662	-2148.041827999542	0.9348750848354606	-15241.811536500538
690000	-14011.131245005809	-16160.427092440443	-2149.295847434634	0.9348750848354606	-15247.953358750212
700000	-14010.564396106016	-16154.405398170044	-2143.841002064028	0.9348750848354606	-15241.968580466322
710000	-14009.33294643637	-16182.448008004614	-2173.115061568243	0.9348750848354606	-15270.091388356159
720000	-14032.541068622715	-16191.893955411004	-2159.352886788288	0.9348750848354606	-15278.025908774034
730000	-14018.644182798602	-16188.720548442056	-2170.076365643453	0.9348750848354606	-15275.757535315432
740000	-14011.518905949695	-16185.037042120348	-2173.518136170652	0.9348750848354606	-15272.538062044034
750000	-13993.806020033351	-16169.921146723305	-2176.1151266899537	0.9348750848354606	-15258.575716839612
760000	-14017.661476112575	-16188.728356069118	-2171.066879956543	0.9348750848354606	-15275.829341632054
770000	-14008.915803599268	-16167.832035834188	-2158.91623223492	0.9348750848354606	-15255.50258257761
780000	-14012.120160760267	-16172.016687273072	-2159.896526512805	0.9348750848354606	-15259.478550528227
790000	-14021.214513314419	-16172.961497427757	-2151.746984113339	0.9348750848354606	-15259.831091744347
800000	-14012.551081752872	-16174.212605090519	-2161.661523337647	0.9348750848354606	-15261.646404652587
810000	-14007.068023374773	-16169.219517046458	-2162.151493671684	0.9348750848354606	-15257.010400320243
820000	-14038.448503531241	-16201.151906533738	-2162.7034030024965	0.9348750848354606	-15286.899138699511
830000	-14007.216938358499	-16172.25787739522	-2165.0409390367204	0.9348750848354606	-15260.039062593321
840000	-14013.470424620753	-16194.795385767175	-2181.3249611464216	0.9348750848354606	-15282.169313202965
850000	-14022.335072034808	-16201.79051922463	-2179.4554471898227	0.9348750848354606	-15288.587137249617
860000	-14024.789833637486	-16184.819248281332	-2160.0294146438464	0.9348750848354606	-15271.456000165195
870000	-14016.54154394499	-16188.938833243463	-2172.3972892984725	0.9348750848354606	-15276.112754293803
880000	-14006.81082173035	-16162.80307141755	-2155.992249687199	0.9348750848354606	-15250.610704926607
890000	-14007.669112631193	-16167.733377558743	-2160.0642649275514	0.9348750848354606	-15255.485114945697
900000	-14018.616317392694	-16191.136690348647	-2172.5203729559526	0.9348750848354606	-15278.175491954218
910000	-14033.25069293332	-16212.76507485377	-2179.514381920452	0.9348750848354606	-15298.850813993775
920000	-14036.800662518008	-16216.300376647574	-2179.4997141295667	0.9348750848354606	-15302.154924319537
930000	-14014.254607511957	-16193.601573764598	-2179.34696625264	0.9348750848354606	-15280.924431356125
940000	-14046.456846570092	-16213.222891400206	-2166.766044830114	0.9348750848354606	-15298.448580904966
950000	-14026.486369047992	-16202.531765635355	-2176.045396587362	0.9348750848354606	-15289.058030794535
960000	-14005.598698549964	-16166.39585903269	-2160.797160482725	0.9348750848354606	-15254.282431961039
970000	-14025.677011512793	-16197.649449270328	-2171.972437757535	0.9348750848354606	-15284.228423770326
980000	-14001.347020202236	-16165.628423391869	-2164.2814031896323	0.9348750848354606	-15253.79188651192
990000	-13997.915771593734	-16159.940664417285	-2162.02489282355	0.9348750848354606	-15248.327587311873
1000000	-14010.372499961202	-16198.072241884613	-2187.6997419234094	0.9348750848354606	-15285.647921401041
