# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Aug 31 14:11:06 AEST 2020 [seed=1598847038473]
# -window -working -options
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
0	-34165.40171034491	-2103.1132965630263	-32062.28841378188	3527.9854975103967	3527.9854975103967	17975.761243714514	0.0	468.2532593453113	151.1713600498092	168.1179680569236	72.83590646791768	119.7424173333145	236.41768503721434	25.619717096712346	102.72106508447511	36.51289391795697	130.82116669345126	135.3587149500619	127.76293684843803	28.101490442638017	183.0310911752178	84.03651506065223	151.3646252404345	3500.0	88.35672522244326	0.0	468.2532593453113	151.1713600498092	168.1179680569236	72.83590646791768	119.7424173333145	236.41768503721434	25.619717096712346	102.72106508447511	36.51289391795697	130.82116669345126	135.3587149500619	127.76293684843803	28.101490442638017	183.0310911752178	84.03651506065223	151.3646252404345	3500.0	88.35672522244326	0.001	0.0	0.366	0.5	0.5	0.6163641279929664	0.38363587200703375	0.5	0.5	0.5	0.001	0.1	1.8778925475801007E-4	6.888561382709516	0.01279417603239626	-32062.28841378188	-1199.394378775646	-882.4940714867598
10000	-16093.233292518604	-1985.6657160712468	-14107.567576447356	4006.3524953166034	4006.3524953166034	29627.175308609687	0.0	5.276606067404517	254.27578435971736	163.4347295719234	184.06216882928004	138.05956755432402	304.1418570542873	103.15740901466609	182.85361583544437	41.836519097068035	63.342122893257354	155.3904801943018	261.89807913469275	48.226092314887275	97.22548039200105	148.43286198643108	521.1632825693983	3251.4290842569667	168.88934274625308	0.0	5.276606067404517	254.27578435971736	163.4347295719234	184.06216882928004	138.05956755432402	304.1418570542873	103.15740901466609	182.85361583544437	41.836519097068035	63.342122893257354	155.3904801943018	261.89807913469275	48.226092314887275	97.22548039200105	148.43286198643108	521.1632825693983	3251.4290842569667	168.88934274625308	0.005285156696311704	0.0	0.366	8.885752929584986E-4	0.1000662676687254	0.6163641279929664	0.38363587200703375	0.5	0.5	0.6213877918095185	0.00406161368312835	0.019716420715486665	8.59986892692686E-4	3.3631560834825196	0.456710696541831	-14107.567576447356	-1199.394378775646	-769.1515051115205
20000	-15934.101498983866	-2022.3381269926176	-13911.763371991248	4710.334086006215	4710.334086006215	47029.61109108254	0.0	6.608907788467677	584.1908549037454	161.34572825192882	211.70981077911986	272.0500847898122	513.0612921298105	193.9901759978715	405.7622966231648	88.11506230859545	149.72419847030415	346.1647245066554	536.8026196224979	204.97024040082505	229.18501325240038	284.5926864698292	1197.693373498004	4317.834131550777	345.7522205273004	0.0	6.608907788467677	584.1908549037454	161.34572825192882	211.70981077911986	272.0500847898122	513.0612921298105	193.9901759978715	405.7622966231648	88.11506230859545	149.72419847030415	346.1647245066554	536.8026196224979	204.97024040082505	229.18501325240038	284.5926864698292	1197.693373498004	4317.834131550777	345.7522205273004	0.0033148743905567083	0.0	0.366	0.0012478247319563382	0.13447074320030264	0.6163641279929664	0.38363587200703375	0.5	0.5	0.6236107212887081	0.001794927045559629	0.00941829373793157	4.195102184092682E-4	3.502800551920017	0.5028249128876737	-13911.763371991248	-1199.394378775646	-806.4810908923833
30000	-15839.576987163095	-2013.0363477477056	-13826.540639415389	3965.3831488287647	3965.3831488287647	44539.216945012144	0.0	10.66920075101366	583.1842069285375	227.7626315903579	295.6332121256183	386.56206004784775	425.3665470074036	376.51952303500434	571.0534640192018	132.52308977497836	161.58599082131033	329.0485832217547	551.5392494599791	164.84628611390178	192.850388546111	186.15879317974515	1165.4948770604603	3688.695857878088	339.67003917081337	0.0	10.66920075101366	583.1842069285375	227.7626315903579	295.6332121256183	386.56206004784775	425.3665470074036	376.51952303500434	571.0534640192018	132.52308977497836	161.58599082131033	329.0485832217547	551.5392494599791	164.84628611390178	192.850388546111	186.15879317974515	1165.4948770604603	3688.695857878088	339.67003917081337	0.004334694706061256	0.0	0.366	0.002469763418103278	0.1279410441407464	0.6163641279929664	0.38363587200703375	0.5	0.5	0.7305964042374927	0.001625765958611155	0.006935455098136689	4.4524957723172953E-4	3.2819637936122925	0.42723283932871126	-13826.540639415389	-1199.394378775646	-796.2328240172264
40000	-15832.258991786392	-2062.5399270162247	-13769.719064770166	4875.805800536353	4875.805800536353	73708.85350455026	0.0	129.56633979540558	1519.1041154405825	847.2650100592355	376.09409467393226	680.553408318148	769.9393460517339	191.69056770647344	1216.90868996853	258.52441968182507	977.5180260825493	580.216697959807	878.9755427717195	299.5014206200487	245.09984009804108	411.8206886526911	1730.8353322872865	4789.8084201242855	582.4871867303358	0.0	129.56633979540558	1519.1041154405825	847.2650100592355	376.09409467393226	680.553408318148	769.9393460517339	191.69056770647344	1216.90868996853	258.52441968182507	977.5180260825493	580.216697959807	878.9755427717195	299.5014206200487	245.09984009804108	411.8206886526911	1730.8353322872865	4789.8084201242855	582.4871867303358	0.002362701010450856	0.0	0.366	3.396969999563386E-4	0.15927439775687469	0.6163641279929664	0.38363587200703375	0.5	0.5	0.7481706340854809	8.576027772567845E-4	0.003651399001288192	2.3968261389747706E-4	3.014581508873054	-0.002161910623404505	-13769.719064770166	-1199.394378775646	-846.0231189816787
50000	-15825.932963889805	-2053.746976353201	-13772.185987536604	3875.6240190045	3875.6240190045	71830.90976640272	0.0	294.21727739770984	969.393917304058	898.7317088695253	558.2965626976973	800.9569332397992	878.711254920649	361.2640489575758	1636.398446236184	372.54012777694663	635.258831590145	696.4361162568514	1067.3897613393285	307.207816117009	304.0387043653357	433.0281587098335	1163.4653080335556	3559.8703068944296	642.6609050604146	0.0	294.21727739770984	969.393917304058	898.7317088695253	558.2965626976973	800.9569332397992	878.711254920649	361.2640489575758	1636.398446236184	372.54012777694663	635.258831590145	696.4361162568514	1067.3897613393285	307.207816117009	304.0387043653357	433.0281587098335	1163.4653080335556	3559.8703068944296	642.6609050604146	0.0020904375879992314	0.0	0.366	1.4718244506525487E-5	0.19439315193101497	0.6163641279929664	0.38363587200703375	0.5	0.5	0.7615879162481699	6.469379633480991E-4	0.0023205684477588715	2.2737604361035103E-4	2.77804309848727	0.018050539133972487	-13772.185987536604	-1199.394378775646	-836.8302662457313
60000	-15720.939447295137	-2059.897979450799	-13661.041467844338	4019.616008755287	4019.616008755287	78527.55294411982	0.0	234.2827299241592	1204.821596136684	844.2408520469603	253.96787294583805	570.979107492276	617.2736166284083	405.02097219390623	1169.196387794282	397.16915080714915	521.6124397110958	840.5756269251524	1244.6569088155204	222.97315874163218	302.0088862336766	430.1216163119319	1403.6200114671503	3794.1910087684587	708.4607526696182	0.0	234.2827299241592	1204.821596136684	844.2408520469603	253.96787294583805	570.979107492276	617.2736166284083	405.02097219390623	1169.196387794282	397.16915080714915	521.6124397110958	840.5756269251524	1244.6569088155204	222.97315874163218	302.0088862336766	430.1216163119319	1403.6200114671503	3794.1910087684587	708.4607526696182	0.0023884187163119666	0.0	0.366	3.042201846599257E-5	0.2166628385845744	0.6163641279929664	0.38363587200703375	0.5	0.5	0.7388847983285654	4.7486499559684533E-4	0.0013460750866419503	1.8426423304285938E-4	2.3488628125394944	-0.045378177294719754	-13661.041467844338	-1199.394378775646	-843.3697107544267
70000	-15702.656612244395	-2057.9757605285536	-13644.68085171584	4437.140066613927	4437.140066613927	78612.85436388323	0.0	274.88311109220035	1183.780477038586	973.1631250914375	221.59859588796934	572.9670039385301	610.9970257503011	490.9581968142329	1144.7547778606788	392.2481409866625	501.7156373116816	771.3614880613978	1282.8451119552574	222.74730811847294	329.7899596476958	421.08083683495255	1373.3467479196343	3206.6092295226954	658.2636260138793	0.0	274.88311109220035	1183.780477038586	973.1631250914375	221.59859588796934	572.9670039385301	610.9970257503011	490.9581968142329	1144.7547778606788	392.2481409866625	501.7156373116816	771.3614880613978	1282.8451119552574	222.74730811847294	329.7899596476958	421.08083683495255	1373.3467479196343	3206.6092295226954	658.2636260138793	0.0023440217526919014	0.0	0.366	0.001504395542561472	0.17134834467860577	0.6163641279929664	0.38363587200703375	0.5	0.5	0.6957829952138156	5.467975304953636E-4	0.0017947442432454427	2.1060689792047827E-4	2.5868194977191123	-0.01439871873242856	-13644.68085171584	-1199.394378775646	-843.1420491565898
80000	-15670.88595418805	-2055.640244092027	-13615.245710096024	3632.26270666293	3632.26270666293	75347.01215727671	0.0	103.1863611453219	1423.7858135793745	963.0926321248312	170.96883351284086	563.224658662895	665.2534356552063	631.3023732958944	991.5949576225877	546.3921373640734	523.8389892706489	773.9172282963216	1165.7328978147154	221.8704448476285	346.9934072163277	756.2914345538236	1354.1025181839518	3131.6835914374597	737.2906596813657	0.0	103.1863611453219	1423.7858135793745	963.0926321248312	170.96883351284086	563.224658662895	665.2534356552063	631.3023732958944	991.5949576225877	546.3921373640734	523.8389892706489	773.9172282963216	1165.7328978147154	221.8704448476285	346.9934072163277	756.2914345538236	1354.1025181839518	3131.6835914374597	737.2906596813657	0.0024295311721110303	0.0	0.366	0.005293427465508505	0.154896188992823	0.6163641279929664	0.38363587200703375	0.5	0.5	0.7852368888227952	5.290838897751268E-4	0.0015387780844606479	2.0427207340799425E-4	2.51144863185712	-0.02187090904735338	-13615.245710096024	-1199.394378775646	-837.9022948434831
90000	-15641.963570340935	-2080.7404034413044	-13561.22316689963	3888.6238049566728	3888.6238049566728	98673.50258423842	0.0	132.84349500967116	1936.99784955357	1264.1203129209557	324.70484284612223	760.7076750304193	780.7685955374008	952.1482134942094	1403.974869816711	533.3758590541056	743.883084909637	946.7491490819402	1473.0552807824074	328.4155629339443	436.4252008297772	767.0712478157051	1699.904752070692	3272.0303407308625	1077.5092410385205	0.0	132.84349500967116	1936.99784955357	1264.1203129209557	324.70484284612223	760.7076750304193	780.7685955374008	952.1482134942094	1403.974869816711	533.3758590541056	743.883084909637	946.7491490819402	1473.0552807824074	328.4155629339443	436.4252008297772	767.0712478157051	1699.904752070692	3272.0303407308625	1077.5092410385205	0.0018930894905643235	0.0	0.366	1.3194025014469208E-4	0.1796319548313972	0.6163641279929664	0.38363587200703375	0.5	0.5	0.7562965912331688	3.7626115586051245E-4	0.001204411750147495	1.5389241771947613E-4	2.635949436754795	0.09957862827500634	-13561.22316689963	-1199.394378775646	-864.3421956644518
