# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jul 25 01:50:30 AEST 2020 [seed=1595592087954]
# -threads 8 xml/biphone_binary_CMGS_2020-07-23_ch1.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-14340.185846593276	-15337.04855032762	-996.8627037343438	1.0	-15337.04855032762
60000	-14349.738303318563	-15348.979216629281	-999.2409133107184	1.0	-15348.979216629281
70000	-14342.590699666742	-15330.551325331897	-987.9606256651558	1.0	-15330.551325331897
80000	-14346.865350899117	-15326.873784103454	-980.0084332043377	1.0	-15326.873784103454
90000	-14334.662402778155	-15319.066323903042	-984.4039211248879	1.0	-15319.066323903042
100000	-14336.575007263207	-15323.247710676287	-986.6727034130804	1.0	-15323.247710676287
110000	-14344.663404660105	-15342.46875264522	-997.8053479851155	1.0	-15342.46875264522
120000	-14327.077841054446	-15310.450319184016	-983.3724781295696	1.0	-15310.450319184016
130000	-14356.084369776378	-15343.920904521035	-987.8365347446573	1.0	-15343.920904521035
140000	-14340.377014121554	-15308.034397595877	-967.6573834743231	1.0	-15308.034397595877
150000	-14338.667489777848	-15323.675939961342	-985.0084501834933	1.0	-15323.675939961342
160000	-14328.320343147772	-15311.102990091424	-982.782646943651	1.0	-15311.102990091424
170000	-14331.640232630089	-15331.567521177241	-999.9272885471521	1.0	-15331.567521177241
180000	-14335.548793664746	-15339.60572869788	-1004.0569350331332	1.0	-15339.60572869788
190000	-14353.478957124657	-15349.68255608483	-996.2035989601735	1.0	-15349.68255608483
200000	-14344.546299004396	-15358.696118531265	-1014.1498195268682	1.0	-15358.696118531265
210000	-14334.632501152084	-15344.216378988396	-1009.583877836312	1.0	-15344.216378988396
220000	-14338.607915848002	-15332.344228592076	-993.7363127440734	1.0	-15332.344228592076
230000	-14338.733448518327	-15330.062748960481	-991.3293004421532	1.0	-15330.062748960481
240000	-14344.752591310531	-15341.571067132969	-996.8184758224378	1.0	-15341.571067132969
250000	-14357.476690684212	-15336.961393605989	-979.4847029217755	1.0	-15336.961393605989
260000	-14354.10797288848	-15347.641626044955	-993.5336531564751	1.0	-15347.641626044955
270000	-14344.786395041898	-15329.66132420623	-984.8749291643322	1.0	-15329.66132420623
280000	-14351.38228166877	-15327.187486216757	-975.8052045479868	1.0	-15327.187486216757
290000	-14337.162837472823	-15317.424297557425	-980.2614600846033	1.0	-15317.424297557425
300000	-14358.611597499706	-15327.118615032248	-968.5070175325419	1.0	-15327.118615032248
310000	-14355.53363983616	-15332.768234670843	-977.2345948346837	1.0	-15332.768234670843
320000	-14349.642966837684	-15334.33776003026	-984.694793192576	1.0	-15334.33776003026
330000	-14351.201772415958	-15344.581742267463	-993.3799698515046	1.0	-15344.581742267463
340000	-14356.621897879035	-15351.080908027321	-994.4590101482866	1.0	-15351.080908027321
350000	-14351.25664039053	-15351.496222349646	-1000.239581959116	1.0	-15351.496222349646
360000	-14335.732209350643	-15336.339039916547	-1000.606830565904	1.0	-15336.339039916547
370000	-14329.200566039586	-15327.431804213908	-998.2312381743217	1.0	-15327.431804213908
380000	-14341.915165225491	-15345.571113474503	-1003.6559482490115	1.0	-15345.571113474503
390000	-14329.308912268574	-15340.458267134667	-1011.1493548660923	1.0	-15340.458267134667
400000	-14347.771230736042	-15344.633854959618	-996.862624223576	1.0	-15344.633854959618
410000	-14346.205682764394	-15342.226603076462	-996.0209203120688	1.0	-15342.226603076462
420000	-14335.807793330132	-15333.953533038986	-998.145739708854	1.0	-15333.953533038986
430000	-14350.904617938551	-15352.61296123197	-1001.7083432934186	1.0	-15352.61296123197
440000	-14340.577639839408	-15335.9223345498	-995.3446947103913	1.0	-15335.9223345498
450000	-14348.302346543223	-15347.361468815827	-999.0591222726028	1.0	-15347.361468815827
460000	-14330.538932797492	-15334.263126044343	-1003.7241932468515	1.0	-15334.263126044343
470000	-14340.9824759685	-15348.811745528106	-1007.8292695596069	1.0	-15348.811745528106
480000	-14347.468177112101	-15340.214057226205	-992.7458801141044	1.0	-15340.214057226205
490000	-14344.988892125244	-15337.378714174753	-992.3898220495089	1.0	-15337.378714174753
500000	-14335.051389455746	-15331.511095456866	-996.4597060011193	1.0	-15331.511095456866
510000	-14332.852242251454	-15326.103969940305	-993.2517276888502	1.0	-15326.103969940305
520000	-14327.87486236379	-15326.0226494834	-998.147787119612	1.0	-15326.0226494834
530000	-14348.905629103429	-15336.519846149193	-987.6142170457648	1.0	-15336.519846149193
540000	-14325.063493146361	-15309.39673509179	-984.3332419454298	1.0	-15309.39673509179
550000	-14344.295581363824	-15326.387646009354	-982.0920646455312	0.9348750848354606	-14392.216613177958
560000	-14359.841856720514	-15339.053522352828	-979.2116656323141	0.9348750848354606	-14403.870039657702
570000	-14340.614359803318	-15340.759333343289	-1000.1449735399704	0.9348750848354606	-14406.828039753722
580000	-14355.757934092611	-15355.223595909634	-999.4656618170226	0.9348750848354606	-14420.30607832919
590000	-14342.73323116935	-15343.225860885439	-1000.49262971609	0.9348750848354606	-14409.156575977913
600000	-14343.453562952449	-15336.904315566928	-993.4507526144781	0.9348750848354606	-14402.788119113138
610000	-14342.45519568778	-15338.73465706708	-996.2794613792996	0.9348750848354606	-14404.683479196705
620000	-14331.83018098592	-15319.590129294653	-987.759948308732	0.9348750848354606	-14386.230904605358
630000	-14346.97295582063	-15339.743986826958	-992.7710310063271	0.9348750848354606	-14405.398590211196
640000	-14337.262369990858	-15329.480801651167	-992.2184316603079	0.9348750848354606	-14395.767806113769
650000	-14353.463231367381	-15351.994459379954	-998.5312280125731	0.9348750848354606	-14417.226384119816
660000	-14336.220634772535	-15323.14350142618	-986.9228666536462	0.9348750848354606	-14389.4983488065
670000	-14343.081173016393	-15330.94058783802	-987.8594148216273	0.9348750848354606	-14396.848643247225
680000	-14342.926260681283	-15338.393907005016	-995.4676463237342	0.9348750848354606	-14404.312051066903
690000	-14335.061419533464	-15322.129018078525	-987.0675985450623	0.9348750848354606	-14388.559359252946
700000	-14350.307699572084	-15349.980954169769	-999.6732545976854	0.9348750848354606	-14415.4183826501
710000	-14328.750797452607	-15312.878479645475	-984.1276821928683	0.9348750848354606	-14379.719799547547
720000	-14333.180804774376	-15337.825789452963	-1004.6449846785868	0.9348750848354606	-14404.378605504027
730000	-14347.074334889174	-15347.348212287267	-1000.2738773980922	0.9348750848354606	-14412.99621336827
740000	-14336.650154706811	-15336.099572289853	-999.4494175830431	0.9348750848354606	-14402.426447220892
750000	-14351.852945580278	-15339.700150057954	-987.8472044776755	0.9348750848354606	-14405.036944523092
760000	-14379.162295819095	-15362.67610903748	-983.513813218385	0.9348750848354606	-14426.234384385118
770000	-14356.818332575273	-15343.668477238542	-986.8501446632698	0.9348750848354606	-14408.681901296874
780000	-14337.745188547551	-15336.107320778572	-998.3621322310215	0.9348750848354606	-14402.36288172363
790000	-14383.512790629642	-15385.316178638626	-1001.8033880089838	0.9348750848354606	-14448.591128380802
800000	-14355.888826652517	-15354.268252797072	-998.379426144555	0.9348750848354606	-14419.342210849767
810000	-14341.53147626021	-15329.293663191338	-987.7621869311284	0.9348750848354606	-14395.30264247032
820000	-14331.039175337772	-15331.088003597306	-1000.0488282595337	0.9348750848354606	-14397.780293083742
830000	-14363.131435162517	-15364.413177806015	-1001.2817426434981	0.9348750848354606	-14429.015461593925
840000	-14347.212102884692	-15339.091024314237	-991.8789214295446	0.9348750848354606	-14404.730053266218
850000	-14341.339565185592	-15332.606260937608	-991.2666957520162	0.9348750848354606	-14398.627738409043
860000	-14349.398087419455	-15332.489352151122	-983.0912647316666	0.9348750848354606	-14397.986019045724
870000	-14366.726620786294	-15357.943368851491	-991.2167480651966	0.9348750848354606	-14422.311516480651
880000	-14375.238563189272	-15364.883838472653	-989.6452752833819	0.9348750848354606	-14428.697646574936
890000	-14363.567675096403	-15339.703762750327	-976.136087653924	0.9348750848354606	-14404.277636449553
900000	-14352.611777314403	-15326.489514794153	-973.8777374797509	0.9348750848354606	-14391.776890406982
910000	-14325.258404540911	-15322.32775379278	-997.0693492518689	0.9348750848354606	-14389.39651548695
920000	-14333.363515761524	-15329.251825731426	-995.8883099699007	0.9348750848354606	-14395.79274274495
930000	-14341.769579215843	-15338.528345354722	-996.7587661388782	0.9348750848354606	-14404.521818198918
940000	-14355.903748548855	-15344.65879597553	-988.7550474266761	0.9348750848354606	-14409.731782240991
950000	-14344.114721485188	-15332.318119946558	-988.2033984613691	0.9348750848354606	-14398.158865599415
960000	-14359.757331867504	-15350.540162114887	-990.7828302473828	0.9348750848354606	-14415.362184093641
970000	-14357.038178346555	-15338.957197047941	-981.9190187013863	0.9348750848354606	-14403.956303669067
980000	-14328.831832334701	-15319.468041574917	-990.6362092402165	0.9348750848354606	-14386.304084087169
990000	-14359.983636676865	-15344.475174626585	-984.4915379497194	0.9348750848354606	-14409.282458523829
1000000	-14343.534028101565	-15328.064652972182	-984.530624870616	0.9348750848354606	-14393.943216232381
1010000	-14348.388292206573	-15334.912689465324	-986.5243972587498	0.9348750848354606	-14400.4751191875
1020000	-14345.7099560815	-15329.062635235645	-983.3526791541447	0.9348750848354606	-14394.799491370748
1030000	-14354.162535177928	-15345.503308756835	-991.3407735789086	0.9348750848354606	-14410.689691395362
1040000	-14352.285779531165	-15351.245096855262	-998.959317324098	0.9348750848354606	-14416.55370304607
1050000	-14356.735511704028	-15345.140147273349	-988.4046355693212	0.872778642317937	-13518.656763592076
1060000	-14356.056863657617	-15348.956545378256	-992.8996817206394	0.872778642317937	-13522.559500222835
1070000	-14348.699804905365	-15344.993016909832	-996.2932120044666	0.872778642317937	-13519.531946757419
1080000	-14349.549402120565	-15336.745205913961	-987.1958037933958	0.872778642317937	-13511.176048850348
1090000	-14373.693929441124	-15358.904900867612	-985.2109714264873	0.872778642317937	-13530.264044257685
1100000	-14341.891374125775	-15337.208028749359	-995.3166546235852	0.872778642317937	-13512.61313640441
1110000	-14352.43810469401	-15345.24560994484	-992.8075052508298	0.872778642317937	-13519.308948217895
1120000	-14361.055780296285	-15359.444552862904	-998.3887725666192	0.872778642317937	-13532.411538745773
1130000	-14346.713426016988	-15339.248013680242	-992.5345876632548	0.872778642317937	-13514.03965334688
1140000	-14362.384044218603	-15363.929575144313	-1001.545530925711	0.872778642317937	-13536.727577487623
1150000	-14339.689717371675	-15323.310364549781	-983.6206471781065	0.872778642317937	-13498.995569966239
1160000	-14363.894485373523	-15355.222766216382	-991.3282808428603	0.872778642317937	-13527.828608185266
1170000	-14344.017025161114	-15337.254058460756	-993.2370332996408	0.872778642317937	-13512.388737905132
1180000	-14354.516968393076	-15346.607537629516	-992.0905692364389	0.872778642317937	-13520.406400040338
1190000	-14349.893241530062	-15348.203153274771	-998.3099117447094	0.872778642317937	-13522.590252494656
1200000	-14357.510720802577	-15349.240020386398	-991.7292995838214	0.872778642317937	-13522.65801355112
1210000	-14340.42688482481	-15327.337371504356	-986.9104866795461	0.872778642317937	-13502.928793476587
1220000	-14333.163013970094	-15317.900704404185	-984.7376904340907	0.872778642317937	-13494.416245888578
1230000	-14362.813664621015	-15332.862406656173	-970.048742035158	0.872778642317937	-13505.605752108602
1240000	-14353.493966453982	-15329.90484017722	-976.4108737232377	0.872778642317937	-13503.833850283645
1250000	-14354.79490963656	-15335.95908992944	-981.1641802928813	0.872778642317937	-13509.722592277909
1260000	-14350.29616977005	-15320.365898605147	-970.0697288350971	0.872778642317937	-13494.701736747293
