# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jul 25 03:59:13 AEST 2020 [seed=1595613551896]
# -threads 8 xml/biphone_binary_CMGS_2020-07-23_ch2.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	alpha	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-22773.680078981935	-903.92799542062	-21869.752083561314	3691.414399741187	3691.414399741187	19896.206855864897	0.0	152.60842220693974	141.0777841017186	34.962493636197294	178.99777349326786	176.69435506958214	269.9061044973201	120.14474544691566	128.58830757460603	79.01253088613919	448.0309085161017	129.36238219449675	630.1769945317257	60.48957101392297	129.42484032926686	61.07477530353664	122.69633494234992	3500.0	198.6938606033061	0.0	152.60842220693974	141.0777841017186	34.962493636197294	178.99777349326786	176.69435506958214	269.9061044973201	120.14474544691566	128.58830757460603	79.01253088613919	448.0309085161017	129.36238219449675	630.1769945317257	60.48957101392297	129.42484032926686	61.07477530353664	122.69633494234992	3500.0	198.6938606033061	0.001	0.0	0.366	0.5	0.5	0.6163641279929664	0.38363587200703375	0.5	0.5	0.5	0.001	0.0010000000000000005	-21869.752083561314	0.0	-882.5527425144295
10000	-15759.579795942134	-845.2182909479519	-14914.361504994182	5087.879346681143	5087.879346681143	66175.89369166829	0.0	86.5715598701442	491.12732213319737	508.50137875179	319.3619007809948	342.0153260464346	307.10933648761454	309.2914648963948	473.92388724335575	455.40898133501497	383.88901563594067	945.5229883229184	1256.2552423050747	645.0746158166888	311.69633618820006	567.7188721185088	742.9210575948853	4800.878999742916	630.0090646508189	0.0	86.5715598701442	491.12732213319737	508.50137875179	319.3619007809948	342.0153260464346	307.10933648761454	309.2914648963948	473.92388724335575	455.40898133501497	383.88901563594067	945.5229883229184	1256.2552423050747	645.0746158166888	311.69633618820006	567.7188721185088	742.9210575948853	4800.878999742916	630.0090646508189	0.002749334402204136	0.0	0.366	0.01448421835164132	0.20734628483098258	0.6163641279929664	0.38363587200703375	0.5	0.5	0.630078955915868	2.69760982259751E-4	2.6976098225975126E-4	-14914.361504994182	0.0	-825.7784032905664
20000	-15428.131155784153	-921.5654099979606	-14506.565745786193	4696.107139564376	4696.107139564376	150321.73172422373	0.0	87.71539372220103	1528.4937734636624	1317.3959980213945	702.494262153558	759.0560299147062	899.0182858872965	871.0235674310974	1270.274581186682	1895.4308458880382	1155.5962055038353	3560.748428016364	3093.693419260059	916.3412460324885	647.9994801506892	2246.968958640869	1597.4053262118584	4084.8765775795323	2233.943701555387	0.0	87.71539372220103	1528.4937734636624	1317.3959980213945	702.494262153558	759.0560299147062	899.0182858872965	871.0235674310974	1270.274581186682	1895.4308458880382	1155.5962055038353	3560.748428016364	3093.693419260059	916.3412460324885	647.9994801506892	2246.968958640869	1597.4053262118584	4084.8765775795323	2233.943701555387	0.0011302962582862514	0.0	0.366	0.002204955937655917	0.16031257829398843	0.6163641279929664	0.38363587200703375	0.5	0.5	0.9122993635871816	9.59175345835378E-5	9.591753458353786E-5	-14506.565745786193	0.0	-902.6368904786236
30000	-15375.003311501563	-948.2831113348063	-14426.720200166757	5639.176483846946	5639.176483846946	194691.55077128636	0.0	186.94056963491172	1921.4917502529083	2691.5031841441296	756.919174808606	917.3576841649983	1076.7791716161248	1040.7046427904027	1959.210008933378	2342.325282606069	1246.1904253495816	3452.9120195642695	4116.524047913429	1281.8922703664914	1150.7531433357935	1630.2781385113171	1882.5087745410738	3179.115537254317	2206.9769426527496	0.0	186.94056963491172	1921.4917502529083	2691.5031841441296	756.919174808606	917.3576841649983	1076.7791716161248	1040.7046427904027	1959.210008933378	2342.325282606069	1246.1904253495816	3452.9120195642695	4116.524047913429	1281.8922703664914	1150.7531433357935	1630.2781385113171	1882.5087745410738	3179.115537254317	2206.9769426527496	8.175483256474956E-4	0.0	0.366	0.0020850360981803785	0.24345043720109363	0.6163641279929664	0.38363587200703375	0.5	0.5	1.067038951136102	6.913538733770645E-5	6.91353873377065E-5	-14426.720200166757	0.0	-930.4648737553852
40000	-15372.588646154461	-973.147049419198	-14399.441596735263	7029.146464381054	7029.146464381054	237968.89308946716	0.0	367.56636539966047	2408.9982305793296	2000.477561465189	653.8296334835258	1223.2700720315866	1135.9508857310343	1448.1812029782202	2238.881839973589	3227.75683996962	1726.6709856619218	3902.8337919879305	5263.015387081771	1537.1986252483593	1571.9417590989353	2542.6101145342664	2101.919754886136	3519.817086814561	2718.737353629223	0.0	367.56636539966047	2408.9982305793296	2000.477561465189	653.8296334835258	1223.2700720315866	1135.9508857310343	1448.1812029782202	2238.881839973589	3227.75683996962	1726.6709856619218	3902.8337919879305	5263.015387081771	1537.1986252483593	1571.9417590989353	2542.6101145342664	2101.919754886136	3519.817086814561	2718.737353629223	8.529647197508557E-4	0.0	0.366	3.78999406880924E-4	0.20196449240301517	0.6163641279929664	0.38363587200703375	0.5	0.5	1.1130254156883654	6.109167782512707E-5	6.10916778251271E-5	-14399.441596735263	0.0	-954.1181493419624
50000	-15341.503301781817	-981.6298013414704	-14359.873500440346	7560.410029213542	7560.410029213542	254364.31375631335	0.0	173.429948627193	2645.916145874628	2763.519806455106	804.6554662193442	1583.9338881089834	940.5710076494828	1423.2044702673195	2321.8338054528995	2906.418083241151	1588.9903829125042	3761.734972673014	5812.857203864638	1420.6500493068766	1509.2058725788252	2678.9934723339857	2240.839317922904	3537.7437893059187	3458.8220579883464	0.0	173.429948627193	2645.916145874628	2763.519806455106	804.6554662193442	1583.9338881089834	940.5710076494828	1423.2044702673195	2321.8338054528995	2906.418083241151	1588.9903829125042	3761.734972673014	5812.857203864638	1420.6500493068766	1509.2058725788252	2678.9934723339857	2240.839317922904	3537.7437893059187	3458.8220579883464	7.980804886403905E-4	0.0	0.366	0.001803410052900255	0.2009777083307619	0.6163641279929664	0.38363587200703375	0.5	0.5	1.1999054468573431	5.3799755081323555E-5	5.379975508132351E-5	-14359.873500440346	0.0	-960.9167025814206
60000	-15332.713649407224	-965.0831961873367	-14367.630453219886	6913.155911647133	6913.155911647133	224447.22269042855	0.0	432.75691084271403	2355.022047054246	1577.736676705896	705.8152161074728	1440.9417713789223	957.7766482137572	1376.1015564142538	2601.436399016528	2334.943730100079	1564.6510748927533	3222.4691774709336	4910.8726884655125	1294.174108257685	1260.6028969619197	1703.153532666215	2055.8569394065808	3177.6405446116783	2828.6072927554	0.0	432.75691084271403	2355.022047054246	1577.736676705896	705.8152161074728	1440.9417713789223	957.7766482137572	1376.1015564142538	2601.436399016528	2334.943730100079	1564.6510748927533	3222.4691774709336	4910.8726884655125	1294.174108257685	1260.6028969619197	1703.153532666215	2055.8569394065808	3177.6405446116783	2828.6072927554	8.859824517304016E-4	0.0	0.366	0.007035416446194494	0.19614500967155135	0.6163641279929664	0.38363587200703375	0.5	0.5	0.87536317676368	5.8360076467630544E-5	5.836007646763058E-5	-14367.630453219886	0.0	-946.6942721128099
70000	-15319.050292578155	-964.2971489541933	-14354.753143623962	6459.928012677039	6459.928012677039	222411.45822232214	0.0	183.0513153654547	2480.985003535879	1943.4789204297717	649.7986343879023	1287.4716459679457	1009.9444345283478	1267.078260997922	3037.467814050364	2646.551638496739	1692.5023243551495	3499.5233821726265	4824.680447592899	1503.795452320266	1076.533127029207	2779.481016374553	1961.0145780864611	3247.383377067543	2588.903880042429	0.0	183.0513153654547	2480.985003535879	1943.4789204297717	649.7986343879023	1287.4716459679457	1009.9444345283478	1267.078260997922	3037.467814050364	2646.551638496739	1692.5023243551495	3499.5233821726265	4824.680447592899	1503.795452320266	1076.533127029207	2779.481016374553	1961.0145780864611	3247.383377067543	2588.903880042429	7.521647062643377E-4	0.0	0.366	7.801023657334921E-4	0.22050794118445963	0.6163641279929664	0.38363587200703375	0.5	0.5	1.13721406086814	6.008500898983986E-5	6.008500898983978E-5	-14354.753143623962	0.0	-946.16942122841
80000	-15321.299074607134	-965.6502408951062	-14355.648833712028	6925.732607176416	6925.732607176416	227568.9490742387	0.0	178.50817421546037	2717.020949404454	1642.3832006265882	831.963208803771	1354.6507706301313	1068.9492357586148	1140.0106697954554	3048.5190872316844	2735.4990658201623	1666.002262688011	3392.6003099204927	5369.718027202017	1872.5865477708132	1229.7552885162117	2583.9581449602883	2185.681609470661	3260.5459312317184	2800.5400252189665	0.0	178.50817421546037	2717.020949404454	1642.3832006265882	831.963208803771	1354.6507706301313	1068.9492357586148	1140.0106697954554	3048.5190872316844	2735.4990658201623	1666.002262688011	3392.6003099204927	5369.718027202017	1872.5865477708132	1229.7552885162117	2583.9581449602883	2185.681609470661	3260.5459312317184	2800.5400252189665	8.06134844754469E-4	0.0	0.366	3.1872179393469387E-4	0.17618112237197345	0.6163641279929664	0.38363587200703375	0.5	0.5	0.8101309700313384	6.17584665952462E-5	6.175846659524619E-5	-14355.648833712028	0.0	-947.6212032191585
90000	-15318.873509222072	-968.0428279412162	-14350.830681280857	6621.084750235443	6621.084750235443	234291.5372623427	0.0	97.21978393452926	2516.333210044447	1966.6705643982687	949.4296750076523	1251.2391569747356	1150.5770578611875	1469.9501508055605	2383.6320243466266	2475.9361994469464	1671.7598646018034	2900.1745303525363	5571.02796277254	1682.9011962891825	1219.1939782162906	2551.9199053091215	2330.4556962234346	3321.6355434559646	2986.385019042174	0.0	97.21978393452926	2516.333210044447	1966.6705643982687	949.4296750076523	1251.2391569747356	1150.5770578611875	1469.9501508055605	2383.6320243466266	2475.9361994469464	1671.7598646018034	2900.1745303525363	5571.02796277254	1682.9011962891825	1219.1939782162906	2551.9199053091215	2330.4556962234346	3321.6355434559646	2986.385019042174	7.841563884824244E-4	0.0	0.366	0.0016760145721470673	0.24765914888018847	0.6163641279929664	0.38363587200703375	0.5	0.5	1.17736224388951	4.853739415001419E-5	4.8537394150014106E-5	-14350.830681280857	0.0	-949.550762589817
