# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jul 25 05:55:36 AEST 2020 [seed=1595613710887]
# -threads 8 xml/biphone_binary_CMHR_2020-07-23_ch2.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-14137.283956091453	-16315.111520956549	-2177.827564865096	1.0	-16315.111520956549
60000	-14134.872659080387	-16300.950316384544	-2166.077657304156	1.0	-16300.950316384544
70000	-14142.555095290345	-16326.454635727976	-2183.8995404376315	1.0	-16326.454635727976
80000	-14137.549013927355	-16324.438934091328	-2186.889920163973	1.0	-16324.438934091328
90000	-14153.521229373244	-16329.318697732115	-2175.7974683588704	1.0	-16329.318697732115
100000	-14144.948395628011	-16306.254024914413	-2161.305629286402	1.0	-16306.254024914413
110000	-14141.669317791046	-16302.64040855769	-2160.971090766645	1.0	-16302.64040855769
120000	-14138.995798491796	-16306.251529662466	-2167.2557311706705	1.0	-16306.251529662466
130000	-14144.531413709094	-16310.24168640826	-2165.7102726991675	1.0	-16310.24168640826
140000	-14143.575188543615	-16315.284989232205	-2171.7098006885894	1.0	-16315.284989232205
150000	-14146.247420149153	-16323.108089384405	-2176.8606692352514	1.0	-16323.108089384405
160000	-14138.472517491562	-16306.409683281987	-2167.9371657904244	1.0	-16306.409683281987
170000	-14128.35594713964	-16279.951695549062	-2151.5957484094224	1.0	-16279.951695549062
180000	-14126.438710923636	-16298.915778378132	-2172.477067454496	1.0	-16298.915778378132
190000	-14134.301916553763	-16279.066917678232	-2144.765001124469	1.0	-16279.066917678232
200000	-14148.607762665555	-16288.079633278308	-2139.4718706127533	1.0	-16288.079633278308
210000	-14138.018455211557	-16287.139215568888	-2149.1207603573316	1.0	-16287.139215568888
220000	-14155.539398069186	-16315.533745362227	-2159.9943472930404	1.0	-16315.533745362227
230000	-14152.131863634939	-16329.903707263844	-2177.7718436289056	1.0	-16329.903707263844
240000	-14152.147856496566	-16333.056149347522	-2180.908292850956	1.0	-16333.056149347522
250000	-14150.018229192898	-16297.477218098215	-2147.4589889053163	1.0	-16297.477218098215
260000	-14148.997420785056	-16307.314169369634	-2158.3167485845793	1.0	-16307.314169369634
270000	-14154.436622805497	-16300.455467873679	-2146.0188450681812	1.0	-16300.455467873679
280000	-14145.506215627847	-16314.72387131609	-2169.2176556882428	1.0	-16314.72387131609
290000	-14128.687599449579	-16295.588332906565	-2166.900733456986	1.0	-16295.588332906565
300000	-14135.61470449856	-16317.971727733668	-2182.3570232351085	1.0	-16317.971727733668
310000	-14168.566691509877	-16341.923481532405	-2173.356790022528	1.0	-16341.923481532405
320000	-14150.796270174355	-16323.7973943917	-2173.0011242173455	1.0	-16323.7973943917
330000	-14146.083144730243	-16316.418710436335	-2170.335565706093	1.0	-16316.418710436335
340000	-14148.855800347486	-16311.02628399639	-2162.170483648904	1.0	-16311.02628399639
350000	-14144.344451437986	-16295.673914227502	-2151.329462789516	1.0	-16295.673914227502
360000	-14162.712329571284	-16311.026636163138	-2148.314306591854	1.0	-16311.026636163138
370000	-14163.578580346903	-16314.20632160529	-2150.6277412583872	1.0	-16314.20632160529
380000	-14156.884636733448	-16309.727334011986	-2152.8426972785373	1.0	-16309.727334011986
390000	-14167.403356961613	-16340.306015707873	-2172.90265874626	1.0	-16340.306015707873
400000	-14144.468034151316	-16298.614900765717	-2154.1468666144015	1.0	-16298.614900765717
410000	-14124.250772783662	-16271.062383042874	-2146.8116102592116	1.0	-16271.062383042874
420000	-14141.197585757402	-16306.15707234511	-2164.959486587708	1.0	-16306.15707234511
430000	-14160.382292671162	-16330.110052506245	-2169.7277598350834	1.0	-16330.110052506245
440000	-14140.434750121767	-16308.39399461515	-2167.959244493383	1.0	-16308.39399461515
450000	-14153.754829768995	-16321.651107561449	-2167.896277792453	1.0	-16321.651107561449
460000	-14147.313692054231	-16306.990439269335	-2159.6767472151037	1.0	-16306.990439269335
470000	-14147.850342705373	-16312.146736030309	-2164.2963933249357	1.0	-16312.146736030309
480000	-14154.130691587532	-16335.129436540701	-2180.9987449531686	1.0	-16335.129436540701
490000	-14158.662250398598	-16336.06156493986	-2177.399314541263	1.0	-16336.06156493986
500000	-14129.689037337641	-16306.904624033981	-2177.2155866963412	1.0	-16306.904624033981
510000	-14124.430399575851	-16298.526905809273	-2174.096506233421	1.0	-16298.526905809273
520000	-14144.618470343998	-16332.345696377532	-2187.727226033533	1.0	-16332.345696377532
530000	-14130.813646021652	-16277.661198960468	-2146.8475529388165	1.0	-16277.661198960468
540000	-14120.418316456655	-16291.758909071898	-2171.3405926152423	1.0	-16291.758909071898
550000	-14141.041474446545	-16287.75907679156	-2146.717602345015	0.9348750848354606	-15366.824950429997
560000	-14151.057178800058	-16308.032157225965	-2156.974978425907	0.9348750848354606	-15386.445758968064
570000	-14142.186621071192	-16302.226847405342	-2160.0402263341484	0.9348750848354606	-15381.218143466996
580000	-14138.82439671484	-16328.990817457243	-2190.1664207424033	0.9348750848354606	-15408.201078094868
