PathParameter	MeanPathLikelihood	MLContribution
0.0000	-38168	21.178
2.1715e-06	1.9543e+07	389.38
2.1888e-05	1.9955e+07	1250.6
8.4561e-05	1.9955e+07	2715.0
0.00022061	1.9955e+07	4860.0
0.00046416	1.9955e+07	7745.9
0.00085232	1.9955e+07	10684
0.0014248	1.7371e+07	8837.1
0.0022237	4.7546e+06	2532.5
0.0032929	-17491	-23.985
0.0046784	-17131	-29.838
0.0064280	-16979	-36.646
0.0085909	-16908	-44.341
0.011218	-16850	-52.776
0.014361	-16729	-61.995
0.018075	-16661	-72.157
0.022413	-16604	-82.752
0.027432	-16369	-93.878
0.033190	-16241	-105.81
0.039745	-16046	-118.38
0.047156	-15901	-131.69
0.055484	-15725	-145.73
0.064790	-15593	-160.77
0.075138	-15480	-176.82
0.086591	-15397	-193.56
0.099213	-15273	-210.90
0.11307	-15167	-229.27
0.12823	-15084	-248.63
0.14475	-15005	-268.87
0.16271	-14932	-290.11
0.18218	-14874	-312.31
0.20322	-14812	-335.52
0.22591	-14767	-360.03
0.25031	-14741	-385.44
0.27650	-14693	-411.76
0.30455	-14666	-439.26
0.33454	-14634	-467.80
0.36653	-14611	-497.43
0.40060	-14586	-528.20
0.43683	-14571	-560.17
0.47530	-14555	-593.17
0.51608	-14539	-627.13
0.55924	-14519	-662.41
0.60487	-14515	-698.94
0.65304	-14502	-736.42
0.70384	-14492	-775.09
0.75734	-14483	-814.92
0.81363	-14474	-855.95
0.87278	-14468	-898.15
0.93488	-14460	-941.50
1.0000	-14454	

log marginal likelihood (using path sampling) from pathLikelihood.delta = 24355.718379179623

Inner area for path parameter in (2.1715e-06,0.93488) = 24335
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-34882	-0.082883
2.1715e-06	2.0366e+07	400.82
2.1888e-05	2.0367e+07	1275.6
8.4561e-05	2.0366e+07	2770.0
0.00022061	2.0366e+07	4959.1
0.00046416	2.0367e+07	7904.4
0.00085232	2.0366e+07	11658
0.0014248	2.0367e+07	16268
0.0022237	2.0367e+07	21774
0.0032929	-16747	-24.000
0.0046784	-16614	-29.859
0.0064280	-16620	-36.630
0.0085909	-16524	-44.304
0.011218	-16507	-52.848
0.014361	-16471	-62.036
0.018075	-16121	-71.975
0.022413	-16084	-82.997
0.027432	-15930	-93.673
0.033190	-15822	-105.83
0.039745	-15693	-118.38
0.047156	-15542	-131.75
0.055484	-15468	-145.94
0.064790	-15359	-160.82
0.075138	-15204	-176.51
0.086591	-15182	-193.58
0.099213	-15061	-210.78
0.11307	-14989	-229.26
0.12823	-14939	-248.74
0.14475	-14848	-268.92
0.16271	-14787	-290.14
0.18218	-14778	-312.50
0.20322	-14704	-335.48
0.22591	-14669	-359.82
0.25031	-14656	-385.52
0.27650	-14596	-411.60
0.30455	-14592	-439.33
0.33454	-14567	-467.75
0.36653	-14560	-497.54
0.40060	-14521	-528.06
0.43683	-14525	-560.17
0.47530	-14511	-593.20
0.51608	-14494	-627.20
0.55924	-14485	-662.26
0.60487	-14479	-699.01
0.65304	-14469	-736.43
0.70384	-14461	-775.06
0.75734	-14451	-814.92
0.81363	-14449	-855.93
0.87278	-14448	-898.17
0.93488	-14431	-941.45
1.0000	-14433	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = 52329.572554905666
