# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Jul 24 22:26:45 AEST 2020 [seed=1595593604300]
# -threads 8 xml/biphone_binary_CMHS_2020-07-23_ch1.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-24076.612552329603	-904.5329231974368	-23172.079629132168	3530.663316820835	3530.663316820835	16037.783221450045	0.0	45.72986206894383	92.99964870110975	181.42064498618117	23.616974924299893	44.221108752543046	142.28518853210534	17.556391108048423	62.41805094973579	21.170599309271577	133.27998690306342	243.14775950354868	119.91176527920626	98.7220270470151	10.504252140510802	68.32898436581948	185.6156268169612	3500.0	92.4923372083411	0.0	45.72986206894383	92.99964870110975	181.42064498618117	23.616974924299893	44.221108752543046	142.28518853210534	17.556391108048423	62.41805094973579	21.170599309271577	133.27998690306342	243.14775950354868	119.91176527920626	98.7220270470151	10.504252140510802	68.32898436581948	185.6156268169612	3500.0	92.4923372083411	0.001	0.0	0.366	0.5	0.5	0.6163641279929664	0.38363587200703375	0.5	0.5	0.001	0.001	-23172.079629132168	0.0	-882.8069304774426
10000	-16114.670791813807	-751.3449827762555	-15363.325809037551	3899.3308465612254	3899.3308465612254	21921.31423392741	0.0	17.725795938470398	167.4518082246561	108.80718714757255	37.88326066330245	54.626052087830246	65.70106132029352	48.23429411058728	122.33997381553228	86.69505144859556	129.2239094059705	204.80397339631023	143.77043598426854	115.47950293911781	44.4474397531847	102.65737008854755	148.3286365195642	3351.8592065687285	157.11159080738128	0.0	17.725795938470398	167.4518082246561	108.80718714757255	37.88326066330245	54.626052087830246	65.70106132029352	48.23429411058728	122.33997381553228	86.69505144859556	129.2239094059705	204.80397339631023	143.77043598426854	115.47950293911781	44.4474397531847	102.65737008854755	148.3286365195642	3351.8592065687285	157.11159080738128	0.007629281350354026	0.0	0.366	7.002161419813033E-4	0.1571050030381508	0.6163641279929664	0.38363587200703375	0.5	0.5	0.0011689009907976495	0.0011689009907976497	-15363.325809037551	0.0	-732.2505673387711
20000	-15723.274372549036	-821.2617258764142	-14902.012646672621	5236.923356009116	5236.923356009116	55817.018357185254	0.0	20.42978597998781	565.2485756984938	288.83299451835967	195.81193516836458	260.76185871685374	245.31335927807902	275.54711595049537	471.97388698665753	392.0186281863389	377.09714183883636	735.0084337600584	573.917053503042	323.7397321842107	247.7424267689243	422.57273387915217	523.3973873379227	3843.455275644257	597.2910715046456	0.0	20.42978597998781	565.2485756984938	288.83299451835967	195.81193516836458	260.76185871685374	245.31335927807902	275.54711595049537	471.97388698665753	392.0186281863389	377.09714183883636	735.0084337600584	573.917053503042	323.7397321842107	247.7424267689243	422.57273387915217	523.3973873379227	3843.455275644257	597.2910715046456	0.003306531908577698	0.0	0.366	0.027735857523509044	0.07087072359342216	0.6163641279929664	0.38363587200703375	0.5	0.5	2.7255333711088416E-4	2.72553337110884E-4	-14902.012646672621	0.0	-805.5065573452569
30000	-15519.63144136194	-858.4975674954304	-14661.133873866509	4177.8565071540825	4177.8565071540825	83745.9180615579	0.0	36.757266486906666	700.6750744844261	429.98647329624083	289.5326815710976	538.6689641433545	407.08070873645795	450.8004732603217	1102.8504658166648	652.2440659880492	562.6339048539028	1246.982495601072	1390.2863417737167	712.6650204801958	479.7098588665231	659.6879779981346	767.0593884799898	4126.536003731945	1055.098539459688	0.0	36.757266486906666	700.6750744844261	429.98647329624083	289.5326815710976	538.6689641433545	407.08070873645795	450.8004732603217	1102.8504658166648	652.2440659880492	562.6339048539028	1246.982495601072	1390.2863417737167	712.6650204801958	479.7098588665231	659.6879779981346	767.0593884799898	4126.536003731945	1055.098539459688	0.002329972435004293	0.0	0.366	0.011117685843432706	0.12994591360061802	0.6163641279929664	0.38363587200703375	0.5	0.5	1.7077731811099248E-4	1.7077731811099262E-4	-14661.133873866509	0.0	-839.5078849293011
40000	-15434.237287406357	-926.4280767795066	-14507.80921062685	4658.605443434561	4658.605443434561	165848.87042608322	0.0	296.5710021553459	1307.3702982631803	1558.2391207946546	631.7617011321356	1202.8030611994773	851.005320325352	1062.9016419903264	2381.2909005360125	1631.7095812856787	1161.627538479433	2526.675261342668	3210.61699533743	1274.2403414626383	1058.1135867584474	1189.756438043195	1758.5765546782045	3271.7715526387906	2592.1921118101145	0.0	296.5710021553459	1307.3702982631803	1558.2391207946546	631.7617011321356	1202.8030611994773	851.005320325352	1062.9016419903264	2381.2909005360125	1631.7095812856787	1161.627538479433	2526.675261342668	3210.61699533743	1274.2403414626383	1058.1135867584474	1189.756438043195	1758.5765546782045	3271.7715526387906	2592.1921118101145	0.0010676514235180498	0.0	0.366	6.310132959358801E-4	0.1664866435334348	0.6163641279929664	0.38363587200703375	0.5	0.5	8.348463504380518E-5	8.34846350438052E-5	-14507.80921062685	0.0	-909.3967778555094
50000	-15429.326604752321	-954.7657182007742	-14474.560886551548	6271.200206585085	6271.200206585085	216333.7219593945	0.0	210.87230111820213	2028.7613531564787	1738.8454772186703	610.9140590639508	1757.6022833033733	1112.4102512596253	1393.3528075016898	2541.0949587004125	2211.22765971714	1762.3070464755058	3400.742548380386	4442.176078705524	1723.6165329344342	1399.9943174501232	1964.0792454859616	2373.1561815500363	3249.2677644524015	2416.326352090943	0.0	210.87230111820213	2028.7613531564787	1738.8454772186703	610.9140590639508	1757.6022833033733	1112.4102512596253	1393.3528075016898	2541.0949587004125	2211.22765971714	1762.3070464755058	3400.742548380386	4442.176078705524	1723.6165329344342	1399.9943174501232	1964.0792454859616	2373.1561815500363	3249.2677644524015	2416.326352090943	8.621016554250549E-4	0.0	0.366	0.0066929414233231396	0.19318847714280404	0.6163641279929664	0.38363587200703375	0.5	0.5	6.266133930720878E-5	6.266133930720886E-5	-14474.560886551548	0.0	-938.5534800925335
60000	-15444.24719992921	-978.606401442546	-14465.640798486664	6973.468578090801	6973.468578090801	266124.5338606798	0.0	400.6410987086009	2627.611625958105	2105.8553273893885	1468.3562263855451	1768.7769861533566	1274.4393241407754	1572.4634925778412	2996.4252993526234	2913.0454676289983	1933.6075797423628	4048.2189481026103	5630.239056236094	2201.4754748698547	1894.7181826115718	3062.456042650685	2855.5320687282783	3264.714269428888	2759.3228791668766	0.0	400.6410987086009	2627.611625958105	2105.8553273893885	1468.3562263855451	1768.7769861533566	1274.4393241407754	1572.4634925778412	2996.4252993526234	2913.0454676289983	1933.6075797423628	4048.2189481026103	5630.239056236094	2201.4754748698547	1894.7181826115718	3062.456042650685	2855.5320687282783	3264.714269428888	2759.3228791668766	7.415826645131024E-4	0.0	0.366	1.6668001063116248E-4	0.2001768774780219	0.6163641279929664	0.38363587200703375	0.5	0.5	5.3525064871783265E-5	5.3525064871783265E-5	-14465.640798486664	0.0	-961.2812506700208
70000	-15472.436486925131	-987.7022805635679	-14484.734206361563	7458.739798635616	7458.739798635616	288202.8384661706	0.0	369.46686858358925	2780.1018707694398	2090.97219176942	978.6771229068339	1641.966526595093	1533.7396564278283	1677.4068548434122	3171.067595716534	2952.6046519898664	2190.675840728449	4105.144439669737	6585.241200195338	2110.423365675832	1837.6634851632598	3526.3615675850015	3245.9047795763445	3183.7327768482855	3877.9162419138643	0.0	369.46686858358925	2780.1018707694398	2090.97219176942	978.6771229068339	1641.966526595093	1533.7396564278283	1677.4068548434122	3171.067595716534	2952.6046519898664	2190.675840728449	4105.144439669737	6585.241200195338	2110.423365675832	1837.6634851632598	3526.3615675850015	3245.9047795763445	3183.7327768482855	3877.9162419138643	6.61044457352518E-4	0.0	0.366	3.83769960635773E-4	0.18633945248303274	0.6163641279929664	0.38363587200703375	0.5	0.5	4.723689307551444E-5	4.723689307551445E-5	-14484.734206361563	0.0	-969.0092366307874
80000	-15445.704016238833	-992.8000869534404	-14452.903929285392	7656.4241351400415	7656.4241351400415	301402.9604047954	0.0	302.5680195346053	2555.109562666259	2714.056969463491	1557.2060959771045	2233.0229337469405	1485.0302604195047	2036.9134667494195	3022.125585347168	3241.7052129323793	2163.2146580670924	4386.609898242417	6102.364943159515	2840.5423998422007	1734.7197669486332	3276.5654014469965	3000.1396350826412	3381.455355904297	3658.615144280601	0.0	302.5680195346053	2555.109562666259	2714.056969463491	1557.2060959771045	2233.0229337469405	1485.0302604195047	2036.9134667494195	3022.125585347168	3241.7052129323793	2163.2146580670924	4386.609898242417	6102.364943159515	2840.5423998422007	1734.7197669486332	3276.5654014469965	3000.1396350826412	3381.455355904297	3658.615144280601	6.158460649695251E-4	0.0	0.366	0.0010022329990870221	0.19279887859188288	0.6163641279929664	0.38363587200703375	0.5	0.5	4.57816868484481E-5	4.5781686848448106E-5	-14452.903929285392	0.0	-973.5984451331368
90000	-15454.1409350839	-977.2162770401357	-14476.924658043765	7137.7564221930625	7137.7564221930625	258169.82050504885	0.0	335.69393990975976	1915.745515659228	2329.626193753758	922.7825888681647	1320.900982824241	1123.1723745523343	1540.8594366772054	2671.3440182014797	2825.0648043602446	1719.3943544419599	3667.102695201518	6049.143725189532	1845.388307846126	1590.3967307614962	3392.025008191118	2609.77870800356	3398.703157476476	2596.83350048051	0.0	335.69393990975976	1915.745515659228	2329.626193753758	922.7825888681647	1320.900982824241	1123.1723745523343	1540.8594366772054	2671.3440182014797	2825.0648043602446	1719.3943544419599	3667.102695201518	6049.143725189532	1845.388307846126	1590.3967307614962	3392.025008191118	2609.77870800356	3398.703157476476	2596.83350048051	7.742818877477049E-4	0.0	0.366	9.843426349718954E-5	0.19359744217705632	0.6163641279929664	0.38363587200703375	0.5	0.5	5.0301164576946314E-5	5.030116457694636E-5	-14476.924658043765	0.0	-959.5700040166934
100000	-15430.10807202194	-972.9310652452185	-14457.177006776721	7066.210245017389	7066.210245017389	250084.62407036737	0.0	199.57609731899382	2567.523924514709	2134.409849902654	914.5482582246156	1558.0099503804663	1255.205086245081	1568.0137881093879	2622.1921694067482	2608.0567261170777	1909.796438310617	3407.515516291444	5945.890843463244	1836.4193369733107	1371.717685106389	2639.7579930659913	2587.3434357738543	3103.3354839661097	2835.93067084742	0.0	199.57609731899382	2567.523924514709	2134.409849902654	914.5482582246156	1558.0099503804663	1255.205086245081	1568.0137881093879	2622.1921694067482	2608.0567261170777	1909.796438310617	3407.515516291444	5945.890843463244	1836.4193369733107	1371.717685106389	2639.7579930659913	2587.3434357738543	3103.3354839661097	2835.93067084742	7.070698696327159E-4	0.0	0.366	6.694560746881419E-5	0.18684217491165564	0.6163641279929664	0.38363587200703375	0.5	0.5	5.2571931727058044E-5	5.257193172705808E-5	-14457.177006776721	0.0	-954.967733647324
110000	-15457.76226128283	-975.1325271343528	-14482.629734148479	7034.5029890303795	7034.5029890303795	253106.29520308156	0.0	313.60147315298195	3339.9425115729928	1303.598310858528	1246.7926238907555	1584.4365424271332	1298.811032741681	1492.0878569615538	3024.654593692007	2406.1992447761804	2102.201971992196	3447.1568625972077	6026.959062508929	1986.5584886567954	1305.2983848090958	2903.2953430111406	2938.9744950285176	3075.2286696204796	2917.624547072343	0.0	313.60147315298195	3339.9425115729928	1303.598310858528	1246.7926238907555	1584.4365424271332	1298.811032741681	1492.0878569615538	3024.654593692007	2406.1992447761804	2102.201971992196	3447.1568625972077	6026.959062508929	1986.5584886567954	1305.2983848090958	2903.2953430111406	2938.9744950285176	3075.2286696204796	2917.624547072343	6.703682938645845E-4	0.0	0.366	3.386054587612133E-4	0.18471048551058453	0.6163641279929664	0.38363587200703375	0.5	0.5	5.697340255373945E-5	5.697340255373945E-5	-14482.629734148479	0.0	-957.0160841623261
120000	-15462.184506215137	-994.5857406460575	-14467.598765569079	7921.3948106498165	7921.3948106498165	296015.3237408341	0.0	399.34723938735243	3801.3216686864166	2181.3510783135926	1102.8732058506612	1898.154749808957	1400.656799327413	1851.1595330565815	3077.6377765363436	2990.42149322865	2345.7178895844563	4030.665445104845	6850.284287246263	2223.202669763366	1806.7050983182694	3521.6498598535477	3279.4992037875354	3428.8291101298646	2938.2168496970553	0.0	399.34723938735243	3801.3216686864166	2181.3510783135926	1102.8732058506612	1898.154749808957	1400.656799327413	1851.1595330565815	3077.6377765363436	2990.42149322865	2345.7178895844563	4030.665445104845	6850.284287246263	2223.202669763366	1806.7050983182694	3521.6498598535477	3279.4992037875354	3428.8291101298646	2938.2168496970553	6.852554399489812E-4	0.0	0.366	0.0017677089430786382	0.17643662725150197	0.6163641279929664	0.38363587200703375	0.5	0.5	4.682841813091074E-5	4.682841813091072E-5	-14467.598765569079	0.0	-974.461682360257
130000	-15461.648650830708	-992.1316843233527	-14469.516966507355	7519.134195744575	7519.134195744575	288946.7740851161	0.0	391.93840417426117	2805.0871644943936	2396.854604901253	978.6451164846375	2105.5748688699323	1195.6783898870679	1897.9576333817308	3293.292358755756	2855.3184496261824	2167.0172960534346	3939.2235267292754	6609.774534888313	2455.1013068631105	1758.8658152307155	3099.8852728576944	2678.5416383160214	3009.22898753839	3126.042599444943	0.0	391.93840417426117	2805.0871644943936	2396.854604901253	978.6451164846375	2105.5748688699323	1195.6783898870679	1897.9576333817308	3293.292358755756	2855.3184496261824	2167.0172960534346	3939.2235267292754	6609.774534888313	2455.1013068631105	1758.8658152307155	3099.8852728576944	2678.5416383160214	3009.22898753839	3126.042599444943	6.781945103222208E-4	0.0	0.366	0.0010371227783378262	0.199113319945615	0.6163641279929664	0.38363587200703375	0.5	0.5	4.642126416495053E-5	4.6421264164950577E-5	-14469.516966507355	0.0	-970.6768941719237
140000	-15450.301867474704	-989.1670613763454	-14461.134806098358	7673.103924590434	7673.103924590434	283058.4710975848	0.0	151.75147079486922	3252.4938755018193	2436.5026724484005	1178.8728207130675	2125.4578472832986	1582.783200714621	1937.225339837963	3165.5509868917147	2491.2219309277275	2080.1559324357167	3850.629653275821	6396.355170407624	2140.516902182053	1657.006116011335	2898.6345066093545	3507.6934135147703	3189.3278141095493	3267.0957334190402	0.0	151.75147079486922	3252.4938755018193	2436.5026724484005	1178.8728207130675	2125.4578472832986	1582.783200714621	1937.225339837963	3165.5509868917147	2491.2219309277275	2080.1559324357167	3850.629653275821	6396.355170407624	2140.516902182053	1657.006116011335	2898.6345066093545	3507.6934135147703	3189.3278141095493	3267.0957334190402	7.03263399164718E-4	0.0	0.366	0.0023148797252885794	0.17763740201246192	0.6163641279929664	0.38363587200703375	0.5	0.5	5.130290220548125E-5	5.130290220548129E-5	-14461.134806098358	0.0	-969.8207551921578
150000	-15433.562071811857	-987.4236031382742	-14446.138468673584	7247.2159811875035	7247.2159811875035	284777.1525684945	0.0	176.09259307100564	4068.46615947451	2749.9151296737587	774.6906733269851	1844.73166063702	1420.8263777482337	1963.6142876513911	2776.29366575165	3039.1206700807434	2059.0489126314283	3756.3057204503575	6211.63972340302	2761.3735094037615	1675.9430929111013	3494.5172360059837	3082.6194878189367	3096.8909966880237	3626.093773810914	0.0	176.09259307100564	4068.46615947451	2749.9151296737587	774.6906733269851	1844.73166063702	1420.8263777482337	1963.6142876513911	2776.29366575165	3039.1206700807434	2059.0489126314283	3756.3057204503575	6211.63972340302	2761.3735094037615	1675.9430929111013	3494.5172360059837	3082.6194878189367	3096.8909966880237	3626.093773810914	7.121092842015282E-4	0.0	0.366	2.129141280440564E-4	0.21234892560996801	0.6163641279929664	0.38363587200703375	0.5	0.5	4.4363123825947145E-5	4.436312382594712E-5	-14446.138468673584	0.0	-968.8258291889052
160000	-15464.301730152925	-991.7818841984924	-14472.519845954434	7313.939071822493	7313.939071822493	295069.21985572105	0.0	186.27409309648752	3454.512895560414	3017.2195234012256	1225.1466294892696	1838.797667100174	1419.5310985539209	2042.080939443876	2263.284570239677	3210.0566315485917	2047.1743908848712	3827.0460172834914	6773.561550557887	2491.3395861219537	1700.3493169951	3003.660633117516	3247.748713191773	3051.325072965292	3303.2924971715443	0.0	186.27409309648752	3454.512895560414	3017.2195234012256	1225.1466294892696	1838.797667100174	1419.5310985539209	2042.080939443876	2263.284570239677	3210.0566315485917	2047.1743908848712	3827.0460172834914	6773.561550557887	2491.3395861219537	1700.3493169951	3003.660633117516	3247.748713191773	3051.325072965292	3303.2924971715443	6.864834932132977E-4	0.0	0.366	9.762547987361088E-4	0.19730172664475767	0.6163641279929664	0.38363587200703375	0.5	0.5	4.514460071542008E-5	4.514460071542007E-5	-14472.519845954434	0.0	-972.5604478152874
170000	-15453.406680685837	-1001.4850384324928	-14451.921642253345	8114.557959515947	8114.557959515947	319156.59440584795	0.0	299.96590850810634	3376.2471750430554	2932.622270806507	1564.2642325572428	2076.340330526575	1630.7695731542387	2405.75143115685	2887.497816813083	3363.1124521152146	2298.376037651036	3921.90534521034	7428.471985543933	3150.361905602568	2142.242779785387	3507.1181925287597	3565.663398476712	3246.943104079409	3268.301210627477	0.0	299.96590850810634	3376.2471750430554	2932.622270806507	1564.2642325572428	2076.340330526575	1630.7695731542387	2405.75143115685	2887.497816813083	3363.1124521152146	2298.376037651036	3921.90534521034	7428.471985543933	3150.361905602568	2142.242779785387	3507.1181925287597	3565.663398476712	3246.943104079409	3268.301210627477	5.91813194070323E-4	0.0	0.366	1.305820825268969E-4	0.20966480386358213	0.6163641279929664	0.38363587200703375	0.5	0.5	4.1698532273388694E-5	4.169853227338872E-5	-14451.921642253345	0.0	-980.3412579548221
180000	-15442.163315339138	-988.2752615563088	-14453.888053782828	7356.473425169707	7356.473425169707	282166.67818491126	0.0	294.4805936520501	3736.402085025537	2457.4991015117885	1285.4517444790108	1976.6817479323263	1286.7196740963748	2072.0664500474504	3175.7284826240843	2915.1316363717333	2492.971568678126	3640.371309151212	6363.053313336489	2574.8735976008957	1670.626028427536	3489.224449143465	3135.355373671994	3061.537506469314	3204.643966017765	0.0	294.4805936520501	3736.402085025537	2457.4991015117885	1285.4517444790108	1976.6817479323263	1286.7196740963748	2072.0664500474504	3175.7284826240843	2915.1316363717333	2492.971568678126	3640.371309151212	6363.053313336489	2574.8735976008957	1670.626028427536	3489.224449143465	3135.355373671994	3061.537506469314	3204.643966017765	7.15801709606289E-4	0.0	0.366	5.760556265422083E-4	0.211913083722468	0.6163641279929664	0.38363587200703375	0.5	0.5	4.804259039574414E-5	4.8042590395744146E-5	-14453.888053782828	0.0	-969.0142611263135
190000	-15452.449983890168	-1004.5605494636709	-14447.889434426497	8225.278098345932	8225.278098345932	319388.22282477736	0.0	128.13877223623388	3144.18073418584	2568.7134020497724	1005.9709035206962	1954.7718002747533	1651.909214581979	2152.0828235295367	2941.188668040552	3164.1781307506035	2490.9251316975597	4053.8510592470266	7399.551944156025	3363.2175372591123	2045.009861195382	3685.310970055806	3712.2467536396352	3319.920957996202	3200.2667901827676	0.0	128.13877223623388	3144.18073418584	2568.7134020497724	1005.9709035206962	1954.7718002747533	1651.909214581979	2152.0828235295367	2941.188668040552	3164.1781307506035	2490.9251316975597	4053.8510592470266	7399.551944156025	3363.2175372591123	2045.009861195382	3685.310970055806	3712.2467536396352	3319.920957996202	3200.2667901827676	6.502187918683289E-4	0.0	0.366	1.7372499021192864E-4	0.19391284656844043	0.6163641279929664	0.38363587200703375	0.5	0.5	4.213290230083119E-5	4.21329023008312E-5	-14447.889434426497	0.0	-983.0539098618164
