PathParameter	MeanPathLikelihood	MLContribution
0.0000	-38196	20.286
2.1715e-06	1.8722e+07	377.24
2.1888e-05	1.9545e+07	1225.0
8.4561e-05	1.9545e+07	2659.2
0.00022061	1.9545e+07	4760.2
0.00046416	1.9545e+07	7586.8
0.00085232	1.9545e+07	9709.8
0.0014248	1.4376e+07	5734.7
0.0022237	-17870	-18.867
0.0032929	-17422	-23.935
0.0046784	-17127	-29.828
0.0064280	-16970	-36.621
0.0085909	-16893	-44.319
0.011218	-16848	-52.762
0.014361	-16722	-62.068
0.018075	-16707	-72.347
0.022413	-16645	-83.032
0.027432	-16440	-93.977
0.033190	-16204	-105.79
0.039745	-16076	-118.53
0.047156	-15913	-131.64
0.055484	-15700	-145.64
0.064790	-15598	-160.73
0.075138	-15467	-176.59
0.086591	-15371	-193.35
0.099213	-15265	-210.86
0.11307	-15169	-229.33
0.12823	-15090	-248.55
0.14475	-14991	-268.68
0.16271	-14926	-289.97
0.18218	-14865	-312.11
0.20322	-14801	-335.41
0.22591	-14768	-360.05
0.25031	-14742	-385.48
0.27650	-14696	-411.78
0.30455	-14664	-439.24
0.33454	-14634	-467.80
0.36653	-14612	-497.41
0.40060	-14584	-528.22
0.43683	-14574	-560.20
0.47530	-14553	-593.17
0.51608	-14541	-627.22
0.55924	-14521	-662.40
0.60487	-14512	-698.85
0.65304	-14501	-736.35
0.70384	-14490	-774.99
0.75734	-14481	-814.79
0.81363	-14471	-855.88
0.87278	-14468	-898.08
0.93488	-14458	-941.35
1.0000	-14451	

log marginal likelihood (using path sampling) from pathLikelihood.delta = 17375.032709608528

Inner area for path parameter in (2.1715e-06,0.93488) = 17355
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-37971	-0.082943
2.1715e-06	1.9546e+07	384.01
2.1888e-05	1.9546e+07	1225.0
8.4561e-05	1.9546e+07	2659.2
0.00022061	1.9546e+07	4760.2
0.00046416	1.9546e+07	7586.8
0.00085232	1.9546e+07	11190
0.0014248	1.9546e+07	15613
0.0022237	-17020	-18.927
0.0032929	-16747	-23.905
0.0046784	-16614	-29.859
0.0064280	-16625	-36.615
0.0085909	-16524	-44.254
0.011218	-16546	-52.875
0.014361	-16499	-62.034
0.018075	-16408	-72.317
0.022413	-16386	-83.368
0.027432	-15984	-94.044
0.033190	-15822	-105.55
0.039745	-15707	-118.57
0.047156	-15542	-131.78
0.055484	-15490	-145.80
0.064790	-15359	-160.80
0.075138	-15204	-176.22
0.086591	-15182	-193.25
0.099213	-15061	-210.72
0.11307	-14989	-229.27
0.12823	-14939	-248.86
0.14475	-14848	-268.66
0.16271	-14787	-289.98
0.18218	-14778	-312.33
0.20322	-14704	-335.29
0.22591	-14669	-359.83
0.25031	-14656	-385.43
0.27650	-14596	-411.74
0.30455	-14592	-439.31
0.33454	-14570	-467.81
0.36653	-14570	-497.59
0.40060	-14542	-528.03
0.43683	-14525	-560.30
0.47530	-14517	-593.13
0.51608	-14496	-627.21
0.55924	-14486	-662.31
0.60487	-14479	-698.85
0.65304	-14477	-736.36
0.70384	-14461	-774.99
0.75734	-14451	-814.78
0.81363	-14449	-855.78
0.87278	-14451	-898.17
0.93488	-14431	-941.32
1.0000	-14435	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = 28719.43768693673
