# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jul 25 04:02:04 AEST 2020 [seed=1595613723780]
# -threads 8 xml/biphone_binary_CMHS_2020-07-23_ch2.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-24775.892813836344	-904.0822571265066	-23871.81055670984	3667.6798204231895	3667.6798204231895	17186.99745900404	0.0	0.5393561827368455	151.12966336729622	4.396122828697871	82.44926669759242	144.51758675018237	323.58152369108365	125.6104365645617	184.82349323158502	216.34090482288232	143.75234183170988	175.58884453829816	70.56049400350314	56.87722534800281	137.09928438088593	10.652452766068254	56.290520741999686	3500.0	171.09659114743715	0.0	0.5393561827368455	151.12966336729622	4.396122828697871	82.44926669759242	144.51758675018237	323.58152369108365	125.6104365645617	184.82349323158502	216.34090482288232	143.75234183170988	175.58884453829816	70.56049400350314	56.87722534800281	137.09928438088593	10.652452766068254	56.290520741999686	3500.0	171.09659114743715	0.001	0.0	0.366	0.5	0.5	0.6163641279929664	0.38363587200703375	0.5	0.5	0.001	0.001	-23871.81055670984	0.0	-882.9198160450255
10000	-16052.791116670056	-784.9695601976883	-15267.821556472367	4056.415343800929	4056.415343800929	35463.262093047146	0.0	31.212105722864123	240.684624370175	153.36504471210839	96.65001342675097	244.73224834049662	202.62038439400027	225.29175438832027	295.8291371182496	318.5975015141701	259.0226930222161	275.1401166764127	481.0109264682667	183.7124551808592	260.79985528804343	322.4587369913581	208.61503842529095	3553.2695887699338	239.5592051629586	0.0	31.212105722864123	240.684624370175	153.36504471210839	96.65001342675097	244.73224834049662	202.62038439400027	225.29175438832027	295.8291371182496	318.5975015141701	259.0226930222161	275.1401166764127	481.0109264682667	183.7124551808592	260.79985528804343	322.4587369913581	208.61503842529095	3553.2695887699338	239.5592051629586	0.004900822016753163	0.0	0.366	0.012277166208896599	0.051386539263535855	0.6163641279929664	0.38363587200703375	0.5	0.5	6.114031631185763E-4	6.114031631185758E-4	-15267.821556472367	0.0	-767.373421140018
20000	-15526.71406150122	-864.015889367058	-14662.698172134162	3256.909482413865	3256.909482413865	85817.30577443406	0.0	38.14575582090333	830.5418752748711	586.5625113308977	340.5042838246338	614.5614275112348	445.07939413392785	557.5888840681896	885.9981250321897	1000.1926105684039	704.3172093982961	955.3731520940121	1757.8768889925698	662.5349836536636	647.2843074059759	901.7954341102256	1040.30177471017	3230.484996308692	968.7411905072399	0.0	38.14575582090333	830.5418752748711	586.5625113308977	340.5042838246338	614.5614275112348	445.07939413392785	557.5888840681896	885.9981250321897	1000.1926105684039	704.3172093982961	955.3731520940121	1757.8768889925698	662.5349836536636	647.2843074059759	901.7954341102256	1040.30177471017	3230.484996308692	968.7411905072399	0.0021919699373721528	0.0	0.366	0.0010440096834202397	0.14369947215780118	0.6163641279929664	0.38363587200703375	0.5	0.5	1.8122285226347573E-4	1.812228522634758E-4	-14662.698172134162	0.0	-842.2549197298131
30000	-15458.807312957435	-949.1528959598573	-14509.654416997577	5549.49825780822	5549.49825780822	204581.96192263224	0.0	108.42100240198879	1774.1474850392492	2035.4603524374522	763.5478907627814	1303.7802491618972	1086.8102859189282	1247.2925031590062	2314.5313516312667	1826.8577089235346	1430.4865985452332	2352.5527595481462	4523.181830397412	1588.8217803913988	1576.6422662171906	2532.33313131712	2375.751565114508	3639.6274639696016	2511.489642678323	0.0	108.42100240198879	1774.1474850392492	2035.4603524374522	763.5478907627814	1303.7802491618972	1086.8102859189282	1247.2925031590062	2314.5313516312667	1826.8577089235346	1430.4865985452332	2352.5527595481462	4523.181830397412	1588.8217803913988	1576.6422662171906	2532.33313131712	2375.751565114508	3639.6274639696016	2511.489642678323	8.902947407927736E-4	0.0	0.366	0.0028554924552292105	0.18831268610269397	0.6163641279929664	0.38363587200703375	0.5	0.5	6.59733987327743E-5	6.59733987327743E-5	-14509.654416997577	0.0	-932.9820687503482
40000	-15427.055534700527	-962.0109034294526	-14465.044631271074	5966.601943753786	5966.601943753786	232351.91187480098	0.0	124.5046170069574	1846.329565396926	1831.6557282615631	1058.7963081331309	1679.6016602446325	1184.4597266005521	1759.4047157116372	3282.245307863475	1880.7526199917475	1737.445904653461	3095.3034979833365	4941.353299474174	1970.0575481022277	1833.138729983888	2429.486358402821	2619.6042462225428	3206.9901652297085	2724.311757209597	0.0	124.5046170069574	1846.329565396926	1831.6557282615631	1058.7963081331309	1679.6016602446325	1184.4597266005521	1759.4047157116372	3282.245307863475	1880.7526199917475	1737.445904653461	3095.3034979833365	4941.353299474174	1970.0575481022277	1833.138729983888	2429.486358402821	2619.6042462225428	3206.9901652297085	2724.311757209597	8.104403003127873E-4	0.0	0.366	4.86509732829064E-5	0.20046177738536192	0.6163641279929664	0.38363587200703375	0.5	0.5	5.93768895500999E-5	5.937688955009996E-5	-14465.044631271074	0.0	-945.8821607615611
50000	-15442.985997437729	-971.8035615469898	-14471.182435890738	6260.284172751	6260.284172751	249761.60157569835	0.0	353.0970528093204	2364.2112536940162	2180.331208984711	911.1746675314265	1875.8562505282252	1398.434566724178	1481.007363526621	3109.9844802916887	2460.5774011925505	1791.9465505078194	3701.209994624777	5255.7473043028895	2156.2690817363346	1662.4663383685681	3874.4770349312885	2992.5499755576543	3065.7835230669193	3294.0259238630533	0.0	353.0970528093204	2364.2112536940162	2180.331208984711	911.1746675314265	1875.8562505282252	1398.434566724178	1481.007363526621	3109.9844802916887	2460.5774011925505	1791.9465505078194	3701.209994624777	5255.7473043028895	2156.2690817363346	1662.4663383685681	3874.4770349312885	2992.5499755576543	3065.7835230669193	3294.0259238630533	8.245109611240391E-4	0.0	0.366	1.5182331113774536E-4	0.18210608619169452	0.6163641279929664	0.38363587200703375	0.5	0.5	5.6135897346453874E-5	5.613589734645382E-5	-14471.182435890738	0.0	-954.8372193061939
60000	-15436.002530144757	-980.9419306567081	-14455.060599488048	6825.091102693927	6825.091102693927	279337.1084610341	0.0	426.3535061151997	2615.3990585680767	2362.922917921524	1340.4994719501965	2069.1035651500542	1659.2235128943314	2027.1359402726923	2880.2094194658084	2592.0070159694396	2094.690409949368	4050.8727674458755	5676.4248877572045	2222.7479100885207	1757.0437786621917	2866.2840444781186	3214.5906388549142	3245.363540126107	3062.461668067295	0.0	426.3535061151997	2615.3990585680767	2362.922917921524	1340.4994719501965	2069.1035651500542	1659.2235128943314	2027.1359402726923	2880.2094194658084	2592.0070159694396	2094.690409949368	4050.8727674458755	5676.4248877572045	2222.7479100885207	1757.0437786621917	2866.2840444781186	3214.5906388549142	3245.363540126107	3062.461668067295	6.693694442801028E-4	0.0	0.366	2.1515709393711765E-5	0.20701378548144778	0.6163641279929664	0.38363587200703375	0.5	0.5	4.827951032742373E-5	4.827951032742372E-5	-14455.060599488048	0.0	-963.8707658377647
70000	-15446.34816165862	-982.5653584563195	-14463.7828032023	7076.502133234937	7076.502133234937	275606.2129120716	0.0	69.8955980012296	2585.656206381067	1916.5288834816956	1275.9997373608078	1488.9437589156187	1581.9554010034	2341.3466935699207	2894.6006930678827	3297.502471361288	2002.7493376395678	3897.1420981233828	5903.073857705204	1827.5748570091387	1773.4032004470698	2868.938041621369	3029.3448014286128	3139.961814364951	2677.592617356385	0.0	69.8955980012296	2585.656206381067	1916.5288834816956	1275.9997373608078	1488.9437589156187	1581.9554010034	2341.3466935699207	2894.6006930678827	3297.502471361288	2002.7493376395678	3897.1420981233828	5903.073857705204	1827.5748570091387	1773.4032004470698	2868.938041621369	3029.3448014286128	3139.961814364951	2677.592617356385	6.106752857536226E-4	0.0	0.366	6.319919167709248E-4	0.20556127928382098	0.6163641279929664	0.38363587200703375	0.5	0.5	4.636354532434336E-5	4.6363545324343336E-5	-14463.7828032023	0.0	-964.6860871429643
80000	-15453.961236250334	-984.1365961050743	-14469.82464014526	7517.92097680798	7517.92097680798	279173.3912564446	0.0	119.47096811720647	3409.2346767923336	2791.0848771941705	1553.2186834912457	1908.583218587504	1464.2770692273277	2263.782313882199	3339.049996613597	2706.141731270559	1994.3791063250035	3533.3802461167966	5532.651047727989	1897.7406576010253	1915.5973256777136	3359.7311367586585	2999.00621872576	3208.2254129708913	2882.060767142592	0.0	119.47096811720647	3409.2346767923336	2791.0848771941705	1553.2186834912457	1908.583218587504	1464.2770692273277	2263.782313882199	3339.049996613597	2706.141731270559	1994.3791063250035	3533.3802461167966	5532.651047727989	1897.7406576010253	1915.5973256777136	3359.7311367586585	2999.00621872576	3208.2254129708913	2882.060767142592	6.89194131713868E-4	0.0	0.366	0.002523008617944032	0.17817099627460373	0.6163641279929664	0.38363587200703375	0.5	0.5	5.1662173591701324E-5	5.166217359170136E-5	-14469.82464014526	0.0	-965.3553712524747
90000	-15433.661687595484	-983.9748357069515	-14449.686851888533	7080.7405986654485	7080.7405986654485	282297.54195584805	0.0	315.7162539551045	2914.7288237693347	2523.8294131475495	1417.2957937574051	1707.6303016937247	1691.3323649483618	2061.5939937783073	3064.810539045038	3173.0536920645277	2012.468214310507	3673.5282250846553	5685.94721920312	2422.9442982815394	1919.1896306036938	3116.472766880167	3241.0254196392443	3269.592607195072	3643.091961225474	0.0	315.7162539551045	2914.7288237693347	2523.8294131475495	1417.2957937574051	1707.6303016937247	1691.3323649483618	2061.5939937783073	3064.810539045038	3173.0536920645277	2012.468214310507	3673.5282250846553	5685.94721920312	2422.9442982815394	1919.1896306036938	3116.472766880167	3241.0254196392443	3269.592607195072	3643.091961225474	6.788212954542338E-4	0.0	0.366	0.0032172991947245163	0.1844818735389772	0.6163641279929664	0.38363587200703375	0.5	0.5	4.839958421123516E-5	4.8399584211235176E-5	-14449.686851888533	0.0	-966.4846682198192
