# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jul 25 05:20:49 AEST 2020 [seed=1595613723780]
# -threads 8 xml/biphone_binary_CMHS_2020-07-23_ch2.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-14454.89203340608	-15436.641414821434	-981.7493814153532	1.0	-15436.641414821434
60000	-14456.523493490819	-15441.712926883576	-985.1894333927582	1.0	-15441.712926883576
70000	-14465.052445668742	-15459.62166504711	-994.5692193783688	1.0	-15459.62166504711
80000	-14445.40130918373	-15439.599460262627	-994.1981510788983	1.0	-15439.599460262627
90000	-14447.48473640276	-15446.56743721212	-999.0827008093606	1.0	-15446.56743721212
100000	-14472.522494443889	-15448.50848413073	-975.9859896868414	1.0	-15448.50848413073
110000	-14459.301153076649	-15448.071858703855	-988.7707056272058	1.0	-15448.071858703855
120000	-14460.507223937204	-15451.033909897598	-990.5266859603944	1.0	-15451.033909897598
130000	-14472.649403348376	-15467.83598930643	-995.1865859580548	1.0	-15467.83598930643
140000	-14447.875424424663	-15438.785949009336	-990.910524584673	1.0	-15438.785949009336
150000	-14452.21679057906	-15431.818043017924	-979.6012524388639	1.0	-15431.818043017924
160000	-14444.043083415068	-15431.17473032276	-987.1316469076914	1.0	-15431.17473032276
170000	-14466.384365311005	-15450.919803773219	-984.5354384622136	1.0	-15450.919803773219
180000	-14449.931376539644	-15432.603058924751	-982.6716823851069	1.0	-15432.603058924751
190000	-14461.112665178996	-15447.947494498028	-986.8348293190326	1.0	-15447.947494498028
200000	-14448.667854510277	-15439.701211608488	-991.0333570982104	1.0	-15439.701211608488
210000	-14447.816812636192	-15435.537625316076	-987.7208126798829	1.0	-15435.537625316076
220000	-14446.112006529482	-15445.817869185392	-999.7058626559098	1.0	-15445.817869185392
230000	-14446.875095662475	-15444.531953403759	-997.656857741284	1.0	-15444.531953403759
240000	-14433.090092050243	-15439.436764657532	-1006.3466726072888	1.0	-15439.436764657532
250000	-14463.244434358614	-15461.942598416244	-998.6981640576311	1.0	-15461.942598416244
260000	-14454.979094955806	-15461.605342018403	-1006.6262470625966	1.0	-15461.605342018403
270000	-14469.313403007458	-15472.170415440394	-1002.8570124329365	1.0	-15472.170415440394
280000	-14446.236319006532	-15446.361588940561	-1000.1252699340287	1.0	-15446.361588940561
290000	-14452.954465153485	-15460.90966945636	-1007.9552043028746	1.0	-15460.90966945636
300000	-14454.72372676326	-15457.023137011538	-1002.2994102482775	1.0	-15457.023137011538
310000	-14454.283950444516	-15460.863687976955	-1006.5797375324388	1.0	-15460.863687976955
320000	-14446.86619415561	-15438.138616784929	-991.272422629319	1.0	-15438.138616784929
330000	-14463.6052477852	-15446.801602944666	-983.1963551594655	1.0	-15446.801602944666
340000	-14469.953396472141	-15453.119054096202	-983.1656576240595	1.0	-15453.119054096202
350000	-14448.618595136835	-15437.309357137348	-988.6907620005128	1.0	-15437.309357137348
360000	-14473.325016038285	-15465.804706233052	-992.4796901947661	1.0	-15465.804706233052
370000	-14452.839599497882	-15445.717874796926	-992.8782752990455	1.0	-15445.717874796926
380000	-14447.22272879983	-15437.63515187601	-990.4124230761787	1.0	-15437.63515187601
