# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Jul 24 23:39:19 AEST 2020 [seed=1595597958326]
# -threads 8 xml/biphone_binary_CSGR_2020-07-23_ch1.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
0	-37782.45914270378	-2102.786821014825	-35679.67232168896	3692.89117483813	3692.89117483813	18110.965956492506	0.0	19.718801772712485	356.873222796492	2.4465013873433525	90.59603982837308	164.13840008925553	253.97826034435718	73.4701972990213	47.87259718030456	106.8558772178055	266.4323019186638	221.09640785873248	74.07698676300828	43.281117312480426	26.267654594974122	311.9386475366317	66.47339364156342	3500.0	202.14979281155178	0.0	19.718801772712485	356.873222796492	2.4465013873433525	90.59603982837308	164.13840008925553	253.97826034435718	73.4701972990213	47.87259718030456	106.8558772178055	266.4323019186638	221.09640785873248	74.07698676300828	43.281117312480426	26.267654594974122	311.9386475366317	66.47339364156342	3500.0	202.14979281155178	0.001	0.0	0.366	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.001	0.1	4.186702595126437E-4	6.983423685183857	-0.020129598305625322	-35679.67232168896	-1199.394378775646	-882.8423698138421
10000	-16881.125988010775	-1983.4008138826418	-14897.725174128132	4868.127300231066	4868.127300231066	25613.2880601883	0.0	1.124591818184668	311.7218062715691	9.590858216309496	108.87019999409695	199.22462669690884	230.64811212543466	59.226628196246615	90.60516159428185	132.3405253757268	409.4542775029208	318.65183211661343	190.3159676013485	11.335216027225695	96.34904006240511	148.64826384374538	80.81608270470663	4857.792454216211	142.07247882052488	0.0	1.124591818184668	311.7218062715691	9.590858216309496	108.87019999409695	199.22462669690884	230.64811212543466	59.226628196246615	90.60516159428185	132.3405253757268	409.4542775029208	318.65183211661343	190.3159676013485	11.335216027225695	96.34904006240511	148.64826384374538	80.81608270470663	4857.792454216211	142.07247882052488	0.0066340434631819946	0.0	0.366	0.0013033515167022078	0.18196502956715468	0.6084887525985953	0.3915112474014048	0.5	0.5	0.611822252509705	0.01026284289664007	0.08969220257797429	8.282864973680987E-4	2.5582355687617295	-0.023237307146121853	-14897.725174128132	-1199.394378775646	-765.1634113494298
20000	-16461.81027242726	-1970.9402502278806	-14490.87002219938	3546.648179818516	3546.648179818516	26292.033246166033	0.0	1.1541574902351315	420.3864583385849	7.1362505818248465	128.46495992979547	217.58101721907587	166.21431300931516	128.46685923563783	105.47206405014693	182.75997169958126	617.1121345737037	427.3230798893553	283.5922110648569	17.17227155638405	113.25214911724724	226.3111021912023	175.92604709620616	3224.2104101953487	210.70573928509432	0.0	1.1541574902351315	420.3864583385849	7.1362505818248465	128.46495992979547	217.58101721907587	166.21431300931516	128.46685923563783	105.47206405014693	182.75997169958126	617.1121345737037	427.3230798893553	283.5922110648569	17.17227155638405	113.25214911724724	226.3111021912023	175.92604709620616	3224.2104101953487	210.70573928509432	0.006266976428905304	0.0	0.366	1.6548219087591119E-7	0.19032550143811872	0.6230851970000725	0.3769148029999276	0.5	0.5	0.5311877374025044	0.008500830693898903	0.09807546888940905	7.4797240682601E-4	2.544678154144632	0.05789786432466293	-14490.87002219938	-1199.394378775646	-751.2663012818562
30000	-16464.28676057283	-2027.69996682672	-14436.586793746112	4867.521895968093	4867.521895968093	50572.0827018736	0.0	1.8401818434095663	973.4916509549422	15.555476491389228	237.21942570973488	635.3581855348859	352.8082841960293	234.059666523049	359.87511361518403	410.86300442728685	882.718418070743	973.9330979968819	677.7022355886065	40.39479744591078	256.00949054407147	467.43476232815806	560.7275146597842	3902.34522388641	504.0817563511394	0.0	1.8401818434095663	973.4916509549422	15.555476491389228	237.21942570973488	635.3581855348859	352.8082841960293	234.059666523049	359.87511361518403	410.86300442728685	882.718418070743	973.9330979968819	677.7022355886065	40.39479744591078	256.00949054407147	467.43476232815806	560.7275146597842	3902.34522388641	504.0817563511394	0.0035054581127415487	0.0	0.366	1.5584919547794392E-4	0.1858049849746249	0.6174951825969285	0.38250481740307174	0.5	0.5	0.6476625441302418	0.0036670465283680557	0.0409743336037728	4.050149438297304E-4	2.5922793118338596	-0.018391946487286412	-14436.586793746112	-1199.394378775646	-811.7971397542507
40000	-16423.10837914934	-2030.000052593124	-14393.108326556216	4089.2567803710317	4089.2567803710317	54931.18887296406	0.0	1.6461756040567534	1171.2479930719899	37.84149655858584	376.0865645345194	607.6799901432838	534.6582132423873	325.8049335448587	452.40204387214527	698.5553535230877	887.6262458974971	1165.6204517309739	916.3739346644259	43.556003606585605	328.6230654587462	655.380755690522	423.8394052834067	3369.0794989480405	585.8220657576899	0.0	1.6461756040567534	1171.2479930719899	37.84149655858584	376.0865645345194	607.6799901432838	534.6582132423873	325.8049335448587	452.40204387214527	698.5553535230877	887.6262458974971	1165.6204517309739	916.3739346644259	43.556003606585605	328.6230654587462	655.380755690522	423.8394052834067	3369.0794989480405	585.8220657576899	0.003323200210995151	0.0	0.366	0.0023525889163353154	0.1684424637651316	0.6348739957554099	0.3651260042445903	0.5	0.5	0.6637827939336198	0.0021576912178317533	0.01759257300809535	3.457091828810176E-4	2.285067076862523	0.04270037603954893	-14393.108326556216	-1199.394378775646	-813.2848521921735
50000	-16338.442626956936	-2036.559118122417	-14301.883508834519	3809.5278304909484	3809.5278304909484	58947.59017431695	0.0	2.765188049627616	1307.1471181017357	42.889425704438935	533.9182395691699	677.5607376484483	631.0206479704242	216.71743871019754	563.6988565668206	776.4190505815916	667.571618891676	1350.7125031343976	994.9269674812957	47.94309404801309	513.6363294599118	752.3715506904332	334.5823241497244	3422.242129442658	658.5823600204893	0.0	2.765188049627616	1307.1471181017357	42.889425704438935	533.9182395691699	677.5607376484483	631.0206479704242	216.71743871019754	563.6988565668206	776.4190505815916	667.571618891676	1350.7125031343976	994.9269674812957	47.94309404801309	513.6363294599118	752.3715506904332	334.5823241497244	3422.242129442658	658.5823600204893	0.0030091881294077947	0.0	0.366	6.049061272321099E-4	0.16863195045208426	0.6239302267199628	0.3760697732800367	0.5	0.5	0.7674432975803059	0.0016878509643570084	0.011609967466868487	3.0416962102020604E-4	2.1065104619364883	0.023151752351170667	-14301.883508834519	-1199.394378775646	-818.8623111890413
60000	-16325.35787522728	-2083.670952366637	-14241.686922860645	3950.4521685348177	3950.4521685348177	95389.64763403735	0.0	4.2759732519722	2157.3282955789796	46.94497606669078	923.2330776261459	1159.700327174126	1177.1839756361528	535.5513011536485	829.2713287383782	1338.040841146861	1061.7220058351893	2188.50505254168	1549.8594296634815	74.57366583885525	970.6071347958388	1857.3943643483992	761.0447436960194	3531.5498378637694	910.7793337232024	0.0	4.2759732519722	2157.3282955789796	46.94497606669078	923.2330776261459	1159.700327174126	1177.1839756361528	535.5513011536485	829.2713287383782	1338.040841146861	1061.7220058351893	2188.50505254168	1549.8594296634815	74.57366583885525	970.6071347958388	1857.3943643483992	761.0447436960194	3531.5498378637694	910.7793337232024	0.001750723298348821	0.0	0.366	0.0015057481772603018	0.1470177422379377	0.6342703391016509	0.3657296608983486	0.5	0.5	0.675204922106118	0.0011400413823464924	0.009190364113004503	2.0196482840134717E-4	2.219833264251183	-0.009695912129373548	-14241.686922860645	-1199.394378775646	-866.836128180376
70000	-16348.783905862747	-2113.943852031425	-14234.840053831322	4809.957936437966	4809.957936437966	128076.01178873282	0.0	18.602481048961256	3026.535203108052	88.38016254247668	1559.3984789538272	1465.5018146122948	1494.5913830005422	467.24317138907713	955.5910459420417	1275.7167047651553	1389.5897922824518	2965.0589361476514	2205.120601767033	163.86077383913425	1385.481721793068	1973.0996162009199	1057.0626691818804	4526.742851355925	1361.673073219162	0.0	18.602481048961256	3026.535203108052	88.38016254247668	1559.3984789538272	1465.5018146122948	1494.5913830005422	467.24317138907713	955.5910459420417	1275.7167047651553	1389.5897922824518	2965.0589361476514	2205.120601767033	163.86077383913425	1385.481721793068	1973.0996162009199	1057.0626691818804	4526.742851355925	1361.673073219162	0.0013428102891113486	0.0	0.366	0.0011953460551426846	0.1613109273191425	0.6395621819502366	0.36043781804976294	0.5	0.5	0.7238728016337422	5.779943706766585E-4	0.003108961068405898	1.3665541933478566E-4	2.0020427966670917	0.00916895661696426	-14234.840053831322	-1199.394378775646	-897.9954755857141
80000	-16299.06688492076	-2080.306496901303	-14218.760388019457	3710.908353617311	3710.908353617311	93761.4279417452	0.0	15.475099777604601	2099.4027383637526	64.2793997412857	816.6259610021209	1819.285159161832	1040.644440350472	613.2187970492962	1632.732527191218	1121.6739996822887	1012.7775641749234	1785.19294101064	1611.6203877691219	121.85225540296683	1260.932548700086	1059.5875131023238	494.9051414928297	3117.685989995796	885.3268262532711	0.0	15.475099777604601	2099.4027383637526	64.2793997412857	816.6259610021209	1819.285159161832	1040.644440350472	613.2187970492962	1632.732527191218	1121.6739996822887	1012.7775641749234	1785.19294101064	1611.6203877691219	121.85225540296683	1260.932548700086	1059.5875131023238	494.9051414928297	3117.685989995796	885.3268262532711	0.0017618187790108344	0.0	0.366	2.892540580459395E-4	0.1296211278584791	0.6442237152499647	0.35577628475003475	0.5	0.5	0.7690969346399145	7.335668749446775E-4	0.003812453151922699	1.8874279163993643E-4	1.9612023989368421	0.07898778931788476	-14218.760388019457	-1199.394378775646	-862.5883129542676
90000	-16295.337482450544	-2126.283430568246	-14169.054051882298	6261.488574363154	6261.488574363154	148587.97916976237	0.0	31.019412867172253	3448.819548572328	192.62325236388966	1441.3470246018792	2644.524169700492	1940.0350045001596	1007.5345771052667	2097.8085149965614	2013.5427468476203	2024.298636840722	3001.436102947682	2466.896581636011	313.43548823503977	1902.4057590795514	1650.7010212631383	902.3589235450769	3372.015236471511	1607.6468306517218	0.0	31.019412867172253	3448.819548572328	192.62325236388966	1441.3470246018792	2644.524169700492	1940.0350045001596	1007.5345771052667	2097.8085149965614	2013.5427468476203	2024.298636840722	3001.436102947682	2466.896581636011	313.43548823503977	1902.4057590795514	1650.7010212631383	902.3589235450769	3372.015236471511	1607.6468306517218	0.0012025768365005836	0.0	0.366	6.755362473228548E-4	0.1584963597555617	0.6218240923337134	0.3781759076662866	0.5	0.5	0.6637506787125398	5.618462060311812E-4	0.004046265178913219	1.1493858697331006E-4	2.2346688922209283	0.09231720421678655	-14169.054051882298	-1199.394378775646	-912.8484151143167
