# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Jul 25 04:16:15 AEST 2020 [seed=1595597958326]
# -threads 8 xml/biphone_binary_CSGR_2020-07-23_ch1.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
50000	-13993.611771502121	-16189.336232359137	-2195.7244608570163	1.0	-16189.336232359137
60000	-13994.585038939667	-16164.54242438223	-2169.957385442564	1.0	-16164.54242438223
70000	-14006.564157216108	-16166.148713707385	-2159.584556491279	1.0	-16166.148713707385
80000	-13996.778132800628	-16191.005477194023	-2194.227344393396	1.0	-16191.005477194023
90000	-13989.551939033514	-16144.721689490223	-2155.1697504567096	1.0	-16144.721689490223
100000	-13998.506653045672	-16168.098065828079	-2169.5914127824076	1.0	-16168.098065828079
110000	-14006.41983897428	-16165.212364643705	-2158.7925256694252	1.0	-16165.212364643705
120000	-14017.471904240112	-16194.205614473356	-2176.7337102332435	1.0	-16194.205614473356
130000	-14012.223955983209	-16167.354655007268	-2155.13069902406	1.0	-16167.354655007268
140000	-13992.25430675401	-16150.449346957663	-2158.1950402036537	1.0	-16150.449346957663
150000	-14017.267734360435	-16188.36116160679	-2171.0934272463546	1.0	-16188.36116160679
160000	-14005.18372019033	-16173.678010276288	-2168.4942900859573	1.0	-16173.678010276288
170000	-14005.067140521218	-16188.043525161384	-2182.976384640165	1.0	-16188.043525161384
180000	-14002.661951401778	-16161.660176599717	-2158.9982251979386	1.0	-16161.660176599717
190000	-14024.517441154125	-16196.125735178008	-2171.608294023883	1.0	-16196.125735178008
200000	-14005.231397260075	-16181.8212757425	-2176.589878482426	1.0	-16181.8212757425
210000	-14003.264942865399	-16183.81045427766	-2180.5455114122615	1.0	-16183.81045427766
220000	-14005.518046608759	-16160.221721036549	-2154.7036744277893	1.0	-16160.221721036549
230000	-13998.673140590543	-16152.208641935802	-2153.5355013452595	1.0	-16152.208641935802
240000	-13978.665391147762	-16134.602122354812	-2155.936731207051	1.0	-16134.602122354812
250000	-13989.429446186747	-16159.760247202323	-2170.3308010155756	1.0	-16159.760247202323
260000	-14005.776345322553	-16186.303187968468	-2180.5268426459143	1.0	-16186.303187968468
270000	-13986.76607011427	-16147.083685669293	-2160.3176155550223	1.0	-16147.083685669293
280000	-14013.71377384029	-16182.693821193405	-2168.980047353114	1.0	-16182.693821193405
290000	-14008.17582228799	-16157.499057836709	-2149.3232355487185	1.0	-16157.499057836709
300000	-13990.125938478233	-16151.723101654574	-2161.59716317634	1.0	-16151.723101654574
310000	-13999.626927260459	-16153.0374883276	-2153.4105610671418	1.0	-16153.0374883276
320000	-14004.7410222129	-16168.838396679712	-2164.0973744668117	1.0	-16168.838396679712
330000	-13991.203008373395	-16153.746848781362	-2162.5438404079664	1.0	-16153.746848781362
340000	-14008.144886674518	-16160.238169918512	-2152.093283243994	1.0	-16160.238169918512
350000	-13977.142315117359	-16145.90362580655	-2168.761310689192	1.0	-16145.90362580655
360000	-14003.856426101233	-16160.52655772099	-2156.670131619757	1.0	-16160.52655772099
370000	-13988.796296230872	-16150.482585479172	-2161.6862892483005	1.0	-16150.482585479172
380000	-13980.407641370692	-16142.594092248066	-2162.186450877374	1.0	-16142.594092248066
390000	-13992.73053270127	-16139.381382500596	-2146.6508497993273	1.0	-16139.381382500596
400000	-13978.298549769475	-16133.018513220199	-2154.719963450724	1.0	-16133.018513220199
410000	-14008.254943272153	-16163.84929276542	-2155.594349493267	1.0	-16163.84929276542
420000	-13994.849538469385	-16147.722396838664	-2152.87285836928	1.0	-16147.722396838664
430000	-14006.642701023282	-16165.768097946197	-2159.1253969229147	1.0	-16165.768097946197
440000	-14003.68669994979	-16179.307085754725	-2175.620385804933	1.0	-16179.307085754725
450000	-14002.264196638598	-16167.206515284115	-2164.9423186455165	1.0	-16167.206515284115
460000	-14015.573428072243	-16192.845085621651	-2177.271657549409	1.0	-16192.845085621651
470000	-13994.455881453297	-16175.939765267693	-2181.483883814395	1.0	-16175.939765267693
480000	-13992.775283492843	-16178.984093284076	-2186.2088097912324	1.0	-16178.984093284076
490000	-14007.687225952519	-16179.731193418675	-2172.043967466156	1.0	-16179.731193418675
500000	-13986.322040468793	-16131.193097825002	-2144.8710573562084	1.0	-16131.193097825002
510000	-14006.204923110588	-16147.958858306618	-2141.7539351960295	1.0	-16147.958858306618
520000	-13998.818574622932	-16161.632077285645	-2162.813502662714	1.0	-16161.632077285645
530000	-14013.691572836351	-16177.289915340196	-2163.598342503845	1.0	-16177.289915340196
540000	-14012.725233039644	-16195.531743690677	-2182.8065106510335	1.0	-16195.531743690677
550000	-13996.226587453775	-16173.646733631134	-2177.4201461773587	0.9348750848354606	-15262.143664499536
560000	-13997.164168854208	-16157.52388610871	-2160.359717254501	0.9348750848354606	-15245.959757067947
570000	-14015.815371812892	-16188.543697664663	-2172.7283258517714	0.9348750848354606	-15275.764910613501
580000	-13993.359768967875	-16171.929276195866	-2178.5695072279905	0.9348750848354606	-15260.612908374955
590000	-13999.479967272919	-16159.36036812037	-2159.8804008474503	0.9348750848354606	-15247.64542290405
600000	-13993.167832157877	-16159.46335884563	-2166.2955266877543	0.9348750848354606	-15248.159490893187
610000	-13990.617947237064	-16156.411604181707	-2165.7936569446433	0.9348750848354606	-15245.27379726841
620000	-13997.794836890018	-16184.714135137787	-2186.9192982477693	0.9348750848354606	-15273.108933894697
630000	-14010.047590762932	-16186.35198032631	-2176.3043895633778	0.9348750848354606	-15273.948819526713
640000	-14000.98220934672	-16173.08158824203	-2172.0993788953106	0.9348750848354606	-15261.268809638099
650000	-14038.9507799884	-16218.443772250612	-2179.4929922622123	0.9348750848354606	-15304.158293704722
660000	-13993.025599169927	-16172.00097134526	-2178.9753721753327	0.9348750848354606	-15260.70636630409
670000	-14013.210188756897	-16195.26793817029	-2182.057749413392	0.9348750848354606	-15282.658813444637
680000	-13997.587512721104	-16180.118994569097	-2182.5314818479937	0.9348750848354606	-15268.527295294918
690000	-14012.081965388932	-16173.580906651418	-2161.498941262485	0.9348750848354606	-15261.045257376889
700000	-13992.218849220488	-16142.879884711621	-2150.661035491134	0.9348750848354606	-15231.637819192467
710000	-14034.37192692192	-16198.003514156293	-2163.6315872343725	0.9348750848354606	-15284.016233027909
720000	-13999.83972889458	-16155.73672009785	-2155.89699120327	0.9348750848354606	-15243.998345436441
730000	-13973.587233247232	-16124.834398066758	-2151.2471648195265	0.9348750848354606	-15214.80571495724
740000	-13985.823178863162	-16146.075542007928	-2160.2523631447652	0.9348750848354606	-15235.249993978216
750000	-14001.911808521492	-16178.981871325297	-2177.070062803805	0.9348750848354606	-15267.108552653972
760000	-13999.366471431833	-16178.674137221282	-2179.30766578945	0.9348750848354606	-15266.966583411986
770000	-14007.467435016191	-16200.799850224044	-2193.332415207854	0.9348750848354606	-15288.564721848566
780000	-14019.187426234848	-16207.178206756998	-2187.9907805221496	0.9348750848354606	-15294.179814947676
790000	-14028.770850437697	-16212.575687070565	-2183.804836632867	0.9348750848354606	-15298.953175573046
800000	-14010.935195463919	-16188.365406052797	-2177.430210588878	0.9348750848354606	-15275.904440072349
810000	-14015.3940659371	-16186.932397730889	-2171.5383317937894	0.9348750848354606	-15274.181048189144
820000	-14006.032632401702	-16176.168685727487	-2170.1360533257844	0.9348750848354606	-15264.026998750554
